open,high,low,close,volume
113.24,116.1,113.19,115.53,85666.4
115.54,116.62,114.72,115.32,83890.6
115.32,116.5,114.6,115.19,73316.1
115.18,115.52,112.75,113.06,75279.2
113.07,116.78,113.07,115.89,126587.4
115.89,116.61,113.07,113.26,149397.2
113.26,115.18,111.05,111.6,252479.1
111.62,112.19,107.99,108.2,176933.6
108.19,108.87,105.5,106.61,163157.9
106.64,108.21,105.91,106.1,83909.1
106.1,107.39,104.0,104.65,115789.7
104.65,106.8,103.99,104.37,134340.4
104.38,106.78,103.55,103.88,236137.7
103.88,106.92,102.98,105.48,255888.2
105.47,108.0,104.2,106.79,232471.8
106.79,106.86,103.44,104.63,191519.6
104.66,105.69,103.58,104.47,132597.4
104.47,104.98,102.46,102.97,70555.4
102.96,107.93,102.69,105.9,177268.3
105.91,107.05,105.43,106.33,61610.4
106.33,108.48,106.28,108.17,74415.0
108.16,108.63,106.65,106.91,66522.5
106.91,110.32,106.13,109.36,108826.0
109.37,112.05,109.15,111.12,102631.6
111.12,111.43,109.22,110.13,68377.0
110.13,110.8,109.2,110.15,48509.3
110.15,110.75,109.39,109.89,54765.0
109.89,109.95,107.82,108.16,90605.9
108.16,108.5,105.65,106.29,167216.8
106.31,106.45,103.16,103.83,169398.1
103.84,104.8,102.66,102.94,135201.1
102.95,103.66,98.11,98.93,322545.5
98.94,100.58,97.7,99.91,148579.8
99.89,102.55,99.58,100.8,132941.5
100.8,101.88,98.79,99.68,75989.4
99.67,100.26,98.83,99.82,43545.8
99.83,101.15,98.53,98.76,92785.1
98.75,98.87,96.76,97.09,76867.9
97.1,97.75,90.43,91.84,340366.1
91.81,92.09,82.57,86.85,528793.2
86.83,87.49,84.2,86.86,181319.8
86.86,86.98,84.36,84.6,122020.1
84.58,85.9,83.25,84.63,125153.3
84.64,85.77,81.49,83.27,208621.0
83.28,83.57,76.16,80.08,367405.9
80.08,85.54,79.86,84.58,211518.8
84.57,85.4,82.44,83.08,150786.7
83.08,84.43,81.64,82.89,81974.9
82.86,82.87,79.69,80.15,112065.2
80.15,81.09,78.05,81.05,143754.2
81.05,81.44,78.29,78.68,165550.6
78.67,87.34,77.27,86.79,269552.4
86.77,90.43,86.76,89.42,241925.4
89.42,93.74,88.2,92.65,180212.1
92.62,94.87,91.75,91.91,155696.5
91.93,93.29,91.31,92.13,72244.1
92.14,93.11,89.22,89.34,96114.7
89.34,92.25,89.3,91.89,107931.1
91.9,95.65,91.87,95.3,104774.5
95.29,96.37,93.53,94.23,78228.8
94.24,97.43,93.78,97.21,85422.1
97.21,98.9,95.48,95.57,92879.5
95.58,102.95,95.25,101.84,165670.3
101.84,102.21,100.27,101.71,110465.8
101.72,104.48,101.66,102.21,98314.2
102.2,102.55,100.68,101.9,65644.5
101.9,103.76,100.93,102.61,79712.9
102.61,102.98,100.82,100.97,58681.2
100.97,101.48,99.63,99.94,72045.2
99.94,100.86,98.81,100.09,79220.3
100.1,100.37,97.55,97.71,69297.8
97.72,99.12,97.21,98.88,64300.1
98.88,98.88,97.55,98.25,38122.5
98.26,98.96,97.58,97.89,37250.7
97.89,99.59,97.72,98.54,57895.7
98.55,102.58,98.01,102.34,130187.6
102.36,107.4,102.02,103.48,283385.3
103.48,104.4,102.28,102.92,86357.8
102.92,104.22,102.34,102.35,70652.8
102.35,102.94,100.54,100.6,77778.3
100.61,101.86,100.53,100.64,33724.4
100.64,101.07,99.56,100.74,57110.2
100.74,102.16,99.76,101.87,82732.8
101.88,104.19,101.84,103.87,43979.7
103.86,107.88,103.43,104.7,134247.7
104.71,104.95,102.39,103.52,45901.4
103.54,103.77,101.14,101.28,75976.0
101.28,104.04,100.29,103.7,65426.6
103.72,105.65,102.83,105.57,68837.7
105.57,105.89,103.62,104.23,62652.7
104.23,106.39,103.93,105.14,50922.1
105.13,105.17,102.18,102.38,63647.0
102.39,103.13,101.57,101.94,38956.6
101.94,103.39,101.55,102.87,41996.8
102.88,104.06,102.3,103.85,40544.7
103.84,104.05,101.26,101.31,57510.4
101.32,103.03,101.0,101.08,55640.7
101.08,101.25,99.76,99.92,55708.7
99.92,102.4,99.81,101.48,70317.9
101.47,102.4,100.38,101.08,87395.4
101.07,101.47,97.94,98.74,186046.8
98.75,102.79,98.39,101.77,151623.4
101.76,102.55,99.82,100.07,94587.2
100.07,101.69,99.26,100.58,63584.5
100.58,101.32,98.65,99.15,84608.9
99.12,100.28,98.63,99.25,42548.7
99.26,101.28,97.15,99.54,118281.6
99.55,99.78,98.32,98.69,39925.9
98.69,99.07,96.5,99.02,71234.0
99.01,99.88,98.01,98.32,35894.7
98.31,99.21,96.87,98.97,57563.0
98.98,102.5,98.94,101.98,80420.5
101.98,103.71,101.88,103.49,57832.8
103.49,103.86,101.84,101.85,32436.2
101.86,103.02,101.12,101.27,53900.2
101.28,102.12,99.47,99.69,65269.7
99.69,99.98,98.75,98.82,49110.2
98.83,99.4,98.33,98.43,37177.1
98.44,99.38,97.89,98.44,48230.0
98.45,98.83,95.14,96.21,124662.0
96.21,96.43,95.29,95.96,65383.9
95.95,96.6,95.63,96.2,45088.7
96.19,98.85,95.67,97.2,102109.2
97.18,98.15,95.84,96.53,59179.0
96.55,97.88,96.28,97.43,78502.8
97.43,97.77,96.05,96.66,87564.3
96.67,99.22,96.51,97.55,137895.4
97.55,99.41,97.46,97.88,65666.3
97.88,99.0,96.91,97.41,88712.6
97.4,98.18,96.5,97.0,43749.3
97.01,97.34,96.46,96.48,33836.5
96.48,99.31,96.35,99.28,59454.7
99.29,102.43,98.54,101.77,101584.4
101.77,102.35,100.73,101.38,88941.3
101.38,101.46,99.01,99.36,79337.0
99.36,99.74,97.92,98.94,77076.9
98.93,99.31,98.34,98.38,38825.8
98.38,99.72,98.29,99.13,31050.0
99.12,99.45,97.23,97.27,53773.3
97.29,98.37,97.25,98.15,30342.8
98.15,98.85,97.61,97.97,29556.3
97.99,98.73,97.62,97.67,25065.7
97.67,98.41,97.25,97.88,24112.3
97.88,98.29,95.65,96.51,75220.0
96.5,96.94,95.53,96.11,49731.0
96.11,96.43,95.49,96.06,32002.0
96.06,96.28,95.22,96.0,42897.6
96.0,96.21,94.65,95.3,51934.8
