open,high,low,close,volume
2.9176,3.0415,2.8517,2.9172,7145736.92
2.9173,2.9493,2.8526,2.8846,3513737.71
2.8847,3.2785,2.8659,3.1265,9953839.51
3.1263,3.1557,2.9741,3.0491,4734692.35
3.0495,3.3264,3.0415,3.1576,7228500.04
3.1577,3.297,3.0328,3.0649,6690125.94
3.0654,3.1108,2.9491,2.973,6791708.91
2.9737,3.0591,2.8773,2.8778,5591225.69
2.8776,2.9618,2.8303,2.8441,4478940.68
2.8436,2.899,2.8221,2.8322,4268550.55
2.8322,2.862,2.7452,2.7687,4904589.59
2.7683,2.8081,2.7227,2.7473,4914032.04
2.7473,2.786,2.6449,2.6627,4849505.58
2.6628,2.7685,2.6563,2.7247,4209017.54
2.7246,2.7246,2.6034,2.6197,6574405.01
2.6198,2.6769,2.5693,2.6383,5389000.54
2.6379,2.6686,2.6047,2.628,4145389.05
2.628,2.665,2.6042,2.6361,3555021.46
2.6362,2.7465,2.6143,2.7364,6037691.48
2.7362,2.8135,2.7021,2.7225,5500649.23
2.7225,2.7487,2.6751,2.717,3456551.95
2.7168,2.766,2.6806,2.7287,3780119.2
2.7279,2.7445,2.6902,2.6991,2498532.64
2.6998,2.727,2.6784,2.7006,1928563.22
2.7005,2.7068,2.649,2.6779,2342964.38
2.6779,2.6971,2.6567,2.6941,1586633.44
2.6943,2.7836,2.6808,2.7357,3522695.09
2.7365,2.7711,2.7161,2.7441,1623677.15
2.7441,2.7642,2.6064,2.6173,4068468.55
2.618,2.6218,2.5124,2.534,4165522.14
2.5341,2.5351,2.3989,2.4088,6790809.47
2.4096,2.4709,2.363,2.4502,4842928.72
2.4509,2.4928,2.411,2.4732,3020301.79
2.4722,2.5179,2.449,2.4827,3013047.2
2.4822,2.5011,2.4239,2.4416,1901257.65
2.4415,2.4443,2.386,2.4025,1519790.88
2.4023,2.4332,2.3761,2.3872,1620436.24
2.3872,2.3906,2.331,2.3464,1810113.8
2.3463,2.3525,2.2006,2.227,4756876.2
2.2278,2.2358,1.8962,2.0368,11914107.51
2.0368,2.0627,1.995,2.0514,3334151.16
2.0506,2.0524,1.9952,2.0059,2461569.22
2.0066,2.0391,1.9669,1.9845,2392899.04
1.9842,1.988,1.8888,1.9362,4864241.96
1.9362,1.9458,1.7413,1.8818,9112824.03
1.8821,2.0158,1.8711,1.9807,3543198.72
1.9806,1.9923,1.9435,1.9466,2568421.76
1.9472,1.9597,1.9002,1.9345,2089740.53
1.9346,1.9354,1.8534,1.8686,2335310.19
1.8675,1.8768,1.8042,1.8742,3457338.06
1.8738,1.9057,1.8209,1.8552,3191239.17
1.8543,1.9888,1.8214,1.9788,5273351.82
1.9783,2.0826,1.9783,2.0553,5782067.98
2.0553,2.1095,2.0295,2.1065,2017537.11
2.1057,2.1964,2.0871,2.149,2924928.3
2.1497,2.1773,2.1165,2.1203,1665342.53
2.1203,2.1231,2.0488,2.0525,1545064.78
2.0516,2.0955,2.0416,2.0628,1277336.38
2.0632,2.1007,2.0537,2.0807,935694.35
2.0805,2.1264,2.0648,2.0737,912152.15
2.0741,2.109,2.0612,2.0954,554785.83
2.0954,2.1195,2.0636,2.0682,823701.41
2.0677,2.2366,2.0601,2.2168,1849441.62
2.2168,2.2382,2.1621,2.1638,1064053.43
2.1642,2.18,2.1459,2.1632,709203.53
2.1638,2.1654,2.1274,2.1281,429280.62
2.1281,2.1723,2.112,2.1689,703951.22
2.169,2.2092,2.154,2.2019,1138200.13
2.2014,2.2218,2.1634,2.1832,1199691.86
2.1835,2.188,2.151,2.1821,687515.62
2.1824,2.1824,2.095,2.1188,1107001.48
2.119,2.1426,2.1012,2.1301,656021.21
2.1301,2.18,2.1171,2.158,1124500.45
2.1584,2.1846,2.1403,2.1773,1163022.2
2.1777,2.1892,2.1496,2.1682,886749.9
2.1678,2.2094,2.1421,2.1785,1632619.05
2.1785,2.3688,2.174,2.3461,2608467.64
2.3459,2.3856,2.2557,2.3226,2318247.79
2.3219,2.331,2.2662,2.2675,875268.1
2.2673,2.2732,2.2299,2.2324,700432.81
2.2319,2.2691,2.2286,2.2486,526407.87
2.2481,2.2599,2.2305,2.2454,415288.87
2.2443,2.2545,2.2208,2.2501,641180.73
2.2489,2.2618,2.2349,2.2569,370178.34
2.2572,2.2896,2.2275,2.249,675540.96
2.2486,2.2597,2.2248,2.2412,496028.67
2.2411,2.2559,2.1994,2.2381,815209.25
2.2379,2.2874,2.2011,2.2753,859430.78
2.2742,2.2867,2.2277,2.2399,702551.36
2.2392,2.2627,2.2316,2.2583,552799.04
2.2584,2.3027,2.2545,2.2718,614079.7
2.2719,2.2924,2.2566,2.2571,601886.67
2.2576,2.2891,2.249,2.2703,495292.23
2.2695,2.296,2.2498,2.2836,665476.46
2.2839,2.3164,2.2761,2.2847,660555.52
2.2854,2.2988,2.2587,2.2712,641897.91
2.271,2.299,2.2547,2.2553,463558.37
2.2543,2.2613,2.2174,2.2195,724700.62
2.2192,2.2854,2.2163,2.2774,728922.0
2.2771,2.2885,2.2399,2.2654,697124.23
2.2653,2.2745,2.159,2.2086,1626514.56
2.209,2.2419,2.1788,2.1893,1065647.46
2.1893,2.2084,2.1641,2.1984,851460.65
2.1987,2.2323,2.1622,2.2141,956009.21
2.2142,2.2432,2.1814,2.1927,907786.14
2.1923,2.215,2.1638,2.1958,674843.03
2.1972,2.2211,2.149,2.1915,882483.01
2.1919,2.2224,2.1689,2.1976,591591.24
2.1968,2.2172,2.1512,2.2172,791953.42
2.2173,2.2176,2.1842,2.1949,513809.19
2.1953,2.2071,2.1335,2.1765,874878.75
2.1767,2.2657,2.1753,2.2396,1091510.95
2.2394,2.2824,2.2366,2.2681,688345.09
2.2687,2.276,2.2318,2.2321,437443.18
2.2323,2.2768,2.2323,2.249,483552.69
2.2496,2.2777,2.2461,2.2651,357888.2
2.265,2.2759,2.2507,2.2542,500542.1
2.2544,2.2723,2.2425,2.2449,527396.78
2.2452,2.2532,2.2249,2.2282,319672.06
2.2282,2.2286,2.197,2.1998,616093.61
2.2,2.2176,2.1888,2.1959,503313.48
2.1966,2.2351,2.1924,2.2222,815077.35
2.2224,2.2857,2.1935,2.2388,1098848.29
2.2385,2.2578,2.1781,2.206,767575.61
2.2059,2.2864,2.203,2.2823,768855.95
2.2825,2.3026,2.254,2.2857,708256.01
2.2862,2.3427,2.2822,2.3276,858442.21
2.3268,2.3313,2.2982,2.3003,397906.48
2.3004,2.3083,2.2811,2.2915,280203.66
2.2908,2.3052,2.2823,2.2883,247412.26
2.288,2.3198,2.2877,2.3158,297344.3
2.3158,2.3874,2.3051,2.3824,521056.6
2.3834,2.4275,2.3612,2.4151,921324.61
2.4155,2.4713,2.3962,2.452,1094471.78
2.452,2.4568,2.3926,2.4069,940358.66
2.4066,2.4079,2.3749,2.3937,476618.13
2.3936,2.4133,2.3648,2.3655,446205.64
2.3656,2.3799,2.3538,2.3661,302563.72
2.3653,2.3742,2.31,2.3109,415029.49
2.3114,2.3483,2.3016,2.3384,464269.09
2.3382,2.3581,2.3302,2.3447,337276.64
2.3442,2.3627,2.339,2.3478,294398.86
2.3477,2.3736,2.3391,2.3635,394827.51
2.3633,2.378,2.3362,2.3502,421277.61
2.351,2.3649,2.3276,2.3503,393832.9
2.3507,2.3626,2.341,2.3584,302757.37
2.3584,2.374,2.329,2.3507,347491.22
2.3513,2.3664,2.3043,2.3455,565038.82
2.3452,2.375,2.273,2.3241,946972.21
2.3241,2.3308,2.2922,2.3055,522539.32
2.3054,2.3314,2.2954,2.325,376676.38
2.3249,2.3299,2.3051,2.3109,218559.49
2.3107,2.3189,2.301,2.311,245412.46
2.3108,2.3246,2.3032,2.3205,144853.02
2.3204,2.3318,2.313,2.3229,145507.0
2.3235,2.3328,2.2948,2.3309,317939.69
2.3308,2.3552,2.3142,2.3392,385671.69
2.3395,2.354,2.3197,2.3492,283707.94
2.349,2.3866,2.3256,2.328,490837.17
2.3274,2.354,2.3194,2.329,388732.23
2.3287,2.344,2.3221,2.3278,157730.74
2.328,2.331,2.3056,2.3224,233586.37
2.3226,2.3249,2.2954,2.3041,206059.97
2.3043,2.3061,2.2782,2.2929,441720.84
2.2932,2.3057,2.289,2.3036,183903.59
2.3036,2.3176,2.295,2.3074,227511.5
2.3076,2.3092,2.2767,2.2806,267931.73
2.2804,2.31,2.2772,2.2987,320257.69
2.2989,2.3285,2.2908,2.3237,416867.24
2.3239,2.3327,2.3171,2.3226,259542.41
2.3229,2.3308,2.302,2.3093,363299.56
2.3089,2.3119,2.2851,2.2912,363298.37
2.2911,2.3055,2.2802,2.2999,246398.17
2.2999,2.3271,2.2923,2.3053,431668.31
2.3056,2.3248,2.2938,2.3155,349500.82
2.3151,2.3343,2.3021,2.3247,286321.11
2.3247,2.3424,2.3152,2.3175,352936.56
2.3179,2.3341,2.3057,2.3274,231204.34
2.3282,2.342,2.3203,2.3337,168352.01
2.3336,2.3601,2.3334,2.349,221236.7
2.3489,2.3527,2.3308,2.3456,222036.37
2.3451,2.3514,2.3328,2.3445,161992.88
2.3448,2.3579,2.3309,2.3483,232108.82
2.3478,2.362,2.3382,2.3538,188622.88
2.3541,2.361,2.3331,2.3427,221982.63
2.3421,2.3776,2.3409,2.3506,259135.15
2.3504,2.3521,2.3233,2.3245,305491.66
2.3244,2.3407,2.3169,2.3363,188710.28
2.3363,2.3381,2.3142,2.3241,177996.04
2.3243,2.3369,2.3211,2.3309,188380.89
2.3305,2.3486,2.3213,2.3329,216967.21
2.333,2.3692,2.3163,2.3198,506821.89
2.3197,2.3299,2.2979,2.299,375905.5
2.2992,2.3047,2.2508,2.2663,663698.35
2.2661,2.2759,2.2243,2.2371,523468.04
2.2371,2.2454,2.2003,2.2362,740006.12
2.236,2.2411,2.184,2.1926,585174.84
2.1925,2.1961,2.1512,2.1622,801731.21
2.1613,2.1714,2.1451,2.1626,497995.54
2.1625,2.1698,2.1469,2.1593,300570.55
2.1589,2.1623,2.1503,2.1597,250829.89
2.1595,2.1599,2.1097,2.1142,714649.43
2.1141,2.1181,2.0872,2.0983,864526.73
2.0982,2.1075,2.0826,2.0996,459561.89
2.0996,2.1099,2.0642,2.0794,546199.43
2.0795,2.0795,2.059,2.0706,405392.85
2.0707,2.1173,2.0697,2.1117,750821.69
2.1117,2.1477,2.1054,2.1371,631333.23
2.1377,2.1422,2.1181,2.1306,368044.56
2.1306,2.1469,2.1151,2.1294,300492.35
2.1293,2.1499,2.1232,2.1301,354876.81
2.1302,2.1453,2.1196,2.1345,302108.0
2.1342,2.1484,2.121,2.1292,336669.32
2.1291,2.194,2.1068,2.1677,980905.68
2.1671,2.2106,2.1532,2.1608,763964.3
2.1602,2.2043,2.1592,2.2011,521665.41
2.2013,2.2446,2.1887,2.2312,562717.4
2.2309,2.2908,2.2258,2.2891,805830.21
2.2902,2.3105,2.2666,2.2976,594862.42
2.2975,2.3205,2.2331,2.2424,1295140.76
2.2421,2.3858,2.213,2.3795,1536279.02
2.3779,2.3833,2.317,2.3558,947989.84
2.3548,2.4006,2.3516,2.3764,1008837.41
2.3754,2.405,2.35,2.3513,850010.24
2.3513,2.3652,2.2965,2.2974,684261.75
2.2977,2.3288,2.2972,2.3256,660064.07
2.3258,2.3651,2.3145,2.3334,497730.93
2.3333,2.3616,2.3066,2.3413,406500.68
2.3414,2.3857,2.3392,2.3826,443588.27
2.3823,2.4485,2.381,2.413,1249623.31
2.4133,2.4463,2.3737,2.4335,1425161.41
2.4329,2.4692,2.4072,2.4187,1576868.79
2.4184,2.4357,2.3608,2.3621,1032413.46
2.3631,2.3773,2.3202,2.3415,1157964.32
2.3423,2.3913,2.3245,2.3889,695652.85
2.3903,2.4509,2.3762,2.4288,1703942.46
2.429,2.479,2.4257,2.4709,1645235.59
2.4709,2.4986,2.4511,2.4723,2268272.55
2.4722,2.5,2.4101,2.4167,3079971.67
2.4169,2.4385,2.3861,2.4095,1719722.0
2.4089,2.4171,2.3683,2.3883,1271948.95
2.388,2.3965,2.361,2.3789,606926.67
2.3795,2.4844,2.3795,2.4417,3675924.09
2.4425,2.457,2.385,2.4474,1974418.26
2.4469,2.4792,2.3849,2.4151,2130918.91
2.4151,2.4368,2.3801,2.3934,1011716.72
2.3933,2.4271,2.388,2.4118,1039978.73
2.4117,2.4209,2.38,2.4198,966936.78
2.4193,2.4284,2.409,2.4161,670746.55
2.4159,2.4267,2.3904,2.4209,496583.08
2.4206,2.4251,2.4001,2.4134,287381.44
2.4135,2.4278,2.4085,2.4207,286244.12
2.4206,2.4207,2.3942,2.3983,303013.64
2.3979,2.4115,2.38,2.3829,460380.91
2.383,2.4093,2.3683,2.4084,765011.1
2.408,2.411,2.3758,2.3787,476203.56
2.3787,2.406,2.372,2.4027,298545.5
2.4027,2.4193,2.3898,2.404,310827.2
2.404,2.4141,2.3903,2.3918,412778.34
2.3918,2.4027,2.3791,2.3875,346899.67
2.3874,2.404,2.3672,2.3946,968174.22
2.3941,2.4164,2.3808,2.3914,746011.53
2.3914,2.4014,2.378,2.3897,454164.25
2.3901,2.3902,2.372,2.3729,396672.71
2.3731,2.3951,2.3668,2.373,808344.55
2.3728,2.4005,2.3131,2.3876,1774313.05
2.3875,2.3996,2.3421,2.3501,1081045.06
2.3501,2.3668,2.3177,2.3257,694475.92
2.3254,2.3256,2.2759,2.3074,1002649.8
2.3068,2.3303,2.2863,2.3084,550691.22
2.3078,2.3159,2.2715,2.2955,486094.78
2.2952,2.3149,2.2904,2.3139,335084.2
2.3139,2.331,2.2904,2.2991,396226.57
2.2988,2.3001,2.2807,2.2892,241800.74
2.2891,2.3028,2.286,2.2973,114361.82
2.2978,2.3142,2.2926,2.2954,139261.05
2.2956,2.3122,2.2764,2.2946,326674.37
2.2946,2.3145,2.2901,2.3121,171667.85
2.3115,2.3216,2.298,2.3098,334392.38
2.3098,2.3192,2.2798,2.2877,243592.62
2.288,2.3185,2.2756,2.2958,298880.41
2.2956,2.3071,2.2914,2.2923,166610.77
2.2936,2.3052,2.2894,2.3026,156150.6
2.3023,2.3065,2.2777,2.2846,255666.45
2.2852,2.2957,2.2458,2.266,668532.19
2.2659,2.3166,2.2617,2.312,493468.56
2.3124,2.3537,2.2998,2.3364,794116.63
2.336,2.346,2.316,2.3267,385571.84
2.3267,2.3289,2.2969,2.305,277678.97
2.3051,2.3275,2.2968,2.3018,349609.49
2.3021,2.3699,2.3019,2.3225,803205.73
2.3228,2.3655,2.3007,2.3507,539924.08
2.3499,2.361,2.3086,2.3148,392591.72
2.3153,2.3405,2.3069,2.3333,370477.38
2.3333,2.3443,2.2898,2.2945,442977.64
2.2944,2.2956,2.204,2.2094,1127228.16
2.2093,2.2097,2.149,2.1544,1397861.46
2.1542,2.1868,2.141,2.1779,720695.57
2.1773,2.2031,2.1654,2.1969,415842.07
2.1971,2.1972,2.1782,2.1877,252829.34
2.1877,2.2072,2.1641,2.1818,407794.4
2.1814,2.1974,2.179,2.1862,249551.44
2.1857,2.194,2.1712,2.1739,296371.94
2.1739,2.1812,2.1492,2.1634,357916.42
2.1626,2.2216,2.1514,2.1909,461981.08
2.1901,2.1957,2.1715,2.176,243279.87
2.1754,2.195,2.1714,2.1933,292486.69
2.1926,2.1969,2.1749,2.1757,157525.78
2.1751,2.2137,2.1719,2.2053,461087.21
2.2054,2.2104,2.1874,2.2043,264265.03
2.2044,2.2152,2.1953,2.2018,222707.81
2.2021,2.2148,2.1978,2.2113,164611.91
2.2122,2.2173,2.2003,2.2082,223104.35
2.2082,2.2242,2.1965,2.2053,184178.01
2.2053,2.2167,2.1404,2.1741,761105.8
2.174,2.2366,2.1662,2.2056,828955.3
2.2049,2.211,2.138,2.1448,501560.04
2.1454,2.1638,2.1144,2.1561,496871.43
2.1563,2.2208,2.1474,2.2054,722991.89
2.2047,2.2279,2.1648,2.2194,517321.35
2.2194,2.254,2.2071,2.2276,630420.31
2.2281,2.2523,2.22,2.2461,349097.42
2.2464,2.2753,2.2441,2.2556,259809.24
2.2556,2.2747,2.2514,2.2665,227283.4
2.266,2.2739,2.2253,2.2293,197361.1
2.2293,2.2308,2.2072,2.217,255242.62
2.2177,2.2186,2.1984,2.2051,194843.63
2.2051,2.2217,2.1995,2.2071,205667.19
2.2071,2.2204,2.1984,2.202,147582.87
2.2027,2.2036,2.1644,2.1769,266586.89
2.1774,2.197,2.1656,2.1879,218150.85
2.1883,2.1923,2.1704,2.177,214625.18
2.1776,2.1922,2.1724,2.175,162970.18
2.1756,2.1874,2.1671,2.1812,286277.05
2.1812,2.1881,2.1688,2.1834,222176.08
2.1835,2.1984,2.172,2.1838,291928.71
2.1848,2.1936,2.171,2.1731,286008.44
2.1731,2.1843,2.159,2.1638,250416.04
2.1633,2.1881,2.1573,2.1869,288989.05
2.1862,2.2027,2.1729,2.1823,304880.92
2.1823,2.1939,2.1646,2.1866,272119.89
2.1866,2.2137,2.1811,2.1838,607265.82
2.1834,2.2078,2.1747,2.2037,718691.21
2.2038,2.2246,2.1895,2.1918,435135.65
2.1914,2.1942,2.1731,2.1813,362409.61
2.1811,2.1811,2.1647,2.1763,255006.13
2.1763,2.1894,2.1737,2.1879,158083.62
2.188,2.2166,2.1816,2.2147,219821.82
2.215,2.229,2.2033,2.2131,287668.68
