open,high,low,close,volume
0.3688,0.3695,0.3677,0.369,5912134.0
0.3691,0.3703,0.3679,0.3691,6261105.0
0.3692,0.372,0.3682,0.3693,12323959.0
0.3693,0.3701,0.3682,0.3694,6403221.0
0.3695,0.3707,0.3675,0.368,8278670.0
0.3681,0.3684,0.3589,0.3595,27851619.0
0.3594,0.3611,0.3534,0.3571,53472096.0
0.3572,0.3574,0.3497,0.3509,42672076.0
0.3509,0.3538,0.3487,0.3522,34437785.0
0.3522,0.3561,0.3514,0.3515,27276602.0
0.3516,0.3572,0.3503,0.3542,25273572.0
0.3541,0.3604,0.3528,0.3602,21383821.0
0.3602,0.3615,0.3579,0.36,11699880.0
0.3601,0.3646,0.3596,0.3645,18133802.0
0.3645,0.3645,0.3618,0.3643,14588398.0
0.3643,0.3652,0.3608,0.364,12138432.0
0.3639,0.3676,0.3631,0.366,14762713.0
0.366,0.3662,0.3623,0.3625,10485254.0
0.3624,0.3632,0.3609,0.3611,8999699.0
0.3611,0.3627,0.3607,0.3613,8544947.0
0.3612,0.3619,0.3592,0.3601,9957381.0
0.3602,0.3612,0.3563,0.3573,13283994.0
0.3574,0.3602,0.3552,0.3589,16212450.0
0.359,0.3599,0.3577,0.359,7155582.0
0.359,0.3594,0.357,0.3591,7503298.0
0.3591,0.3596,0.357,0.3576,7443868.0
0.3576,0.3597,0.357,0.3595,8668997.0
0.3596,0.3601,0.357,0.357,7945209.0
0.357,0.3579,0.3476,0.3489,42070948.0
0.349,0.3499,0.3457,0.3473,33011367.0
0.3473,0.3496,0.3423,0.3432,44406194.0
0.3432,0.3439,0.3333,0.3391,77290448.0
0.3392,0.3458,0.3345,0.3454,43449399.0
0.3454,0.3524,0.3429,0.3505,33125614.0
0.3504,0.3541,0.3478,0.3488,20836993.0
0.3488,0.3495,0.3454,0.347,11930074.0
0.3471,0.3521,0.346,0.3493,20386249.0
0.3492,0.3495,0.343,0.344,15805044.0
0.344,0.3458,0.3249,0.3284,104438726.0
0.3283,0.3297,0.297,0.3118,285630939.0
0.3118,0.3143,0.304,0.3133,101445151.0
0.3133,0.3137,0.3057,0.3075,50173208.0
0.3075,0.3127,0.3062,0.3099,37488758.0
0.3099,0.3119,0.2976,0.3034,123026068.0
0.3035,0.3052,0.275,0.2901,304757016.0
0.2901,0.3096,0.2882,0.3076,99857684.0
0.3076,0.3087,0.2981,0.2999,56895340.0
0.2999,0.3034,0.2974,0.3015,38510398.0
0.3015,0.3021,0.2905,0.295,53292517.0
0.2951,0.2961,0.2849,0.2957,74976509.0
0.2956,0.298,0.2837,0.2863,82903030.0
0.2862,0.3074,0.2816,0.3043,111660554.0
0.3043,0.3191,0.3042,0.3168,81930954.0
0.3169,0.3209,0.3132,0.3193,52003044.0
0.3193,0.3244,0.3164,0.3165,54843304.0
0.3165,0.3214,0.3143,0.3189,29949242.0
0.319,0.3192,0.3075,0.308,35023474.0
0.308,0.3126,0.3059,0.31,40978939.0
0.3099,0.3152,0.3093,0.3138,25255292.0
0.3138,0.3183,0.3113,0.3134,19944501.0
0.3135,0.3188,0.3128,0.3174,16745664.0
0.3173,0.3198,0.3113,0.3117,22642548.0
0.3117,0.3272,0.3113,0.3263,58521869.0
0.3263,0.3307,0.323,0.3271,38557207.0
0.3272,0.3292,0.3247,0.3269,24196573.0
0.3269,0.327,0.3239,0.3253,14951202.0
0.3252,0.3278,0.324,0.327,15983435.0
0.3271,0.3321,0.3256,0.3315,17450963.0
0.3315,0.3328,0.3283,0.3311,18942573.0
0.3312,0.3344,0.3292,0.3334,23023598.0
0.3334,0.3334,0.3233,0.3259,33154795.0
0.3258,0.3259,0.3217,0.3252,27539414.0
0.3252,0.3259,0.3221,0.323,19154328.0
0.3231,0.3254,0.3211,0.3236,17545995.0
0.3237,0.3266,0.3207,0.322,20210668.0
0.3219,0.3257,0.319,0.3233,42288916.0
0.3232,0.3366,0.3226,0.3328,68316831.0
0.3329,0.3354,0.3279,0.3325,27926789.0
0.3325,0.3368,0.3312,0.3345,17383215.0
0.3345,0.3359,0.3305,0.3305,13459093.0
0.3304,0.3349,0.3303,0.3325,13424860.0
0.3325,0.3344,0.3303,0.3312,12220485.0
