open,high,low,close,volume
0.4044,0.405,0.4008,0.4019,4964761.0
0.402,0.4054,0.4006,0.403,4008193.7
0.403,0.4107,0.4028,0.4071,5259704.5
0.407,0.407,0.4014,0.4038,3836479.7
0.4038,0.406,0.4004,0.401,3884564.3
0.401,0.4029,0.3884,0.389,8926803.9
0.389,0.3909,0.3781,0.384,17119543.9
0.384,0.3845,0.3701,0.3718,14359384.1
0.3718,0.3741,0.3642,0.3676,12125678.7
0.3676,0.3724,0.3649,0.3653,7857901.3
0.3654,0.3708,0.3625,0.3646,8254506.5
0.3645,0.3727,0.3628,0.3711,6038714.2
0.3711,0.3722,0.3672,0.3683,3415241.5
0.3684,0.3715,0.3664,0.3689,3854172.3
0.3688,0.3754,0.3671,0.3752,4754431.4
0.3753,0.3759,0.3685,0.3727,3596148.0
0.3727,0.381,0.3719,0.3793,3961858.7
0.3793,0.3796,0.3761,0.3781,3131704.3
0.3781,0.3812,0.3763,0.3769,2869683.1
0.3768,0.3815,0.3767,0.3801,2001361.6
0.3801,0.3831,0.3796,0.3814,1859903.0
0.3814,0.3815,0.3744,0.3753,3963779.1
0.3754,0.3796,0.3721,0.3776,4719399.0
0.3776,0.3802,0.3762,0.3783,2901615.1
0.3782,0.3804,0.3756,0.3803,2389821.6
0.3803,0.3818,0.3776,0.3785,2208107.8
0.3784,0.383,0.3775,0.3825,1811444.6
0.3826,0.3834,0.3794,0.3796,2442706.8
0.3795,0.3804,0.3648,0.3676,10154806.8
0.3677,0.368,0.3601,0.3613,9528351.3
0.3614,0.3648,0.351,0.3519,18121137.4
0.3519,0.3602,0.3452,0.3569,18278504.4
0.3569,0.3659,0.3512,0.3642,12033290.8
0.3643,0.3766,0.3604,0.3739,12162737.0
0.3738,0.3804,0.3717,0.3791,7262941.7
0.379,0.3807,0.3751,0.3775,6810192.0
0.3775,0.3841,0.3757,0.3769,7940409.2
0.3767,0.3767,0.3674,0.3686,6008049.2
0.3686,0.3714,0.3489,0.354,22410569.1
0.3539,0.3552,0.3005,0.3225,79717974.1
0.3224,0.3236,0.3106,0.3185,32785595.0
0.3185,0.3188,0.3063,0.3089,26171329.5
0.3089,0.3182,0.3073,0.3128,22427881.9
0.3127,0.3148,0.2976,0.3074,32466350.3
0.3074,0.3095,0.2741,0.2961,65237423.3
0.2962,0.3073,0.2934,0.3029,22615222.8
0.3029,0.3041,0.2934,0.296,17178825.3
0.296,0.2974,0.2881,0.2927,16739777.1
0.2927,0.2934,0.2801,0.283,21187856.8
0.283,0.2835,0.2686,0.2798,29218191.4
0.2798,0.284,0.2731,0.2756,26128706.4
0.2756,0.2955,0.2706,0.2947,32814080.5
0.2947,0.3077,0.2947,0.3029,32099664.6
0.303,0.3075,0.299,0.3042,14000077.2
0.3042,0.3108,0.2987,0.2999,18517908.0
0.2999,0.3056,0.2991,0.3025,8090969.4
0.3025,0.3031,0.2931,0.2933,7921716.7
0.2934,0.2991,0.2917,0.2954,10364529.8
0.2954,0.3007,0.2951,0.2982,6615730.5
0.2981,0.3022,0.2951,0.2973,5577031.3
0.2974,0.3029,0.2963,0.301,5938741.0
0.3011,0.3045,0.2972,0.2976,6019533.8
0.2976,0.3184,0.2971,0.3184,16382064.7
0.3184,0.3271,0.3165,0.3205,15271942.2
0.3205,0.3234,0.3162,0.3201,10432587.7
0.32,0.3209,0.3142,0.3144,6918809.6
0.3144,0.3225,0.3129,0.3214,8531088.3
0.3214,0.3288,0.3191,0.3273,9732351.4
0.3273,0.3305,0.3235,0.3286,8267351.5
0.3286,0.3296,0.3238,0.3275,6317906.7
0.3274,0.3275,0.3145,0.3187,10724555.8
0.3187,0.3201,0.3152,0.3193,7809823.9
0.3193,0.32,0.3151,0.3179,6084162.1
0.318,0.3188,0.3141,0.3159,7877170.6
0.316,0.3213,0.3148,0.3186,10380734.4
0.3186,0.3244,0.3156,0.3222,10839166.9
0.3221,0.3437,0.322,0.3394,16892800.5
0.3394,0.343,0.3342,0.3418,9513188.3
0.3417,0.3447,0.3362,0.3399,7506854.8
0.34,0.3461,0.3369,0.3371,11146560.7
0.3371,0.3398,0.3355,0.3363,5129991.4
0.3363,0.3376,0.3332,0.3345,3505740.4
0.3343,0.3365,0.3314,0.3347,4686448.1
0.3347,0.3373,0.3327,0.337,2197317.4
0.3369,0.3414,0.3328,0.336,5711164.0
0.336,0.3384,0.3324,0.3353,3751792.0
0.3353,0.3377,0.3301,0.3352,6681772.7
0.3352,0.341,0.3287,0.3406,7416133.9
0.3406,0.3467,0.3381,0.34,6655678.7
0.34,0.3434,0.3389,0.343,4243156.7
0.343,0.3487,0.3428,0.3454,5862665.4
0.3453,0.3497,0.3437,0.3439,5154640.3
0.3438,0.3466,0.3419,0.3422,5138614.5
0.3423,0.3442,0.3392,0.3422,3477923.3
0.3421,0.3446,0.3393,0.3412,4313792.1
0.3413,0.3448,0.3394,0.3404,4672667.9
0.3403,0.345,0.3384,0.3389,4618944.4
0.3388,0.3394,0.3336,0.3341,5027989.7
0.3342,0.3398,0.3323,0.3394,5240191.5
0.3392,0.3414,0.3348,0.3366,7626297.1
0.3366,0.3382,0.3205,0.3259,13496828.7
0.3259,0.3298,0.3235,0.3258,6406435.2
0.3258,0.3275,0.3233,0.3257,5739068.1
0.3257,0.3276,0.3208,0.3253,5407069.2
