open,high,low,close,volume
0.8067,0.8091,0.8014,0.8014,125382.0
0.8014,0.8047,0.7972,0.8029,167547.0
0.8029,0.8121,0.802,0.8061,92418.0
0.8061,0.8068,0.8015,0.8028,52431.0
0.8027,0.8065,0.8006,0.8015,76104.0
0.8015,0.8021,0.7609,0.7657,737623.0
0.766,0.7685,0.746,0.7534,631769.0
0.7537,0.7537,0.7367,0.7411,359748.0
0.7412,0.7448,0.7331,0.7379,241412.0
0.738,0.7474,0.7348,0.7361,214999.0
0.7361,0.7429,0.7302,0.7339,178421.0
0.734,0.7472,0.7317,0.7462,143151.0
0.7465,0.7486,0.7416,0.7416,66686.0
0.7419,0.746,0.7374,0.7434,89997.0
0.7432,0.7504,0.7409,0.7485,114986.0
0.7485,0.7501,0.7396,0.7483,115512.0
0.7484,0.7627,0.7479,0.7578,88775.0
0.758,0.7585,0.754,0.7572,47454.0
0.7575,0.7612,0.7546,0.7547,60025.0
0.7549,0.7581,0.7543,0.7553,59913.0
0.7548,0.7595,0.7536,0.7581,85198.0
0.7582,0.7582,0.7441,0.7453,108109.0
0.7452,0.7657,0.7409,0.7629,386778.0
0.7629,0.7644,0.7458,0.7488,953356.0
0.7489,0.7539,0.7448,0.7515,335689.0
0.7516,0.7535,0.7468,0.7508,181796.0
0.7506,0.7576,0.7489,0.7573,190530.0
0.7572,0.7596,0.751,0.7538,130455.0
0.7538,0.7547,0.7277,0.7311,562490.0
0.7311,0.7311,0.7201,0.7232,428328.0
0.7235,0.7282,0.7106,0.7125,450680.0
0.7121,0.7183,0.6936,0.7083,764976.0
0.7083,0.7236,0.7019,0.7213,315362.0
0.7212,0.7439,0.7171,0.7386,311410.0
0.7386,0.7492,0.7298,0.7369,224661.0
0.7369,0.7374,0.7307,0.7324,112372.0
0.7324,0.7408,0.7291,0.7326,452982.0
0.7323,0.7332,0.7207,0.7225,159334.0
0.7225,0.7294,0.6832,0.6941,721246.0
0.6938,0.6957,0.6114,0.6468,2300544.0
0.6468,0.6514,0.6259,0.6505,968347.0
0.6507,0.6507,0.635,0.6382,470528.0
0.6383,0.6505,0.6375,0.6427,347845.0
0.643,0.6472,0.6165,0.6318,951167.0
0.6322,0.6358,0.58,0.6108,1788346.0
0.6112,0.645,0.6073,0.6363,721009.0
0.6363,0.6393,0.6219,0.6281,497197.0
0.6278,0.6349,0.6193,0.632,402158.0
0.632,0.6322,0.6077,0.6124,614060.0
0.6124,0.6144,0.5896,0.6136,970147.0
0.6134,0.6208,0.5965,0.6021,992082.0
0.6019,0.6435,0.5928,0.6407,1332809.0
0.6412,0.6748,0.6412,0.6694,931041.0
0.6697,0.6843,0.6622,0.6793,499109.0
0.6795,0.6941,0.675,0.68,590453.0
0.6802,0.6909,0.6754,0.6817,303619.0
0.682,0.6833,0.6577,0.6583,340294.0
0.6581,0.669,0.6542,0.6641,485069.0
0.6643,0.6719,0.6607,0.6675,312259.0
0.6673,0.6756,0.6602,0.6644,263400.0
0.6647,0.6735,0.6615,0.6705,133864.0
0.6705,0.6746,0.6594,0.6605,163660.0
0.6603,0.7004,0.6589,0.7004,670272.0
0.7002,0.7091,0.6915,0.6969,342126.0
0.6962,0.7023,0.6921,0.6976,196396.0
0.6977,0.6977,0.686,0.6868,248612.0
0.6871,0.6976,0.6837,0.6954,256472.0
0.6959,0.7081,0.6934,0.7078,196467.0
0.7076,0.7114,0.7017,0.7072,154586.0
0.707,0.7105,0.7008,0.7084,181932.0
