open,high,low,close,volume
0.1252,0.1256,0.1248,0.1255,2033969.7
0.1254,0.1256,0.1246,0.125,2588303.9
0.125,0.1264,0.1247,0.1255,2924485.4
0.1255,0.1256,0.1248,0.1252,2187871.0
0.1252,0.1256,0.1247,0.1248,2834645.8
0.1249,0.125,0.1212,0.1213,9071460.2
0.1213,0.1215,0.1189,0.1197,17917339.5
0.1196,0.1197,0.1174,0.118,12423419.6
0.118,0.1184,0.1165,0.117,11208210.1
0.117,0.1187,0.1169,0.117,6887621.1
0.1171,0.1185,0.1167,0.1174,5545425.0
0.1175,0.1196,0.1172,0.1192,6141413.2
0.1193,0.1206,0.1189,0.1203,4579244.3
0.1204,0.1208,0.1195,0.1204,4868048.1
0.1204,0.1213,0.1201,0.1211,4544823.4
0.1212,0.1214,0.1197,0.1211,6036141.8
0.1211,0.1225,0.1209,0.1217,3212042.1
0.1218,0.1223,0.1215,0.1218,2083215.0
0.1218,0.122,0.1207,0.1211,3883234.9
0.121,0.1215,0.1203,0.1214,2157738.2
0.1213,0.1216,0.121,0.1214,1655226.5
0.1213,0.1215,0.1198,0.12,3351633.4
0.1201,0.1207,0.1192,0.1202,4162391.9
0.1202,0.1207,0.1198,0.1202,1678874.2
0.1202,0.1205,0.1198,0.1205,2368382.1
0.1204,0.1206,0.1199,0.1204,2051927.1
0.1204,0.1208,0.1199,0.1207,2029172.1
0.1206,0.1209,0.1197,0.1197,2121330.4
0.1197,0.12,0.1155,0.1162,12768969.8
0.1162,0.1162,0.114,0.1146,11906884.1
0.1145,0.1149,0.1127,0.113,11662947.7
0.1129,0.1131,0.1096,0.1125,22477574.7
0.1124,0.1144,0.1111,0.1143,10496378.5
0.1142,0.1167,0.1131,0.1159,10674279.6
0.1159,0.1169,0.1149,0.1156,6047390.2
0.1157,0.1158,0.1145,0.1149,3135501.3
0.115,0.1168,0.1147,0.116,6771155.9
0.1159,0.116,0.1141,0.1145,5169210.8
0.1146,0.1156,0.1088,0.1101,33054141.4
0.11,0.1104,0.0928,0.1026,107009170.8
0.1026,0.104,0.0996,0.1038,43971191.3
0.1038,0.1039,0.1018,0.1019,20201162.2
0.102,0.1041,0.1018,0.1029,16565938.4
0.1029,0.1035,0.0989,0.1014,47660631.8
0.1015,0.1021,0.0933,0.0988,88137993.5
0.0988,0.1063,0.0982,0.1054,35565302.2
0.1054,0.1055,0.1025,0.1034,26955954.7
0.1033,0.1043,0.1017,0.1031,19482843.4
0.1031,0.1031,0.0987,0.0995,24480314.5
0.0996,0.1,0.0964,0.0998,34017436.0
0.0999,0.101,0.0967,0.0976,40180445.7
0.0976,0.1046,0.0961,0.1041,57378421.7
0.1041,0.1095,0.1041,0.1089,41737287.7
0.1089,0.1118,0.1077,0.1114,25208836.6
0.1114,0.1143,0.1109,0.1113,24053866.1
0.1114,0.1131,0.1111,0.1121,14852280.8
0.112,0.1122,0.1082,0.1082,17598565.7
0.1082,0.1104,0.108,0.1093,27076749.7
0.1093,0.111,0.1092,0.1106,13417149.6
0.1105,0.1118,0.1097,0.1101,10952055.7
0.1101,0.1122,0.1101,0.1114,7302057.6
0.1114,0.1121,0.1097,0.11,7533670.8
0.11,0.1148,0.1098,0.1148,17733363.9
0.1147,0.116,0.1133,0.1142,13042867.4
0.1142,0.1144,0.1131,0.1142,6719099.2
0.1142,0.1146,0.1137,0.1139,6736543.1
0.1139,0.1145,0.1132,0.114,7339935.9
0.114,0.1153,0.1132,0.115,6299685.4
0.1149,0.1157,0.1144,0.1151,6558093.8
0.1151,0.1157,0.114,0.1154,8721539.0
0.1153,0.1154,0.1119,0.1124,12735612.4
0.1124,0.1125,0.1111,0.112,12516391.4
0.112,0.1123,0.1109,0.1118,7787093.7
0.1117,0.1118,0.1107,0.1112,8050286.6
0.1111,0.1117,0.1097,0.1101,11355440.2
0.1101,0.1115,0.109,0.1109,22974402.1
0.1108,0.1152,0.1107,0.1142,24159091.9
0.1142,0.1153,0.1132,0.1149,12970936.9
0.1149,0.1161,0.1143,0.1147,11408091.4
0.1146,0.1151,0.1131,0.1132,8771368.7
0.1131,0.1146,0.113,0.1134,6082270.6
0.1133,0.1142,0.1128,0.1131,5587636.7
0.1131,0.1135,0.1119,0.1122,9666462.4
0.1123,0.1133,0.1119,0.1131,3981567.1
0.1132,0.1141,0.1118,0.1125,11711918.9
0.1126,0.113,0.1114,0.1125,11003859.4
0.1125,0.1137,0.1116,0.1131,11809725.1
0.1132,0.1152,0.1116,0.115,12052271.3
0.1149,0.1153,0.1134,0.114,7792319.2
0.1141,0.1152,0.114,0.1149,5567709.1
0.115,0.116,0.1147,0.115,4942323.1
0.115,0.1158,0.1145,0.1149,5739576.5
0.1149,0.1156,0.1145,0.1149,5255017.3
0.1148,0.1158,0.1142,0.1153,5784709.4
0.1153,0.1161,0.115,0.116,5004972.5
0.1159,0.1168,0.1155,0.1159,6740009.6
0.1159,0.1172,0.1156,0.1158,4982123.2
0.1157,0.1158,0.1144,0.1145,7897207.3
0.1146,0.1156,0.1137,0.1155,9298936.5
0.1156,0.1164,0.1145,0.1148,12421079.1
0.1148,0.1151,0.1104,0.1121,25749157.6
0.112,0.1132,0.1113,0.1123,15443286.7
0.1123,0.1125,0.1113,0.1122,9954631.0
0.1121,0.1127,0.1106,0.1118,10756190.3
0.1118,0.1123,0.1101,0.1106,13814636.0
0.1106,0.1112,0.1095,0.1105,13331656.7
0.1105,0.1112,0.1084,0.11,19921969.4
0.11,0.1106,0.1092,0.1103,8751965.3
0.1102,0.1104,0.1083,0.1101,9614656.7
0.1102,0.1106,0.1093,0.1097,5474178.9
0.1097,0.1103,0.1074,0.1091,13702692.4
0.1092,0.1132,0.109,0.113,18329176.8
0.1129,0.1152,0.1129,0.1148,11665070.1
0.1148,0.1154,0.1133,0.1134,6190161.0
0.1134,0.1143,0.1128,0.1129,7417951.3
0.1128,0.114,0.1128,0.1136,3536665.5
0.1137,0.1143,0.113,0.1136,4735009.9
0.1137,0.1137,0.1125,0.1128,6182605.9
0.1129,0.1138,0.1127,0.1134,6100032.7
0.1135,0.1138,0.1129,0.1132,5612146.0
0.1131,0.1135,0.1126,0.1133,5547195.1
0.1133,0.1136,0.1129,0.1131,3831432.5
0.1131,0.1164,0.1128,0.1145,15320774.3
0.1146,0.1153,0.1128,0.114,15323498.8
0.114,0.1164,0.1138,0.1163,12506772.0
0.1164,0.1176,0.1159,0.1175,11900858.6
0.1175,0.119,0.1174,0.1181,12982379.3
0.1181,0.1187,0.1174,0.1179,6146662.0
0.1179,0.1181,0.1175,0.1178,3233198.9
0.1177,0.1181,0.1167,0.117,5317513.9
0.1171,0.1178,0.1168,0.1176,3103928.8
0.1176,0.1204,0.1175,0.1202,4555033.7
0.1203,0.1222,0.1195,0.1218,10423590.3
0.1218,0.1227,0.1212,0.1221,10620309.9
0.1221,0.1222,0.1206,0.1211,10469519.3
0.1211,0.1211,0.1204,0.1205,4646972.9
0.1205,0.1209,0.1199,0.12,3359431.5
0.12,0.1204,0.1198,0.1203,2424204.7
0.1203,0.1205,0.119,0.119,5768682.7
0.119,0.1206,0.1189,0.1206,3562903.5
0.1206,0.1211,0.12,0.1207,3836070.7
0.1207,0.1212,0.1206,0.1207,4569186.9
0.1208,0.1212,0.1205,0.1208,3618145.8
0.1208,0.1211,0.1198,0.1201,3909588.3
0.1201,0.1202,0.1189,0.1199,6601153.3
0.12,0.1205,0.1194,0.1199,4308628.7
0.1199,0.1199,0.1187,0.1194,4788931.4
0.1193,0.1198,0.1181,0.1198,8384081.5
0.1197,0.1219,0.1178,0.1197,19876105.5
0.1198,0.1201,0.1184,0.1186,7553670.5
0.1185,0.1193,0.118,0.119,6231804.0
0.119,0.1195,0.1186,0.1188,3507772.8
0.1187,0.1192,0.1183,0.1189,3496420.0
0.1189,0.1192,0.1185,0.119,2538339.8
0.119,0.1199,0.1189,0.1191,2635616.6
0.1191,0.1194,0.118,0.1192,3823844.6
0.1192,0.1199,0.1185,0.1195,4861122.3
0.1195,0.1202,0.1187,0.1201,4068559.6
0.12,0.1212,0.1187,0.1187,6532488.6
0.1188,0.1196,0.1185,0.1186,3661477.6
0.1186,0.1192,0.1184,0.1188,2051606.1
0.1187,0.1189,0.118,0.1188,2698095.4
0.1188,0.1189,0.118,0.1185,2727274.1
0.1186,0.119,0.1183,0.1187,2176081.1
0.1186,0.1194,0.1183,0.1191,1998200.8
0.1191,0.12,0.119,0.12,2351259.8
0.1199,0.12,0.1191,0.1193,2715364.8
0.1193,0.1202,0.1187,0.1197,2717600.4
0.1197,0.1206,0.1192,0.1205,3379953.8
0.1204,0.1206,0.1201,0.1205,2521164.6
0.1205,0.1205,0.1198,0.1201,2322353.9
0.12,0.1201,0.1192,0.1193,2504690.7
0.1193,0.1198,0.1192,0.1194,2249138.1
0.1195,0.1206,0.1193,0.1198,2828960.8
0.1197,0.1205,0.1195,0.1202,2859129.2
0.1202,0.1208,0.12,0.1205,1615301.7
0.1205,0.1211,0.1201,0.1206,2943305.0
0.1207,0.1218,0.1205,0.1217,2720397.2
0.1218,0.1223,0.1211,0.122,3108451.3
0.122,0.1225,0.122,0.1223,1250734.5
0.1222,0.1223,0.1213,0.1214,1817299.4
0.1214,0.1215,0.1208,0.1209,1876409.4
0.1209,0.1209,0.1203,0.1204,2437687.5
0.1204,0.1212,0.1203,0.121,2281421.6
0.121,0.1213,0.1207,0.1208,1879235.4
0.1208,0.1222,0.1206,0.1215,2450977.5
0.1214,0.1219,0.121,0.1213,1631696.6
0.1213,0.1221,0.1212,0.1219,1459283.0
0.1219,0.1228,0.1218,0.122,2855422.3
0.1219,0.1228,0.1219,0.1224,1888724.8
0.1224,0.123,0.1221,0.1227,2770606.8
0.1228,0.1241,0.1222,0.1226,3615383.2
0.1226,0.1231,0.1222,0.1224,2341471.8
0.1225,0.1226,0.1208,0.1212,4912823.8
0.1212,0.1212,0.1199,0.1205,5151680.8
0.1204,0.1205,0.1194,0.1202,3935089.4
0.1202,0.1202,0.1182,0.1185,4835753.4
0.1186,0.1191,0.1179,0.1187,4205740.0
0.1187,0.1191,0.1176,0.1186,5418484.6
0.1187,0.1193,0.1183,0.1187,2168320.0
0.1188,0.119,0.1182,0.1185,1848762.8
0.1186,0.1186,0.1167,0.1168,6160527.0
0.1167,0.117,0.1154,0.1158,9932759.8
0.1158,0.1164,0.115,0.1161,4562395.1
0.1162,0.1165,0.1147,0.1156,5911084.4
0.1156,0.1158,0.115,0.1151,2940332.8
0.1151,0.1165,0.1149,0.1159,8444147.3
0.1159,0.1166,0.1155,0.1163,3829361.2
0.1163,0.1167,0.1157,0.1165,2750577.6
0.1166,0.1168,0.1159,0.1163,3017452.4
0.1163,0.1166,0.1158,0.1159,2740794.7
0.1159,0.1162,0.1155,0.1161,3243587.8
0.116,0.1162,0.115,0.1154,3334248.2
0.1153,0.1176,0.1141,0.1172,9219609.9
0.1171,0.1182,0.1166,0.1169,5628532.4
0.1169,0.1176,0.1165,0.1173,4699662.3
0.1172,0.1185,0.1166,0.1184,4367647.3
0.1183,0.1205,0.118,0.1203,7832333.0
0.1202,0.1205,0.1192,0.1194,4645056.8
0.1195,0.1196,0.1157,0.1157,17133835.6
0.1157,0.1202,0.1146,0.12,28098566.0
0.1199,0.1208,0.1176,0.1198,14556205.8
0.1199,0.1206,0.1194,0.1199,5519657.4
0.1199,0.1204,0.1193,0.1193,3215078.8
0.1194,0.1201,0.1173,0.1175,4965794.0
