open,high,low,close,volume
0.6763,0.6808,0.6744,0.6802,1706874.0
0.6803,0.6868,0.6786,0.6843,1701003.0
0.6842,0.6901,0.6816,0.6856,2498122.0
0.6856,0.689,0.6833,0.6842,1705385.0
0.6842,0.689,0.6792,0.6809,1836631.0
0.6809,0.685,0.6596,0.6607,5139255.0
0.6606,0.6619,0.6362,0.6432,12964234.0
0.6432,0.6438,0.6226,0.6263,9917097.0
0.6263,0.6298,0.6158,0.6189,6941400.0
0.6189,0.6268,0.6142,0.6144,5978374.0
0.6145,0.622,0.6096,0.6127,5346479.0
0.6127,0.6269,0.6102,0.6263,3725237.0
0.6264,0.6303,0.6209,0.6234,2854798.0
0.6235,0.6312,0.6214,0.6279,2366108.0
0.6278,0.6372,0.6251,0.6352,2673789.0
0.6353,0.6367,0.6278,0.6339,1828252.0
0.6337,0.6457,0.6335,0.6419,1816947.0
0.642,0.6423,0.6345,0.6389,1407643.0
0.6387,0.6445,0.6375,0.6379,1586265.0
0.6379,0.6443,0.6379,0.6416,1068617.0
0.6416,0.6483,0.6413,0.6441,2560014.0
0.6442,0.6445,0.628,0.6299,3499043.0
0.6299,0.636,0.6245,0.6334,1915858.0
0.6334,0.6358,0.6311,0.6318,1118591.0
0.6318,0.6349,0.6271,0.6339,1218577.0
0.634,0.636,0.6308,0.6317,816958.0
0.6318,0.6386,0.6293,0.638,1459091.0
0.638,0.6396,0.6326,0.633,1297332.0
0.6329,0.6342,0.611,0.6166,5557119.0
0.6167,0.6168,0.6028,0.605,6002103.0
0.6051,0.6108,0.5932,0.5952,6000938.0
0.5953,0.5997,0.5802,0.5959,9064158.0
0.596,0.6061,0.5884,0.6044,4131055.0
0.6044,0.6207,0.5991,0.6157,3613590.0
0.6156,0.6245,0.6109,0.616,2561702.0
0.6161,0.6168,0.6096,0.6131,2080475.0
0.613,0.6224,0.6113,0.6183,3054418.0
0.6183,0.6183,0.6046,0.6072,2721364.0
0.6072,0.6138,0.5709,0.579,13432993.0
0.5788,0.5801,0.5022,0.5355,38757574.0
0.5356,0.5389,0.5199,0.5381,15177250.0
0.5379,0.5384,0.5245,0.5259,7830891.0
0.5259,0.5359,0.523,0.5277,5421261.0
0.5277,0.5322,0.5059,0.5194,18773077.0
0.5194,0.5226,0.4727,0.5043,36708516.0
0.5042,0.533,0.5008,0.5265,12179781.0
0.5266,0.5278,0.5125,0.5181,6427755.0
0.5181,0.5238,0.5124,0.5206,5371981.0
0.5205,0.5212,0.5004,0.5024,8853657.0
0.5024,0.504,0.4832,0.5032,15873078.0
0.5032,0.5087,0.4874,0.4943,16642014.0
0.4942,0.5351,0.4908,0.5321,21883905.0
0.5321,0.5595,0.5321,0.551,16355334.0
0.5511,0.5602,0.5452,0.5563,7421229.0
0.5562,0.5668,0.5487,0.55,8625675.0
0.55,0.5569,0.5466,0.5515,4747868.0
0.5515,0.5528,0.5347,0.5352,4241473.0
0.5352,0.547,0.5327,0.5433,7212461.0
0.5434,0.5506,0.5427,0.5473,3933294.0
0.5473,0.5559,0.5427,0.5474,4193576.0
0.5475,0.5542,0.5444,0.5514,2320866.0
0.5514,0.556,0.5457,0.5461,2359568.0
0.5462,0.5768,0.5451,0.5768,6834694.0
0.5767,0.5838,0.5692,0.5737,4724922.0
0.5736,0.5769,0.5675,0.5708,2575649.0
0.5708,0.5715,0.5637,0.5649,2615195.0
0.565,0.5684,0.5617,0.5668,2347101.0
0.5668,0.575,0.5639,0.5739,2632942.0
0.5739,0.5749,0.5666,0.5729,3475583.0
0.5727,0.5768,0.5698,0.576,2554684.0
0.5759,0.5759,0.556,0.56,5327190.0
0.56,0.5639,0.5556,0.5627,4077024.0
0.5625,0.565,0.5581,0.5616,2023716.0
0.5618,0.5641,0.557,0.5609,2449219.0
0.5608,0.567,0.5577,0.5595,3290509.0
0.5594,0.5658,0.5538,0.5637,5581486.0
0.5636,0.5848,0.5631,0.5746,9005861.0
0.5746,0.579,0.5692,0.5771,4279197.0
0.5772,0.584,0.5728,0.58,3275352.0
0.58,0.5814,0.5725,0.5729,1949601.0
0.5728,0.5812,0.5725,0.5762,2086042.0
0.5762,0.5794,0.5743,0.5759,1390601.0
0.5758,0.5795,0.5726,0.577,2068448.0
0.5769,0.5814,0.5751,0.5807,1165365.0
0.5806,0.5867,0.575,0.58,3096611.0
0.58,0.5813,0.5746,0.5768,1419047.0
0.5768,0.5802,0.5692,0.5764,2916259.0
0.5765,0.5872,0.5696,0.5856,3082941.0
0.5856,0.5919,0.5797,0.5833,3086286.0
0.5832,0.5883,0.5822,0.5857,1648035.0
0.5856,0.5939,0.5845,0.5887,2083844.0
0.5888,0.5958,0.5881,0.5894,1901841.0
0.5894,0.593,0.5858,0.5892,1440275.0
0.5892,0.5915,0.5845,0.589,1308294.0
0.5891,0.5946,0.5884,0.5932,1899771.0
0.5932,0.5983,0.591,0.594,2440152.0
0.594,0.6004,0.5922,0.5925,1680768.0
0.5924,0.5931,0.585,0.586,3122538.0
0.5861,0.5937,0.584,0.5924,2562705.0
0.5923,0.5944,0.5859,0.5881,3715774.0
0.5881,0.5899,0.5634,0.5712,9357447.0
0.5713,0.5777,0.5677,0.5717,5338498.0
0.5716,0.5728,0.5619,0.5649,4952247.0
0.5649,0.5669,0.5549,0.5614,5103958.0
0.5614,0.563,0.5503,0.5532,4646853.0
0.5533,0.5589,0.5522,0.558,3434456.0
0.5582,0.5658,0.5501,0.5598,5424226.0
0.56,0.5641,0.5574,0.5617,2334075.0
0.5616,0.5627,0.5515,0.5616,2444050.0
0.5617,0.5637,0.5561,0.5587,1400239.0
0.5588,0.5622,0.5487,0.5572,3705372.0
0.5573,0.5792,0.5571,0.5782,4939697.0
0.5779,0.5899,0.5777,0.5871,2454216.0
0.5873,0.5906,0.5814,0.5817,1322211.0
0.5818,0.5894,0.5818,0.5831,1407999.0
0.5832,0.5885,0.583,0.5867,1107137.0
0.5868,0.5913,0.584,0.5873,1719312.0
0.5874,0.5885,0.583,0.584,1819766.0
0.584,0.5867,0.5824,0.5852,1288625.0
0.5853,0.5859,0.5812,0.5821,1480378.0
0.5822,0.5846,0.5792,0.5822,1647639.0
0.5821,0.5832,0.5783,0.5788,1224431.0
0.5789,0.598,0.5759,0.5878,7204043.0
0.5878,0.5913,0.578,0.584,4512642.0
0.584,0.5954,0.5828,0.5943,4021975.0
0.5943,0.5971,0.59,0.5968,4570552.0
0.597,0.603,0.5961,0.5981,4945155.0
0.5981,0.6016,0.5951,0.5952,1803430.0
0.5952,0.597,0.5938,0.5958,980840.0
0.5957,0.5996,0.5949,0.5963,1453458.0
0.5963,0.5999,0.5961,0.5977,632249.0
0.5976,0.6138,0.5972,0.6124,2161635.0
0.6125,0.6194,0.6069,0.6171,4568009.0
0.6172,0.6208,0.6143,0.6185,2807395.0
0.6184,0.6185,0.6113,0.6137,2925506.0
0.6137,0.6152,0.6102,0.6129,1924203.0
0.6129,0.6145,0.6102,0.6105,927800.0
0.6105,0.6125,0.6092,0.611,855978.0
0.611,0.6116,0.6017,0.6017,1777085.0
0.6019,0.6055,0.5995,0.6052,1301528.0
0.6054,0.6074,0.6022,0.6063,1055727.0
0.6063,0.6108,0.6056,0.6067,1627756.0
0.6067,0.6108,0.6049,0.6099,1778212.0
0.6098,0.6114,0.6029,0.6051,2037998.0
0.6053,0.6123,0.602,0.6123,4942055.0
0.6124,0.6151,0.6091,0.6136,2926069.0
0.6136,0.6137,0.6027,0.6061,2707433.0
0.606,0.6086,0.5984,0.6047,2795183.0
0.6048,0.6151,0.5944,0.6037,4870136.0
0.6037,0.6066,0.5985,0.5987,1569560.0
0.5985,0.6065,0.5963,0.6057,1502517.0
0.6057,0.612,0.6051,0.6071,2559160.0
0.6071,0.6087,0.6043,0.608,851561.0
0.608,0.6111,0.6058,0.6089,640539.0
0.6089,0.6131,0.6078,0.6101,1024554.0
0.6101,0.6127,0.605,0.6119,1545894.0
0.6119,0.6148,0.6073,0.6122,2845209.0
0.6121,0.6146,0.6079,0.614,984240.0
0.614,0.6222,0.6087,0.6091,3070595.0
0.6091,0.6145,0.6074,0.61,1086640.0
0.6099,0.6151,0.6092,0.6124,835975.0
0.6125,0.6125,0.6082,0.6103,674109.0
0.6104,0.6108,0.6053,0.6094,1288463.0
0.6095,0.6096,0.606,0.607,724653.0
0.607,0.6093,0.6055,0.6093,683163.0
0.6093,0.6128,0.6086,0.6117,789675.0
0.6117,0.6128,0.605,0.6062,2525546.0
0.6061,0.6135,0.6049,0.6113,1753410.0
0.6115,0.6161,0.6104,0.6151,1057209.0
0.6151,0.6171,0.6138,0.6159,944654.0
0.6159,0.617,0.6133,0.6149,677769.0
0.6148,0.6154,0.6112,0.6116,907095.0
0.6116,0.617,0.6111,0.6168,890220.0
0.6169,0.6216,0.6162,0.6182,1777579.0
0.6182,0.6244,0.6179,0.6234,1555231.0
0.6233,0.6271,0.6205,0.6244,1667091.0
0.6243,0.6254,0.6209,0.6224,1482095.0
0.6224,0.625,0.6205,0.6237,646286.0
0.6237,0.6257,0.6206,0.6225,607709.0
0.6226,0.6261,0.6223,0.6254,573792.0
