open,high,low,close,volume
5.901,5.926,5.877,5.915,162498.6
5.914,5.947,5.897,5.942,217830.5
5.941,6.022,5.928,5.977,286733.8
5.978,5.998,5.958,5.977,142425.2
5.977,6.0,5.894,5.897,358501.2
5.897,5.906,5.724,5.741,861836.2
5.742,5.749,5.63,5.673,1350026.8
5.674,5.677,5.526,5.55,815702.3
5.552,5.564,5.472,5.495,1143140.4
5.494,5.546,5.471,5.477,457082.9
5.477,5.538,5.452,5.495,395904.8
5.495,5.59,5.488,5.586,436389.3
5.587,5.608,5.557,5.575,307678.9
5.576,5.601,5.546,5.574,230339.5
5.574,5.603,5.545,5.588,287950.2
5.588,5.591,5.521,5.57,253631.1
5.57,5.632,5.562,5.586,244981.5
5.586,5.587,5.556,5.579,154664.9
5.579,5.599,5.562,5.569,129567.6
5.569,5.601,5.55,5.588,207409.9
5.587,5.601,5.573,5.584,111096.4
5.584,5.594,5.515,5.523,216164.7
5.521,5.598,5.491,5.566,302794.4
5.566,5.572,5.546,5.558,147773.3
5.559,5.568,5.517,5.565,185397.4
5.566,5.579,5.545,5.551,140046.0
5.552,5.58,5.539,5.576,158790.4
5.575,5.594,5.541,5.572,238790.0
5.571,5.582,5.39,5.409,897284.5
5.409,5.409,5.333,5.34,744295.5
5.342,5.378,5.229,5.238,856465.1
5.237,5.265,5.108,5.185,1436740.0
5.184,5.325,5.147,5.313,818216.8
5.313,5.472,5.269,5.433,643483.1
5.432,5.485,5.402,5.432,328809.6
5.432,5.445,5.399,5.42,225679.1
5.421,5.469,5.397,5.405,510092.0
5.404,5.404,5.312,5.336,335444.5
5.337,5.391,5.1,5.148,1856104.2
5.146,5.155,4.53,4.811,5516937.3
4.811,4.828,4.675,4.782,2696585.9
4.782,4.784,4.645,4.649,1473907.2
4.649,4.722,4.619,4.689,1383232.9
4.69,4.76,4.516,4.687,3246618.8
4.687,4.718,4.295,4.53,7361672.1
4.53,4.86,4.505,4.806,3114220.2
4.807,4.814,4.675,4.707,1699437.2
4.708,4.741,4.608,4.673,1185518.3
4.674,4.675,4.505,4.542,1504737.6
4.541,4.565,4.402,4.56,2144354.7
4.559,4.615,4.443,4.477,3527926.6
4.476,4.823,4.407,4.791,3156087.7
4.791,5.009,4.791,4.968,2231614.3
4.969,5.073,4.925,5.062,1414749.5
5.062,5.112,4.986,4.992,1474959.2
4.993,5.088,4.975,5.036,930899.9
5.037,5.047,4.872,4.878,836836.0
4.877,4.966,4.855,4.946,1290544.2
4.946,5.012,4.93,4.971,706234.6
4.971,5.047,4.94,4.982,656961.1
4.982,5.06,4.97,5.045,400009.6
5.046,5.085,4.977,4.98,413626.8
4.98,5.267,4.968,5.25,1208529.4
5.25,5.304,5.181,5.206,778183.9
5.206,5.217,5.149,5.192,519652.3
5.191,5.2,5.138,5.166,311634.8
5.167,5.211,5.143,5.17,378666.7
5.169,5.237,5.132,5.229,396672.6
5.228,5.269,5.2,5.247,337110.0
5.246,5.273,5.216,5.26,268601.7
5.259,5.259,5.088,5.131,627092.9
5.131,5.156,5.09,5.153,447652.6
5.152,5.173,5.108,5.149,294257.1
5.149,5.173,5.117,5.143,349416.6
5.143,5.182,5.092,5.111,426558.8
5.11,5.124,5.027,5.094,1081023.7
5.093,5.305,5.08,5.21,1236924.5
5.21,5.261,5.159,5.225,580606.3
5.225,5.255,5.175,5.221,550435.9
5.221,5.252,5.178,5.18,296794.4
5.179,5.252,5.176,5.211,346009.3
5.211,5.247,5.186,5.205,258337.7
5.205,5.229,5.162,5.192,478942.0
5.193,5.214,5.165,5.206,188926.9
5.206,5.252,5.137,5.15,648126.5
5.15,5.172,5.103,5.13,265406.0
5.13,5.161,5.076,5.122,430967.2
5.122,5.232,5.057,5.231,566124.6
5.231,5.27,5.155,5.185,784296.0
5.185,5.241,5.168,5.232,460159.4
5.233,5.293,5.22,5.25,461739.7
5.25,5.294,5.24,5.25,278216.0
5.25,5.293,5.243,5.256,384075.1
5.255,5.29,5.219,5.269,251747.2
5.269,5.315,5.262,5.295,537244.9
5.295,5.327,5.253,5.278,401677.5
5.278,5.314,5.254,5.261,370848.4
5.261,5.275,5.184,5.192,457018.4
5.193,5.266,5.17,5.259,326810.8
5.258,5.275,5.181,5.196,551108.7
5.197,5.212,4.939,4.981,1645235.0
4.981,5.088,4.956,5.086,1056164.4
5.086,5.142,5.018,5.045,1445922.9
5.045,5.071,4.981,5.047,428995.3
5.047,5.064,4.959,4.972,516352.7
4.972,5.037,4.971,5.028,377326.8
5.027,5.096,4.997,5.089,793361.9
5.09,5.128,5.069,5.092,356833.1
5.092,5.096,5.001,5.094,459580.1
5.093,5.115,5.056,5.078,229127.9
5.079,5.105,4.982,5.07,448906.7
5.071,5.24,5.064,5.227,832703.6
5.226,5.336,5.224,5.309,528731.2
5.31,5.344,5.273,5.277,394977.3
5.277,5.424,5.277,5.332,1240075.5
5.333,5.371,5.325,5.334,369370.1
5.334,5.343,5.281,5.283,510303.6
5.283,5.294,5.254,5.261,330600.7
5.261,5.281,5.245,5.277,187772.3
5.277,5.309,5.253,5.283,178411.2
5.283,5.323,5.267,5.301,281025.9
5.301,5.316,5.279,5.289,256080.6
5.288,5.411,5.261,5.342,700945.2
5.343,5.381,5.243,5.3,563889.1
5.3,5.444,5.291,5.442,563131.7
5.441,5.507,5.425,5.491,773194.0
5.492,5.541,5.481,5.502,621254.6
5.501,5.515,5.464,5.471,358837.5
5.471,5.491,5.456,5.471,227160.0
5.47,5.513,5.468,5.493,246465.1
5.492,5.522,5.485,5.509,169087.1
5.508,5.602,5.505,5.598,442080.0
5.599,5.695,5.569,5.68,563667.9
5.679,5.765,5.649,5.762,653155.9
5.763,5.801,5.698,5.749,792267.1
5.748,5.8,5.73,5.771,591994.1
5.77,5.809,5.717,5.72,414654.0
5.719,5.748,5.715,5.731,234341.9
5.73,5.764,5.679,5.68,356967.3
5.68,5.724,5.649,5.718,255687.1
5.718,5.758,5.709,5.755,243768.8
5.755,5.791,5.745,5.761,312790.5
5.762,5.889,5.75,5.871,898799.7
5.872,5.879,5.741,5.752,470341.5
5.752,5.764,5.692,5.733,478007.0
5.733,5.747,5.687,5.7,238173.4
5.7,5.728,5.661,5.72,337797.4
5.72,5.74,5.645,5.713,460304.8
5.713,5.803,5.623,5.723,858815.0
5.724,5.736,5.649,5.654,363133.1
5.654,5.74,5.643,5.719,445226.8
5.72,5.766,5.712,5.738,322755.1
5.738,5.765,5.723,5.742,320554.1
5.741,5.742,5.667,5.688,879554.8
5.688,5.748,5.685,5.713,273362.9
5.713,5.741,5.67,5.738,306215.3
