open,high,low,close,volume
0.6127,0.6151,0.6113,0.6137,2279174.1
0.6136,0.6171,0.6131,0.6147,2115474.0
0.6147,0.6263,0.6142,0.6228,8938339.1
0.6228,0.6245,0.6205,0.6244,4795970.1
0.6244,0.627,0.6161,0.6172,8715296.8
0.6172,0.6201,0.602,0.6025,12383285.3
0.6024,0.6126,0.597,0.606,20176834.6
0.6059,0.6065,0.5884,0.5913,15214644.0
0.5913,0.5983,0.5856,0.592,14361842.7
0.592,0.596,0.5867,0.587,7147149.9
0.5869,0.5995,0.5847,0.5945,9046231.0
0.5946,0.6044,0.5909,0.6031,7552553.8
0.6031,0.6058,0.6001,0.6008,4716269.1
0.6009,0.6087,0.5988,0.607,7112100.3
0.6069,0.6174,0.604,0.6159,10552105.8
0.6159,0.6166,0.6052,0.6121,8343805.5
0.6121,0.6191,0.6116,0.6136,7834171.4
0.6136,0.6146,0.6088,0.611,5089422.0
0.611,0.6126,0.6064,0.6067,3461258.0
0.6066,0.6118,0.6066,0.6099,2813081.7
0.6098,0.6125,0.609,0.6106,2925182.6
0.6106,0.6108,0.6007,0.6021,5767907.3
0.6021,0.6081,0.6006,0.605,5415077.0
0.6051,0.6081,0.6042,0.6059,2993483.1
0.6059,0.6075,0.6023,0.6071,3892023.2
0.6071,0.6079,0.6024,0.6039,3836829.3
0.6039,0.6105,0.6036,0.609,3358971.9
0.6091,0.6108,0.6054,0.6063,3169479.6
0.6063,0.6082,0.5883,0.5918,16651708.3
0.5919,0.592,0.5832,0.5837,13419531.1
0.5839,0.5871,0.5751,0.5765,16520192.7
0.5766,0.5771,0.5512,0.5645,35836875.9
0.5646,0.5733,0.556,0.5723,19045778.3
0.5722,0.5897,0.5669,0.5855,11690605.9
0.5855,0.5931,0.5808,0.5848,9888673.0
0.5847,0.586,0.5777,0.5789,4226222.5
0.579,0.5844,0.5752,0.5761,8228099.5
0.5761,0.5763,0.5639,0.5648,8418060.0
0.5647,0.5681,0.525,0.5321,59255738.9
0.532,0.5335,0.454,0.4944,140657312.6
0.4943,0.4958,0.477,0.4934,63796752.5
0.4934,0.4936,0.4765,0.4772,32496109.1
0.4772,0.4882,0.4707,0.4743,22611509.6
0.4742,0.4837,0.4532,0.4717,62880469.1
0.4718,0.4747,0.4301,0.4558,92766387.1
0.4557,0.4809,0.453,0.4755,32963671.5
0.4755,0.476,0.4605,0.464,25252830.6
0.464,0.4661,0.4521,0.4601,18853761.3
0.46,0.4615,0.4435,0.4452,34462118.3
0.4451,0.4467,0.4281,0.4463,41342291.3
0.4463,0.4509,0.434,0.439,38930526.0
0.4389,0.463,0.4318,0.4605,53402596.3
0.4606,0.4799,0.4604,0.4741,45137061.8
0.4742,0.4879,0.4692,0.4847,29724585.8
0.4847,0.5025,0.4812,0.484,43276597.8
0.484,0.4973,0.482,0.4925,17430186.3
0.4925,0.4943,0.4762,0.4768,17191963.2
0.4769,0.4859,0.4755,0.4834,22085017.2
0.4833,0.4898,0.4807,0.4844,14123380.9
0.4844,0.4926,0.4807,0.4823,11936361.3
0.4823,0.4899,0.4808,0.4874,8141327.5
0.4875,0.4912,0.4805,0.4816,7514071.9
0.4815,0.5106,0.4807,0.5106,24690086.6
0.5105,0.5182,0.5056,0.5092,17225104.5
0.5091,0.5119,0.5042,0.5071,6802419.2
0.5071,0.5076,0.5025,0.5033,7581940.6
0.5033,0.5089,0.5006,0.5082,6648720.4
0.5082,0.5162,0.5057,0.5148,8374920.8
0.5148,0.5181,0.5103,0.5145,9048051.8
0.5145,0.5193,0.5103,0.5181,8618818.4
0.5181,0.5185,0.5009,0.5056,13852313.2
0.5056,0.5067,0.5012,0.5049,10387720.5
0.5049,0.5054,0.4989,0.5022,8639102.7
0.5022,0.5043,0.4982,0.501,7294367.3
0.501,0.5065,0.4987,0.5013,8334654.5
0.5012,0.5063,0.4918,0.4984,36456174.2
0.4984,0.5227,0.4979,0.5151,33301566.5
0.5152,0.5194,0.5079,0.5152,9927354.4
0.5153,0.5201,0.5114,0.5162,7780941.6
0.5163,0.5183,0.5076,0.5076,7099789.8
0.5077,0.513,0.5074,0.5078,6496595.7
0.5078,0.5116,0.5054,0.5074,4898780.4
0.5075,0.5107,0.5042,0.5083,5190745.8
0.5083,0.5109,0.5065,0.5107,3090869.9
0.5107,0.5146,0.5032,0.5059,9329822.5
0.506,0.5072,0.5002,0.5022,6011780.9
0.5022,0.5063,0.4972,0.5029,7782251.2
0.5029,0.5147,0.4962,0.5138,9738222.2
0.5137,0.5232,0.5091,0.5124,12099445.3
0.5123,0.5163,0.5108,0.5134,5005907.6
0.5135,0.5211,0.5125,0.5152,5566688.6
0.5153,0.5209,0.5134,0.5137,6983145.7
0.5137,0.5164,0.511,0.5129,4709930.8
0.5129,0.5185,0.5104,0.5157,4177174.0
0.5158,0.5195,0.5143,0.5179,4344933.4
0.5179,0.5206,0.5154,0.5161,6085846.7
0.5161,0.5222,0.5155,0.5159,5973143.8
0.5159,0.5172,0.5087,0.509,8446502.9
0.509,0.5115,0.5055,0.5104,7091896.5
0.5104,0.5123,0.5023,0.5043,9327270.1
0.5043,0.5061,0.4841,0.4891,25934842.4
0.4891,0.4929,0.4844,0.4906,14018493.8
0.4905,0.4914,0.4844,0.4877,10629277.7
0.4877,0.4909,0.4814,0.4869,10676813.8
0.4868,0.4884,0.479,0.4805,14243279.0
0.4804,0.4843,0.4788,0.4825,6737676.3
0.4826,0.4873,0.4756,0.4842,15426823.5
0.4843,0.489,0.4811,0.4864,7157892.7
0.4863,0.4888,0.4782,0.4862,6914851.8
0.4862,0.4884,0.483,0.4843,5497835.5
0.4843,0.4877,0.4773,0.486,9904929.7
0.486,0.5043,0.4857,0.5031,17447045.3
0.5032,0.512,0.5029,0.5089,9112103.2
0.5089,0.5109,0.503,0.5034,5906605.1
