open,high,low,close,volume
0.0799,0.08,0.0795,0.0797,950950.0
0.0798,0.0801,0.0795,0.0798,798432.0
0.0798,0.081,0.0797,0.0801,1341256.0
0.0801,0.0803,0.0797,0.0801,674739.0
0.08,0.0803,0.0795,0.0796,1076535.0
0.0796,0.0798,0.0769,0.0771,3921968.0
0.077,0.0777,0.0759,0.0765,7301065.0
0.0764,0.0764,0.0745,0.0749,5657390.0
0.0749,0.0751,0.0739,0.0741,4396068.0
0.0741,0.0749,0.0735,0.0735,3643174.0
0.0736,0.0745,0.0731,0.0734,3535932.0
0.0734,0.0749,0.073,0.0746,2866492.0
0.0747,0.075,0.0743,0.0744,1695480.0
0.0744,0.0751,0.0739,0.075,2453739.0
0.075,0.076,0.0748,0.0757,2177565.0
0.0757,0.0758,0.0748,0.0756,2019769.0
0.0757,0.0771,0.0755,0.0767,1924133.0
0.0768,0.0768,0.0762,0.0764,955187.0
0.0765,0.0768,0.076,0.0761,1235635.0
0.0761,0.0768,0.076,0.0764,400247.0
0.0763,0.0767,0.0763,0.0766,410408.0
0.0765,0.0766,0.075,0.0753,1950574.0
0.0753,0.0756,0.0748,0.0752,2765448.0
0.0752,0.0755,0.0751,0.0752,809890.0
0.0751,0.0753,0.0747,0.0753,1088280.0
0.0753,0.0755,0.0749,0.075,932315.0
0.0751,0.0756,0.0748,0.0756,788033.0
0.0756,0.0758,0.075,0.0752,874243.0
0.0751,0.0752,0.0724,0.0729,4096598.0
0.0729,0.0729,0.0707,0.0714,7803968.0
0.0714,0.0718,0.0697,0.0699,7775735.0
0.0699,0.0704,0.0681,0.0701,8732465.0
0.07,0.0713,0.0692,0.0711,5785288.0
0.0711,0.0733,0.0707,0.0727,7037897.0
0.0727,0.0735,0.0719,0.0724,3276151.0
0.0724,0.0728,0.072,0.0722,1940669.0
0.0722,0.0732,0.0721,0.0721,2595239.0
0.0721,0.0723,0.071,0.0712,2888143.0
0.0712,0.0719,0.0672,0.0682,14261272.0
0.0681,0.0684,0.0591,0.0638,39414481.0
0.0639,0.0644,0.062,0.0642,18025649.0
0.0642,0.0642,0.0626,0.0632,9257352.0
0.0632,0.0646,0.063,0.0636,7261941.0
0.0637,0.0643,0.06,0.0632,24498790.0
0.0631,0.0635,0.0577,0.061,35514777.0
0.061,0.0649,0.0606,0.0646,14197418.0
0.0647,0.0651,0.0634,0.0641,11073846.0
0.064,0.0646,0.0632,0.0641,8511945.0
0.0641,0.0642,0.0616,0.0618,14532643.0
0.0618,0.0624,0.06,0.0622,13846152.0
0.0622,0.063,0.0603,0.0611,21930596.0
0.0611,0.0652,0.0602,0.0649,21176574.0
0.0649,0.0681,0.0649,0.0672,9653047.0
0.0673,0.0686,0.0667,0.0679,14970913.0
0.0679,0.0692,0.0675,0.0677,9217379.0
0.0677,0.0685,0.0669,0.0678,8006540.0
0.0677,0.0678,0.0656,0.0656,5345239.0
0.0656,0.0668,0.0652,0.0661,7352184.0
0.0661,0.0671,0.0659,0.0663,3383788.0
0.0664,0.0673,0.0657,0.0661,3678292.0
0.0661,0.0672,0.066,0.0665,3351760.0
0.0665,0.0672,0.0662,0.0663,5351508.0
0.0663,0.0694,0.0661,0.0693,9692055.0
0.0693,0.0702,0.0685,0.0686,6204669.0
0.0686,0.0691,0.0683,0.0688,2782432.0
0.0687,0.0689,0.0683,0.0684,2137108.0
0.0685,0.0694,0.0681,0.0691,2667458.0
0.0692,0.0703,0.069,0.0702,2294213.0
0.0702,0.0707,0.0698,0.0703,3369519.0
0.0702,0.0705,0.0697,0.0704,2850841.0
0.0704,0.0706,0.0683,0.069,5076934.0
0.069,0.0692,0.0684,0.069,3660310.0
0.0691,0.0692,0.0683,0.0687,2014504.0
0.0687,0.069,0.0684,0.0687,2689554.0
0.0687,0.0693,0.0682,0.0686,3114066.0
0.0685,0.0693,0.0678,0.0688,6145170.0
0.0688,0.0713,0.0687,0.0704,8017305.0
0.0705,0.0708,0.0695,0.0704,3620932.0
0.0704,0.071,0.0699,0.0704,2850173.0
0.0704,0.0708,0.0697,0.0697,2131696.0
0.0697,0.0706,0.0697,0.0701,2641291.0
0.0701,0.0706,0.0698,0.07,2129890.0
0.07,0.0705,0.0697,0.0702,2822165.0
0.0703,0.0704,0.0698,0.0703,1063569.0
0.0702,0.0708,0.0697,0.0701,3025764.0
0.0701,0.0703,0.0694,0.0698,1678892.0
0.0697,0.0706,0.0694,0.0703,6394143.0
0.0702,0.0713,0.0695,0.0711,6058830.0
0.0712,0.0718,0.0705,0.0711,2718345.0
0.071,0.0717,0.0709,0.0713,1898745.0
0.0713,0.0721,0.0712,0.0716,2179556.0
0.0716,0.0723,0.0715,0.0716,2718829.0
0.0716,0.0719,0.0713,0.0715,1908317.0
0.0715,0.072,0.0711,0.0716,1892608.0
0.0716,0.072,0.0713,0.0718,1471086.0
0.0718,0.0727,0.0716,0.072,2730356.0
0.0719,0.0726,0.0717,0.0717,1699637.0
0.0717,0.072,0.0711,0.0714,2179335.0
0.0714,0.072,0.0709,0.0718,2007949.0
0.0718,0.0721,0.0712,0.0715,3348483.0
0.0714,0.0716,0.0686,0.0696,8193221.0
0.0697,0.0702,0.0693,0.0698,4557143.0
0.0698,0.0699,0.0686,0.0689,4007701.0
0.0689,0.0693,0.0678,0.0687,4196728.0
0.0687,0.069,0.0677,0.0678,4467892.0
0.0678,0.0683,0.0674,0.0681,2608671.0
0.0681,0.0688,0.0671,0.0682,5486700.0
0.0682,0.0686,0.0677,0.0684,2343277.0
0.0683,0.0684,0.0672,0.0683,5105583.0
0.0682,0.0685,0.0675,0.0677,3913043.0
0.0678,0.0682,0.0665,0.0677,5856214.0
0.0677,0.0702,0.0676,0.0701,6115199.0
0.07,0.0715,0.07,0.0712,2847620.0
0.0712,0.0717,0.0708,0.0709,2494116.0
0.0708,0.0715,0.0707,0.0708,2192019.0
0.0708,0.0717,0.0708,0.0715,1498238.0
