open,high,low,close,volume
5.38,5.384,5.361,5.368,99855.19
5.369,5.383,5.355,5.369,94368.73
5.369,5.395,5.344,5.353,240258.24
5.354,5.359,5.317,5.33,220923.71
5.331,5.355,5.302,5.308,205144.82
5.308,5.318,5.121,5.138,1553898.81
5.138,5.189,5.077,5.14,1691979.9
5.14,5.141,5.049,5.073,866598.06
5.074,5.092,4.998,5.031,875005.99
5.032,5.081,5.013,5.016,420293.01
5.016,5.079,5.001,5.049,472782.98
5.048,5.121,5.027,5.121,404273.75
5.122,5.133,5.09,5.115,350709.43
5.115,5.147,5.093,5.123,309125.8
5.124,5.163,5.114,5.16,305566.7
5.162,5.166,5.109,5.151,245865.6
5.151,5.206,5.143,5.177,236742.6
5.178,5.184,5.159,5.179,141984.01
5.179,5.198,5.156,5.16,149675.37
5.161,5.197,5.158,5.185,128296.94
5.184,5.212,5.184,5.205,135624.42
5.205,5.208,5.121,5.124,272482.99
5.123,5.14,5.091,5.109,389132.54
5.11,5.122,5.082,5.085,215641.94
5.084,5.088,5.062,5.085,262563.67
5.085,5.111,5.065,5.068,174986.42
5.067,5.074,5.051,5.071,271018.11
5.072,5.076,5.039,5.047,263759.76
5.046,5.06,4.902,4.933,1513600.6
4.932,4.932,4.873,4.889,1149877.28
4.89,4.946,4.859,4.907,1754829.04
4.907,4.93,4.8,4.888,2332597.02
4.889,4.987,4.834,4.979,948421.65
4.978,5.078,4.951,5.057,827681.08
5.057,5.143,5.046,5.109,960793.0
5.108,5.138,5.072,5.09,346540.05
5.089,5.172,5.076,5.11,604741.37
5.108,5.113,5.025,5.047,463091.78
5.046,5.098,4.791,4.867,2261934.94
4.866,4.877,4.255,4.511,7931809.46
4.511,4.541,4.382,4.53,3340890.06
4.53,4.533,4.419,4.429,1786272.49
4.429,4.497,4.412,4.457,1348426.19
4.458,4.488,4.283,4.394,4104263.12
4.395,4.413,4.025,4.276,8893983.66
4.277,4.56,4.244,4.522,2798054.13
4.522,4.528,4.387,4.437,1839205.76
4.438,4.476,4.387,4.456,1116933.01
4.456,4.46,4.286,4.334,1705991.27
4.334,4.35,4.188,4.334,2837823.42
4.334,4.414,4.232,4.253,3132779.21
4.252,4.484,4.147,4.463,4183151.18
4.464,4.703,4.463,4.649,3520943.84
4.649,4.717,4.606,4.694,1624285.64
4.694,4.779,4.667,4.7,1291446.26
4.7,4.769,4.682,4.731,701945.79
4.732,4.74,4.574,4.579,826892.14
4.579,4.652,4.564,4.614,1113477.53
4.614,4.695,4.612,4.685,679340.92
4.684,4.729,4.641,4.66,586661.85
4.66,4.736,4.649,4.717,471733.68
4.717,4.749,4.636,4.639,470463.85
4.64,4.857,4.632,4.851,1456851.9
4.85,4.919,4.805,4.837,977840.34
4.835,4.853,4.795,4.818,364645.64
4.818,4.856,4.788,4.837,465030.86
4.836,4.856,4.803,4.848,322028.12
4.848,4.898,4.825,4.893,307449.59
4.893,4.925,4.868,4.911,527936.61
4.911,4.933,4.879,4.931,306115.38
4.93,4.938,4.782,4.813,873213.95
4.813,4.836,4.778,4.817,455859.58
4.818,4.822,4.752,4.769,455143.34
4.77,4.802,4.743,4.776,374365.46
4.776,4.815,4.747,4.767,428551.36
4.766,4.802,4.713,4.768,749989.51
4.768,4.954,4.759,4.882,1035713.66
4.883,4.916,4.824,4.895,694144.33
4.895,4.938,4.867,4.903,395807.94
4.902,4.929,4.867,4.867,285289.44
4.867,4.925,4.865,4.891,218107.86
4.891,4.926,4.875,4.896,229397.41
4.896,4.93,4.874,4.895,330604.19
4.894,4.94,4.87,4.929,206724.58
4.929,4.967,4.876,4.909,448726.33
4.909,4.922,4.872,4.899,219947.3
4.899,4.93,4.854,4.905,389135.7
4.906,4.958,4.847,4.954,432142.7
4.954,4.992,4.908,4.933,442680.31
4.933,4.955,4.905,4.924,211843.08
4.923,4.971,4.916,4.952,238663.37
4.952,4.995,4.945,4.948,212994.6
4.948,4.97,4.933,4.945,208683.23
4.945,4.972,4.908,4.95,202568.03
4.95,4.98,4.938,4.967,295629.16
4.967,5.014,4.952,4.998,437688.77
4.997,5.046,4.979,4.99,504025.98
4.989,5.002,4.943,4.963,490286.49
4.963,5.007,4.94,4.996,529164.16
4.996,5.013,4.916,4.931,497213.71
4.931,4.94,4.753,4.82,1451276.83
4.821,4.873,4.8,4.855,749174.55
4.855,4.871,4.823,4.857,355808.06
4.858,4.884,4.804,4.852,489588.29
4.85,4.86,4.757,4.773,601037.86
4.773,4.803,4.744,4.796,408059.87
4.797,4.858,4.728,4.799,990979.57
4.8,4.847,4.782,4.832,294057.86
4.831,4.857,4.767,4.855,401483.48
4.856,4.865,4.817,4.836,286455.15
4.837,4.859,4.737,4.799,545283.52
4.8,4.972,4.793,4.954,957950.89
4.953,5.044,4.952,5.03,525369.48
5.03,5.057,4.97,4.971,387287.36
4.971,5.026,4.969,4.993,259001.47
4.991,5.031,4.989,5.005,242612.72
5.005,5.029,4.992,5.008,163126.42
5.008,5.017,4.957,4.959,210979.25
4.96,4.993,4.943,4.947,484380.06
4.948,4.952,4.919,4.922,240581.69
4.923,4.945,4.902,4.926,282816.98
4.926,5.001,4.907,4.946,612058.45
4.946,5.07,4.93,4.983,863312.91
4.983,5.0,4.878,4.935,988587.95
4.934,5.031,4.924,5.029,525554.88
5.028,5.071,5.002,5.065,507752.46
5.065,5.111,5.058,5.09,910068.6
5.09,5.129,5.078,5.084,502097.83
5.084,5.093,5.028,5.039,325904.74
5.038,5.059,5.014,5.024,267582.46
5.024,5.031,4.998,5.016,319377.89
5.016,5.134,5.015,5.121,401787.04
5.123,5.178,5.089,5.163,789304.75
5.163,5.17,5.115,5.145,545910.36
5.145,5.146,5.09,5.116,761029.15
5.115,5.131,5.092,5.12,376133.98
5.12,5.133,5.102,5.114,189377.02
5.114,5.128,5.107,5.113,115258.34
5.113,5.124,5.037,5.037,370989.68
5.037,5.083,5.02,5.079,272408.11
5.08,5.103,5.068,5.088,263405.64
5.089,5.118,5.088,5.098,230789.28
5.099,5.104,5.068,5.097,216573.24
5.098,5.107,5.04,5.05,372498.85
5.05,5.062,5.001,5.033,456232.91
5.032,5.045,5.014,5.028,245411.26
5.027,5.039,4.988,5.015,373111.89
5.014,5.034,4.95,4.999,839016.32
4.999,5.069,4.931,5.004,855655.68
5.004,5.026,4.965,4.97,368337.72
4.969,5.025,4.956,5.02,299655.77
5.019,5.047,5.011,5.03,240563.53
5.031,5.062,5.016,5.06,234621.13
5.062,5.075,5.036,5.071,262011.6
5.072,5.097,5.058,5.063,232061.36
5.062,5.082,5.026,5.073,336197.8
5.073,5.106,5.05,5.086,365197.91
5.086,5.096,5.063,5.081,274427.76
5.082,5.135,5.042,5.044,479446.87
5.044,5.07,5.026,5.034,266113.81
5.034,5.066,5.016,5.032,390571.54
5.032,5.052,5.014,5.046,265241.82
5.046,5.052,5.023,5.044,185507.0
5.044,5.061,5.033,5.048,124294.76
5.048,5.077,5.044,5.075,130340.99
5.076,5.102,5.073,5.101,204553.42
5.101,5.109,5.082,5.092,149482.07
5.092,5.134,5.091,5.111,219747.06
5.111,5.163,5.111,5.149,268755.92
5.15,5.161,5.136,5.146,223467.56
5.146,5.171,5.141,5.159,289338.73
5.159,5.16,5.125,5.133,235108.03
5.134,5.173,5.132,5.155,222175.72
5.155,5.192,5.152,5.159,344678.9
5.16,5.196,5.16,5.182,279877.44
5.181,5.209,5.175,5.206,301197.24
5.206,5.234,5.195,5.223,328456.41
5.223,5.245,5.213,5.235,227955.53
5.235,5.244,5.178,5.223,647155.8
5.223,5.243,5.216,5.234,141896.72
5.233,5.242,5.21,5.22,190197.12
5.221,5.221,5.188,5.201,179860.8
5.2,5.225,5.183,5.223,328849.12
5.223,5.237,5.215,5.221,115469.01
5.221,5.222,5.169,5.177,218012.38
5.176,5.203,5.143,5.146,279744.71
5.147,5.147,5.101,5.105,254798.12
