open,high,low,close,volume
23.666,24.088,23.57,23.866,510193.0
23.867,23.977,23.852,23.916,220073.0
23.916,24.049,23.838,23.909,266616.0
23.909,24.077,23.835,23.975,237113.0
23.974,24.1,23.819,23.844,205465.0
23.843,23.883,23.33,23.344,653143.0
23.344,23.391,22.836,23.043,1173282.0
23.043,23.066,22.455,22.527,817902.0
22.526,22.728,22.343,22.584,631398.0
22.585,22.694,22.391,22.454,404768.0
22.453,22.703,22.333,22.47,422411.0
22.467,22.619,22.167,22.615,628362.0
22.615,22.693,22.482,22.626,196320.0
22.625,22.793,22.532,22.656,259308.0
22.656,22.742,22.512,22.715,192148.0
22.715,22.754,22.47,22.681,206983.0
22.68,22.944,22.651,22.816,256186.0
22.811,22.84,22.716,22.801,127516.0
22.8,22.871,22.711,22.717,129875.0
22.716,22.898,22.692,22.785,157259.0
22.785,22.844,22.739,22.817,101910.0
22.817,22.875,22.528,22.574,218308.0
22.57,22.743,22.308,22.611,392474.0
22.612,22.689,22.501,22.521,147458.0
22.52,22.619,22.378,22.588,226289.0
22.587,22.632,22.43,22.514,157843.0
22.514,22.61,22.413,22.567,199480.0
22.566,22.665,22.481,22.483,212105.0
22.483,22.516,21.789,21.859,941964.0
21.86,21.911,21.543,21.581,771920.0
21.584,21.748,21.186,21.241,946952.0
21.242,21.29,20.566,20.9,1463775.0
20.901,21.457,20.758,21.43,839012.0
21.431,21.99,21.22,21.8,774685.0
21.8,22.081,21.598,21.756,455321.0
21.759,21.78,21.57,21.625,199226.0
21.625,21.885,21.517,21.571,407728.0
21.569,21.58,21.182,21.246,334418.0
21.246,21.372,19.973,20.256,2039341.0
20.259,20.318,17.902,18.981,5290368.0
18.981,19.065,18.505,18.952,2306239.0
18.952,18.964,18.529,18.628,1382233.0
18.627,19.128,18.605,18.919,1211184.0
18.917,19.299,18.278,18.846,2570669.0
18.85,18.968,17.252,18.27,4870251.0
18.272,19.202,18.121,19.022,1703462.0
19.022,19.088,18.587,18.734,1072155.0
18.735,18.884,18.417,18.689,880526.0
18.687,18.734,18.097,18.189,1330920.0
18.188,18.275,17.532,18.212,2102184.0
18.211,18.411,17.672,17.696,1717347.0
17.694,18.963,17.406,18.81,2692816.0
18.813,19.626,18.813,19.454,2106272.0
19.454,19.772,19.232,19.71,1139701.0
19.706,20.218,19.596,19.694,1131203.0
19.699,20.075,19.584,19.904,583714.0
19.905,19.949,19.296,19.317,817365.0
19.317,19.535,19.144,19.378,874100.0
19.378,19.749,19.355,19.68,593731.0
19.679,19.999,19.523,19.591,563613.0
19.59,19.888,19.516,19.772,377038.0
19.773,19.92,19.486,19.527,388584.0
19.527,20.493,19.498,20.492,870223.0
20.491,20.83,20.428,20.608,666339.0
20.608,20.669,20.323,20.483,401189.0
20.482,20.529,20.325,20.395,254445.0
20.396,20.626,20.256,20.555,378589.0
20.555,20.785,20.478,20.744,382279.0
20.74,20.949,20.586,20.911,494382.0
20.911,21.04,20.682,21.007,399864.0
21.006,21.031,20.317,20.496,680631.0
20.497,20.525,20.308,20.484,512740.0
20.483,20.543,20.269,20.426,339051.0
20.425,20.549,20.318,20.418,312792.0
20.419,20.548,20.201,20.262,424269.0
20.259,20.439,20.012,20.305,802207.0
20.304,21.24,20.274,21.016,1150225.0
21.017,21.237,20.749,21.099,537313.0
21.099,21.405,20.995,21.24,519035.0
21.239,21.374,21.107,21.119,325776.0
21.118,21.435,21.107,21.19,449737.0
21.188,21.311,21.055,21.11,313377.0
21.109,21.213,20.88,21.059,441529.0
21.058,21.161,20.934,21.119,179169.0
21.118,21.355,20.893,21.039,427339.0
21.041,21.126,20.766,20.875,266030.0
20.875,21.04,20.65,20.841,370178.0
20.844,21.186,20.544,21.14,508684.0
21.142,21.45,20.873,21.0,593530.0
20.999,21.253,20.994,21.196,301940.0
21.195,21.602,21.151,21.426,412837.0
21.425,21.677,21.373,21.385,323269.0
21.384,21.509,21.2,21.255,291078.0
21.255,21.339,21.05,21.229,235598.0
21.23,21.394,21.132,21.241,251575.0
21.24,21.472,21.139,21.276,310224.0
21.273,21.515,21.159,21.185,261624.0
21.182,21.22,20.871,20.928,441003.0
20.928,21.09,20.832,21.035,289597.0
21.036,21.125,20.782,20.905,526370.0
20.903,20.968,20.08,20.34,1162157.0
20.344,20.518,20.206,20.402,535214.0
20.401,20.454,20.222,20.364,360502.0
20.364,20.428,20.096,20.249,360671.0
20.248,20.303,19.825,19.888,604257.0
19.888,20.06,19.845,19.984,373467.0
19.984,20.16,19.69,19.978,640787.0
19.978,20.101,19.844,20.04,291240.0
20.038,20.064,19.681,19.98,402142.0
19.981,20.024,19.768,19.842,323812.0
19.842,19.953,19.508,19.84,494216.0
19.84,20.508,19.822,20.5,885063.0
20.498,20.926,20.492,20.838,480354.0
20.838,20.896,20.633,20.639,242917.0
20.639,20.842,20.607,20.616,271414.0
20.616,20.823,20.594,20.742,169918.0
20.743,20.849,20.628,20.725,220316.0
20.726,20.767,20.555,20.566,230305.0
20.567,20.629,20.483,20.568,196984.0
20.569,20.708,20.478,20.591,199352.0
20.596,20.648,20.468,20.588,212384.0
20.588,20.671,20.515,20.552,179202.0
20.551,21.128,20.449,20.785,733206.0
20.783,20.964,20.38,20.608,582678.0
20.609,21.432,20.558,21.379,737092.0
21.379,21.939,21.288,21.933,1003606.0
