open,high,low,close,volume
0.5488,0.549,0.5453,0.5468,238520.4
0.5467,0.5481,0.5441,0.5466,267823.2
0.5467,0.5541,0.5457,0.5505,296587.7
0.5507,0.5509,0.5452,0.5481,258829.8
0.548,0.5498,0.5439,0.5442,221189.1
0.5441,0.5456,0.5289,0.5298,701584.4
0.5298,0.5344,0.5182,0.5235,1644200.8
0.5234,0.5252,0.5154,0.5181,1076050.2
0.5182,0.5216,0.512,0.5138,684961.2
0.5138,0.5202,0.5112,0.5115,520005.5
0.5115,0.5229,0.51,0.5168,611866.3
0.5168,0.5264,0.5145,0.5262,609322.3
0.5263,0.5298,0.5244,0.5262,381694.2
0.5263,0.5307,0.5244,0.5288,310097.0
0.5288,0.5316,0.5266,0.5311,314819.6
0.5312,0.5317,0.5237,0.5283,213010.7
0.5283,0.536,0.5273,0.5323,329981.3
0.532,0.5323,0.5287,0.5291,201828.3
0.5291,0.5325,0.5275,0.5276,219240.6
0.5277,0.5331,0.5274,0.5308,186924.5
0.5307,0.5332,0.5301,0.531,238866.3
0.5311,0.5317,0.5214,0.5231,438505.0
0.5232,0.5287,0.5193,0.5262,286806.7
0.5263,0.5286,0.5258,0.5259,186725.2
0.5264,0.5273,0.5242,0.527,148587.4
0.5271,0.5297,0.525,0.5262,256212.7
0.5262,0.5285,0.5244,0.5275,316301.2
0.5275,0.5287,0.5243,0.5244,314032.1
0.5244,0.5254,0.5041,0.5058,1166784.1
0.5058,0.5059,0.4942,0.4959,1181141.2
0.496,0.4992,0.4811,0.4821,1281327.8
0.4817,0.4858,0.4675,0.4829,2072058.7
0.4831,0.4942,0.477,0.4933,1059618.4
0.493,0.5053,0.4887,0.5025,762034.1
0.5023,0.5095,0.498,0.5057,823819.3
0.5057,0.5075,0.5001,0.5011,431180.4
0.5013,0.5123,0.4982,0.5046,1343524.3
0.5045,0.5046,0.4934,0.4956,520905.7
0.4955,0.4997,0.4706,0.4752,2076700.9
0.4749,0.4762,0.3834,0.44,10804943.8
0.4401,0.4435,0.4271,0.4416,3065869.6
0.4416,0.442,0.4257,0.4278,2843436.3
0.4278,0.4354,0.4231,0.4255,1986745.6
0.4256,0.4289,0.407,0.4173,3123397.3
0.4173,0.4202,0.372,0.4042,7356929.0
0.4041,0.4281,0.4001,0.4236,2964168.4
0.4239,0.4257,0.4148,0.4186,1430716.3
0.4183,0.4209,0.41,0.4189,1514037.4
0.4188,0.4192,0.3994,0.4054,2453671.8
0.4055,0.4058,0.3884,0.4015,2936339.4
0.4014,0.4059,0.3894,0.3927,2746495.0
0.3926,0.4191,0.3859,0.4167,4356933.6
0.4168,0.4383,0.4168,0.4338,3100905.0
0.4341,0.446,0.4293,0.4431,2019034.2
0.443,0.4539,0.4397,0.4405,1817843.8
0.4405,0.4489,0.439,0.4431,862788.7
0.4429,0.4452,0.4303,0.4307,1135474.1
0.4307,0.4388,0.428,0.432,2011795.3
0.432,0.4337,0.4254,0.4306,2090959.6
0.4306,0.4363,0.4257,0.4276,878074.9
0.4278,0.4354,0.4259,0.4332,494724.3
0.4332,0.437,0.429,0.4312,1121021.4
0.4312,0.457,0.4295,0.457,1252929.9
0.4567,0.4653,0.4522,0.4558,1052726.1
0.4557,0.4598,0.4528,0.4555,634243.7
0.4555,0.4568,0.4528,0.4558,468300.8
0.4559,0.4629,0.4547,0.4619,528844.5
0.4618,0.47,0.4598,0.4697,841966.3
0.4695,0.4727,0.4659,0.4692,684114.3
0.4691,0.4724,0.4627,0.4721,646473.1
0.4718,0.4743,0.4543,0.4597,1171468.9
0.4596,0.4663,0.4564,0.4632,1114379.8
0.4632,0.4662,0.4595,0.4656,731443.4
0.4657,0.4671,0.459,0.4607,1343277.3
0.4606,0.4661,0.4592,0.4604,662081.0
0.4602,0.465,0.4545,0.4619,1619567.1
0.4618,0.4877,0.4614,0.4801,3054335.2
0.4801,0.4829,0.4724,0.4808,1056429.1
0.4809,0.4917,0.479,0.4894,1048352.7
0.4893,0.494,0.4878,0.4904,896567.0
0.4906,0.4955,0.4875,0.4878,668284.7
0.4877,0.4943,0.4853,0.4905,568683.8
0.4904,0.4908,0.4837,0.4863,738952.5
0.4862,0.4998,0.4812,0.4998,1740020.4
0.4998,0.5087,0.495,0.5023,2904314.7
0.5022,0.5071,0.4989,0.5061,1377896.6
0.506,0.5061,0.487,0.4997,2950682.9
0.5,0.5171,0.4935,0.5165,3317651.7
0.5166,0.5284,0.5134,0.5158,3512960.5
0.5158,0.5179,0.5091,0.5132,1229081.0
0.5133,0.5261,0.5124,0.5245,1381708.4
0.5242,0.5342,0.5199,0.5279,2515977.3
0.5279,0.5309,0.5231,0.5251,1585050.3
0.5253,0.5329,0.5203,0.5235,1988869.2
0.5236,0.5258,0.5185,0.5246,1472311.6
0.5243,0.5306,0.5238,0.5272,1602031.1
0.5273,0.5297,0.5197,0.5208,1813202.0
0.5206,0.5221,0.5097,0.5133,3610689.8
0.5134,0.5231,0.5098,0.5213,1677099.9
0.5216,0.5252,0.5137,0.5158,1797401.0
0.5158,0.5171,0.4952,0.5032,3208843.9
0.5033,0.5089,0.5001,0.506,1664254.7
0.5058,0.5083,0.5,0.502,1259382.7
0.5022,0.5046,0.4934,0.4999,1705803.6
0.4999,0.504,0.4932,0.4953,1146433.6
0.4952,0.4979,0.4918,0.4958,858453.1
0.4958,0.4989,0.4857,0.4939,1114777.5
0.494,0.4982,0.4898,0.4956,845266.8
0.4957,0.4969,0.4846,0.4961,815236.1
0.4962,0.5016,0.493,0.495,859038.3
0.495,0.496,0.4826,0.4905,1079329.0
0.4907,0.5127,0.4894,0.5117,1543349.9
0.5116,0.5239,0.5112,0.5207,1281892.6
0.5206,0.5245,0.512,0.5122,1056941.7
0.5122,0.5225,0.512,0.5138,896870.0
0.514,0.5204,0.5132,0.5186,468311.5
0.5184,0.5199,0.5138,0.518,462120.7
0.518,0.5182,0.5113,0.5116,435819.9
0.5118,0.5144,0.5089,0.5127,384961.1
0.5128,0.5178,0.5114,0.5146,461514.5
