open,high,low,close,volume
5.3,5.314,5.291,5.301,78642.0
5.3,5.318,5.298,5.318,43991.0
5.318,5.358,5.31,5.321,119836.0
5.32,5.323,5.282,5.286,100053.0
5.287,5.311,5.271,5.278,47254.0
5.277,5.281,5.118,5.124,287983.0
5.124,5.171,5.048,5.104,431744.0
5.105,5.106,4.972,4.991,387641.0
4.991,5.015,4.929,4.942,336383.0
4.943,4.986,4.907,4.913,299691.0
4.912,4.986,4.883,4.937,279840.0
4.935,5.05,4.916,5.045,256805.0
5.046,5.052,5.012,5.031,121497.0
5.033,5.063,4.999,5.006,314804.0
5.006,5.055,4.982,5.047,233813.0
5.047,5.052,4.968,5.013,85652.0
5.014,5.079,5.014,5.061,141652.0
5.062,5.066,5.026,5.042,89750.0
5.042,5.057,5.013,5.017,97162.0
5.018,5.078,5.018,5.054,93007.0
5.054,5.079,5.043,5.058,80927.0
5.057,5.059,4.987,4.992,154710.0
4.992,5.035,4.96,5.005,166139.0
5.005,5.026,4.993,5.002,62950.0
5.001,5.017,4.978,5.015,117595.0
5.014,5.025,4.997,5.005,50964.0
5.006,5.031,4.982,5.029,62439.0
5.029,5.034,4.999,5.004,47649.0
5.003,5.005,4.839,4.868,528301.0
4.867,4.869,4.797,4.803,485741.0
4.804,4.827,4.688,4.699,498054.0
4.698,4.705,4.508,4.637,963698.0
4.636,4.725,4.578,4.719,400359.0
4.719,4.827,4.667,4.791,397500.0
4.791,4.849,4.73,4.768,177700.0
4.768,4.784,4.738,4.766,138800.0
4.767,4.812,4.74,4.773,229739.0
4.772,4.775,4.688,4.702,155559.0
4.703,4.746,4.467,4.523,1240590.0
4.521,4.535,4.05,4.233,3514728.0
4.234,4.265,4.119,4.26,1420983.0
4.26,4.262,4.158,4.175,610608.0
4.173,4.253,4.16,4.185,517167.0
4.185,4.223,4.022,4.136,1795197.0
4.137,4.158,3.81,4.083,3794769.0
4.083,4.291,4.064,4.247,1423499.0
4.249,4.262,4.146,4.183,740168.0
4.184,4.235,4.116,4.184,739613.0
4.184,4.187,4.014,4.038,862712.0
4.037,4.04,3.871,4.025,1501758.0
4.025,4.066,3.889,3.91,1608411.0
3.909,4.209,3.86,4.183,2246058.0
4.185,4.38,4.184,4.342,1476265.0
4.343,4.436,4.303,4.39,961237.0
4.39,4.453,4.336,4.341,802599.0
4.341,4.4,4.314,4.355,432248.0
4.355,4.362,4.221,4.225,440203.0
4.225,4.305,4.207,4.276,583044.0
4.275,4.341,4.272,4.321,384807.0
4.321,4.369,4.281,4.313,402294.0
4.313,4.395,4.298,4.371,264732.0
4.372,4.41,4.308,4.316,211436.0
4.317,4.532,4.308,4.531,711314.0
4.532,4.573,4.463,4.496,442985.0
4.495,4.521,4.474,4.512,268361.0
4.512,4.522,4.486,4.502,150423.0
4.503,4.531,4.473,4.526,183432.0
4.526,4.578,4.503,4.574,202041.0
4.573,4.617,4.552,4.592,279318.0
4.592,4.642,4.567,4.619,336392.0
4.619,4.619,4.471,4.515,357887.0
4.515,4.527,4.476,4.522,304490.0
4.522,4.529,4.391,4.433,1361543.0
4.433,4.442,4.374,4.41,507277.0
4.409,4.432,4.365,4.383,355213.0
4.381,4.43,4.325,4.389,617898.0
4.388,4.589,4.386,4.506,733548.0
4.507,4.545,4.453,4.53,368815.0
4.531,4.574,4.492,4.545,250313.0
4.546,4.559,4.496,4.497,169459.0
4.497,4.568,4.495,4.532,155086.0
4.531,4.555,4.499,4.507,151218.0
4.506,4.53,4.477,4.501,195395.0
4.501,4.517,4.478,4.516,83860.0
4.515,4.564,4.47,4.502,231418.0
4.502,4.517,4.456,4.488,121020.0
4.488,4.525,4.438,4.501,245569.0
4.502,4.593,4.449,4.587,258729.0
4.587,4.632,4.533,4.566,253794.0
4.566,4.603,4.553,4.588,148566.0
4.588,4.638,4.581,4.593,180902.0
4.593,4.617,4.566,4.569,130251.0
4.569,4.574,4.534,4.55,111926.0
4.55,4.572,4.514,4.55,170201.0
4.549,4.579,4.541,4.561,166511.0
4.561,4.6,4.545,4.559,153372.0
4.559,4.609,4.55,4.559,158157.0
4.559,4.569,4.525,4.532,156242.0
4.533,4.574,4.496,4.568,304269.0
4.566,4.584,4.516,4.534,206892.0
4.535,4.548,4.328,4.385,725306.0
4.385,4.42,4.353,4.384,348605.0
4.384,4.396,4.326,4.343,364090.0
4.343,4.366,4.284,4.328,279341.0
4.328,4.346,4.25,4.27,453669.0
4.271,4.306,4.264,4.302,209323.0
4.304,4.353,4.25,4.321,360243.0
4.322,4.34,4.291,4.331,149675.0
4.331,4.342,4.252,4.339,202294.0
4.34,4.367,4.306,4.333,121165.0
4.334,4.365,4.254,4.329,356859.0
4.329,4.478,4.326,4.458,544756.0
4.457,4.559,4.455,4.541,241681.0
4.542,4.568,4.501,4.501,148011.0
4.502,4.544,4.491,4.494,123806.0
4.493,4.551,4.491,4.534,117009.0
4.534,4.553,4.515,4.531,125739.0
4.531,4.535,4.497,4.501,86538.0
4.501,4.52,4.489,4.512,104006.0
4.512,4.52,4.479,4.496,119959.0
4.497,4.514,4.474,4.499,175763.0
4.501,4.528,4.482,4.518,136603.0
4.518,4.664,4.505,4.58,864856.0
4.581,4.639,4.534,4.546,698897.0
4.546,4.699,4.539,4.662,805301.0
4.662,4.684,4.639,4.674,474364.0
4.674,4.744,4.667,4.714,366689.0
4.714,4.728,4.684,4.689,186629.0
4.688,4.701,4.681,4.696,67159.0
4.694,4.717,4.686,4.696,77569.0
4.697,4.724,4.691,4.708,100041.0
4.709,4.822,4.708,4.81,141056.0
4.815,4.883,4.769,4.86,326192.0
4.859,4.878,4.826,4.849,178463.0
4.848,4.857,4.806,4.824,200093.0
4.824,4.83,4.792,4.818,200977.0
4.818,4.824,4.795,4.796,94004.0
4.797,4.82,4.792,4.802,76624.0
4.801,4.81,4.729,4.731,133578.0
4.731,4.777,4.713,4.772,124227.0
4.773,4.794,4.762,4.781,82381.0
4.781,4.812,4.777,4.788,95463.0
4.788,4.823,4.766,4.812,83034.0
4.812,4.835,4.81,4.822,250504.0
4.824,4.846,4.805,4.842,408774.0
4.843,4.889,4.837,4.862,422383.0
4.863,4.873,4.801,4.824,236932.0
