open,high,low,close,volume
0.2457,0.2458,0.2418,0.2421,6068599.0
0.242,0.2477,0.2413,0.2463,7337696.0
0.2465,0.2497,0.2447,0.2496,6349944.0
0.2496,0.2498,0.2471,0.2481,2608745.0
0.2481,0.2486,0.2443,0.2449,2561169.0
0.2449,0.2449,0.2394,0.2396,6366133.0
0.2396,0.2414,0.2389,0.2398,12442457.0
0.2398,0.2401,0.2388,0.239,12924791.0
0.239,0.2423,0.2379,0.2412,16553161.0
0.2412,0.2429,0.2378,0.238,8654233.0
0.2379,0.2415,0.2378,0.2391,5348912.0
0.2391,0.2428,0.2384,0.2417,4245434.0
0.2417,0.246,0.2413,0.2426,5274952.0
0.2427,0.2436,0.24,0.2426,4792130.0
0.2425,0.2426,0.239,0.2395,4983291.0
0.2395,0.2407,0.2381,0.2394,3267869.0
0.2394,0.2454,0.2389,0.2453,4760102.0
0.2454,0.2456,0.2423,0.2423,3170928.0
0.2423,0.2449,0.2423,0.2425,2431816.0
0.2426,0.2452,0.242,0.244,1698667.0
0.244,0.2441,0.2409,0.2409,2106431.0
0.2409,0.2423,0.2391,0.2398,2307352.0
0.2399,0.2417,0.2389,0.2397,2767142.0
0.2398,0.2406,0.2389,0.2401,1690849.0
0.24,0.2421,0.2388,0.2419,2369014.0
0.2418,0.2423,0.2396,0.2398,2162178.0
0.2398,0.2414,0.2389,0.2408,2411759.0
0.2408,0.2413,0.2394,0.2394,1649433.0
0.2393,0.24,0.2367,0.238,18766601.0
0.2381,0.2395,0.237,0.2384,7740595.0
0.2384,0.2408,0.2371,0.2377,12463220.0
0.2376,0.2429,0.2367,0.2399,23964745.0
0.24,0.2404,0.2372,0.2377,10196697.0
0.2376,0.2452,0.2376,0.24,13460606.0
0.2401,0.2444,0.2394,0.2431,8443748.0
0.2431,0.2454,0.2417,0.2454,4581952.0
0.2453,0.2499,0.2444,0.2471,8657474.0
0.2471,0.248,0.2375,0.2381,8942483.0
0.2381,0.2396,0.2367,0.2385,36666102.0
0.2385,0.2521,0.2331,0.2457,114266454.0
0.2458,0.2485,0.2388,0.2454,44510851.0
0.2453,0.2459,0.2393,0.2433,24711077.0
0.2434,0.2478,0.2427,0.247,24233225.0
0.247,0.2481,0.238,0.2444,40988946.0
0.2445,0.2461,0.2338,0.2383,92825714.0
0.2382,0.2449,0.2367,0.2421,37869354.0
0.2422,0.2447,0.235,0.236,37884798.0
