open,high,low,close,volume
1.1938,1.1972,1.1878,1.1902,142955.7
1.1899,1.1934,1.1875,1.1886,145352.5
1.1881,1.1949,1.1823,1.1852,429588.9
1.1849,1.1862,1.1723,1.176,416315.3
1.176,1.1863,1.1723,1.1739,326334.0
1.1737,1.1749,1.1343,1.1359,624207.6
1.1359,1.1452,1.1183,1.1238,1141731.1
1.1238,1.1247,1.084,1.0888,1014415.6
1.089,1.0994,1.073,1.0822,568550.9
1.0822,1.0921,1.0701,1.0707,427133.4
1.0707,1.0924,1.0651,1.0785,522062.8
1.0786,1.1,1.0762,1.0988,343083.8
1.0989,1.1073,1.092,1.0942,204794.7
1.0943,1.102,1.0858,1.0949,169648.7
1.0948,1.104,1.0926,1.1004,250525.0
1.1005,1.1022,1.0871,1.1006,163046.4
1.1007,1.1239,1.1007,1.1202,214278.4
1.1202,1.1206,1.1055,1.1117,156679.0
1.1111,1.1143,1.1047,1.1065,105491.6
1.1062,1.1143,1.1047,1.1112,118325.9
1.1109,1.1181,1.11,1.1159,105562.0
1.1161,1.1172,1.0999,1.1021,124450.7
1.102,1.116,1.0955,1.1079,207114.0
1.1077,1.1142,1.1065,1.1078,116021.1
1.1074,1.1126,1.1032,1.1123,131415.7
1.1123,1.1151,1.1079,1.109,105873.0
1.1093,1.1216,1.1062,1.1208,151615.5
1.1208,1.1238,1.1098,1.1105,234579.4
1.1101,1.1115,1.0731,1.0786,443213.7
1.0793,1.0793,1.0631,1.0671,403447.3
1.0672,1.0748,1.0463,1.0487,762339.5
1.0483,1.0665,1.0311,1.0612,793239.5
1.061,1.087,1.0473,1.086,467123.2
1.0859,1.1211,1.0758,1.1135,768307.6
1.1132,1.1212,1.0992,1.1059,433584.4
1.1058,1.1081,1.0993,1.1034,248017.8
1.1035,1.123,1.101,1.1104,349640.7
1.11,1.1113,1.0916,1.0987,302409.5
1.0985,1.1089,1.0318,1.0483,997481.9
1.0483,1.0517,0.9101,0.9852,3737039.6
0.9852,0.995,0.958,0.9932,1392954.9
0.9929,0.9939,0.9679,0.9761,647373.9
0.9762,0.9977,0.9722,0.986,466300.3
0.9864,0.9963,0.9495,0.9756,1439714.3
0.9756,0.981,0.887,0.9444,2836196.0
0.944,0.9959,0.9352,0.9838,1019149.9
0.984,0.9849,0.9584,0.966,754182.4
0.9658,0.9758,0.953,0.9727,579010.9
0.9725,0.9738,0.9348,0.9416,815313.1
0.9425,0.9462,0.9102,0.9445,1216412.5
0.9445,0.9558,0.9158,0.9221,1370757.3
0.9217,0.9899,0.9046,0.9851,1861921.9
0.9852,1.0328,0.9852,1.0253,1281755.8
1.0257,1.062,1.0164,1.0546,720083.9
1.0544,1.0825,1.0467,1.0525,830916.2
1.0527,1.0691,1.0444,1.0576,564935.8
1.0578,1.0625,1.0197,1.0206,502468.3
1.0209,1.0374,1.0149,1.0296,566435.8
1.0297,1.0445,1.0268,1.0374,339032.3
1.0373,1.0504,1.0245,1.0313,359651.7
1.0312,1.0467,1.028,1.0413,174997.3
1.0411,1.0496,1.0244,1.0252,188497.3
1.025,1.0755,1.0214,1.0714,458031.4
1.0714,1.0844,1.0504,1.0573,375408.5
1.0572,1.0632,1.0512,1.0615,217106.6
1.0612,1.0648,1.0539,1.058,110940.3
1.0584,1.0699,1.0527,1.0683,158319.5
1.0683,1.0833,1.0616,1.0824,203616.4
