open,high,low,close,volume
0.1724,0.1724,0.1716,0.1718,332268.1
0.1719,0.1726,0.1718,0.1722,401202.3
0.1723,0.1735,0.1716,0.1722,1089490.8
0.1722,0.1723,0.1715,0.1718,463540.5
0.1719,0.1726,0.1715,0.1716,337730.3
0.1717,0.1717,0.1674,0.1677,1267337.1
0.1678,0.1687,0.1648,0.1666,3896542.6
0.1667,0.1669,0.1636,0.1641,2698983.6
0.1641,0.1652,0.1627,0.1632,2373456.1
0.1633,0.1642,0.1619,0.1621,2303750.6
0.1621,0.1641,0.1613,0.1631,2088620.1
0.1631,0.1655,0.1624,0.1654,1787314.7
0.1655,0.1663,0.1649,0.1658,1142949.3
0.1659,0.167,0.1655,0.1664,1506957.0
0.1663,0.167,0.1656,0.1667,690100.0
0.1667,0.167,0.1656,0.1665,745706.6
0.1664,0.1684,0.1662,0.1676,560230.1
0.1677,0.1678,0.1666,0.1669,237157.3
0.1669,0.1679,0.1668,0.1669,579457.3
0.1669,0.1683,0.1669,0.1679,416642.6
0.1679,0.1682,0.1676,0.1678,404099.9
0.1679,0.1679,0.1661,0.1662,624321.1
0.1662,0.1673,0.1653,0.1668,689521.4
0.1668,0.1673,0.1661,0.1662,364680.9
0.1662,0.1662,0.1654,0.1659,1018015.4
0.1658,0.1662,0.1644,0.1644,1684749.2
0.1645,0.1649,0.1637,0.1637,2796678.2
0.1638,0.1646,0.1623,0.1623,1980708.3
0.1622,0.1627,0.1581,0.1582,3136879.9
0.1583,0.1583,0.1565,0.1568,2248340.4
0.1567,0.1576,0.1542,0.1545,3275815.9
0.1545,0.1552,0.1516,0.1541,4253230.7
0.154,0.1564,0.1527,0.1562,2054344.7
0.1562,0.1608,0.1552,0.1603,3546936.3
0.1602,0.1612,0.1583,0.1591,2429491.4
0.1592,0.1596,0.158,0.1587,1237120.3
0.1588,0.1616,0.1586,0.1596,1739355.3
0.1595,0.1595,0.157,0.1577,1576838.6
0.1576,0.1583,0.1493,0.1513,6680353.1
0.1512,0.1517,0.1358,0.1445,22712424.5
0.1446,0.1459,0.1412,0.1459,10910941.2
0.1459,0.146,0.1419,0.142,4824703.4
0.142,0.1454,0.142,0.1435,4174811.0
0.1436,0.144,0.138,0.1416,11379673.5
0.1415,0.142,0.1301,0.1379,24621420.8
0.1378,0.145,0.1373,0.1435,10284417.5
0.1435,0.1439,0.1405,0.1426,7190354.6
0.1425,0.1443,0.141,0.1435,4945615.9
0.1434,0.1436,0.1385,0.1397,8062340.4
0.1398,0.1406,0.1348,0.1404,9418626.0
0.1404,0.1417,0.1363,0.1376,9950926.5
0.1376,0.1482,0.1365,0.1478,14950144.2
0.1478,0.1551,0.1478,0.1536,16058975.1
0.1537,0.1572,0.1515,0.1558,10055333.1
0.1558,0.1588,0.155,0.1559,6452502.3
0.156,0.1582,0.1554,0.1574,3791069.4
0.1574,0.1577,0.1517,0.1517,5278417.0
0.1517,0.1539,0.1508,0.1531,7005964.2
0.1532,0.155,0.1529,0.1544,3499530.7
0.1544,0.1557,0.1527,0.153,4276778.5
0.153,0.1548,0.1526,0.1541,2720555.3
0.1541,0.1551,0.1521,0.1522,2450064.1
0.1522,0.1581,0.1519,0.1578,5626169.4
0.1578,0.1593,0.1558,0.1563,4600422.5
0.1563,0.1573,0.1558,0.1571,1872135.8
0.157,0.1574,0.1558,0.1558,1399145.8
0.1559,0.1575,0.1554,0.1571,1519985.6
0.1571,0.1591,0.1566,0.1589,1543745.3
0.1588,0.1598,0.1581,0.1582,1968298.9
0.1582,0.1597,0.1578,0.1595,2065849.8
0.1594,0.1596,0.1552,0.1564,2619413.3
0.1563,0.1566,0.1548,0.1564,2686197.0
0.1565,0.1567,0.1549,0.1557,1028245.7
0.1557,0.1571,0.1551,0.1562,1879292.4
0.1562,0.157,0.1553,0.1557,1644139.8
0.1557,0.1568,0.1539,0.1555,3363636.1
0.1555,0.1609,0.1554,0.159,4568904.3
0.159,0.1605,0.1576,0.1597,2644758.4
0.1596,0.1606,0.1581,0.1596,1738611.7
0.1596,0.1597,0.1579,0.1579,1433438.6
0.1579,0.1595,0.1577,0.1584,1245939.0
0.1584,0.1592,0.1577,0.1581,828487.3
0.1581,0.1585,0.1568,0.1572,1654373.8
0.1571,0.1581,0.1564,0.1581,1183479.4
0.1581,0.1593,0.1562,0.1575,1784481.4
0.1575,0.1576,0.1556,0.1564,930413.3
0.1564,0.1581,0.1558,0.1569,2846351.7
0.1569,0.1593,0.1553,0.1593,3102344.5
0.1592,0.1604,0.1575,0.1583,1772345.5
0.1584,0.1595,0.158,0.1591,855456.9
0.1589,0.1606,0.1588,0.1592,1077556.6
0.1593,0.1602,0.1585,0.1586,1113935.6
0.1586,0.1594,0.1578,0.159,731446.7
0.159,0.1594,0.1579,0.1588,785779.5
0.1589,0.1599,0.1583,0.1598,908161.6
0.1597,0.1605,0.1587,0.1589,1469242.7
0.1588,0.1606,0.1587,0.1588,1346079.5
0.1588,0.1591,0.1575,0.1577,1265046.7
0.1577,0.1586,0.1569,0.1585,1373178.3
0.1585,0.1591,0.1567,0.1572,2152696.6
0.1572,0.1578,0.1516,0.1541,5560233.6
0.1541,0.1553,0.1534,0.1541,2988012.1
0.1541,0.1546,0.1531,0.1537,2180385.8
0.1538,0.1545,0.152,0.1532,1689275.2
0.1531,0.1536,0.1509,0.1515,2523016.5
0.1515,0.1525,0.1511,0.1524,1266775.2
0.1524,0.1542,0.1513,0.1533,3185255.9
0.1533,0.1546,0.1527,0.1543,1309079.8
0.1541,0.1548,0.1522,0.1546,2006323.3
0.1546,0.1553,0.1535,0.1544,1173639.3
0.1545,0.1549,0.1513,0.1534,3006796.8
0.1535,0.1589,0.1533,0.1587,3293276.9
0.1587,0.1613,0.1586,0.161,2848998.0
0.161,0.1616,0.1595,0.1595,1594122.3
0.1595,0.1614,0.1595,0.16,1113886.7
0.1601,0.1614,0.1601,0.161,913150.7
0.1609,0.1619,0.1601,0.1617,953136.1
0.1616,0.1619,0.1603,0.1604,966748.7
0.1604,0.1609,0.16,0.1607,532154.9
0.1607,0.1616,0.1601,0.1607,514102.5
0.1608,0.1612,0.1601,0.1607,607811.0
0.1607,0.162,0.1605,0.1615,725467.6
0.1614,0.1647,0.1608,0.1628,3584509.6
0.1627,0.1634,0.1604,0.1621,2180935.3
0.162,0.1649,0.1618,0.1648,1848592.2
0.1648,0.1652,0.1638,0.1647,1180860.6
