open,high,low,close,volume
0.3472,0.3476,0.3433,0.3436,5231515.0
0.3435,0.3465,0.343,0.3454,3469386.0
0.3455,0.3543,0.3453,0.3518,4719815.0
0.3518,0.3522,0.3464,0.3482,3277722.0
0.3482,0.3508,0.3452,0.3456,2654133.0
0.3456,0.3479,0.3326,0.334,9996551.0
0.3339,0.3364,0.324,0.3297,16423754.0
0.3297,0.3304,0.3186,0.3203,11839375.0
0.3203,0.3225,0.3138,0.3156,9145237.0
0.3157,0.3221,0.314,0.3145,5828702.0
0.3145,0.3198,0.3118,0.3138,5101807.0
0.3138,0.3206,0.3126,0.3196,4036179.0
0.3196,0.3225,0.3176,0.3195,3423571.0
0.3195,0.3232,0.3176,0.3205,3181471.0
0.3206,0.3284,0.3192,0.328,2904543.0
0.3281,0.3284,0.3202,0.326,3598023.0
0.3259,0.3378,0.3255,0.3356,6108230.0
0.3357,0.3372,0.3323,0.3351,3467315.0
0.3351,0.339,0.3323,0.3342,3606010.0
0.3342,0.3398,0.3334,0.3381,3057678.0
0.338,0.3388,0.3354,0.3373,2030011.0
0.3374,0.3374,0.3285,0.3293,5546350.0
0.3293,0.3341,0.3266,0.3311,7916609.0
0.3311,0.3317,0.3287,0.3296,3075223.0
0.3295,0.3297,0.326,0.3291,3299363.0
0.3291,0.33,0.3265,0.3281,2115492.0
0.328,0.3329,0.3269,0.3325,3111795.0
0.3325,0.3335,0.3284,0.3286,2694935.0
0.3286,0.3292,0.3154,0.3188,10949742.0
0.3188,0.3189,0.3088,0.3098,9635704.0
0.3099,0.3134,0.2966,0.2972,22695431.0
0.297,0.304,0.2897,0.2995,21406148.0
0.2996,0.3069,0.2954,0.3057,9743757.0
0.3056,0.3195,0.3031,0.3166,8871651.0
0.3165,0.3213,0.314,0.3183,5045261.0
0.3183,0.3191,0.3142,0.3151,3457511.0
0.3152,0.3205,0.3131,0.3148,6524819.0
0.3147,0.3147,0.3057,0.3068,4950860.0
0.3068,0.3107,0.2946,0.2998,21817364.0
0.2998,0.3007,0.26,0.2806,73143835.0
0.2806,0.2815,0.2719,0.279,22059706.0
0.2789,0.2792,0.2707,0.2754,23188350.0
0.2754,0.2804,0.2723,0.2743,9095409.0
0.2743,0.2777,0.2634,0.2693,28070946.0
0.2693,0.2703,0.2426,0.2594,69774087.0
0.2594,0.2719,0.2577,0.2687,20477696.0
0.2686,0.2701,0.2609,0.2636,13252068.0
0.2637,0.2651,0.2547,0.2598,11310599.0
0.2598,0.2598,0.2478,0.25,16553711.0
0.25,0.2503,0.2391,0.2487,25044054.0
0.2486,0.2526,0.2421,0.2451,26536759.0
0.2451,0.2625,0.2408,0.2617,38789453.0
0.2618,0.2771,0.2617,0.2738,24084181.0
0.2738,0.2784,0.2702,0.2757,15623945.0
0.2757,0.2826,0.2718,0.2724,15123597.0
0.2724,0.2768,0.2708,0.273,7686481.0
0.273,0.2731,0.2634,0.2637,9677173.0
0.2637,0.2714,0.2636,0.268,10200212.0
0.2679,0.2723,0.2678,0.2719,5568009.0
0.2718,0.2762,0.2692,0.2715,5020123.0
0.2715,0.2764,0.2707,0.275,4010823.0
0.2751,0.2782,0.2696,0.2698,4320602.0
0.2698,0.2882,0.2694,0.2881,14037310.0
0.2881,0.2979,0.2865,0.2904,14601483.0
0.2904,0.2957,0.2899,0.2928,4446308.0
0.293,0.293,0.2871,0.2872,3637537.0
0.2873,0.294,0.2856,0.2923,5860026.0
0.2923,0.3021,0.2914,0.3017,7324996.0
0.3017,0.302,0.2962,0.2984,8531268.0
0.2983,0.2988,0.2941,0.2976,5430762.0
0.2977,0.2977,0.2866,0.2893,9168518.0
0.2894,0.291,0.2871,0.2902,5547215.0
0.2903,0.2911,0.2864,0.2884,2955181.0
0.2883,0.291,0.2862,0.2885,2999107.0
0.2885,0.2919,0.2861,0.2883,6687312.0
0.2882,0.2927,0.2844,0.291,8653485.0
0.291,0.3058,0.2907,0.3008,17811224.0
0.3008,0.3036,0.2945,0.3001,9262188.0
0.3001,0.3042,0.2968,0.3029,6847562.0
0.3029,0.3046,0.2984,0.2986,4564791.0
0.2986,0.303,0.2983,0.2999,3378221.0
0.2998,0.3001,0.2963,0.2974,3540844.0
0.2973,0.2987,0.2947,0.2981,3034245.0
0.298,0.2991,0.2956,0.2984,2443297.0
0.2984,0.3026,0.295,0.2961,4775563.0
0.2962,0.2964,0.2916,0.2936,4231958.0
0.2936,0.295,0.288,0.2929,5726547.0
0.293,0.3005,0.2888,0.2999,4719861.0
0.2999,0.3062,0.2966,0.2986,5949282.0
0.2985,0.3015,0.2972,0.3002,2927309.0
0.3001,0.3058,0.2996,0.3027,6537811.0
0.3027,0.305,0.2995,0.3003,4540050.0
0.3004,0.3016,0.2978,0.2986,2644544.0
0.2985,0.3005,0.2953,0.2992,2599242.0
0.2993,0.3028,0.2986,0.3005,2696316.0
0.3005,0.3021,0.2982,0.2988,3234211.0
0.2988,0.3022,0.2967,0.2968,3231612.0
0.2968,0.2976,0.291,0.2915,5238613.0
0.2915,0.2959,0.2907,0.2953,4341558.0
0.2954,0.2972,0.2917,0.2929,5078408.0
0.2927,0.2941,0.2772,0.2813,11979593.0
0.2814,0.2855,0.28,0.2825,6086457.0
0.2825,0.284,0.278,0.2802,5550102.0
0.2801,0.281,0.2745,0.2786,5673350.0
0.2785,0.2805,0.274,0.2756,5530623.0
0.2757,0.2785,0.2747,0.2764,2757262.0
0.2765,0.2801,0.2722,0.2771,5363637.0
0.2771,0.2781,0.2742,0.2757,2332561.0
0.2757,0.2763,0.2701,0.2753,2804881.0
0.2753,0.2771,0.2722,0.274,2205297.0
0.274,0.2762,0.2684,0.274,5588531.0
0.2741,0.2879,0.2738,0.2869,8604475.0
0.2867,0.2965,0.2866,0.2934,7261475.0
0.2935,0.295,0.2884,0.2885,3992435.0
0.2885,0.2947,0.2885,0.2894,5382127.0
0.2894,0.2952,0.2893,0.2939,3225208.0
0.2939,0.2961,0.292,0.2931,2756598.0
0.2932,0.2943,0.2894,0.2894,2991908.0
0.2896,0.2919,0.2891,0.2913,3124560.0
0.2913,0.292,0.2888,0.2901,2497785.0
0.2901,0.2922,0.2886,0.2913,2557193.0
0.2913,0.2929,0.2906,0.2912,1819537.0
0.2913,0.302,0.2898,0.2945,11257123.0
0.2945,0.2974,0.2882,0.2909,7498902.0
0.2909,0.3033,0.2902,0.3025,9084659.0
0.3024,0.3063,0.299,0.3045,8549248.0
0.3046,0.3204,0.3036,0.3178,20105784.0
0.3178,0.3275,0.3167,0.3235,20710667.0
0.3235,0.326,0.3196,0.3213,10334796.0
0.3213,0.3221,0.3173,0.3184,5020145.0
0.3185,0.3216,0.3171,0.32,3448734.0
0.3199,0.3285,0.3183,0.3278,4950699.0
0.3279,0.3312,0.3247,0.3296,9090263.0
0.3296,0.3336,0.3259,0.3299,7993139.0
0.3299,0.3304,0.3228,0.324,8679129.0
0.3241,0.3252,0.3218,0.3229,4577808.0
0.323,0.3234,0.3204,0.3205,2186341.0
0.3206,0.3239,0.3201,0.3226,2238668.0
0.3226,0.3256,0.3181,0.3188,4774476.0
0.3187,0.3238,0.3171,0.3238,4158976.0
0.3238,0.3266,0.3212,0.3255,4133034.0
0.3254,0.3298,0.324,0.3241,4726218.0
0.324,0.3289,0.3229,0.3279,3445472.0
0.3279,0.3301,0.3241,0.3252,5067138.0
0.3253,0.3254,0.3199,0.3238,5780295.0
0.3238,0.3248,0.3211,0.3234,2796317.0
0.3235,0.3243,0.319,0.3219,3676965.0
0.3218,0.3236,0.3167,0.3228,6486202.0
0.3228,0.3271,0.3138,0.3198,9399256.0
0.3199,0.3214,0.3165,0.3169,4339608.0
0.3169,0.3222,0.3161,0.3208,3946330.0
0.3208,0.3227,0.3192,0.3204,2300421.0
0.3204,0.3214,0.3186,0.3211,1790444.0
0.321,0.3224,0.3194,0.3215,1123000.0
0.3216,0.3239,0.3201,0.3225,1722254.0
0.3224,0.3235,0.3184,0.3229,2861555.0
0.3229,0.3246,0.3197,0.3213,2708887.0
0.3213,0.3245,0.3188,0.3234,3132909.0
0.3233,0.328,0.3185,0.3188,5714219.0
0.3188,0.3213,0.3175,0.319,2133360.0
0.3191,0.321,0.3185,0.319,1510797.0
0.319,0.319,0.3162,0.3181,1373866.0
0.3182,0.3182,0.3146,0.3164,1709887.0
0.3163,0.3168,0.315,0.3154,1193819.0
0.3155,0.3178,0.3149,0.3177,1167797.0
0.3177,0.3199,0.3166,0.3198,1932739.0
0.3199,0.32,0.3166,0.3169,1395285.0
0.3169,0.3219,0.3164,0.3198,3587775.0
0.3198,0.3212,0.318,0.3194,1979050.0
0.3195,0.3202,0.318,0.3184,1362986.0
0.3184,0.3186,0.3166,0.3173,1557963.0
0.3173,0.3176,0.3135,0.314,2902087.0
0.3139,0.3158,0.3127,0.3147,1809890.0
0.3146,0.3176,0.3138,0.3143,2430153.0
0.3143,0.3171,0.3132,0.3169,2711544.0
0.3169,0.3204,0.3154,0.3195,2566950.0
0.3195,0.3212,0.3171,0.3175,2546124.0
0.3176,0.3186,0.3158,0.3175,1884280.0
0.3176,0.3192,0.3167,0.3188,1115172.0
0.3188,0.3226,0.3187,0.322,1708987.0
0.3219,0.3225,0.3194,0.3194,1898914.0
0.3195,0.3199,0.3173,0.3182,1649791.0
0.3182,0.325,0.3169,0.3233,5438774.0
0.3233,0.3262,0.322,0.3247,3536552.0
0.3247,0.327,0.3237,0.3251,2592869.0
0.3252,0.3304,0.3247,0.3268,3685147.0
0.3269,0.3294,0.3221,0.3229,6098579.0
0.3229,0.325,0.322,0.3244,1801785.0
0.3244,0.3245,0.3209,0.3231,2298572.0
0.3231,0.3267,0.3221,0.3262,2308587.0
0.3262,0.3277,0.324,0.3253,3649780.0
0.3253,0.3303,0.3239,0.3254,6772218.0
0.3254,0.3268,0.3212,0.3216,4507482.0
0.3216,0.3218,0.3131,0.3151,6028941.0
0.3151,0.3159,0.3091,0.3104,6846445.0
0.3104,0.3105,0.3044,0.3073,6280272.0
0.3072,0.3089,0.302,0.3037,4075930.0
0.3036,0.3038,0.2983,0.3001,5758637.0
0.3001,0.3007,0.2981,0.2992,3983847.0
0.2992,0.3018,0.2982,0.3003,2209322.0
