open,high,low,close,volume
380.97,382.32,379.24,381.29,9808.656
381.29,381.6,379.43,379.78,7435.183
379.75,382.48,378.26,379.41,14419.74
379.39,379.53,376.34,377.77,15706.047
377.76,380.99,377.09,377.34,15743.667
377.32,377.33,366.08,367.44,57885.264
367.43,370.33,362.15,364.67,49129.764
364.75,365.02,357.7,359.16,31231.528
359.16,362.44,356.12,359.69,33368.606
359.7,361.86,356.3,356.63,19564.808
356.63,361.35,353.79,358.5,25032.029
358.51,364.0,355.5,363.61,20166.968
363.61,365.12,362.03,363.59,9911.336
363.6,365.74,362.37,364.01,16010.885
363.98,366.91,363.23,366.21,10150.766
366.21,366.7,360.54,363.29,17755.05
363.29,364.73,360.8,361.98,13936.561
361.98,362.76,360.67,361.9,8204.244
361.9,363.42,359.54,359.87,8842.369
359.89,362.89,359.69,361.63,6707.617
361.63,362.29,360.01,360.25,6036.061
360.25,360.64,352.51,353.02,27898.648
353.02,353.6,348.98,350.79,36728.17
350.79,352.07,348.88,349.25,16533.51
349.25,350.32,348.06,349.65,14729.866
349.65,354.92,349.15,352.79,19702.719
352.79,354.71,348.88,353.96,14981.642
353.97,354.45,352.0,352.33,8604.066
352.27,360.4,343.45,353.02,121424.317
353.06,354.8,348.47,350.35,55531.834
350.43,352.92,344.13,344.89,44845.761
344.85,346.16,331.59,336.81,82814.812
336.8,341.94,331.84,341.3,51723.973
341.28,349.54,337.35,345.28,33566.775
345.27,349.98,342.89,345.14,17404.491
345.14,345.41,340.82,341.41,11920.038
341.42,344.56,338.67,340.33,20786.354
340.32,340.32,330.63,332.04,42123.067
332.04,335.38,316.29,321.63,109118.947
321.53,323.1,287.0,307.81,270308.742
307.81,308.81,298.09,304.61,90345.55
304.62,304.73,295.33,296.1,67960.188
296.09,303.42,295.46,299.16,47705.572
299.14,303.79,289.43,296.37,94001.588
296.44,298.16,272.66,287.28,198620.44
287.28,305.58,285.42,301.99,135427.383
302.07,302.39,293.8,297.17,56834.151
297.2,299.7,292.26,297.47,43368.057
297.45,297.74,287.09,290.08,65680.537
290.07,291.25,280.26,289.34,98223.775
289.35,292.12,280.75,280.93,99042.914
280.92,297.65,277.18,296.23,125778.917
296.24,311.67,296.24,308.87,105608.183
308.84,313.74,305.0,312.45,65103.657
312.39,317.28,309.55,310.46,68740.917
310.48,315.5,308.76,309.8,57229.029
309.78,310.58,301.21,301.6,58394.897
301.57,306.85,300.05,304.03,38976.983
303.94,308.44,303.85,307.24,26877.353
307.2,312.75,305.41,308.45,22365.449
308.45,314.14,308.16,313.48,21160.614
313.47,315.97,308.7,309.51,21881.523
309.52,325.71,308.74,325.43,53241.791
325.43,329.65,320.6,322.05,51682.254
322.08,322.55,318.68,320.78,25078.642
320.77,322.5,318.24,319.21,21478.241
319.2,321.01,317.11,320.57,21208.444
320.52,322.86,318.03,322.0,27717.503
321.99,325.33,319.68,322.34,25420.151
322.33,325.25,321.09,323.97,23400.632
323.96,324.01,311.94,314.86,46711.341
314.92,315.54,311.7,315.15,26229.264
315.1,315.36,311.14,312.31,29968.282
312.31,315.34,310.6,313.22,20661.711
313.21,315.85,309.01,310.68,31858.234
310.67,313.83,306.68,311.07,45077.382
311.09,324.42,310.68,319.77,55070.705
319.79,322.24,315.61,320.4,24196.291
320.43,324.34,319.12,322.34,25976.53
322.34,324.24,318.08,318.1,13703.638
318.09,321.72,318.0,318.97,11102.304
318.94,320.29,316.76,317.64,11908.81
317.67,319.4,315.3,317.28,16624.262
317.27,319.2,315.57,318.94,7259.482
