open,high,low,close,volume
0.4662,0.4662,0.4619,0.4643,171856.0
0.4643,0.4655,0.4624,0.4642,186416.0
0.4644,0.4692,0.4637,0.466,340550.0
0.466,0.4663,0.4632,0.4641,180339.0
0.4639,0.4667,0.4627,0.4641,270024.0
0.464,0.4644,0.4491,0.4497,436395.0
0.4499,0.4534,0.4417,0.4468,1140720.0
0.4467,0.4469,0.4357,0.4379,720487.0
0.4376,0.4387,0.4279,0.4298,569248.0
0.43,0.4329,0.4255,0.4255,480875.0
0.4257,0.4285,0.4211,0.4227,620002.0
0.4229,0.4333,0.4208,0.4325,493716.0
0.4325,0.4348,0.4292,0.4317,316486.0
0.4319,0.4336,0.4288,0.4313,269609.0
0.4314,0.4388,0.4302,0.4381,422130.0
0.4383,0.4386,0.4321,0.4361,205333.0
0.4362,0.4465,0.4359,0.4433,231855.0
0.4434,0.4445,0.4404,0.441,123415.0
0.4412,0.4443,0.4387,0.439,90608.0
0.439,0.4432,0.4387,0.4412,70345.0
0.4414,0.4444,0.4409,0.4432,75689.0
0.4432,0.4436,0.4367,0.4373,192687.0
0.4371,0.4425,0.4348,0.44,240928.0
0.44,0.4423,0.4395,0.4418,99915.0
0.4417,0.4448,0.44,0.4447,147650.0
0.4446,0.4459,0.4418,0.4423,189735.0
0.4423,0.4477,0.4423,0.4474,104452.0
0.4473,0.4482,0.4433,0.4433,141267.0
0.4433,0.4442,0.4256,0.4292,722115.0
0.4293,0.4293,0.4168,0.4169,782993.0
0.4173,0.4174,0.3994,0.4003,2362317.0
0.4001,0.4009,0.3836,0.3965,3051479.0
0.3968,0.4007,0.3895,0.4001,850422.0
0.4003,0.4118,0.3961,0.4089,1064078.0
0.4089,0.4142,0.4024,0.4058,1257739.0
0.4059,0.4064,0.3988,0.4002,568628.0
0.4001,0.405,0.3971,0.3995,618071.0
0.3993,0.3995,0.3913,0.3929,541936.0
0.3931,0.3991,0.3697,0.3756,3002681.0
0.3756,0.3764,0.3207,0.3409,12663633.0
0.3408,0.3448,0.3299,0.3436,3803901.0
0.3436,0.3441,0.334,0.3375,2008550.0
0.3376,0.3443,0.3347,0.3368,1269187.0
0.3368,0.3379,0.3208,0.3298,4350715.0
0.3299,0.3317,0.2986,0.3193,8782261.0
0.3195,0.3361,0.3177,0.3322,2369892.0
0.3323,0.3328,0.3228,0.3263,1391901.0
0.3263,0.3284,0.3203,0.3275,1179278.0
0.3274,0.3276,0.3137,0.3167,1989984.0
0.3167,0.3184,0.3039,0.3176,2822090.0
0.3174,0.3208,0.3079,0.3105,2820695.0
0.3104,0.3291,0.305,0.3263,4784599.0
0.3265,0.3429,0.3263,0.3373,3541443.0
0.3377,0.3453,0.3336,0.3437,1678897.0
0.3438,0.3529,0.3419,0.3435,2543386.0
0.3433,0.3538,0.3428,0.3501,1274977.0
0.3503,0.3519,0.3394,0.34,1349668.0
0.3399,0.3471,0.3387,0.3442,1465731.0
0.3443,0.35,0.3437,0.3477,871857.0
0.3475,0.3525,0.344,0.3473,1051277.0
0.3474,0.3539,0.3462,0.3514,567374.0
0.3514,0.3554,0.3473,0.3484,480906.0
0.3482,0.3698,0.3477,0.3692,1461294.0
0.3691,0.3748,0.3651,0.3673,990096.0
0.3673,0.373,0.3669,0.373,561404.0
0.3731,0.3745,0.3701,0.3722,945334.0
0.372,0.3763,0.3696,0.3759,488984.0
0.3758,0.379,0.3725,0.3786,517630.0
0.3786,0.3803,0.3752,0.3779,517096.0
0.3778,0.3799,0.3745,0.3791,485157.0
0.3789,0.3793,0.3663,0.3706,839256.0
0.3705,0.3718,0.3675,0.3712,516024.0
0.3712,0.3724,0.3675,0.3699,409758.0
0.3699,0.3726,0.3678,0.37,311774.0
0.37,0.3732,0.368,0.3692,601997.0
0.369,0.3739,0.3653,0.3716,931391.0
0.3714,0.3878,0.3713,0.3821,1617116.0
0.3825,0.3846,0.3759,0.3813,475519.0
0.3815,0.3848,0.378,0.3822,459700.0
0.3821,0.3839,0.3777,0.3778,296890.0
0.3779,0.3838,0.3776,0.3798,485827.0
0.38,0.3813,0.3773,0.3788,335736.0
0.3784,0.3805,0.3763,0.3789,410365.0
0.3789,0.386,0.3763,0.3857,726900.0
0.3856,0.3906,0.3817,0.3828,832135.0
0.3828,0.3837,0.3786,0.381,329544.0
0.3809,0.3892,0.3789,0.3857,1255411.0
0.3859,0.3946,0.3815,0.3935,1264797.0
0.3937,0.398,0.3887,0.3915,1016947.0
0.3916,0.3937,0.3888,0.3914,322410.0
0.3914,0.3951,0.3904,0.3909,322501.0
0.391,0.3928,0.3884,0.3885,318937.0
0.3885,0.3903,0.3866,0.3888,384669.0
0.3887,0.3919,0.3861,0.39,378230.0
0.3899,0.3931,0.3884,0.3908,474100.0
0.3907,0.3954,0.3895,0.3922,405872.0
0.3921,0.3965,0.3911,0.3911,426187.0
0.3911,0.3921,0.3856,0.3857,435883.0
0.3857,0.39,0.383,0.3894,424550.0
0.3893,0.3913,0.3842,0.3859,590456.0
0.3858,0.3872,0.3675,0.3748,1548075.0
0.3749,0.3797,0.3725,0.3767,777613.0
0.3766,0.3785,0.3728,0.3752,540926.0
0.3752,0.3765,0.3684,0.3729,670927.0
0.373,0.3742,0.366,0.3683,698173.0
0.3683,0.3705,0.366,0.369,452048.0
0.3691,0.3735,0.3627,0.37,1098283.0
0.3701,0.3741,0.3683,0.3725,441810.0
0.3723,0.3758,0.3668,0.3756,560150.0
0.3757,0.3786,0.3735,0.3752,448106.0
0.3753,0.3755,0.3661,0.3721,728892.0
0.3722,0.3893,0.3718,0.3886,1082894.0
0.3886,0.398,0.3884,0.3959,690755.0
0.396,0.3976,0.3914,0.3915,409316.0
0.3914,0.3954,0.3909,0.3913,384340.0
0.3911,0.3964,0.391,0.3953,266452.0
0.3951,0.3969,0.3934,0.3941,251082.0
0.3942,0.3956,0.3909,0.3909,252525.0
0.3913,0.3928,0.3899,0.3922,194551.0
0.3921,0.394,0.3897,0.3917,247960.0
0.3916,0.3939,0.3906,0.3925,182091.0
0.3926,0.3932,0.3906,0.391,184048.0
0.3909,0.4007,0.3895,0.3954,881787.0
0.3953,0.399,0.3924,0.3956,841826.0
0.3956,0.4059,0.3946,0.4056,786807.0
0.4056,0.4074,0.4035,0.4061,670451.0
0.4063,0.4123,0.4055,0.4084,908971.0
0.4084,0.4098,0.4051,0.4051,435350.0
0.4051,0.4064,0.4039,0.4051,185874.0
0.4049,0.4057,0.4015,0.4028,223712.0
0.4029,0.4063,0.4025,0.4041,361741.0
0.4041,0.4134,0.4041,0.413,410348.0
0.4131,0.4178,0.4101,0.4164,877808.0
0.4165,0.418,0.4132,0.4149,497848.0
0.4148,0.4158,0.4093,0.4113,730721.0
0.4112,0.4134,0.4093,0.411,317135.0
0.4112,0.4129,0.4104,0.411,214036.0
0.4109,0.4127,0.4106,0.4109,167803.0
0.4109,0.4113,0.4063,0.4067,336314.0
0.4066,0.4097,0.4044,0.4096,197227.0
0.4097,0.4122,0.4079,0.4122,185535.0
0.4118,0.4145,0.4114,0.4119,210001.0
0.4119,0.4142,0.41,0.4138,301083.0
0.4138,0.4145,0.4107,0.4112,330714.0
0.411,0.412,0.4074,0.4115,273995.0
0.4115,0.4127,0.4093,0.4115,156698.0
0.4114,0.4126,0.4089,0.4114,228004.0
0.4114,0.413,0.4061,0.4107,487308.0
0.4106,0.4159,0.4022,0.4074,659932.0
0.4072,0.4086,0.4027,0.4029,319314.0
0.4026,0.4049,0.3993,0.4039,545172.0
0.4039,0.4049,0.4016,0.4019,209068.0
0.4019,0.406,0.4019,0.4056,301765.0
0.4054,0.4074,0.4045,0.4069,147015.0
0.4067,0.4087,0.406,0.4078,218435.0
0.4075,0.4076,0.4031,0.4068,215798.0
0.4067,0.4095,0.4043,0.408,325595.0
0.4078,0.4112,0.4059,0.411,273952.0
0.411,0.4166,0.4084,0.4089,487493.0
0.4087,0.4107,0.4071,0.4075,132737.0
0.4076,0.411,0.4067,0.4079,131411.0
0.408,0.4081,0.4053,0.4068,124812.0
0.4068,0.407,0.4034,0.4056,183401.0
0.4055,0.4061,0.4044,0.4053,83460.0
