open,high,low,close,volume
0.2589,0.2595,0.2578,0.2591,138808.0
0.259,0.2601,0.2563,0.2564,867996.0
0.2564,0.2598,0.2559,0.2578,474157.0
0.2579,0.2583,0.2559,0.2565,209513.0
0.2566,0.2582,0.2552,0.2553,180170.0
0.2555,0.2559,0.247,0.2476,988843.0
0.2474,0.2479,0.2397,0.2429,2111652.0
0.2429,0.243,0.2358,0.2366,1038970.0
0.2365,0.2378,0.2305,0.2324,1376828.0
0.2325,0.234,0.2294,0.2297,1262886.0
0.2297,0.2328,0.2277,0.2298,1297758.0
0.2298,0.2328,0.2284,0.2327,816411.0
0.2328,0.2341,0.2316,0.2331,486723.0
0.2331,0.2364,0.2322,0.2353,735998.0
0.2354,0.2431,0.2348,0.2417,2840528.0
0.2419,0.2423,0.2371,0.2394,599821.0
0.2395,0.2456,0.2389,0.2439,904775.0
0.2441,0.2443,0.2412,0.242,461150.0
0.2422,0.2437,0.2406,0.2407,300637.0
0.2408,0.2427,0.2405,0.2417,183221.0
0.2418,0.2438,0.2418,0.2431,316467.0
0.2433,0.2434,0.2383,0.2391,299356.0
0.2391,0.2415,0.2377,0.2405,417828.0
0.2406,0.2416,0.2398,0.2403,372786.0
0.2403,0.2416,0.2396,0.2416,247699.0
0.2415,0.2424,0.2403,0.241,159465.0
0.241,0.2428,0.2405,0.2423,202491.0
0.2424,0.2431,0.2402,0.2403,205817.0
0.2404,0.2409,0.2305,0.2318,1328598.0
0.2319,0.232,0.2253,0.2257,1284154.0
0.2257,0.228,0.2191,0.2197,3284716.0
0.2195,0.2248,0.215,0.2231,4307590.0
0.2231,0.2284,0.2214,0.2278,1307690.0
0.2279,0.237,0.2256,0.2343,1357420.0
0.2343,0.237,0.2312,0.2336,645385.0
0.2333,0.2337,0.2307,0.2313,357373.0
0.2313,0.2352,0.23,0.2303,1111989.0
0.2303,0.2305,0.2262,0.2269,534772.0
0.2268,0.2292,0.2149,0.2179,2221834.0
0.2177,0.2186,0.188,0.2034,11336195.0
0.2032,0.2094,0.1982,0.2086,4326435.0
0.2085,0.2088,0.2031,0.2044,1886523.0
0.2045,0.2088,0.203,0.2052,1311825.0
0.2054,0.2063,0.1966,0.2015,2924822.0
0.2016,0.2028,0.183,0.1961,7607708.0
0.1961,0.2072,0.1944,0.2052,1912450.0
0.2053,0.2058,0.2,0.2022,1427328.0
0.202,0.2042,0.1983,0.2022,1296555.0
0.202,0.2022,0.1928,0.1952,2676934.0
0.1951,0.1952,0.1868,0.1938,3288392.0
0.1937,0.196,0.1868,0.1887,4445572.0
0.1886,0.203,0.186,0.2021,6877115.0
0.2021,0.2124,0.2019,0.2101,3857983.0
0.2101,0.2143,0.2076,0.2125,1568731.0
0.2125,0.2177,0.2111,0.2116,1885450.0
0.2117,0.215,0.2105,0.2122,1132704.0
0.2123,0.2129,0.205,0.2051,1151003.0
0.2051,0.2094,0.204,0.208,1354445.0
0.2081,0.2112,0.2073,0.2094,909715.0
0.2093,0.2126,0.2073,0.2078,870289.0
0.2078,0.211,0.207,0.2097,666958.0
0.2099,0.2119,0.2066,0.2069,573708.0
0.2069,0.2186,0.2063,0.2184,1619155.0
0.2183,0.2205,0.2151,0.2172,1078975.0
0.217,0.2188,0.216,0.2177,754314.0
0.2176,0.2184,0.216,0.2164,412260.0
0.2166,0.2184,0.2152,0.2179,408233.0
0.218,0.2214,0.2167,0.2212,548510.0
0.2211,0.2226,0.2196,0.221,641985.0
0.2208,0.2222,0.2194,0.2213,579872.0
0.2213,0.2215,0.2135,0.2157,1047449.0
0.2158,0.2176,0.2137,0.2165,1298011.0
0.2165,0.2172,0.2143,0.2161,418292.0
0.216,0.2176,0.2146,0.2159,385471.0
0.2158,0.2182,0.2144,0.2153,545547.0
0.2152,0.2172,0.2123,0.2154,1060466.0
0.2154,0.225,0.2153,0.2217,1326822.0
0.2216,0.223,0.2184,0.2214,820016.0
0.2215,0.2256,0.2205,0.2247,1123185.0
0.2246,0.226,0.2214,0.2215,1107604.0
0.2214,0.2243,0.2214,0.2222,610567.0
0.2222,0.2245,0.2214,0.2232,414732.0
0.2231,0.2243,0.2211,0.2234,344369.0
0.2235,0.2244,0.2219,0.2241,159966.0
0.2241,0.2266,0.2218,0.2236,581414.0
0.2235,0.2241,0.2213,0.223,345231.0
0.223,0.226,0.2209,0.2244,1579123.0
0.2244,0.2297,0.2226,0.2291,1243739.0
