open,high,low,close,volume
0.0829,0.0836,0.0826,0.0834,7615859.0
0.0834,0.0835,0.0825,0.0829,5558157.0
0.0829,0.0847,0.0829,0.0835,7542576.0
0.0835,0.0836,0.0828,0.083,5929603.0
0.083,0.0839,0.0829,0.0831,8384729.0
0.0831,0.0836,0.0793,0.0797,25160273.0
0.0797,0.081,0.078,0.079,41732215.0
0.079,0.0793,0.0767,0.0771,27168325.0
0.0771,0.0773,0.0752,0.0762,21409336.0
0.0762,0.0772,0.0758,0.0761,11150248.0
0.0761,0.0773,0.0757,0.0764,11563227.0
0.0763,0.0776,0.076,0.0772,8290509.0
0.0772,0.0775,0.0763,0.0767,5602392.0
0.0767,0.0773,0.0763,0.0769,5709348.0
0.0769,0.0784,0.0764,0.0782,8338320.0
0.0783,0.0783,0.0771,0.0778,6282848.0
0.0777,0.0798,0.0775,0.0791,8868832.0
0.0791,0.0791,0.0783,0.0785,5751220.0
0.0784,0.079,0.0781,0.0782,7006696.0
0.0782,0.0792,0.0782,0.0788,6600525.0
0.0788,0.0794,0.0786,0.0788,7627275.0
0.0789,0.079,0.0776,0.078,7535045.0
0.078,0.0787,0.0773,0.0782,10799276.0
0.0782,0.079,0.078,0.0786,4091476.0
0.0786,0.0788,0.078,0.0788,5952994.0
0.0787,0.079,0.0781,0.0784,5857140.0
0.0784,0.0791,0.0781,0.0789,7438362.0
0.079,0.0792,0.0781,0.0781,8558509.0
0.0781,0.0783,0.0745,0.075,31097715.0
0.075,0.075,0.0717,0.0719,42602716.0
0.0719,0.0726,0.0701,0.0703,44315037.0
0.0703,0.0715,0.0684,0.0709,45564340.0
0.0708,0.0728,0.0702,0.0727,25230133.0
0.0726,0.075,0.072,0.0743,25203372.0
0.0742,0.0752,0.0737,0.0745,15156817.0
0.0744,0.0748,0.0737,0.0739,6107503.0
0.0739,0.0748,0.0735,0.0741,11285478.0
0.074,0.0741,0.072,0.0724,8892115.0
0.0724,0.0727,0.0673,0.0686,53706414.0
0.0686,0.0689,0.0581,0.0635,171255391.0
0.0635,0.0638,0.0614,0.0637,50328298.0
0.0637,0.0638,0.062,0.0632,36017709.0
0.0632,0.0648,0.0629,0.0635,19524288.0
0.0635,0.0635,0.0602,0.0623,57058767.0
0.0623,0.0629,0.0561,0.0596,115291762.0
0.0596,0.0631,0.0592,0.0622,37135116.0
0.0622,0.0625,0.0599,0.0606,30271600.0
0.0606,0.0609,0.0589,0.0605,26653128.0
0.0604,0.0605,0.0572,0.0572,46298474.0
0.0573,0.0577,0.0548,0.0568,61140917.0
0.0569,0.058,0.0555,0.0565,61821827.0
0.0565,0.0615,0.0559,0.0608,68120684.0
0.0609,0.0634,0.0609,0.0627,39690499.0
0.0627,0.065,0.062,0.064,26531448.0
0.064,0.0662,0.0636,0.0638,26012180.0
0.0639,0.0652,0.0634,0.0643,15559411.0
0.0643,0.0644,0.0616,0.0618,15976103.0
0.0617,0.0629,0.061,0.0622,22447288.0
0.0622,0.0632,0.0619,0.0627,13501031.0
0.0627,0.0636,0.0621,0.0625,15301033.0
0.0625,0.0636,0.0622,0.063,15040655.0
0.0631,0.0639,0.0623,0.0623,12388234.0
0.0623,0.0664,0.0622,0.0662,24382023.0
0.0662,0.0676,0.0655,0.0662,16716257.0
0.0662,0.0668,0.0658,0.0665,12817445.0
0.0664,0.0667,0.0658,0.0661,8774374.0
0.066,0.0664,0.0655,0.0663,9974234.0
0.0662,0.0681,0.0659,0.0678,15361407.0
0.0678,0.0684,0.0669,0.0678,15854425.0
0.0677,0.0684,0.0672,0.0683,13384303.0
0.0682,0.0683,0.0657,0.0663,15937215.0
0.0663,0.0672,0.0657,0.067,11489231.0
0.0671,0.0673,0.0663,0.0668,7902715.0
0.0667,0.0676,0.0662,0.0666,7941669.0
0.0666,0.068,0.0663,0.0669,13396147.0
0.0669,0.0681,0.066,0.0673,20971451.0
0.0672,0.0709,0.0671,0.0697,29688865.0
0.0697,0.0707,0.0685,0.0701,18204234.0
0.0701,0.0705,0.0691,0.0697,9502745.0
0.0696,0.07,0.0689,0.0689,9106519.0
0.0689,0.0702,0.0688,0.0696,7110579.0
0.0695,0.0699,0.0689,0.0694,5059966.0
0.0694,0.0699,0.0685,0.0692,10754907.0
0.0692,0.0697,0.0687,0.0695,3883396.0
0.0695,0.0705,0.0686,0.0691,10571633.0
0.0692,0.0696,0.0678,0.0684,9584641.0
0.0683,0.0696,0.0669,0.0682,22914674.0
0.0683,0.0709,0.067,0.0702,19513455.0
0.0702,0.0709,0.0691,0.0696,18045596.0
0.0695,0.071,0.0694,0.071,8960462.0
0.0709,0.0728,0.0703,0.0719,17181156.0
0.0719,0.0719,0.0706,0.0708,15906003.0
0.0708,0.0719,0.0703,0.0709,11753665.0
0.0708,0.0716,0.0704,0.0709,9120530.0
0.0709,0.0719,0.0707,0.0713,8847445.0
0.0713,0.0719,0.0707,0.0708,10265105.0
0.0708,0.0712,0.0701,0.0702,8258967.0
0.0702,0.0702,0.0687,0.0688,20256876.0
0.0689,0.0698,0.0684,0.0697,16617011.0
0.0697,0.0704,0.0686,0.0692,23369523.0
0.0691,0.0695,0.0655,0.0671,33419123.0
0.0671,0.0678,0.0664,0.0672,20322671.0
0.0673,0.0678,0.0665,0.0671,14658611.0
0.0672,0.0676,0.066,0.067,8431048.0
0.067,0.0673,0.0658,0.0663,10507782.0
0.0663,0.067,0.066,0.0667,7379606.0
0.0667,0.0678,0.0655,0.067,14354720.0
0.067,0.0675,0.0664,0.0667,6987967.0
0.0667,0.0669,0.0651,0.0668,11709182.0
0.0669,0.0671,0.0659,0.0664,6654766.0
0.0665,0.0669,0.065,0.0664,15879033.0
0.0664,0.07,0.0662,0.0698,20816293.0
0.0697,0.071,0.0696,0.0706,15360530.0
0.0705,0.0707,0.0696,0.0696,6339957.0
0.0696,0.071,0.0695,0.0697,8223849.0
0.0697,0.0706,0.0697,0.0705,5031041.0
