open,high,low,close,volume
0.1585,0.1587,0.1574,0.1579,2548726.0
0.1579,0.1585,0.1573,0.1579,1960367.0
0.1579,0.1601,0.1576,0.1589,3500554.0
0.159,0.1592,0.1578,0.1583,2173882.0
0.1583,0.1594,0.1569,0.1572,2867052.0
0.1571,0.1577,0.1517,0.152,12491536.0
0.152,0.1525,0.1481,0.1496,20577764.0
0.1496,0.1498,0.1461,0.1467,11709425.0
0.1468,0.1474,0.1442,0.1449,10835592.0
0.1449,0.1464,0.1436,0.1437,4941868.0
0.1438,0.1467,0.1431,0.1446,5905239.0
0.1446,0.1473,0.1441,0.147,5642411.0
0.147,0.1482,0.1462,0.1471,3639945.0
0.1472,0.1491,0.1466,0.1478,5415446.0
0.1477,0.1511,0.1474,0.1505,5541470.0
0.1505,0.1508,0.1476,0.1501,3921711.0
0.1501,0.154,0.1501,0.1533,4321981.0
0.1534,0.1541,0.1521,0.1533,3284701.0
0.1534,0.1558,0.1527,0.1529,4301581.0
0.153,0.1543,0.1522,0.1533,3624373.0
0.1532,0.1545,0.1526,0.1541,2906885.0
0.1541,0.1549,0.1512,0.1517,5051288.0
0.1516,0.1536,0.1504,0.1523,5151796.0
0.1523,0.1529,0.1516,0.1519,2573819.0
0.1519,0.1525,0.1511,0.1524,4455212.0
0.1525,0.1525,0.1503,0.1507,3755883.0
0.1507,0.1522,0.1505,0.1521,3216217.0
0.1521,0.1523,0.151,0.151,2209364.0
0.1509,0.1512,0.1455,0.1464,14248237.0
0.1464,0.1464,0.143,0.1433,8900514.0
0.1434,0.1447,0.1402,0.1405,12684741.0
0.1404,0.1422,0.1369,0.1414,19577050.0
0.1415,0.1452,0.1398,0.1446,9816931.0
0.1446,0.1507,0.1434,0.1504,10089704.0
0.1503,0.1526,0.1488,0.1503,11623956.0
0.1502,0.1503,0.1478,0.1483,4630584.0
0.1483,0.1505,0.1471,0.1477,6528548.0
0.1476,0.1476,0.1442,0.1449,4685950.0
0.1449,0.1467,0.1362,0.1384,35813574.0
