open,high,low,close,volume
540.01,541.48,538.79,540.51,11602.4
540.51,541.94,540.12,541.38,8906.36
541.39,544.57,540.85,542.43,20983.6
542.43,543.63,541.29,543.12,14113.4
543.12,545.26,542.23,542.6,12033.25
542.61,543.61,531.5,532.16,46844.29
532.15,534.19,527.22,531.65,82973.06
531.65,532.43,525.35,527.85,59081.35
527.85,529.77,525.32,527.67,34518.49
527.68,528.72,522.75,523.57,35526.86
523.57,528.13,521.88,524.52,26118.4
524.52,528.68,521.36,528.09,30223.69
528.1,529.48,526.07,528.07,15755.51
528.07,530.69,526.5,529.64,20612.46
529.7,532.09,528.74,532.09,15798.72
532.08,532.32,527.11,529.55,14412.1
529.55,532.12,528.36,530.06,18355.88
530.07,530.14,527.64,528.47,12119.1
528.46,529.82,526.4,526.99,16895.47
526.99,529.38,526.86,528.3,7237.25
528.31,529.1,527.69,528.17,8976.53
528.17,528.44,521.87,523.76,26520.6
523.75,527.0,520.77,525.1,31267.95
525.11,527.3,524.47,525.98,11096.02
525.98,527.39,524.84,527.06,10195.14
527.06,528.18,524.84,525.59,16958.3
525.59,527.71,524.84,527.31,14367.97
527.31,527.8,525.15,525.15,10261.04
525.16,525.5,507.2,508.58,117083.46
508.57,508.66,501.0,501.93,130853.01
501.94,504.83,500.01,500.6,63657.98
500.58,501.49,486.14,495.44,168534.52
495.44,504.44,493.0,503.74,93272.38
503.73,509.99,500.51,507.94,52715.21
507.93,511.65,504.0,507.14,43932.87
507.13,507.29,501.37,502.27,19874.25
502.28,506.96,501.26,503.66,33065.28
503.65,504.1,496.16,496.92,35988.83
496.92,500.01,472.01,476.79,213900.02
476.76,478.17,425.83,452.73,539928.31
452.7,454.02,440.74,453.09,226379.58
453.1,453.59,441.6,442.03,120258.51
441.95,450.55,438.95,439.21,110009.14
439.2,442.25,426.0,433.33,232842.65
433.48,436.28,397.29,422.64,495438.3
422.64,441.33,419.64,438.95,181867.96
438.94,445.77,435.23,445.14,133567.2
445.15,449.14,437.69,444.21,130972.99
444.27,444.27,423.7,431.4,139863.16
431.4,433.14,421.04,431.94,140725.11
