open,high,low,close,volume
1.3695,1.3712,1.355,1.3632,971374.7
1.363,1.3725,1.356,1.3673,643939.4
1.3671,1.3999,1.3628,1.3918,1457520.9
1.3918,1.3975,1.3751,1.3757,1072940.5
1.3759,1.3851,1.359,1.3633,1161358.2
1.3635,1.3692,1.3345,1.3381,1931814.7
1.3382,1.3563,1.3158,1.3397,3373871.0
1.3397,1.3539,1.3222,1.342,2076509.0
1.342,1.3526,1.3084,1.3157,1926142.3
1.3156,1.3211,1.2919,1.2991,2382977.5
1.2989,1.3115,1.2874,1.2948,1568532.8
1.2948,1.3266,1.2887,1.3252,1540872.2
1.3252,1.3338,1.3173,1.3203,922233.1
1.3206,1.3248,1.3045,1.3166,977691.5
1.3165,1.3327,1.2871,1.3292,2093018.3
1.3292,1.3593,1.3177,1.3493,1706511.3
1.3488,1.3863,1.3477,1.3706,3071303.1
1.3704,1.3764,1.3558,1.3576,1281925.7
1.3574,1.3699,1.353,1.3565,989426.4
1.3565,1.3694,1.3536,1.3616,733423.9
1.3613,1.3668,1.3541,1.356,613698.2
1.356,1.3651,1.3404,1.3453,1173394.5
1.3454,1.3542,1.3198,1.3484,1810947.3
1.3485,1.3584,1.3432,1.3486,1182280.5
1.3486,1.3572,1.3432,1.3477,836070.3
1.3473,1.373,1.346,1.3578,1633974.8
1.3575,1.3664,1.3534,1.3645,759950.4
1.3644,1.3655,1.3548,1.3558,609762.3
1.356,1.3578,1.3254,1.3283,2451982.5
1.3278,1.3416,1.3114,1.3216,2659379.0
1.3219,1.3361,1.3059,1.3118,2610498.4
1.3121,1.3187,1.2812,1.3141,3419405.6
1.314,1.36,1.3102,1.353,2972926.9
1.3528,1.3665,1.3434,1.3589,2240413.8
1.359,1.3639,1.3351,1.3476,1498533.8
1.3481,1.3545,1.335,1.3409,787729.0
1.3408,1.356,1.3351,1.3391,1136412.8
1.3388,1.34,1.3155,1.3252,1360225.7
1.3253,1.3272,1.2427,1.2535,6190059.0
1.253,1.2607,1.0289,1.1772,21436350.8
1.1768,1.1845,1.1228,1.1705,6976522.7
