open,high,low,close,volume
44.24,44.33,43.98,44.1,6567.3
44.1,44.43,44.06,44.18,4767.5
44.2,44.7,44.13,44.38,11808.5
44.38,44.52,44.1,44.27,3917.1
44.27,44.84,44.24,44.47,6542.5
44.51,44.61,43.13,43.26,14765.3
43.25,43.51,42.4,42.96,27433.0
42.96,43.03,41.82,42.33,14840.7
42.34,42.79,41.73,42.15,12431.8
42.15,42.6,41.71,41.79,12807.7
41.79,42.57,41.6,42.0,9029.2
42.01,42.96,41.86,42.75,8047.1
42.76,42.89,42.38,42.56,3553.7
42.55,43.2,42.4,42.99,6907.5
42.99,43.13,42.57,42.92,7602.3
42.93,42.97,42.25,42.72,6887.0
42.72,43.76,42.64,43.32,11081.2
43.31,43.32,42.98,43.11,3839.9
43.1,43.23,42.73,42.77,4772.3
42.77,43.42,42.75,43.14,5727.6
43.14,43.23,42.92,42.98,5943.9
42.98,42.99,42.02,42.06,10812.5
42.06,42.5,41.83,42.18,7021.9
42.2,42.39,41.91,41.98,5955.1
41.96,42.15,41.84,42.12,4152.7
42.11,42.32,41.89,42.03,3959.7
42.03,42.48,41.96,42.45,5493.3
42.44,42.5,42.0,42.02,5715.2
42.01,42.05,40.6,40.99,16689.7
41.01,41.02,40.45,40.64,12645.6
40.63,40.83,39.85,39.98,16945.5
39.96,40.15,38.82,39.79,24626.8
39.8,40.39,39.28,40.27,12713.6
40.28,41.05,39.8,40.75,8668.2
40.74,41.19,40.35,40.69,6528.6
40.71,40.79,40.34,40.46,5503.5
40.46,41.05,40.24,40.63,11271.0
40.62,40.63,39.67,39.7,10222.8
39.71,39.88,37.07,37.62,60627.9
37.6,37.71,33.2,36.18,201707.4
36.18,36.31,35.06,36.06,62458.8
36.05,36.07,35.38,35.46,14727.6
35.47,36.09,35.36,35.56,14875.5
35.57,35.95,34.22,35.13,46075.6
35.15,35.33,32.49,34.66,143580.6
34.65,36.55,34.37,36.17,59541.1
36.17,36.2,35.14,35.53,19011.0
35.53,35.63,34.8,35.42,9878.8
35.39,35.43,34.25,34.52,23643.4
34.53,34.72,33.56,34.52,31401.5
34.51,34.71,33.23,33.37,40678.2
33.35,35.69,33.07,35.46,62060.9
35.47,36.97,35.47,36.53,53452.2
36.59,37.17,36.17,37.04,26701.5
37.02,37.94,36.58,36.65,34109.6
36.66,37.02,36.49,36.63,15817.3
36.63,36.65,35.48,35.52,21220.6
35.49,36.03,35.33,35.77,13724.9
35.76,36.21,35.53,35.83,9845.9
35.82,36.36,35.58,35.96,17404.9
35.96,36.43,35.84,36.27,15951.8
36.29,36.71,35.87,35.91,13161.8
35.9,37.66,35.83,37.65,28033.8
37.65,38.14,36.94,37.46,25526.3
37.44,37.67,37.21,37.56,7247.7
37.55,37.59,37.26,37.36,6028.7
37.38,37.7,37.19,37.62,8522.7
37.6,38.07,37.34,37.96,9519.7
37.97,38.25,37.73,38.01,9303.2
38.01,38.27,37.65,38.11,10287.6
38.1,38.17,36.9,37.03,24069.5
37.03,37.24,36.71,37.09,14887.2
37.1,37.13,36.61,36.87,9013.1
36.85,37.11,36.64,36.85,7062.4
36.84,37.16,36.55,36.68,8527.8
36.68,37.1,36.15,36.62,24882.5
36.64,38.18,36.61,37.32,29292.1
37.33,37.63,37.04,37.55,16467.3
37.56,37.86,37.22,37.64,10350.9
37.65,37.84,37.21,37.22,9767.5
37.22,37.73,37.21,37.42,5104.2
37.44,37.57,37.2,37.34,4919.3
37.32,37.58,37.14,37.5,7833.1
37.49,37.59,37.26,37.57,3242.3
37.59,37.94,37.25,37.53,12926.1
37.53,37.63,37.17,37.27,7163.0
37.26,37.61,36.96,37.37,14022.7
37.38,37.96,36.8,37.92,16193.1
37.93,38.34,37.53,37.86,10729.7
37.86,38.27,37.84,38.22,5298.5
38.21,38.73,38.18,38.39,7467.8
38.4,38.72,38.3,38.31,5338.1
38.32,38.49,38.05,38.23,5819.3
38.24,38.34,37.95,38.22,3844.8
38.23,38.53,38.18,38.31,4432.4
38.33,38.94,38.27,38.62,8141.8
38.62,39.21,38.47,38.75,5394.6
38.73,38.84,38.46,38.51,6301.6
38.53,41.69,38.49,40.49,191657.0
40.49,41.3,39.4,39.55,118310.3
39.56,39.79,38.17,38.62,72489.2
38.62,39.35,38.38,39.16,48646.2
39.14,39.52,38.72,39.28,37013.3
39.29,39.47,38.51,39.15,34001.3
39.15,39.36,38.36,38.44,33801.6
38.45,38.84,38.11,38.34,25254.7
38.34,38.82,37.39,38.02,50488.1
38.02,38.61,37.78,38.3,25748.5
38.28,38.52,37.35,38.38,24849.9
38.38,38.49,37.75,38.13,12150.9
38.12,39.0,37.22,38.08,67806.0
38.1,39.66,38.02,39.55,40388.2
39.53,41.73,39.52,41.55,65413.3
41.55,41.75,40.32,40.36,55917.1
40.34,40.85,40.12,40.17,35550.1
40.15,40.76,40.12,40.48,16544.6
40.48,40.95,40.31,40.82,15459.2
40.82,40.93,40.4,40.43,16882.1
40.43,41.4,40.32,40.97,27547.1
40.98,41.2,40.66,40.82,21456.6
40.84,42.6,40.54,42.08,71965.6
42.07,42.95,41.42,41.61,109438.6
41.61,42.62,40.93,41.71,85285.3
41.73,42.05,40.64,41.2,41072.9
41.19,41.99,41.09,41.96,26497.8
41.95,43.26,41.69,42.81,56805.0
42.81,43.68,42.74,43.44,42548.4
43.45,43.56,42.92,43.39,28189.5
43.38,43.7,42.93,43.57,31058.4
43.58,43.92,43.13,43.23,24158.3
43.23,43.39,43.02,43.2,13574.5
43.19,43.96,43.13,43.85,17512.5
