open,high,low,close,volume
1.7187,1.7252,1.7162,1.7217,60850.0
1.7213,1.7251,1.7185,1.7204,64428.0
1.7213,1.7355,1.7191,1.7281,66371.0
1.7281,1.7298,1.7211,1.7244,73068.0
1.7246,1.7326,1.7237,1.7246,61659.0
1.7249,1.727,1.6776,1.6792,226382.0
1.6794,1.6922,1.6629,1.6798,405686.0
1.6802,1.6808,1.6519,1.6578,255267.0
1.6591,1.6674,1.6453,1.656,248420.0
1.6562,1.6636,1.6381,1.6409,214547.0
1.6414,1.6664,1.6348,1.6564,412055.0
1.6564,1.6793,1.6454,1.6789,251768.0
1.679,1.6821,1.6661,1.674,112093.0
1.6742,1.6812,1.6652,1.6762,156067.0
1.6763,1.69,1.6708,1.6871,128694.0
1.6874,1.691,1.6696,1.6836,124020.0
1.6835,1.6967,1.6804,1.6868,110096.0
1.6869,1.6875,1.6771,1.6803,43710.0
1.6799,1.6849,1.6754,1.677,85498.0
1.6768,1.6884,1.6765,1.684,34313.0
1.6839,1.689,1.6823,1.6872,35598.0
1.6874,1.6874,1.6633,1.6677,87662.0
1.6679,1.6797,1.6572,1.672,107770.0
1.6721,1.6766,1.6704,1.672,44023.0
1.6719,1.6748,1.6647,1.6741,61407.0
1.6741,1.6836,1.6696,1.6744,104730.0
1.674,1.6897,1.6725,1.6878,63057.0
1.6879,1.6901,1.6738,1.6738,59003.0
1.6737,1.6762,1.6202,1.6222,320379.0
1.6221,1.6225,1.5984,1.5996,284375.0
1.6002,1.6125,1.5848,1.5867,301413.0
1.586,1.5887,1.5402,1.5682,659997.0
1.5682,1.6018,1.5602,1.6008,248996.0
1.6003,1.6284,1.5863,1.6154,380442.0
1.6152,1.6296,1.5985,1.6114,201333.0
1.6109,1.6114,1.5907,1.5935,131776.0
1.5935,1.6136,1.5908,1.5987,154436.0
1.5991,1.6004,1.5738,1.5768,140184.0
1.5769,1.5861,1.4904,1.5066,969586.0
1.5066,1.5095,1.3023,1.3861,4436291.0
1.386,1.3914,1.33,1.3585,1840617.0
1.3587,1.3612,1.326,1.3401,1110366.0
1.3403,1.373,1.3377,1.3463,822565.0
1.3465,1.3594,1.2975,1.33,2101979.0
1.3302,1.3382,1.1832,1.2757,4125618.0
1.2764,1.3493,1.2705,1.3408,1181273.0
1.3408,1.3504,1.3234,1.3371,763647.0
1.337,1.3472,1.3049,1.3248,547385.0
1.3241,1.3266,1.2701,1.2852,676411.0
1.2851,1.3001,1.2519,1.2976,1021799.0
1.2971,1.3078,1.253,1.256,1145384.0
1.2568,1.3312,1.237,1.3265,1837301.0
1.3276,1.4019,1.3271,1.3886,1002792.0
1.3889,1.4162,1.3728,1.4054,523755.0
1.4048,1.454,1.397,1.4161,927712.0
1.4166,1.4512,1.4125,1.439,324837.0
1.439,1.4434,1.3878,1.3904,366691.0
1.3902,1.4138,1.3816,1.4065,468199.0
1.4063,1.4292,1.4046,1.4235,264501.0
1.4234,1.4444,1.4119,1.4216,275776.0
1.4213,1.4419,1.4184,1.4357,227865.0
1.4357,1.448,1.4164,1.4186,197207.0
1.4181,1.5017,1.4151,1.5008,495253.0
1.5008,1.5117,1.4775,1.4854,333403.0
1.4849,1.4922,1.4692,1.4779,188067.0
1.4778,1.4805,1.4656,1.4714,119844.0
1.4716,1.4791,1.463,1.4752,141725.0
1.4751,1.4982,1.4691,1.4969,177569.0
1.4963,1.5089,1.487,1.5025,256235.0
1.5026,1.5138,1.489,1.5094,235104.0
1.5092,1.5103,1.4573,1.4714,324374.0
1.4718,1.475,1.4604,1.4736,214017.0
1.4737,1.4748,1.4571,1.4658,169884.0
1.4655,1.4745,1.459,1.4658,116911.0
1.4651,1.4738,1.4492,1.4556,263630.0
1.455,1.4686,1.4372,1.457,355494.0
1.4567,1.5163,1.4554,1.4944,550424.0
1.4947,1.5056,1.477,1.5044,303551.0
1.5045,1.5234,1.4947,1.5117,271193.0
1.5118,1.5169,1.4973,1.4975,152763.0
1.4973,1.5153,1.4966,1.5047,164596.0
1.5048,1.5144,1.5015,1.5042,103465.0
1.504,1.51,1.4923,1.5016,192843.0
1.502,1.508,1.4957,1.5056,135570.0
1.5054,1.5172,1.4871,1.4996,183985.0
1.4999,1.5043,1.4862,1.4924,97879.0
1.4921,1.5,1.4748,1.4942,226009.0
1.4942,1.5139,1.4751,1.5111,279820.0
1.5112,1.5308,1.5006,1.5119,205013.0
1.512,1.5251,1.5094,1.5228,129963.0
