open,high,low,close,volume
0.01196,0.01198,0.01187,0.01187,13992587.0
0.01186,0.01191,0.01181,0.01188,12258303.0
0.01187,0.01201,0.01185,0.01197,12375249.0
0.01196,0.01198,0.01188,0.0119,7111354.0
0.0119,0.01195,0.01185,0.01187,5657803.0
0.01187,0.01189,0.01158,0.01161,20715048.0
0.01161,0.01162,0.01134,0.0114,52586700.0
0.0114,0.01141,0.01103,0.01104,71386774.0
0.01104,0.01107,0.01085,0.01092,43308100.0
0.01092,0.01098,0.01084,0.01084,28331277.0
0.01085,0.01091,0.01079,0.01082,29054350.0
0.01083,0.01105,0.01079,0.01103,25091073.0
0.01102,0.01108,0.01096,0.01105,15497203.0
0.01105,0.01115,0.011,0.01111,13377419.0
0.01112,0.01121,0.0111,0.01117,13151210.0
0.01117,0.01118,0.01107,0.01115,11479807.0
0.01116,0.01133,0.01114,0.01128,10302178.0
0.01128,0.01133,0.01125,0.01131,6949914.0
0.0113,0.01136,0.01125,0.01127,7588597.0
0.01127,0.01134,0.01125,0.01131,4887016.0
0.01131,0.01134,0.01127,0.01129,6844350.0
0.01129,0.01129,0.01115,0.01116,9748718.0
0.01115,0.0112,0.0111,0.01114,14883785.0
0.01114,0.0112,0.01113,0.01117,5682841.0
0.01116,0.01118,0.0111,0.01116,7236052.0
0.01115,0.0112,0.01113,0.01116,6304760.0
0.01117,0.01124,0.01116,0.01123,5762238.0
0.01123,0.01128,0.01119,0.01121,7948059.0
0.01121,0.01123,0.01082,0.01086,38193816.0
0.01086,0.01086,0.01066,0.01067,32378375.0
0.01068,0.01073,0.01046,0.01049,50271623.0
0.01048,0.01054,0.01014,0.01048,81633101.0
0.01048,0.01059,0.01029,0.01057,37495550.0
0.01057,0.01087,0.01048,0.01079,28101441.0
0.01078,0.01091,0.01068,0.01078,18311573.0
0.01078,0.01081,0.01068,0.01071,12510391.0
0.0107,0.01085,0.01066,0.01073,13459506.0
0.01073,0.01074,0.01056,0.01058,10765681.0
0.01057,0.01069,0.01,0.01013,85253137.0
0.01013,0.01017,0.00879,0.00943,348872733.0
0.00942,0.00947,0.00913,0.00942,168330897.0
0.00942,0.00942,0.00915,0.00926,103751450.0
0.00926,0.00945,0.00923,0.00937,49250041.0
0.00937,0.00944,0.009,0.00924,123503436.0
0.00923,0.00927,0.00834,0.0089,258563200.0
0.00891,0.00943,0.00885,0.0093,79715615.0
0.00931,0.00935,0.00909,0.00914,52513180.0
0.00914,0.00932,0.00908,0.00927,58039189.0
0.00926,0.00929,0.00892,0.009,86854408.0
0.009,0.00901,0.00862,0.00898,120421426.0
0.00898,0.00909,0.00873,0.00881,140759254.0
0.00881,0.00945,0.00868,0.00942,168940233.0
0.00942,0.0099,0.00941,0.00969,115742658.0
0.00969,0.00998,0.0096,0.00993,86740460.0
0.00993,0.01015,0.00984,0.00992,76988980.0
0.00992,0.00999,0.00983,0.00984,66327480.0
0.00984,0.00986,0.00957,0.00958,49836692.0
0.00957,0.00973,0.00952,0.00966,71468660.0
0.00966,0.00977,0.00964,0.0097,40183712.0
0.00971,0.00985,0.00964,0.00972,50096138.0
0.00972,0.00986,0.00971,0.00979,26611700.0
0.00979,0.00986,0.00968,0.00969,23486834.0
0.00969,0.01021,0.00967,0.01019,58104112.0
0.01019,0.01031,0.01006,0.01013,54607901.0
0.01012,0.01016,0.01004,0.01012,29359765.0
0.01012,0.01014,0.01006,0.01007,16312015.0
0.01007,0.01017,0.01001,0.01015,17986192.0
0.01015,0.01026,0.01008,0.01025,30541382.0
0.01025,0.01036,0.0102,0.01028,38425420.0
0.01027,0.01037,0.01021,0.01033,38123588.0
0.01033,0.01033,0.00997,0.01007,39857478.0
0.01006,0.01008,0.00999,0.01007,32330683.0
0.01008,0.01011,0.00999,0.01006,17750127.0
0.01006,0.01012,0.01001,0.01005,17860091.0
0.01004,0.01014,0.00998,0.01002,19964884.0
0.01002,0.01012,0.00992,0.01004,34384862.0
0.01003,0.01043,0.01002,0.01029,49405360.0
0.01029,0.01035,0.01017,0.01028,28792506.0
0.01029,0.01034,0.01019,0.01027,25773950.0
0.01027,0.01033,0.01019,0.01019,18087886.0
0.01018,0.01031,0.01018,0.01024,10625680.0
0.01024,0.0103,0.01019,0.01022,11024632.0
0.01021,0.01027,0.01017,0.01023,14453663.0
0.01024,0.01025,0.01016,0.01022,7677725.0
0.01023,0.01033,0.01013,0.01019,27923659.0
0.0102,0.01022,0.01007,0.01013,21633643.0
0.01013,0.01024,0.01008,0.0102,38790605.0
0.0102,0.0103,0.01008,0.01029,36095012.0
0.01029,0.01046,0.01021,0.01032,23611821.0
0.01031,0.0104,0.01029,0.01037,9358134.0
0.01037,0.01049,0.01036,0.01041,11857807.0
0.0104,0.01046,0.01034,0.01035,9811050.0
0.01036,0.01042,0.01033,0.01036,8330336.0
0.01036,0.01043,0.01029,0.01039,5818788.0
0.01038,0.01045,0.01036,0.01041,6798644.0
0.0104,0.01048,0.01036,0.01042,16663125.0
0.01041,0.01052,0.01038,0.01042,8138248.0
0.01042,0.01044,0.0103,0.01032,15704217.0
