open,high,low,close,volume
0.14226,0.14252,0.14119,0.14166,5228924.0
0.14162,0.14262,0.1415,0.14154,7136832.0
0.14152,0.14309,0.14132,0.14208,7271306.0
0.14205,0.14208,0.14025,0.14048,5739208.0
0.14047,0.1415,0.14002,0.1403,5864322.0
0.14031,0.14057,0.13582,0.13599,15828444.0
0.136,0.13821,0.13277,0.13476,31760818.0
0.13478,0.13489,0.13036,0.13073,25596007.0
0.13073,0.13199,0.12847,0.12949,20821730.0
0.12948,0.13076,0.12852,0.12856,11506234.0
0.12856,0.13091,0.12738,0.12886,16176560.0
0.12889,0.13244,0.12846,0.13208,13803009.0
0.13209,0.13279,0.13085,0.13131,7120054.0
0.13136,0.13249,0.13042,0.13136,8079151.0
0.13138,0.13357,0.1308,0.13344,8138709.0
0.13348,0.13352,0.13104,0.13256,7135699.0
0.13255,0.13547,0.13235,0.13442,6745212.0
0.13443,0.13454,0.13314,0.13345,4701923.0
0.13345,0.13423,0.13272,0.13275,3907081.0
0.13274,0.13474,0.1327,0.13395,4093758.0
0.13394,0.13518,0.13375,0.13481,7058880.0
0.1348,0.13487,0.13217,0.13255,9730546.0
0.13252,0.13428,0.13165,0.13372,8853755.0
0.13375,0.13448,0.13297,0.13336,7192862.0
0.13336,0.13416,0.13266,0.13401,9074088.0
0.13405,0.13476,0.13355,0.13376,5061070.0
0.13376,0.13455,0.13294,0.13424,4991326.0
0.13425,0.13449,0.13293,0.13298,5034849.0
0.13291,0.13323,0.12651,0.12761,30051523.0
0.12762,0.12765,0.12508,0.12533,20276745.0
0.12533,0.1269,0.12249,0.12295,30803981.0
0.12294,0.12526,0.12024,0.12474,44724579.0
0.12474,0.1271,0.12225,0.1266,30566834.0
0.12659,0.13067,0.12577,0.12934,19481519.0
0.12935,0.13119,0.12794,0.12914,11464291.0
0.12913,0.12957,0.12808,0.12867,5653257.0
0.12867,0.13076,0.12823,0.12889,10431257.0
0.12879,0.12885,0.12616,0.12652,8781589.0
0.12651,0.12843,0.11958,0.1217,44364161.0
0.12168,0.12201,0.1061,0.11328,137291454.0
0.11328,0.11566,0.11004,0.11518,66248973.0
0.11518,0.1153,0.1125,0.11299,36531148.0
0.113,0.11578,0.11284,0.11365,25347460.0
0.11367,0.11567,0.10908,0.11258,75251815.0
0.11264,0.11344,0.10217,0.10955,155580704.0
0.10957,0.11637,0.1089,0.11556,55195383.0
0.11553,0.11571,0.11123,0.11178,38365817.0
0.11183,0.11312,0.10976,0.11194,30694821.0
0.11192,0.11192,0.10746,0.10842,42021642.0
0.1084,0.10871,0.104,0.1083,52943378.0
0.10826,0.1096,0.10505,0.10648,51634055.0
0.1064,0.11492,0.10505,0.11394,74062404.0
0.11394,0.12082,0.11394,0.11979,56028342.0
0.11982,0.12274,0.11836,0.12195,26314515.0
0.12193,0.12529,0.12034,0.12061,27635663.0
0.12063,0.12199,0.11977,0.12014,15925837.0
0.12015,0.12021,0.11587,0.1159,18919642.0
0.11592,0.11856,0.11531,0.11802,30869810.0
0.11801,0.11979,0.11736,0.11858,12466019.0
0.11856,0.11996,0.11688,0.11742,12855658.0
0.11742,0.11897,0.11673,0.11812,9817090.0
0.11816,0.1196,0.11689,0.11708,8535947.0
0.1171,0.1237,0.11657,0.12367,29738950.0
0.12367,0.12577,0.12262,0.12347,23464125.0
0.12349,0.12411,0.12255,0.12344,9382936.0
0.12339,0.12375,0.12165,0.12197,9439531.0
0.12194,0.12208,0.12061,0.12174,19563448.0
0.12174,0.12382,0.12097,0.12366,16598131.0
0.12367,0.12568,0.12198,0.12373,22366939.0
0.12372,0.12444,0.12243,0.12414,8497912.0
0.12414,0.12454,0.12039,0.12143,15923640.0
0.12143,0.12229,0.12015,0.12218,14816364.0
0.12217,0.12317,0.12115,0.12236,10792693.0
0.12237,0.12276,0.12052,0.12139,12938112.0
