open,high,low,close,volume
0.1978,0.198,0.1959,0.1968,1090739.0
0.1969,0.1983,0.1967,0.1972,1084132.0
0.1973,0.1997,0.1971,0.1993,1474276.0
0.1992,0.1993,0.1969,0.1972,974272.0
0.1971,0.1977,0.195,0.1957,2008617.0
0.1957,0.197,0.1916,0.1919,4718421.0
0.192,0.1924,0.1869,0.1895,10214351.0
0.1895,0.1895,0.1843,0.185,6017454.0
0.185,0.1864,0.1823,0.1839,4547409.0
0.184,0.1857,0.1827,0.1828,3883670.0
0.1828,0.1846,0.181,0.182,4240584.0
0.182,0.1859,0.1813,0.1852,2602420.0
0.1852,0.1866,0.1842,0.1848,1577089.0
0.1849,0.1863,0.1836,0.1848,1660398.0
0.1848,0.1879,0.1848,0.1875,1826765.0
0.1874,0.1882,0.1852,0.1873,980788.0
0.1873,0.1905,0.187,0.1896,1586583.0
0.1896,0.1896,0.1877,0.188,1010705.0
0.1881,0.1885,0.1865,0.1865,823904.0
0.1866,0.1879,0.1862,0.1868,974666.0
0.1868,0.1875,0.1863,0.1866,974629.0
0.1866,0.1874,0.183,0.1832,2312904.0
0.1831,0.1859,0.1829,0.1844,3471605.0
0.1844,0.1855,0.1832,0.1835,2048931.0
0.1835,0.1843,0.1824,0.1841,1088574.0
0.1841,0.1844,0.1828,0.1832,950320.0
0.1832,0.1845,0.182,0.1841,1384094.0
0.1841,0.1846,0.1824,0.1828,882840.0
0.1827,0.183,0.1768,0.181,9106301.0
0.1811,0.1811,0.1734,0.1735,7965395.0
0.1736,0.1737,0.1582,0.1591,40645506.0
0.159,0.1623,0.1559,0.1615,19021179.0
0.1615,0.1626,0.1596,0.1624,8142786.0
0.1623,0.1648,0.1604,0.1623,10008219.0
0.1623,0.163,0.1573,0.1594,9329926.0
0.1593,0.1601,0.1571,0.1588,6736128.0
0.1588,0.1605,0.1579,0.1587,6195188.0
0.1588,0.1588,0.1548,0.1568,10096980.0
0.1568,0.1593,0.1496,0.1531,20759959.0
0.153,0.1536,0.1328,0.1469,54614351.0
0.1469,0.1479,0.1416,0.1473,20315709.0
0.1473,0.1474,0.1436,0.1438,8838671.0
0.1438,0.146,0.1413,0.142,9170790.0
0.1419,0.1432,0.1354,0.1396,22533761.0
0.1396,0.1404,0.1261,0.1366,64568048.0
0.1365,0.1437,0.1354,0.1428,21238967.0
0.1429,0.1432,0.1391,0.1403,9496920.0
0.1402,0.1413,0.1367,0.1394,7743785.0
0.1394,0.1396,0.1338,0.1346,10217028.0
0.1346,0.1357,0.1302,0.1355,14075496.0
0.1355,0.1369,0.1307,0.132,16566290.0
0.132,0.1428,0.13,0.1419,27183245.0
0.1419,0.1496,0.1419,0.1482,19699217.0
0.1483,0.1517,0.1467,0.151,9448529.0
0.151,0.1552,0.1501,0.1502,10084296.0
0.1503,0.1534,0.1503,0.1514,5055931.0
0.1514,0.1516,0.1456,0.1458,5141164.0
0.1457,0.149,0.1449,0.1476,7898005.0
0.1475,0.1501,0.1473,0.1489,3910609.0
0.1488,0.1512,0.1477,0.149,3427316.0
0.149,0.1509,0.1486,0.1502,5607218.0
0.1502,0.1514,0.1477,0.1482,5245834.0
0.1482,0.1567,0.148,0.1566,5669682.0
0.1565,0.1601,0.1546,0.1564,8627413.0
0.1563,0.1572,0.1553,0.1565,2368993.0
0.1565,0.1568,0.1548,0.1549,2729892.0
0.155,0.1583,0.1545,0.1578,2907768.0
0.1577,0.1594,0.1567,0.1592,4207640.0
0.1592,0.16,0.158,0.1584,2667388.0
0.1584,0.1596,0.1573,0.1596,2589769.0
0.1595,0.1596,0.154,0.1556,3791596.0
0.1556,0.1568,0.1545,0.1566,2741205.0
0.1566,0.1574,0.1553,0.1571,2593842.0
0.157,0.1573,0.1557,0.1565,2236393.0
0.1565,0.1581,0.1553,0.156,3666153.0
0.1559,0.1583,0.1544,0.1573,4400756.0
0.1573,0.1649,0.1572,0.1625,7546002.0
0.1626,0.1635,0.16,0.1623,3354926.0
0.1624,0.1643,0.1613,0.1633,3213100.0
0.1633,0.1645,0.1612,0.1612,2176751.0
0.1612,0.1635,0.1611,0.1617,1600232.0
0.1617,0.1625,0.1608,0.1613,1929062.0
0.1611,0.1626,0.1605,0.1619,2352332.0
0.1618,0.1628,0.1607,0.1627,1399197.0
0.1626,0.1636,0.1602,0.1616,2570880.0
0.1615,0.1618,0.1594,0.1599,1613032.0
0.1599,0.1613,0.158,0.1594,2680135.0
0.1594,0.163,0.1573,0.163,4598137.0
0.163,0.1655,0.1613,0.1626,3582714.0
0.1626,0.1648,0.1624,0.1645,1741320.0
0.1645,0.1665,0.1639,0.1647,2900448.0
0.1648,0.1667,0.1642,0.1652,2262132.0
0.1651,0.1653,0.1638,0.1646,1428134.0
0.1646,0.1655,0.163,0.1645,1470925.0
0.1644,0.1657,0.1642,0.1652,1395681.0
0.1652,0.1669,0.1644,0.1657,1982733.0
0.1658,0.1735,0.1647,0.1655,13870860.0
0.1655,0.1659,0.1625,0.1626,5301622.0
0.1627,0.1639,0.162,0.1633,2308885.0
0.1633,0.1641,0.1603,0.1608,3957078.0
0.1609,0.1615,0.1535,0.1557,9421797.0
0.1557,0.1577,0.1551,0.1565,3388303.0
0.1565,0.1571,0.1552,0.1563,3715327.0
0.1562,0.1571,0.154,0.1555,2095400.0
0.1555,0.1564,0.1531,0.1539,2677742.0
0.1539,0.1551,0.1532,0.1542,1398480.0
0.1541,0.1562,0.1519,0.1543,3329001.0
0.1544,0.1558,0.1535,0.155,2215758.0
0.155,0.1554,0.1523,0.155,2065245.0
0.155,0.1553,0.1535,0.1544,1622300.0
