open,high,low,close,volume
49.89,50.26,49.88,50.12,13944.936
50.11,50.39,49.86,49.87,22911.88
49.87,50.17,49.55,49.87,19563.852
49.85,50.16,49.73,49.84,11828.312
49.84,50.72,49.67,50.11,32296.971
50.11,50.18,48.53,48.7,38855.4
48.69,48.75,47.62,47.89,57640.99
47.89,47.95,46.47,46.57,34989.277
46.58,46.69,45.77,46.04,39610.048
46.05,46.55,45.81,46.07,24374.543
46.08,46.36,45.11,45.15,38131.691
45.14,45.63,44.61,44.96,50038.5
44.97,45.32,43.92,43.98,36548.575
43.99,44.62,43.86,44.36,45828.286
44.36,44.78,44.17,44.62,34517.639
44.62,45.28,44.15,45.2,32798.334
45.19,46.62,45.18,46.08,62383.495
46.09,46.16,45.29,45.41,30039.221
45.4,45.59,44.82,44.83,22656.523
44.84,45.25,44.8,44.91,21458.313
44.9,45.18,44.65,45.04,22600.381
45.05,45.35,44.65,44.77,22272.205
44.77,45.1,44.43,44.81,23929.352
44.82,45.06,44.72,44.9,18325.839
44.89,45.08,44.59,44.98,14547.851
44.99,45.03,44.55,44.78,14263.652
44.79,44.79,44.4,44.56,14126.614
44.56,44.56,44.16,44.25,24891.751
44.24,44.27,43.09,43.43,47283.083
43.43,43.44,42.44,42.47,42955.497
42.48,42.72,41.8,41.86,50282.283
41.86,41.95,40.7,41.65,71376.611
41.65,42.12,40.95,42.0,38955.515
41.99,42.88,41.61,42.46,42963.858
42.45,42.81,41.76,41.97,33768.517
41.97,42.09,41.36,41.48,17345.129
41.49,41.98,41.21,41.22,23128.073
41.24,41.24,40.68,40.72,16834.271
40.71,41.17,38.1,38.76,104580.537
38.77,38.85,34.35,36.62,346364.705
36.61,36.67,35.51,36.54,90580.116
36.53,36.67,35.61,36.0,64221.265
36.01,36.94,35.94,36.8,43890.054
36.81,37.3,35.4,36.57,97559.07
36.58,36.88,33.78,35.76,233067.279
35.77,37.68,35.62,37.25,71086.841
37.24,37.36,36.42,36.84,36294.32
36.83,37.05,36.2,36.7,28860.316
36.69,36.69,35.14,35.47,46331.532
35.46,35.54,34.29,35.52,62918.943
