open,high,low,close,volume
0.1459,0.146,0.1448,0.1454,1012022.7
0.1454,0.1455,0.1446,0.1448,1444860.5
0.1449,0.1468,0.1447,0.146,1225540.1
0.1459,0.146,0.1449,0.1453,957029.1
0.1452,0.1461,0.144,0.1441,2612303.9
0.1441,0.1449,0.1391,0.1394,5281902.6
0.1393,0.1409,0.1367,0.1386,10364524.7
0.1386,0.1387,0.1347,0.1352,7057856.8
0.1352,0.1359,0.1326,0.1335,6681636.6
0.1335,0.1344,0.1322,0.1323,4606667.1
0.1324,0.1343,0.1315,0.1325,4356961.7
0.1326,0.135,0.132,0.1345,3880847.8
0.1346,0.135,0.1331,0.1334,2159647.7
0.1334,0.1338,0.1323,0.133,2367448.7
0.133,0.1346,0.1326,0.1344,1936023.9
0.1344,0.1352,0.1329,0.1348,1573737.3
0.1348,0.1391,0.1348,0.1387,4609433.0
0.1387,0.139,0.1374,0.1386,1636284.3
0.1387,0.1389,0.1359,0.136,2458101.9
0.1361,0.1381,0.1359,0.1371,1619368.6
0.1371,0.1386,0.1371,0.1382,1519998.6
0.1382,0.1385,0.1362,0.1366,1941625.9
0.1366,0.1379,0.1356,0.1371,2347041.0
0.1372,0.1376,0.1364,0.1364,1292439.8
0.1364,0.1372,0.1356,0.1371,2183047.4
0.137,0.1373,0.1358,0.1364,1472063.5
0.1364,0.1377,0.1363,0.1375,2180304.1
0.1375,0.138,0.1359,0.1361,1950571.2
0.1361,0.1362,0.1309,0.1312,7911555.8
0.1312,0.1312,0.1277,0.1279,6242358.4
0.1279,0.1287,0.1237,0.1241,10268345.4
0.124,0.1259,0.1212,0.1246,14913025.4
0.1245,0.1265,0.1226,0.126,7814488.2
0.126,0.1302,0.1249,0.1291,5785071.9
0.129,0.131,0.1273,0.1286,4789562.9
0.1285,0.1286,0.1273,0.1278,2241253.7
0.1278,0.1296,0.1271,0.1275,3283629.8
0.1275,0.1275,0.1248,0.1254,2926725.6
0.1254,0.1273,0.119,0.1209,16351796.2
0.1209,0.1213,0.1051,0.1123,69398285.9
0.1123,0.1131,0.1095,0.1127,21124078.0
0.1127,0.1128,0.1094,0.1097,10997478.3
0.1097,0.1118,0.1089,0.1098,8529653.8
0.1098,0.1108,0.1052,0.108,23460722.7
0.108,0.1086,0.0985,0.1052,68344133.3
0.1051,0.1096,0.1044,0.1088,13891919.0
0.1088,0.1098,0.1067,0.1084,9564970.4
0.1083,0.1095,0.1066,0.1087,7109812.0
0.1087,0.1087,0.1042,0.105,14778516.0
0.105,0.1055,0.1012,0.1053,21606445.7
0.1054,0.1066,0.1022,0.1034,24958291.3
0.1034,0.1111,0.1022,0.1105,31067885.5
0.1105,0.1163,0.1104,0.1153,22311386.8
0.1154,0.1179,0.1142,0.1171,9180159.9
0.1171,0.1194,0.1156,0.1156,11216052.6
0.1156,0.1182,0.1154,0.1168,13212937.8
0.1169,0.1172,0.1132,0.1133,7994648.1
0.1133,0.1155,0.1128,0.1148,9509211.4
0.1148,0.1163,0.1141,0.1152,5653685.4
0.1152,0.1171,0.1143,0.1153,4926993.7
0.1153,0.1169,0.1147,0.1161,3515622.9
0.1161,0.1173,0.115,0.1151,2732636.1
0.1151,0.1212,0.1149,0.121,11866730.6
0.1209,0.1227,0.1193,0.1202,7109652.8
0.1201,0.121,0.1194,0.1207,3092304.5
0.1207,0.121,0.1197,0.12,1997803.4
0.12,0.1212,0.1194,0.1212,3085338.2
0.1211,0.1229,0.1206,0.1227,3897262.5
0.1227,0.1233,0.1216,0.1227,3385257.6
0.1227,0.1242,0.1221,0.1238,4577230.4
0.1238,0.1241,0.1201,0.1215,5801110.1
0.1214,0.122,0.1204,0.1217,3659673.4
0.1217,0.1222,0.1206,0.1214,2425368.7
0.1214,0.122,0.1204,0.1213,2311345.5
0.1213,0.1223,0.1205,0.1212,3671270.2
0.1211,0.1226,0.1198,0.1218,5016626.1
0.1217,0.1268,0.1216,0.1244,8778223.8
0.1244,0.1251,0.1226,0.1248,4344274.4
0.1247,0.1254,0.1233,0.1246,3715495.8
0.1245,0.1252,0.1239,0.1239,2331389.4
0.1238,0.1281,0.1238,0.1281,6551280.0
0.128,0.1283,0.1244,0.125,11964063.6
0.125,0.126,0.1244,0.1256,3286975.5
0.1255,0.1256,0.1246,0.1253,1375558.3
0.1254,0.1267,0.1243,0.125,3239922.1
0.125,0.1252,0.1235,0.1242,1881939.6
0.1242,0.1253,0.1231,0.1244,2957286.9
0.1244,0.127,0.1228,0.1268,3095574.5
0.1268,0.1278,0.1253,0.126,2798478.4
0.1261,0.127,0.1255,0.1265,1863085.4
0.1264,0.1279,0.1261,0.1271,2391219.5
0.1271,0.1288,0.1269,0.1274,2099827.9
0.1274,0.1287,0.1266,0.1283,1969296.3
0.1284,0.1312,0.1272,0.1294,5323023.2
0.1293,0.1336,0.1292,0.1313,11361383.6
0.1313,0.136,0.1307,0.1333,13443892.6
0.1333,0.1393,0.1313,0.1368,36516712.0
0.1367,0.1373,0.1317,0.1326,25254787.1
0.1326,0.1334,0.1314,0.1322,11600559.1
0.1322,0.1325,0.129,0.1301,16431540.6
0.1302,0.1307,0.1236,0.1256,19130146.8
0.1256,0.1272,0.1243,0.125,8276701.7
0.1251,0.1256,0.1235,0.1242,5709160.8
0.1242,0.1255,0.1224,0.124,7087596.1
0.124,0.1244,0.1215,0.1223,7440608.9
0.1224,0.1232,0.1217,0.1231,3733574.5
0.1232,0.1245,0.1209,0.1231,7866569.4
0.1231,0.1238,0.1219,0.1231,3060309.4
0.1231,0.1233,0.1204,0.1224,4880116.6
0.1224,0.1229,0.1212,0.122,2078952.2
0.122,0.1223,0.1187,0.1214,7554431.1
0.1214,0.126,0.121,0.1258,7827853.8
0.1257,0.1285,0.1256,0.1274,5234323.1
0.1273,0.1275,0.1254,0.1254,2875919.3
0.1254,0.1272,0.1253,0.1254,3627464.0
0.1255,0.1269,0.1254,0.1267,2118911.7
0.1267,0.1273,0.1261,0.1262,2281267.5
0.1262,0.1265,0.1252,0.1253,2908612.1
0.1253,0.1265,0.1246,0.1262,4051693.6
0.1262,0.127,0.1253,0.1263,3732434.3
0.1262,0.127,0.1258,0.1265,2269703.1
0.1264,0.1272,0.1259,0.1261,3374683.1
0.1261,0.1302,0.1256,0.1278,8236918.8
0.1278,0.129,0.1256,0.1269,7961384.6
0.127,0.1295,0.1268,0.1293,3489595.4
0.1292,0.13,0.1281,0.129,4063047.5
0.1289,0.1306,0.1287,0.1299,4793187.6
0.1299,0.1304,0.1289,0.1291,2496133.2
0.129,0.1297,0.1286,0.1292,1156293.4
0.1291,0.1293,0.1284,0.1287,1546115.0
0.1286,0.1299,0.1285,0.1293,1640851.7
0.1294,0.1338,0.1294,0.1335,2253656.3
0.1336,0.1363,0.1326,0.1354,5027047.8
0.1354,0.1372,0.1345,0.1367,3657141.2
0.1368,0.1369,0.1343,0.135,4064809.3
0.1349,0.1357,0.1344,0.1348,1944784.5
0.1347,0.1349,0.1324,0.1341,4493208.5
0.1341,0.1348,0.1333,0.1338,2263450.3
0.1339,0.1342,0.1319,0.132,1889846.1
0.132,0.1328,0.1317,0.1326,1522289.5
0.1327,0.1334,0.1323,0.133,3358999.3
0.133,0.1338,0.1328,0.1332,1910957.7
0.1332,0.1339,0.1328,0.1337,1216485.4
0.1337,0.1342,0.1312,0.1315,4351366.4
0.1316,0.1333,0.1311,0.1319,5139145.2
0.132,0.1321,0.1305,0.1311,2434388.4
0.1311,0.1311,0.129,0.1301,3962463.5
0.1301,0.1308,0.1288,0.1308,3291861.1
0.1307,0.1328,0.128,0.1303,5628309.9
0.1303,0.1311,0.1297,0.1298,2490024.0
0.1298,0.1312,0.1294,0.1311,2072437.0
0.1311,0.1318,0.1301,0.1302,2232669.3
0.1302,0.1312,0.1297,0.1312,1723277.8
0.1311,0.1316,0.1307,0.1314,813652.2
0.1314,0.1323,0.1312,0.1322,1237943.5
0.1321,0.1327,0.1308,0.1327,3357625.2
0.1325,0.1332,0.1315,0.1321,1481457.9
0.1321,0.1323,0.1311,0.1319,2298718.3
0.1319,0.1332,0.1308,0.1312,3522291.2
0.1311,0.1316,0.1303,0.1306,2056444.9
0.1305,0.1316,0.1304,0.1308,964016.9
0.1309,0.1312,0.1303,0.1309,1536806.6
0.1308,0.1309,0.1293,0.1299,1822698.7
0.1298,0.1299,0.129,0.1291,1607772.0
0.1292,0.1301,0.1287,0.1299,2349382.6
0.13,0.1306,0.1291,0.1306,2757455.7
0.1306,0.1306,0.1289,0.1293,2015235.2
0.1293,0.1307,0.1293,0.1302,1013568.2
0.1303,0.131,0.1298,0.1308,1217791.6
0.1308,0.1331,0.1306,0.133,3084251.6
0.133,0.133,0.1316,0.1316,1910703.9
0.1317,0.1319,0.1307,0.1307,1558459.0
0.1308,0.1312,0.1302,0.1306,1402495.0
0.1305,0.1319,0.1304,0.1305,1377335.1
0.1305,0.1314,0.1302,0.1308,1117261.7
0.1308,0.131,0.1298,0.1309,969844.2
0.1309,0.1315,0.1306,0.1309,874005.8
0.131,0.1318,0.1307,0.1316,946335.2
0.1317,0.1318,0.131,0.1314,1111487.6
0.1315,0.1321,0.1314,0.1319,855310.3
0.132,0.1327,0.1319,0.1323,1385254.0
0.1322,0.1329,0.1316,0.1326,1200428.8
0.1326,0.1343,0.1322,0.1338,1649090.5
0.1337,0.1342,0.1332,0.1339,877397.8
0.134,0.1361,0.1339,0.1354,3264579.0
0.1355,0.1373,0.1346,0.1357,2096411.7
0.1358,0.1366,0.1347,0.136,1648925.6
0.1359,0.1383,0.1352,0.1373,2325267.5
0.1375,0.1375,0.1352,0.1354,2367967.2
0.1354,0.1414,0.1354,0.1397,8091326.7
0.1397,0.1411,0.1373,0.1379,6626440.6
0.1381,0.1419,0.1377,0.1395,9253704.7
0.1394,0.1414,0.1389,0.14,5724591.0
0.1401,0.1404,0.1365,0.1369,6675952.7
0.1368,0.137,0.1341,0.1349,4425232.0
0.1349,0.135,0.1324,0.1334,5779741.2
0.1333,0.1337,0.1296,0.1303,5457397.2
0.1303,0.1318,0.1291,0.1318,6755380.8
0.1317,0.1332,0.1312,0.1323,6578555.8
0.1323,0.1325,0.1308,0.132,3028552.5
0.1319,0.1325,0.1311,0.1317,2264909.8
0.1316,0.1316,0.1286,0.1292,6138197.5
0.1293,0.1294,0.1266,0.1275,8438309.7
0.1275,0.1282,0.1264,0.1279,3094249.2
0.1279,0.1282,0.1262,0.1268,3408656.5
0.1267,0.1268,0.1253,0.126,3190048.4
0.126,0.1289,0.126,0.1283,4156096.3
0.1282,0.1298,0.1282,0.1291,2825754.3
0.1291,0.1293,0.128,0.1291,1791365.5
0.129,0.1294,0.1277,0.1277,1488042.4
0.1278,0.1285,0.1277,0.1278,1155691.9
0.1278,0.1289,0.1277,0.1284,1531003.0
0.1283,0.1285,0.1259,0.126,4652151.3
0.126,0.1305,0.1245,0.1297,7405335.2
0.1297,0.1317,0.1285,0.1287,3543201.9
0.1287,0.13,0.1285,0.1292,2253187.8
0.1292,0.1319,0.1285,0.1316,5424379.9
0.1316,0.1342,0.1315,0.1339,5170207.6
0.134,0.1343,0.1312,0.1324,4329928.8
0.1324,0.1333,0.129,0.1296,4727600.8
0.1296,0.1358,0.1281,0.1354,6787103.9
0.1354,0.1363,0.1324,0.1346,5571389.3
0.1346,0.1354,0.1336,0.134,2276790.7
0.134,0.1345,0.1329,0.133,1839244.6
0.133,0.1344,0.1314,0.1315,2774917.0
0.1315,0.133,0.1315,0.1323,2051059.5
0.1323,0.1336,0.1321,0.1323,1244053.1
0.1323,0.1325,0.1307,0.1319,1303883.3
0.132,0.1331,0.1319,0.1327,868380.4
0.1327,0.1348,0.1327,0.1341,2758936.6
0.1341,0.1349,0.1336,0.134,1816600.1
0.134,0.1345,0.1333,0.1345,1298105.8
0.1344,0.1344,0.1322,0.1324,1934163.9
0.1324,0.1324,0.1293,0.1296,3719128.2
0.1296,0.1309,0.1287,0.1309,1567135.5
0.131,0.1317,0.1305,0.1311,1176687.2
0.1312,0.1322,0.1311,0.1321,904851.6
0.132,0.1322,0.1304,0.1304,1242259.7
0.1304,0.1308,0.1292,0.1296,1534339.2
0.1295,0.1296,0.1277,0.1289,2270492.7
0.1288,0.1293,0.1278,0.129,1681556.7
0.1289,0.1297,0.1284,0.1297,988818.1
0.1296,0.1308,0.1294,0.1302,2796565.2
0.1303,0.1316,0.1296,0.1315,1687863.5
0.1316,0.132,0.1294,0.1306,2099152.3
0.1308,0.1313,0.1296,0.1305,1466362.0
0.1305,0.1354,0.1305,0.1352,3086822.0
0.1353,0.1364,0.1344,0.1362,2897772.5
0.1362,0.1362,0.1343,0.1344,1628454.5
0.1343,0.1354,0.1326,0.1349,2432116.1
0.1349,0.135,0.1339,0.1341,640808.9
0.134,0.135,0.1338,0.1349,1014136.6
0.1348,0.1352,0.134,0.1345,1323491.3
0.1344,0.1348,0.1339,0.1343,1046335.6
0.1343,0.1343,0.1333,0.1337,1591446.1
0.1337,0.1338,0.1319,0.1323,1128364.8
0.1323,0.133,0.1321,0.1329,590838.2
0.1328,0.1336,0.1325,0.1332,657926.4
0.1332,0.1338,0.1327,0.1328,969725.0
0.1328,0.1331,0.1321,0.1322,1093745.8
0.1322,0.1328,0.1314,0.1321,1301539.9
0.132,0.1321,0.1301,0.1309,2960480.8
0.1309,0.1314,0.1303,0.1309,1323147.5
0.1309,0.1318,0.1308,0.1313,1571060.0
0.1312,0.1334,0.1312,0.1322,1492523.3
0.1322,0.1324,0.1312,0.1314,2106495.5
0.1313,0.134,0.1304,0.1322,7804131.3
0.1321,0.1326,0.1286,0.129,5884392.3
0.1289,0.1289,0.1266,0.1286,4458916.8
0.1286,0.1294,0.1272,0.1288,4226907.2
0.1289,0.1291,0.1273,0.1284,2970990.8
0.1284,0.1286,0.1278,0.1279,1074086.2
0.1279,0.1287,0.127,0.1275,993155.9
0.1275,0.1278,0.1268,0.1274,821216.4
0.1275,0.1277,0.1269,0.1271,799774.3
0.1271,0.1272,0.1266,0.1267,855339.8
0.1267,0.1274,0.1256,0.1272,2108985.9
0.1272,0.129,0.1272,0.1282,2014540.2
0.1283,0.1291,0.1275,0.1285,1055267.0
0.1284,0.1285,0.1272,0.1274,1090086.8
0.1274,0.1283,0.127,0.1276,1231564.8
0.1277,0.1278,0.1273,0.1274,925699.9
0.1275,0.1281,0.1269,0.1279,554438.5
0.1278,0.128,0.1267,0.1274,1877004.2
0.1274,0.1279,0.1256,0.126,3120136.1
0.1261,0.1281,0.1258,0.1276,1871518.0
0.1276,0.1282,0.1271,0.1281,830589.6
0.1282,0.1286,0.1273,0.1274,665616.6
0.1274,0.1275,0.1261,0.1263,1312927.4
0.1262,0.1273,0.1259,0.1269,2306707.9
0.1268,0.1288,0.1265,0.1272,2259950.4
0.1272,0.1286,0.1264,0.1282,1857591.9
0.1283,0.1297,0.1282,0.1286,3018759.4
0.1287,0.129,0.1264,0.1265,3341074.5
0.1265,0.1277,0.1259,0.1262,2264779.7
0.1261,0.1263,0.1213,0.1214,7443802.5
0.1213,0.1214,0.1186,0.1206,8428768.7
0.1205,0.1214,0.1196,0.1208,3800070.4
0.1209,0.1209,0.1195,0.1205,2347946.6
0.1205,0.1208,0.1193,0.1199,2717207.6
0.1199,0.122,0.1193,0.1209,2964187.0
0.1209,0.122,0.1206,0.1217,1931135.8
0.1218,0.1226,0.1209,0.121,1702024.4
0.121,0.1217,0.12,0.1208,1442355.7
0.1208,0.1236,0.1201,0.1221,2868859.3
0.122,0.1228,0.1213,0.1214,1177472.0
0.1214,0.1221,0.1208,0.122,952427.6
0.122,0.1224,0.1211,0.1217,1068949.6
0.1217,0.1238,0.1217,0.1234,1199311.7
0.1235,0.1235,0.1221,0.1222,1933768.3
0.1222,0.1228,0.1217,0.1219,823712.6
0.1219,0.1225,0.1216,0.1223,1076426.8
0.1223,0.1231,0.1219,0.1224,2943803.7
0.1224,0.123,0.1218,0.1221,1139118.3
0.1222,0.1226,0.119,0.1206,4984578.0
0.1206,0.1235,0.1203,0.1223,4427116.0
0.1222,0.1227,0.1203,0.1206,3387976.6
0.1205,0.1216,0.1197,0.1213,3949050.9
0.1212,0.1231,0.1206,0.1218,3442068.3
0.1218,0.123,0.1197,0.1227,4288622.7
0.1227,0.1242,0.1222,0.1236,2708112.2
0.1237,0.1243,0.123,0.124,1507488.9
0.1241,0.126,0.1241,0.1248,2540162.4
0.1247,0.1247,0.1238,0.124,1034991.4
0.124,0.1247,0.1234,0.1241,761330.0
0.1242,0.1244,0.1235,0.1238,1037747.0
0.1238,0.1238,0.1223,0.123,1728298.6
0.1229,0.124,0.1225,0.123,1417696.2
0.123,0.1236,0.1227,0.123,532972.6
0.1231,0.1233,0.1225,0.1228,692845.4
0.1228,0.1234,0.1226,0.1229,503228.0
0.123,0.1234,0.1228,0.1231,619769.1
0.123,0.1236,0.1226,0.1226,637057.9
0.1227,0.1233,0.1223,0.1232,613138.1
