open,high,low,close,volume
5.16,5.174,5.143,5.168,345630.9
5.168,5.174,5.155,5.158,241810.4
5.159,5.193,5.152,5.167,719304.3
5.167,5.177,5.154,5.177,390133.3
5.177,5.203,5.16,5.165,476391.5
5.165,5.17,5.044,5.053,1491334.6
5.053,5.071,4.973,5.014,2932138.4
5.014,5.015,4.869,4.89,3048467.0
4.89,4.938,4.852,4.901,1956592.9
4.901,4.951,4.881,4.883,1254704.0
4.884,4.956,4.864,4.907,1095040.3
4.907,5.035,4.879,5.034,2022942.0
5.034,5.058,5.015,5.035,933119.2
5.036,5.065,5.02,5.041,753017.9
5.041,5.078,5.018,5.076,1012889.5
5.075,5.083,5.018,5.05,745673.5
5.051,5.095,5.033,5.063,719685.5
5.063,5.073,5.048,5.066,386080.6
5.066,5.078,5.026,5.028,501989.9
5.027,5.055,5.027,5.043,511340.8
5.043,5.053,5.014,5.024,635518.6
5.025,5.028,4.947,4.952,949642.4
4.953,4.998,4.933,4.969,821434.5
4.97,4.987,4.961,4.969,336106.9
4.969,4.974,4.941,4.971,500354.0
4.971,4.976,4.897,4.901,1220854.6
4.9,4.906,4.855,4.902,1545984.0
4.902,4.907,4.884,4.886,520147.9
4.885,4.894,4.751,4.78,3327930.8
4.781,4.781,4.713,4.719,2072849.1
4.719,4.753,4.636,4.65,3280878.9
4.651,4.66,4.527,4.612,4222449.6
4.612,4.688,4.563,4.684,2167240.5
4.685,4.786,4.656,4.765,1579251.1
4.764,4.825,4.744,4.78,1319277.1
4.779,4.79,4.738,4.75,639696.9
4.751,4.8,4.736,4.759,1009763.7
4.759,4.761,4.67,4.687,1190027.6
4.688,4.725,4.42,4.473,6499051.7
4.473,4.489,3.915,4.121,16941597.8
4.121,4.14,4.007,4.134,7900767.4
4.134,4.136,4.002,4.008,5763931.8
4.009,4.047,3.891,3.978,6139800.2
3.979,4.021,3.803,3.917,8945499.7
3.918,3.956,3.584,3.815,17137807.9
3.815,4.05,3.79,4.015,6288064.9
4.014,4.018,3.894,3.911,3997140.9
3.911,3.977,3.891,3.964,2884097.5
3.964,3.964,3.807,3.847,3729444.8
3.846,3.894,3.717,3.886,6183052.1
3.886,3.924,3.778,3.819,5477241.6
3.818,4.082,3.789,4.057,6990995.3
4.057,4.229,4.056,4.186,4932321.5
4.187,4.246,4.146,4.233,3010206.1
4.232,4.286,4.182,4.184,3293720.2
4.184,4.265,4.167,4.227,1929299.8
4.227,4.229,4.088,4.091,2371640.1
4.09,4.15,4.069,4.12,2461139.1
4.12,4.192,4.114,4.176,1593511.6
4.176,4.236,4.147,4.184,1271219.5
4.184,4.254,4.173,4.24,1371733.5
4.24,4.281,4.191,4.195,1182004.5
4.196,4.38,4.188,4.379,2669874.8
4.379,4.417,4.33,4.358,2076400.8
4.357,4.366,4.305,4.336,1122638.8
4.335,4.354,4.309,4.338,775066.5
4.338,4.385,4.322,4.37,1086705.4
4.37,4.424,4.345,4.421,838741.6
4.421,4.452,4.387,4.412,1195235.8
4.411,4.436,4.379,4.43,935962.9
4.43,4.435,4.305,4.342,1774701.3
4.342,4.359,4.31,4.357,1233432.6
4.357,4.365,4.318,4.343,731207.6
4.344,4.365,4.318,4.34,797776.2
4.341,4.363,4.296,4.317,1162816.4
4.316,4.354,4.265,4.319,2762147.1
4.319,4.481,4.311,4.418,3277321.9
4.418,4.488,4.396,4.484,1689128.9
4.485,4.544,4.466,4.522,1618618.5
4.522,4.562,4.51,4.53,1129238.2
4.529,4.599,4.525,4.563,1116926.5
4.563,4.585,4.534,4.546,921020.3
4.545,4.556,4.484,4.511,1518221.9
4.511,4.542,4.491,4.541,477419.2
4.54,4.581,4.485,4.513,1537078.0
4.513,4.527,4.475,4.505,749695.8
4.504,4.548,4.473,4.526,1289895.3
4.526,4.591,4.474,4.578,1704918.1
4.578,4.63,4.51,4.528,1900790.2
4.528,4.564,4.511,4.541,876591.0
4.541,4.593,4.534,4.557,625582.0
4.557,4.588,4.543,4.562,591493.3
4.562,4.585,4.541,4.558,594964.6
4.557,4.585,4.526,4.567,532893.7
4.567,4.593,4.533,4.558,665374.5
4.558,4.609,4.535,4.594,1041471.8
4.593,4.619,4.57,4.571,695740.3
4.571,4.58,4.536,4.538,871917.8
4.538,4.637,4.523,4.621,1383398.2
4.621,4.635,4.541,4.561,1659400.2
4.56,4.569,4.399,4.497,4314948.5
4.497,4.539,4.462,4.507,1850993.3
4.507,4.552,4.465,4.543,1537112.3
4.544,4.607,4.505,4.556,2564638.3
4.555,4.572,4.477,4.489,1783961.5
4.49,4.58,4.483,4.575,1330050.6
4.576,4.613,4.501,4.576,2581685.9
4.577,4.599,4.528,4.561,1406590.7
4.561,4.57,4.485,4.557,1337123.6
4.557,4.599,4.549,4.575,801301.1
4.574,4.593,4.475,4.536,1491984.6
4.537,4.703,4.528,4.688,2516849.8
4.688,4.808,4.684,4.788,2102160.4
4.788,4.82,4.73,4.73,1364533.6
4.731,4.771,4.702,4.717,888827.9
4.716,4.76,4.71,4.737,813328.5
4.738,4.776,4.717,4.725,830691.3
4.726,4.75,4.711,4.715,598092.4
4.716,4.741,4.709,4.727,534557.2
4.727,4.727,4.677,4.681,665374.7
4.681,4.686,4.648,4.664,890962.7
4.664,4.674,4.606,4.612,1263742.0
4.612,4.703,4.574,4.66,2603165.3
4.659,4.704,4.614,4.669,1532487.7
4.669,4.768,4.661,4.739,1262281.5
4.738,4.756,4.717,4.747,870850.9
4.747,4.785,4.729,4.742,1657156.7
4.742,4.766,4.716,4.721,835212.0
4.722,4.757,4.719,4.753,615556.3
4.754,4.773,4.744,4.756,657019.9
4.756,4.767,4.744,4.747,458085.9
4.746,4.846,4.738,4.842,715098.8
4.843,4.901,4.804,4.885,1605363.0
4.886,4.903,4.843,4.876,1109230.8
4.877,4.92,4.828,4.87,1410422.6
4.871,4.876,4.839,4.855,601616.0
