open,high,low,close,volume
1.109,1.115,1.103,1.108,934511.7
1.107,1.115,1.103,1.113,561329.2
1.112,1.131,1.111,1.124,1015115.0
1.123,1.127,1.117,1.123,834267.6
1.123,1.129,1.118,1.12,740007.5
1.121,1.126,1.092,1.094,1684198.8
1.094,1.106,1.07,1.091,5362168.5
1.091,1.093,1.062,1.066,3016017.5
1.067,1.075,1.049,1.059,2763883.8
1.059,1.065,1.042,1.046,2451873.1
1.046,1.064,1.041,1.054,2215002.4
1.053,1.074,1.049,1.071,1655460.1
1.071,1.071,1.054,1.062,1021985.2
1.061,1.075,1.056,1.071,1145039.0
1.071,1.09,1.068,1.089,1193335.4
1.089,1.089,1.071,1.08,1222656.5
1.08,1.101,1.079,1.094,1010863.7
1.094,1.096,1.087,1.091,700216.0
1.091,1.095,1.082,1.084,630588.2
1.084,1.093,1.083,1.091,466038.2
1.09,1.094,1.087,1.091,529088.0
1.09,1.091,1.07,1.073,906231.3
1.073,1.079,1.061,1.073,1200552.8
1.072,1.079,1.07,1.073,558997.2
1.072,1.084,1.065,1.082,812726.0
1.082,1.085,1.073,1.079,661844.2
1.078,1.085,1.074,1.083,674637.3
1.082,1.086,1.073,1.075,796022.4
1.074,1.077,1.035,1.04,3969651.8
1.04,1.04,1.022,1.028,4555709.8
1.028,1.039,1.016,1.025,5266172.8
1.024,1.044,1.003,1.033,9651792.0
1.033,1.071,1.023,1.068,5431481.0
1.068,1.102,1.054,1.096,5716485.6
1.096,1.116,1.086,1.104,4017321.2
1.104,1.106,1.091,1.101,1949029.4
1.101,1.119,1.097,1.098,2464416.6
1.098,1.099,1.077,1.08,2143759.1
1.081,1.09,1.023,1.037,8348912.3
1.037,1.042,0.9,0.991,31968449.4
0.991,1.011,0.97,1.001,12120459.0
1.001,1.003,0.972,0.973,7017520.1
0.973,0.992,0.971,0.987,4048946.9
0.988,0.991,0.943,0.956,11158448.6
0.956,0.963,0.862,0.921,25521648.0
0.921,0.972,0.915,0.959,8230475.4
0.959,0.961,0.922,0.93,5993582.6
0.929,0.936,0.904,0.922,4836664.5
0.922,0.922,0.878,0.881,7875883.8
0.882,0.888,0.852,0.887,9293743.3
0.886,0.898,0.855,0.859,9208143.6
0.858,0.91,0.844,0.905,14590985.1
0.906,0.959,0.906,0.947,9509277.9
0.947,0.963,0.934,0.949,4696604.9
0.948,0.974,0.942,0.945,5228206.1
0.945,0.955,0.938,0.946,3344707.4
0.946,0.95,0.91,0.913,3988540.5
0.914,0.935,0.912,0.926,4960085.3
0.927,0.941,0.924,0.933,2653900.1
0.934,0.946,0.924,0.931,2320195.8
0.931,0.946,0.925,0.945,1722616.5
0.945,0.954,0.932,0.933,1888931.6
