open,high,low,close,volume
1.3352,1.3365,1.3231,1.3243,172746.4
1.3237,1.3363,1.3237,1.3266,247202.8
1.3273,1.3429,1.3203,1.3339,793596.8
1.3337,1.3346,1.3173,1.3206,293947.6
1.3212,1.3312,1.3101,1.3109,339198.7
1.3107,1.3144,1.2619,1.2654,931923.0
1.2654,1.2722,1.2204,1.2272,2057765.5
1.2273,1.2287,1.1882,1.195,1095637.5
1.1949,1.2027,1.176,1.182,1063871.8
1.1821,1.2008,1.1747,1.179,839612.3
1.1788,1.2,1.1723,1.1833,622501.9
1.1833,1.2034,1.1776,1.1946,537556.2
1.1953,1.1989,1.1727,1.1773,580565.3
1.1775,1.19,1.1696,1.1838,565176.0
1.1838,1.2003,1.1782,1.1982,516300.0
1.1988,1.2,1.1789,1.1876,468745.3
1.1869,1.2061,1.1847,1.1992,398658.3
1.1989,1.2008,1.189,1.1929,234088.5
1.193,1.1979,1.1832,1.1859,250466.9
1.1858,1.1968,1.1844,1.1924,178224.0
1.192,1.2004,1.1896,1.1977,248296.8
1.1979,1.2031,1.1841,1.19,415399.5
1.19,1.2022,1.1765,1.1963,494974.1
1.197,1.2082,1.1935,1.2009,285756.2
1.2009,1.2049,1.19,1.2044,303358.2
1.2046,1.2083,1.1961,1.199,309202.2
1.1991,1.219,1.1978,1.2189,303755.4
1.2191,1.2203,1.2018,1.2072,264865.2
1.2069,1.2071,1.1624,1.1644,1429366.1
1.1644,1.1649,1.1424,1.1429,1143763.8
1.143,1.1505,1.1103,1.1141,2201779.0
1.1141,1.1483,1.1,1.1377,1919226.6
1.1379,1.1588,1.1187,1.157,787904.2
1.1567,1.2011,1.15,1.1937,1231556.0
1.1934,1.2166,1.1841,1.1982,966602.0
1.1986,1.2063,1.1891,1.1978,520898.8
1.1978,1.2351,1.1921,1.2115,1784862.5
1.2114,1.2128,1.1803,1.1867,1523785.1
1.1866,1.1926,1.1206,1.1393,2846612.3
1.1385,1.1431,0.9973,1.077,9693417.7
1.0768,1.0856,1.0464,1.0803,2738001.0
1.08,1.0811,1.051,1.0556,1358186.7
1.0557,1.0777,1.0429,1.0522,1207683.6
1.0522,1.0573,1.0132,1.0375,3623870.9
1.0381,1.0432,0.957,1.019,9779087.8
1.019,1.1002,1.0143,1.086,2793848.3
1.0865,1.0902,1.0625,1.0786,1919641.9
1.0792,1.0897,1.056,1.0764,1265765.3
1.0761,1.0761,1.023,1.0334,2089316.0
1.0341,1.0407,0.9971,1.0359,3983306.2
1.0354,1.048,1.0026,1.0247,3151907.2
1.0244,1.1056,1.0106,1.1007,4749005.5
1.1001,1.1681,1.0997,1.156,3950756.9
1.1565,1.216,1.14,1.1851,4273717.1
1.1848,1.2096,1.1752,1.1911,3414492.7
1.1908,1.2191,1.1886,1.2009,2053672.0
1.2011,1.2012,1.1488,1.1516,1706579.2
1.1516,1.18,1.1466,1.1638,1615165.2
1.1639,1.1783,1.1562,1.1666,941303.8
1.1663,1.176,1.1454,1.1508,877863.0
1.1508,1.1721,1.1443,1.1665,667600.5
1.166,1.1779,1.1484,1.1559,923264.3
1.1557,1.2101,1.1493,1.204,1526115.6
1.2038,1.2247,1.1949,1.2034,1152532.9
1.2033,1.2067,1.1858,1.1951,515734.8
1.1947,1.1974,1.1842,1.1937,391647.6
1.1939,1.2064,1.1853,1.206,441602.2
1.2058,1.2202,1.199,1.218,654840.5
1.2176,1.2312,1.2053,1.2212,1100148.2
1.2209,1.2235,1.2054,1.2223,836130.0
1.2223,1.2223,1.1751,1.1883,1147284.0
1.1883,1.1918,1.1751,1.1904,798973.0
1.1903,1.1927,1.1712,1.1771,458109.2
1.1769,1.1825,1.1684,1.1757,645650.6
1.1755,1.2007,1.1732,1.1922,1080566.0
1.1922,1.2016,1.1735,1.1892,1488398.3
1.189,1.252,1.188,1.2332,1677369.0
1.2332,1.2444,1.1905,1.2153,1354113.3
1.2156,1.2198,1.1986,1.2093,739415.1
1.2093,1.2162,1.1983,1.1984,580968.4
1.1984,1.2222,1.1983,1.2084,521604.5
1.2086,1.2148,1.2007,1.2061,432113.7
1.2059,1.2153,1.1977,1.2114,752546.9
1.2116,1.2119,1.1953,1.2093,534268.9
1.2089,1.2233,1.1968,1.2056,686902.4
1.2059,1.2102,1.1863,1.1939,409664.0
1.1937,1.2078,1.177,1.1956,804827.0
1.1957,1.2189,1.1804,1.2185,697227.7
1.2181,1.2382,1.2039,1.2112,627741.5
1.2114,1.2206,1.2054,1.2181,372282.1
1.2181,1.2423,1.2164,1.234,509159.8
1.2341,1.2454,1.2208,1.2211,669719.8
1.221,1.2315,1.2126,1.2146,573682.7
1.2144,1.2211,1.2039,1.2189,358104.9
1.2188,1.2297,1.216,1.2237,453601.5
1.2239,1.2313,1.2107,1.216,655395.6
1.2162,1.2386,1.2104,1.2216,684448.0
1.2214,1.2243,1.1975,1.2028,786930.3
1.203,1.2185,1.193,1.2163,583236.5
1.2161,1.2226,1.2027,1.2103,578531.5
1.2102,1.2154,1.157,1.1747,1368513.4
1.1749,1.1897,1.169,1.1794,742002.3
1.1793,1.1838,1.1652,1.1696,509719.8
1.1697,1.1751,1.1467,1.1611,836643.6
1.1611,1.1704,1.1455,1.1562,1432321.0
1.1564,1.1622,1.1436,1.1564,416367.9
1.1567,1.165,1.1349,1.1591,1241447.8
1.1591,1.1658,1.1532,1.1638,650802.9
1.1638,1.1664,1.1496,1.1657,805726.9
1.1656,1.1668,1.1592,1.1614,686915.0
1.1612,1.167,1.1516,1.1663,899454.0
1.1665,1.1831,1.1631,1.1826,4243980.3
1.1822,1.2297,1.1817,1.218,1123583.0
1.2182,1.2492,1.2174,1.2191,1047202.2
1.2192,1.2426,1.2174,1.2189,810793.5
1.2188,1.2421,1.2174,1.2393,437120.6
1.2393,1.2774,1.2306,1.2629,2315453.5
1.2633,1.272,1.2544,1.2565,957898.2
1.2565,1.2744,1.2516,1.2544,865178.9
1.2544,1.2604,1.2465,1.2533,691308.1
1.2536,1.2603,1.248,1.2496,710908.4
1.2497,1.2576,1.2462,1.2473,572950.7
1.2478,1.2776,1.2364,1.2634,1751949.0
1.2635,1.2768,1.2309,1.2427,1186811.7
1.2425,1.2803,1.2394,1.2763,937983.0
1.2762,1.2844,1.261,1.276,876720.6
1.2761,1.2998,1.2733,1.2959,1073713.1
1.2959,1.3165,1.2911,1.2954,1099194.9
1.2952,1.305,1.2879,1.2935,480827.6
1.2935,1.307,1.2911,1.2948,428691.0
1.295,1.3116,1.2933,1.3044,405850.8
1.3041,1.35,1.3037,1.3471,1085122.0
1.3472,1.3639,1.3339,1.3616,1024721.0
1.3619,1.3926,1.3527,1.3845,1169877.8
1.3844,1.3958,1.3583,1.3617,885067.6
1.3613,1.3639,1.3511,1.3579,434405.5
1.3579,1.3594,1.3463,1.3469,290331.3
1.3468,1.3602,1.345,1.3521,400569.4
1.352,1.3525,1.3303,1.3303,577272.1
1.3305,1.3492,1.3205,1.3482,381932.7
1.3481,1.3543,1.3414,1.351,225416.8
1.3511,1.3653,1.3506,1.3608,262800.7
1.3608,1.3831,1.3576,1.377,390245.7
1.3769,1.3835,1.3602,1.3643,422363.9
1.3643,1.366,1.3457,1.3599,421092.6
1.3602,1.3668,1.3486,1.3661,272324.1
1.3667,1.3726,1.3601,1.3699,543459.7
1.3699,1.3794,1.3376,1.3597,864709.4
1.3593,1.3859,1.3401,1.3692,1562808.9
1.3691,1.3834,1.3434,1.3441,628838.7
1.344,1.3672,1.3406,1.3549,499789.1
1.3548,1.3582,1.3437,1.3461,371397.8
1.3461,1.3513,1.3326,1.3501,610941.7
1.3503,1.3611,1.3419,1.3579,730801.3
1.3578,1.363,1.3415,1.3443,348969.5
1.3444,1.3444,1.3254,1.3414,402782.4
1.3416,1.3529,1.3343,1.3395,345214.8
1.3395,1.3499,1.3294,1.3478,328907.4
1.348,1.368,1.329,1.3298,531091.0
1.3298,1.3446,1.3247,1.3341,249186.6
1.3344,1.3475,1.3329,1.3384,205293.1
1.3382,1.339,1.3291,1.334,198401.4
1.3338,1.3366,1.3172,1.324,250706.5
1.3239,1.3296,1.3184,1.3245,167604.7
1.3246,1.3388,1.3243,1.3376,203732.3
1.3376,1.3417,1.3296,1.3379,317572.3
1.3378,1.338,1.3232,1.3254,228005.2
1.3253,1.3506,1.3249,1.348,282215.8
1.348,1.3589,1.3415,1.3546,332038.5
1.3545,1.3662,1.3513,1.3658,449398.8
1.3662,1.3662,1.3464,1.3501,448407.5
1.3499,1.3539,1.3381,1.341,364963.1
1.3404,1.3575,1.3351,1.3523,256871.5
1.3526,1.3756,1.3486,1.3552,537416.8
1.355,1.3637,1.3462,1.3592,440775.2
1.3591,1.3616,1.3513,1.3605,347136.6
1.3611,1.3679,1.3548,1.3569,362959.9
1.3572,1.3678,1.3517,1.3643,188312.5
1.3643,1.3678,1.357,1.3641,245951.2
1.3643,1.385,1.3638,1.3743,222318.4
1.3744,1.3761,1.3674,1.3715,157762.7
1.3715,1.3773,1.3669,1.3768,166784.7
1.3767,1.3828,1.3617,1.3782,443557.7
1.3784,1.3885,1.3729,1.3881,226258.6
1.3882,1.4092,1.3832,1.3841,795378.3
1.3839,1.415,1.3831,1.4092,474015.5
1.4094,1.4679,1.4008,1.4019,3921037.1
1.4021,1.4188,1.3977,1.4122,841473.0
1.4122,1.4173,1.3918,1.3937,1213952.2
1.394,1.3983,1.3881,1.3909,570869.4
1.3909,1.3917,1.3687,1.3798,1171851.5
1.3802,1.3913,1.3677,1.3705,937379.7
1.3706,1.375,1.3677,1.3681,550273.1
1.3682,1.3688,1.3346,1.3404,1173873.0
1.3403,1.3433,1.3208,1.3324,707184.6
1.3322,1.3322,1.3052,1.3194,717989.0
1.3188,1.3208,1.2885,1.2963,610059.5
1.2962,1.3032,1.2755,1.2825,683746.5
1.2823,1.2936,1.2755,1.2874,656814.0
1.287,1.2966,1.279,1.2895,297402.6
1.289,1.2986,1.2832,1.2941,312122.3
1.2937,1.295,1.2641,1.2673,614947.3
1.267,1.2691,1.2545,1.2589,850554.3
1.2585,1.2643,1.2488,1.2639,406855.0
1.2638,1.2659,1.2419,1.2541,734860.1
1.254,1.2618,1.2458,1.2578,310056.2
1.2576,1.276,1.2549,1.2678,565697.2
1.2677,1.2808,1.2597,1.2715,454426.6
1.2713,1.2756,1.2639,1.2704,228361.0
1.2704,1.2754,1.2585,1.2615,296830.7
1.2614,1.2736,1.2609,1.2654,263069.4
1.2652,1.2731,1.2612,1.2671,228232.8
