open,high,low,close,volume
0.3504,0.3516,0.3483,0.3502,6087395.0
0.3501,0.3511,0.3491,0.3499,4090507.0
0.35,0.3556,0.3495,0.3524,9145818.0
0.3525,0.3526,0.3488,0.3503,6054265.0
0.3504,0.3524,0.3482,0.3483,7453796.0
0.3483,0.3509,0.3366,0.3377,25955328.0
0.3376,0.3393,0.3263,0.3295,61623040.0
0.3294,0.3297,0.3196,0.3207,57905434.0
0.3207,0.3233,0.315,0.3186,39768741.0
0.3188,0.3207,0.3136,0.3137,29086603.0
0.3138,0.3176,0.3111,0.3121,30211128.0
0.312,0.3166,0.3104,0.3152,21691050.0
0.3152,0.3181,0.3122,0.3134,11876905.0
0.3134,0.3168,0.3121,0.3127,14679191.0
0.3128,0.3171,0.3113,0.3166,11378291.0
0.3165,0.3173,0.3117,0.3161,12594768.0
0.3161,0.3244,0.316,0.3228,14986197.0
0.3229,0.3233,0.32,0.3212,9166903.0
0.3213,0.323,0.3151,0.3163,16627815.0
0.3163,0.3204,0.3153,0.3201,9453615.0
0.3201,0.3234,0.3201,0.3217,8867615.0
0.3218,0.3218,0.3164,0.3174,10229861.0
0.3174,0.3218,0.3157,0.3204,14107898.0
0.3204,0.3213,0.3193,0.3196,6528936.0
0.3196,0.3203,0.3179,0.3196,6636646.0
0.3197,0.3203,0.3166,0.3175,9869988.0
0.3176,0.322,0.3175,0.3211,12480675.0
0.3212,0.322,0.318,0.3192,9148093.0
0.3192,0.32,0.3026,0.3052,61905140.0
0.3052,0.3054,0.2943,0.2953,53486197.0
0.2953,0.2958,0.2847,0.2856,81341232.0
0.2856,0.2879,0.2766,0.284,91922131.0
0.284,0.2929,0.2791,0.2921,54145931.0
0.2921,0.304,0.2897,0.3011,41532966.0
0.3011,0.3059,0.2982,0.2996,24520422.0
0.2996,0.3006,0.2952,0.2969,16467054.0
0.2969,0.3016,0.2966,0.2972,31026175.0
0.2971,0.2975,0.291,0.2918,17713620.0
0.2918,0.2944,0.2756,0.2794,102787767.0
0.2795,0.2806,0.237,0.2527,211768994.0
0.2528,0.2598,0.247,0.2596,114714999.0
0.2595,0.26,0.2522,0.2554,65125490.0
0.2554,0.2609,0.252,0.2556,44774210.0
0.2556,0.259,0.2462,0.2524,97344178.0
0.2525,0.2542,0.228,0.2383,224383102.0
0.2383,0.2549,0.2362,0.2508,76990928.0
0.2508,0.2525,0.2449,0.2464,47331094.0
0.2465,0.2494,0.2418,0.2467,47858358.0
0.2466,0.2471,0.2334,0.2355,71535243.0
0.2355,0.2364,0.2258,0.2361,88443796.0
0.2361,0.242,0.2334,0.2378,102272161.0
0.2378,0.2582,0.232,0.2569,120569152.0
0.2569,0.2756,0.2568,0.2694,101249119.0
0.2694,0.2713,0.2662,0.27,52615762.0
0.2699,0.2748,0.2633,0.2641,56605684.0
0.2641,0.2684,0.2622,0.2643,26282797.0
0.2643,0.265,0.2553,0.2555,27041752.0
0.2554,0.2609,0.2548,0.2597,35033022.0
0.2596,0.2643,0.2593,0.2633,20422094.0
0.2632,0.2674,0.261,0.2621,17922163.0
0.2621,0.2673,0.2607,0.2654,19536395.0
0.2654,0.2676,0.2592,0.2602,24777949.0
0.2602,0.2765,0.2597,0.2762,51564368.0
0.2763,0.2811,0.2743,0.275,47426439.0
0.2749,0.2766,0.2714,0.2743,24123574.0
0.2742,0.2752,0.2722,0.2726,13807367.0
0.2725,0.276,0.2706,0.2744,20192239.0
0.2744,0.2801,0.2735,0.28,25152216.0
0.2801,0.2812,0.2763,0.2783,22295671.0
0.2784,0.2814,0.2763,0.2813,18634776.0
0.2812,0.2817,0.2717,0.2757,32944376.0
0.2758,0.2768,0.2734,0.275,26056100.0
0.2749,0.2758,0.272,0.2736,18292201.0
0.2735,0.2755,0.2712,0.273,23516846.0
0.2731,0.2753,0.2708,0.2732,25370527.0
0.2732,0.2774,0.2708,0.2752,36464584.0
0.2751,0.2898,0.2745,0.2842,55298251.0
0.2843,0.2867,0.2751,0.2792,37290092.0
0.2792,0.2827,0.2768,0.2798,27349186.0
0.2798,0.2823,0.2762,0.2763,19117615.0
0.2763,0.2812,0.276,0.2779,14235585.0
0.278,0.2798,0.2761,0.2767,12031446.0
0.2768,0.2796,0.2751,0.2784,20486547.0
0.2784,0.2803,0.2764,0.2784,9265155.0
0.2783,0.282,0.2751,0.2771,22375716.0
0.2772,0.2788,0.273,0.2754,9604286.0
0.2753,0.2783,0.272,0.2759,20270255.0
