open,high,low,close,volume
0.16378,0.16386,0.16261,0.16355,643545.0
0.16351,0.16408,0.16297,0.16339,752992.0
0.16341,0.16492,0.16294,0.16374,862403.0
0.16375,0.16375,0.16286,0.16295,764018.0
0.16291,0.16424,0.1628,0.16298,837610.0
0.163,0.16331,0.15705,0.1573,3654478.0
0.15732,0.15887,0.1546,0.15603,5357771.0
0.15601,0.15604,0.15299,0.15331,3001568.0
0.1533,0.15441,0.1516,0.15262,2886345.0
0.15259,0.15368,0.15161,0.15168,3377015.0
0.15167,0.15336,0.151,0.1515,3793559.0
0.1515,0.15289,0.15099,0.15236,2010127.0
0.15236,0.15279,0.15104,0.15182,1577490.0
0.15185,0.15313,0.15143,0.1524,3724842.0
0.15239,0.15489,0.15205,0.15431,2271113.0
0.15432,0.15478,0.15237,0.15355,1374910.0
0.15353,0.15611,0.15326,0.15535,1291104.0
0.15535,0.15545,0.15391,0.15462,793289.0
0.1546,0.15536,0.15356,0.15377,677040.0
0.15374,0.15498,0.15362,0.15466,495567.0
0.1546,0.15507,0.15405,0.15499,725929.0
0.15499,0.15499,0.15287,0.15306,970904.0
0.15308,0.15469,0.15217,0.15381,1102912.0
0.15384,0.15419,0.15308,0.15309,884130.0
0.15309,0.15341,0.15231,0.15335,971937.0
0.15334,0.15364,0.15153,0.15188,2577169.0
0.15188,0.15356,0.15154,0.15322,1481547.0
0.15337,0.15359,0.15178,0.152,1151678.0
0.15196,0.15206,0.14711,0.14761,4651235.0
0.14759,0.14764,0.14499,0.14524,3084911.0
0.14518,0.14591,0.14172,0.1423,5260631.0
0.1422,0.1428,0.13864,0.14205,7222867.0
0.14209,0.14475,0.14009,0.14442,3778333.0
0.1444,0.14814,0.14343,0.14683,3488382.0
0.14679,0.14874,0.14533,0.14664,2750244.0
0.14666,0.147,0.1456,0.14662,1868812.0
0.14662,0.14868,0.14622,0.1473,2056955.0
0.14725,0.14725,0.14433,0.14498,1968915.0
0.145,0.14669,0.13713,0.13926,7573703.0
0.13924,0.13973,0.12322,0.133,27263635.0
0.13297,0.13347,0.12929,0.13311,11525049.0
0.13308,0.13326,0.12928,0.12951,8325044.0
0.12951,0.13237,0.12895,0.13001,5871503.0
0.1301,0.13098,0.12458,0.1283,12065151.0
0.12826,0.12898,0.117,0.1241,29229007.0
0.12411,0.13188,0.1234,0.13074,8677754.0
0.13074,0.13133,0.12756,0.12892,6688269.0
0.12893,0.12986,0.12648,0.12861,5095083.0
0.1286,0.12864,0.1231,0.12419,7733643.0
0.12414,0.12576,0.12057,0.1255,9070979.0
0.12546,0.12646,0.12154,0.12276,11176451.0
0.12269,0.13249,0.12158,0.13193,12845121.0
0.13192,0.13887,0.13183,0.13768,9370125.0
0.13773,0.14159,0.13652,0.14103,4650254.0
0.14101,0.14472,0.14026,0.14157,5805900.0
0.14157,0.14468,0.14114,0.14412,5630383.0
0.14413,0.14472,0.13866,0.13872,5268504.0
0.13873,0.14093,0.13743,0.13956,7685550.0
0.13959,0.14155,0.13879,0.14007,4253126.0
0.1401,0.14225,0.13851,0.13856,4264052.0
0.13856,0.13987,0.13759,0.13877,6059956.0
0.13882,0.14004,0.13546,0.13606,4889442.0
0.13608,0.14082,0.13585,0.14082,5405581.0
0.14079,0.14213,0.13863,0.1398,3770269.0
0.1398,0.14084,0.13947,0.14039,1855113.0
0.14037,0.1406,0.13933,0.13975,1542055.0
0.13978,0.14091,0.13885,0.14031,1530003.0
0.14027,0.14199,0.13989,0.14184,2507603.0
0.14184,0.14198,0.14071,0.14169,2581743.0
0.1417,0.14294,0.14134,0.14259,2961168.0
0.14256,0.1426,0.137,0.13819,3601643.0
0.1382,0.13836,0.13696,0.13774,3007394.0
0.13774,0.138,0.13645,0.13713,1908101.0
0.13714,0.138,0.13647,0.13734,1806059.0
