open,high,low,close,volume
22.12,22.124,21.991,22.008,47715.0
22.008,22.062,21.938,22.001,57010.8
22.0,22.348,21.965,22.172,101693.8
22.171,22.206,22.012,22.032,58092.1
22.031,22.166,21.962,21.98,81335.7
21.979,22.091,21.361,21.391,212452.1
21.392,21.467,20.865,21.151,476235.1
21.152,21.172,20.624,20.7,260607.4
20.7,20.912,20.524,20.679,187447.7
20.683,20.834,20.461,20.48,144660.7
20.48,20.794,20.401,20.466,161916.2
20.466,20.789,20.329,20.729,141175.3
20.73,20.811,20.511,20.624,95070.0
20.625,20.777,20.535,20.632,82806.9
20.629,20.824,20.593,20.762,92129.9
20.764,20.778,20.476,20.676,86777.8
20.672,20.967,20.596,20.807,109439.4
20.807,20.807,20.534,20.618,84559.1
20.618,20.65,20.386,20.404,83204.7
20.405,20.534,20.312,20.436,77871.2
20.436,20.604,20.405,20.492,70183.9
20.49,20.496,20.004,20.022,207947.1
20.022,20.54,19.865,20.482,227599.8
20.485,20.496,20.346,20.386,91737.5
20.385,20.423,20.225,20.405,97297.4
20.404,20.45,20.257,20.306,64323.4
20.307,20.403,20.24,20.366,76258.9
20.366,20.416,20.166,20.339,89684.5
20.339,20.387,19.656,19.859,324779.9
19.863,19.872,19.274,19.353,288163.1
19.36,19.443,18.817,18.879,378848.2
18.877,18.895,18.041,18.464,638854.7
18.464,18.839,18.156,18.756,413322.2
18.757,19.317,18.6,19.208,280177.1
19.206,19.432,18.946,19.09,167241.7
19.09,19.132,18.89,18.97,118138.3
18.97,19.212,18.875,18.914,147775.1
18.912,18.928,18.45,18.537,165240.7
18.539,18.793,17.536,17.766,764560.3
17.763,17.844,15.261,16.554,2351087.7
16.554,16.651,15.975,16.452,990532.2
16.45,16.47,15.95,16.009,618409.6
16.006,16.257,15.66,15.813,644835.9
15.81,15.898,15.226,15.367,1006248.7
15.367,15.533,14.162,15.067,1773679.2
15.067,15.935,14.974,15.756,818874.0
15.758,15.793,15.34,15.493,504917.8
15.497,15.645,15.281,15.549,375549.5
15.552,15.58,14.959,15.123,461975.1
15.121,15.29,14.673,15.226,603905.3
15.228,15.393,14.797,14.88,552031.4
14.878,15.98,14.603,15.854,839641.5
15.854,16.584,15.853,16.39,683923.2
16.39,16.661,16.219,16.521,436830.4
16.518,17.126,16.455,16.673,525635.7
16.677,16.924,16.495,16.751,330409.6
16.753,16.831,16.109,16.131,263362.4
16.131,16.427,16.07,16.339,237451.0
16.328,16.606,16.3,16.458,171832.5
16.458,16.775,16.316,16.438,170294.3
16.436,16.737,16.386,16.693,134084.6
16.693,16.842,16.425,16.458,172514.4
16.458,17.509,16.424,17.502,417806.5
17.501,17.798,17.36,17.539,317002.4
17.537,17.69,17.36,17.507,206215.9
17.506,17.547,17.334,17.405,132004.4
17.405,17.582,17.29,17.552,164115.7
17.549,17.865,17.46,17.855,205593.4
17.851,17.954,17.62,17.723,191688.0
17.721,17.73,17.487,17.717,154596.7
17.718,17.718,17.04,17.162,298626.4
17.159,17.163,16.927,17.097,283666.0
17.097,17.116,16.861,17.083,163920.7
17.086,17.243,16.923,17.084,137713.7
17.084,17.241,16.883,16.913,155442.0
16.911,17.101,16.672,16.916,329912.7
16.916,18.105,16.899,17.699,680127.5
17.703,17.831,17.431,17.727,425085.8
17.727,17.925,17.557,17.776,191343.3
17.776,17.896,17.53,17.533,135458.0
17.532,17.797,17.506,17.664,130994.3
17.662,17.753,17.518,17.559,100540.9
17.559,17.683,17.435,17.558,119272.9
17.56,17.672,17.459,17.565,165098.8
17.565,17.82,17.369,17.498,226119.4
17.502,17.58,17.272,17.39,107452.2
17.386,17.543,17.153,17.415,154582.5
17.418,17.815,17.154,17.798,206291.2
17.799,18.019,17.567,17.673,190019.7
17.674,17.847,17.617,17.829,106938.8
17.825,18.124,17.801,17.903,164274.6
17.903,18.092,17.77,17.786,160985.7
17.784,17.86,17.652,17.709,121081.5
17.708,17.971,17.554,17.89,157232.2
17.888,18.055,17.838,18.004,115348.3
18.0,18.135,17.902,17.967,138593.3
17.969,18.286,17.889,17.958,166632.6
17.955,17.992,17.612,17.623,196199.8
17.624,17.917,17.546,17.886,175734.3
17.879,17.958,17.576,17.646,213048.4
17.64,17.716,16.823,17.055,472328.1
17.054,17.2,16.938,17.105,233995.2
17.105,17.18,16.881,16.986,159946.3
16.991,17.069,16.725,16.849,196289.4
16.849,16.978,16.557,16.637,191809.7
16.637,16.804,16.59,16.705,140632.7
16.708,16.919,16.388,16.702,269245.8
16.703,16.794,16.554,16.688,122953.6
16.684,16.706,16.328,16.642,122451.9
16.642,16.719,16.483,16.578,145838.8
16.578,16.675,16.294,16.578,215365.3
16.58,17.394,16.561,17.302,336992.2
17.298,17.681,17.281,17.56,192682.9
17.56,17.62,17.401,17.408,105614.3
17.408,17.548,17.277,17.287,128756.9
17.288,17.481,17.257,17.383,92344.8
17.385,17.49,17.282,17.443,94947.8
17.443,17.46,17.305,17.309,79925.5
17.31,17.508,17.219,17.454,146005.9
17.454,17.641,17.353,17.518,98979.2
17.523,17.661,17.449,17.576,74632.2
17.579,17.616,17.476,17.529,82796.1
17.528,18.103,17.374,17.696,285398.3
17.695,17.798,17.293,17.522,195130.4
17.523,18.023,17.476,18.009,186173.2
18.005,18.13,17.822,17.96,186550.1
17.962,19.195,17.938,19.033,973901.8
19.033,19.483,18.87,18.898,543396.6
18.9,19.274,18.892,18.994,279767.8
18.993,19.085,18.706,18.756,241536.8
18.76,18.942,18.734,18.786,106438.0
18.783,19.65,18.783,19.546,311247.2
19.554,20.193,19.311,20.144,365532.6
20.146,20.28,19.876,20.176,429186.6
20.176,20.182,19.68,19.76,374192.9
19.759,20.156,19.559,19.98,400006.1
19.98,20.052,19.77,19.793,139577.7
19.796,20.042,19.754,20.034,134363.4
20.034,20.053,19.442,19.468,379066.9
19.471,19.588,19.332,19.498,206802.8
19.498,19.884,19.456,19.7,206137.0
19.703,19.849,19.539,19.63,178298.1
19.628,19.742,19.553,19.688,99462.3
19.686,19.848,19.611,19.664,149619.2
19.665,19.689,19.314,19.444,265979.0
19.444,19.556,19.372,19.48,150642.9
19.482,19.488,19.193,19.367,177165.2
19.367,19.499,19.026,19.37,273812.6
19.37,19.754,18.993,19.284,375712.2
19.288,19.34,18.975,18.993,170277.1
