open,high,low,close,volume
20.425,20.551,20.392,20.457,143307.08
20.458,20.519,20.396,20.453,85441.08
20.454,20.58,20.398,20.459,151436.4
20.459,20.481,20.387,20.46,51333.64
20.46,20.518,20.405,20.419,56646.02
20.421,20.471,19.976,19.997,315312.17
19.998,20.099,19.699,19.877,472064.63
19.874,19.888,19.476,19.555,365047.92
19.554,19.712,19.421,19.492,230205.71
19.497,19.506,19.18,19.191,282181.53
19.19,19.482,19.114,19.349,199387.39
19.349,19.609,19.206,19.565,175202.97
19.568,19.665,19.471,19.618,113451.22
19.618,19.772,19.554,19.646,134781.42
19.645,19.757,19.589,19.713,114661.26
19.713,19.73,19.458,19.634,93542.45
19.633,19.861,19.601,19.776,106110.6
19.776,19.782,19.689,19.755,62041.53
19.756,19.797,19.667,19.679,76415.58
19.679,19.812,19.663,19.782,44239.99
19.781,19.852,19.754,19.81,41650.8
19.81,19.813,19.491,19.513,106002.83
19.511,19.627,19.352,19.552,117287.22
19.554,19.611,19.512,19.533,46763.33
19.531,19.545,19.406,19.542,73449.87
19.541,19.638,19.507,19.572,94775.56
19.572,19.698,19.538,19.691,132916.14
19.691,19.71,19.584,19.584,48285.14
19.584,19.615,19.003,19.127,454912.55
19.127,19.129,18.909,18.96,284353.06
18.965,19.091,18.793,18.817,356779.13
18.812,18.888,18.256,18.716,761240.86
18.717,19.031,18.495,18.982,316834.17
18.978,19.286,18.814,19.233,250794.96
19.23,19.46,19.089,19.224,192158.21
19.222,19.239,19.05,19.156,206910.66
19.157,19.385,19.106,19.166,169613.29
19.166,19.178,18.872,18.918,170257.67
18.917,19.005,17.765,17.947,899806.21
17.949,18.006,16.004,17.09,2923676.39
17.091,17.14,16.515,17.134,1144595.28
17.135,17.148,16.748,16.808,613878.85
16.807,17.554,16.781,17.169,763884.45
17.168,17.34,16.55,16.908,1133448.36
16.91,16.984,15.604,16.542,2465331.97
16.54,17.22,16.432,17.08,874211.93
17.08,17.118,16.64,16.773,486927.07
16.777,16.891,16.461,16.72,394471.62
16.72,16.748,16.095,16.283,572427.48
16.279,16.388,15.803,16.35,710063.52
16.351,16.512,15.864,15.961,715052.87
15.96,17.087,15.734,16.994,1347213.3
16.994,17.732,16.994,17.554,944651.48
17.556,17.781,17.372,17.65,463714.92
17.65,18.029,17.567,17.577,563776.16
