open,high,low,close,volume
1.728,1.729,1.709,1.718,776014.6
1.718,1.727,1.714,1.717,761752.9
1.716,1.754,1.716,1.738,1357232.4
1.738,1.742,1.716,1.723,800264.8
1.724,1.737,1.714,1.715,800367.9
1.716,1.726,1.633,1.641,5582848.2
1.642,1.653,1.593,1.623,8743104.8
1.623,1.628,1.561,1.571,5959622.1
1.571,1.581,1.537,1.546,4296145.2
1.547,1.56,1.531,1.536,2953739.3
1.536,1.564,1.524,1.538,3049538.1
1.538,1.566,1.532,1.554,2074461.1
1.554,1.562,1.541,1.547,1462795.6
1.548,1.563,1.54,1.549,1315326.4
1.55,1.578,1.541,1.576,1397611.5
1.577,1.578,1.551,1.567,1270599.4
1.566,1.599,1.565,1.584,1448999.5
1.584,1.586,1.571,1.575,653651.1
1.576,1.585,1.561,1.563,1035363.0
1.562,1.586,1.561,1.581,933296.0
1.58,1.588,1.573,1.583,648263.4
1.583,1.584,1.554,1.559,1416827.1
1.56,1.574,1.549,1.565,1615545.7
1.566,1.573,1.56,1.569,686586.6
1.569,1.575,1.558,1.571,776896.8
1.571,1.573,1.555,1.559,847999.0
1.558,1.572,1.555,1.569,962874.7
1.57,1.571,1.555,1.555,1243526.6
1.554,1.558,1.497,1.509,6284561.4
1.509,1.511,1.467,1.472,5737948.2
1.472,1.473,1.393,1.398,10619695.5
1.399,1.405,1.35,1.386,11644503.3
1.385,1.413,1.362,1.406,6515161.4
1.406,1.452,1.393,1.441,3464505.3
1.44,1.47,1.432,1.44,2954966.9
1.44,1.441,1.413,1.416,1519994.9
1.417,1.434,1.405,1.408,2125462.2
1.409,1.409,1.358,1.371,3867537.1
1.371,1.389,1.303,1.324,12490162.8
1.324,1.331,1.143,1.236,31543979.6
1.236,1.242,1.198,1.231,9207033.7
1.231,1.232,1.195,1.201,4990954.3
1.201,1.225,1.188,1.211,3824845.1
1.21,1.223,1.16,1.189,9166349.6
1.189,1.206,1.092,1.159,24886011.6
1.16,1.227,1.149,1.215,10128952.1
