open,high,low,close,volume
2988.38,2994.0,2985.01,2990.09,34366.996
2990.1,3004.46,2987.46,2995.44,47856.029
2995.43,3016.61,2993.65,3008.67,75308.25
3008.66,3010.84,2998.05,3006.39,44682.918
3006.4,3013.53,2996.4,2998.36,42080.876
2998.36,3004.0,2937.06,2940.49,223011.088
2940.52,2954.45,2906.62,2934.28,392664.166
2934.29,2939.83,2896.57,2901.09,188047.069
2901.08,2927.99,2890.06,2902.88,161562.359
2902.89,2920.5,2875.22,2892.38,156629.126
2892.37,2918.0,2883.39,2892.68,118215.552
2892.68,2918.99,2855.0,2911.68,188849.955
2911.7,2921.42,2899.43,2908.04,56173.845
2908.04,2912.91,2892.82,2901.94,75621.617
2901.95,2917.71,2899.72,2912.86,50335.115
2912.92,2913.8,2875.01,2906.04,90790.663
2906.04,2934.66,2904.22,2918.91,80791.261
2918.92,2919.72,2907.24,2914.21,30999.456
2914.22,2918.15,2897.63,2900.72,34068.099
2900.71,2917.23,2898.32,2913.76,33339.39
2913.75,2920.69,2908.93,2916.85,27486.312
2916.86,2917.22,2886.32,2891.55,70539.411
2891.53,2913.48,2874.12,2905.06,95396.777
2905.06,2914.94,2903.15,2911.2,37844.034
2911.2,2915.87,2903.89,2914.43,39282.559
2914.44,2924.8,2909.79,2912.8,46569.143
2912.8,2923.44,2908.59,2922.1,50333.524
2922.09,2924.59,2908.54,2909.51,37005.525
2909.5,2912.78,2850.1,2862.9,314921.564
2862.9,2868.6,2818.0,2826.06,265029.572
2826.08,2837.96,2804.08,2810.0,251380.305
2809.99,2816.15,2613.3,2699.0,1006815.999
2698.99,2738.8,2682.16,2728.18,376623.074
2728.17,2766.0,2708.11,2755.84,250676.828
2755.84,2771.34,2732.9,2750.41,126783.312
2750.41,2751.0,2725.55,2729.06,110417.75
2729.07,2750.97,2717.02,2720.86,137521.645
2720.86,2722.71,2680.0,2687.6,144342.477
2687.6,2695.93,2475.25,2526.04,889093.8
2526.04,2538.73,2112.0,2317.37,2319816.881
2317.37,2337.15,2204.18,2332.87,921630.821
2332.88,2343.68,2284.12,2311.67,486453.351
2311.64,2384.97,2305.85,2335.0,415665.383
2335.0,2364.59,2260.38,2310.31,668671.173
2310.31,2321.44,2150.37,2267.39,1161592.865
2267.36,2367.53,2255.59,2356.42,514293.592
2356.42,2361.99,2290.01,2324.4,405587.248
2324.41,2337.0,2273.8,2315.9,298302.978
2315.9,2317.9,2222.31,2271.37,428276.835
2271.41,2301.97,2223.5,2289.89,514664.835
2289.89,2306.38,2196.15,2227.55,573730.364
2227.49,2348.97,2181.61,2335.88,867616.23
2336.05,2440.0,2335.36,2401.38,731853.211
2401.39,2460.0,2380.0,2448.97,453902.816
2448.96,2518.27,2441.77,2452.59,491764.368
2452.59,2493.61,2424.41,2468.44,285080.582
2468.44,2471.55,2371.0,2373.7,267672.203
2373.7,2413.16,2363.0,2403.94,291300.269
2403.87,2442.18,2399.79,2435.3,195324.745
2435.29,2473.15,2420.12,2427.26,129057.781
2427.26,2462.46,2417.99,2451.59,115478.26
2451.59,2473.81,2409.17,2418.6,130893.506
2418.6,2542.06,2414.63,2539.71,331132.738
2539.7,2545.91,2497.22,2514.98,195250.258
2514.99,2522.33,2498.55,2505.91,135586.502
2505.9,2507.35,2480.84,2490.4,111223.34
2490.4,2503.4,2476.94,2498.47,108284.094
2498.48,2525.0,2483.24,2523.31,137739.387
2523.3,2533.94,2499.3,2513.38,164894.084
2513.38,2528.5,2492.62,2522.19,138238.099
2522.18,2523.5,2438.41,2459.13,276314.405
2459.19,2469.6,2441.66,2462.31,143625.951
2462.3,2473.98,2444.69,2456.09,114119.033
2456.1,2470.58,2441.04,2457.07,139124.791
2457.08,2467.0,2425.45,2438.0,185653.94
2437.99,2468.18,2412.35,2451.63,324936.862
2451.62,2558.24,2449.41,2522.39,470301.742
2522.39,2533.28,2492.75,2526.09,177134.158
2526.1,2549.08,2509.77,2529.46,188100.616
2529.46,2541.84,2479.48,2481.48,197608.729
2481.49,2521.86,2480.21,2498.71,147672.645
2498.72,2513.6,2485.68,2491.36,118421.09
2491.4,2501.97,2471.53,2487.12,156144.497
2487.13,2494.73,2473.3,2491.51,75774.755
2491.5,2512.55,2455.58,2474.4,195416.775
2474.4,2483.31,2445.0,2459.87,123988.434
2459.86,2471.4,2430.72,2457.92,185969.866
2457.93,2503.5,2423.5,2499.24,238279.373
2499.23,2529.6,2479.47,2493.69,246403.27
2493.69,2514.85,2489.5,2506.07,136319.287
2506.08,2533.56,2503.05,2515.29,143021.065
2515.29,2533.0,2502.0,2503.79,138986.168
2503.8,2510.97,2491.28,2499.15,114125.747
2499.14,2518.56,2483.53,2509.78,113884.126
2509.78,2525.96,2502.85,2523.56,107345.293
2523.56,2539.0,2511.58,2515.99,145937.676
2516.0,2549.85,2506.03,2506.52,182267.332
2506.64,2513.0,2470.16,2471.82,257367.657
2471.83,2483.07,2447.7,2468.18,252662.618
2468.17,2486.95,2434.78,2446.41,317759.116
2446.4,2454.24,2363.24,2388.78,629363.17
2388.78,2422.0,2378.14,2411.71,257790.06
2411.71,2414.79,2374.36,2389.95,216288.084
2389.96,2402.55,2353.45,2366.31,253470.25
2366.32,2377.33,2324.89,2343.07,291546.069
2343.07,2361.36,2341.93,2349.68,102451.9
2349.71,2368.55,2307.0,2347.95,253613.676
2348.21,2368.92,2333.22,2358.79,100862.753
2358.76,2361.84,2312.0,2355.15,132334.67
2355.16,2363.96,2331.17,2341.41,88739.819
2341.4,2356.17,2318.64,2352.3,159725.833
2352.3,2447.84,2350.76,2438.95,346790.091
2438.96,2464.28,2435.75,2454.02,211087.495
2454.02,2458.0,2428.14,2429.21,122611.047
2429.21,2444.25,2416.79,2421.37,91160.264
2421.37,2433.97,2418.0,2421.98,82421.663
2421.99,2439.0,2410.04,2431.56,88730.481
2431.57,2432.48,2410.35,2413.04,92194.766
2413.07,2431.99,2407.08,2426.32,80840.944
2426.31,2451.51,2413.12,2435.79,126879.661
2435.8,2448.09,2424.76,2445.65,94001.21
2445.64,2459.48,2438.94,2446.11,102475.576
2446.11,2526.0,2437.8,2481.14,438516.228
2481.14,2485.92,2410.29,2432.86,374641.404
2432.86,2505.5,2428.51,2497.91,352543.446
2497.91,2511.4,2479.31,2505.83,265029.765
2505.87,2593.0,2501.99,2584.04,523322.279
2584.04,2609.25,2569.69,2577.77,228213.964
2577.76,2594.81,2574.71,2577.51,86908.96
2577.5,2587.5,2563.5,2572.31,100056.013
2572.5,2579.94,2566.0,2568.52,47758.493
2568.51,2650.0,2567.77,2639.33,192600.865
2639.34,2723.77,2615.76,2706.37,391398.563
2706.36,2721.75,2675.01,2681.59,221061.339
2681.59,2693.99,2650.0,2664.67,221795.97
2664.68,2673.67,2644.44,2669.37,126134.773
2669.38,2681.63,2657.3,2667.4,65511.496
2667.4,2700.0,2665.68,2692.9,101023.69
2692.9,2708.8,2658.0,2658.22,126718.277
2658.22,2677.92,2647.35,2676.03,102719.058
2676.03,2702.88,2673.08,2686.69,115125.099
2686.69,2697.66,2661.6,2668.97,110457.147
2668.98,2674.34,2654.11,2669.65,85225.932
2669.65,2681.08,2650.07,2657.34,111500.989
2657.35,2661.0,2616.69,2633.99,228756.698
2634.0,2642.0,2617.52,2633.46,78835.805
2633.45,2646.82,2607.27,2626.51,134862.21
2626.51,2637.19,2578.25,2614.67,281904.612
2614.67,2663.27,2556.0,2589.86,448503.946
2589.85,2604.42,2555.25,2557.33,160420.951
2557.33,2594.0,2551.23,2592.33,146519.244
2592.32,2608.49,2583.26,2589.09,103202.356
2589.01,2596.11,2573.03,2585.18,68676.722
2585.17,2598.98,2576.66,2589.17,40319.979
2589.18,2606.12,2585.64,2591.28,46516.255
2591.26,2605.59,2560.4,2600.92,102716.895
2600.92,2612.55,2583.3,2596.7,82045.558
2596.7,2600.85,2572.73,2597.9,62187.492
2597.89,2644.43,2574.54,2582.9,192078.683
