open,high,low,close,volume
1.0729,1.0743,1.0608,1.0688,1578654.0
1.0686,1.0738,1.0653,1.0678,736289.0
1.0679,1.0858,1.0667,1.0742,1714744.0
1.0742,1.0745,1.0643,1.0686,1134026.0
1.0687,1.0741,1.0573,1.0584,1627912.0
1.0585,1.0627,1.02,1.0222,5339157.0
1.0223,1.0329,1.0,1.0131,9768792.0
1.0131,1.0141,0.9913,0.9961,5432167.0
0.9961,1.0033,0.9823,0.9889,4201263.0
0.9889,0.9916,0.969,0.9695,5206248.0
0.9695,0.9894,0.967,0.982,3272632.0
0.9818,1.0067,0.9784,1.0053,2871845.0
1.0054,1.0107,0.9973,0.9982,1761356.0
0.9984,1.0003,0.9899,0.9907,1801054.0
0.9906,1.0046,0.9895,1.0012,1962735.0
1.0013,1.0028,0.9856,0.9983,1380829.0
0.9983,1.017,0.9978,1.0113,1638666.0
1.0113,1.0174,1.0036,1.0129,1643118.0
1.0127,1.0169,1.004,1.0057,1157368.0
1.0058,1.0074,0.9982,1.0004,2028675.0
1.0004,1.0086,0.9974,1.0057,1483707.0
1.0056,1.0072,0.9873,0.9914,1815904.0
0.9914,1.0023,0.9835,0.9977,2140408.0
0.9977,1.0002,0.9936,0.9951,1077006.0
0.9951,0.9966,0.9885,0.9954,1173189.0
0.9954,0.9988,0.9898,0.9919,858823.0
0.9917,0.9992,0.989,0.9991,1085065.0
0.9991,1.0002,0.9895,0.9916,1316761.0
0.9914,0.9931,0.948,0.9492,6168578.0
0.9492,0.9498,0.8995,0.9006,11676500.0
0.9007,0.9052,0.8845,0.887,9516213.0
0.887,0.9044,0.8723,0.8969,8902719.0
0.8971,0.9305,0.8906,0.9284,7152209.0
0.9284,0.9654,0.9189,0.9593,6693241.0
0.9593,0.9705,0.9446,0.9566,5001475.0
0.9568,0.9586,0.9416,0.9429,2282212.0
0.943,0.9552,0.9366,0.9383,3290115.0
0.9383,0.9383,0.9217,0.9247,3510379.0
0.9247,0.9343,0.8795,0.8926,9318080.0
0.8927,0.8996,0.789,0.8448,30075078.0
0.8447,0.8521,0.8179,0.8507,12229830.0
0.8509,0.8511,0.8292,0.8306,7115502.0
0.8306,0.8479,0.8191,0.8228,6985811.0
0.8225,0.8347,0.7896,0.8142,14926975.0
0.8141,0.8197,0.7363,0.7826,30193011.0
0.7825,0.843,0.7776,0.8362,14359093.0
0.8362,0.8434,0.8157,0.823,9995416.0
0.8231,0.8318,0.8001,0.8148,7045489.0
0.8146,0.8156,0.7513,0.767,15164510.0
0.7669,0.7697,0.7035,0.7338,26820846.0
0.734,0.752,0.7127,0.7199,17294477.0
0.7197,0.78,0.7012,0.7782,24086361.0
0.7781,0.8324,0.726,0.7803,54588893.0
0.7804,0.8079,0.7692,0.7979,13949403.0
0.7978,0.8299,0.7864,0.7896,12793689.0
0.7896,0.8168,0.7847,0.8064,7874938.0
0.8064,0.8084,0.7707,0.7726,6939596.0
0.7726,0.7966,0.7715,0.7857,7749647.0
0.7859,0.8048,0.7849,0.7994,5938253.0
0.7995,0.818,0.7908,0.7912,4670774.0
0.7913,0.8136,0.7885,0.8013,4120303.0
0.8014,0.812,0.7871,0.7897,4670424.0
0.7897,0.8452,0.7872,0.8437,7897840.0
0.8436,0.8566,0.8274,0.8323,5761568.0
0.8322,0.8482,0.8298,0.8445,5487708.0
0.8445,0.8468,0.8312,0.8424,3614114.0
0.8424,0.8586,0.8355,0.8556,5945830.0
0.8556,0.8888,0.8501,0.8853,9132352.0
0.8852,0.8992,0.88,0.8917,7292160.0
0.8917,0.8917,0.8709,0.8832,7658872.0
0.8829,0.8866,0.8446,0.8546,9426999.0
0.8547,0.8559,0.8352,0.8555,8137628.0
0.8556,0.8602,0.8427,0.8478,4459868.0
0.848,0.8502,0.8353,0.841,5331297.0
0.841,0.8469,0.8241,0.8242,6392736.0
0.824,0.8386,0.8162,0.8306,7513191.0
0.8303,0.8799,0.8291,0.8641,13450022.0
0.8642,0.871,0.8523,0.8688,9288465.0
0.8689,0.8861,0.8637,0.8759,6930258.0
0.876,0.8805,0.8578,0.8583,4177542.0
0.8582,0.8749,0.8553,0.862,4927970.0
0.862,0.8662,0.8533,0.857,3101636.0
0.8571,0.8647,0.8514,0.8602,4094143.0
0.8601,0.8631,0.8531,0.8616,1841174.0
0.8614,0.8798,0.8559,0.8574,5569878.0
