open,high,low,close,volume
3.914,3.917,3.888,3.892,680058.1
3.891,3.914,3.882,3.899,645075.8
3.899,3.937,3.893,3.911,1203433.7
3.911,3.913,3.891,3.902,582231.4
3.902,3.923,3.885,3.89,852269.1
3.891,3.905,3.772,3.776,3499426.6
3.776,3.807,3.7,3.735,8428684.5
3.735,3.74,3.645,3.66,5762758.9
3.66,3.68,3.604,3.641,4599622.4
3.64,3.676,3.618,3.623,3017184.0
3.623,3.654,3.594,3.61,2713374.1
3.61,3.684,3.589,3.674,2099670.9
3.674,3.687,3.647,3.665,875970.3
3.665,3.708,3.65,3.687,1411755.0
3.686,3.722,3.673,3.715,1096473.6
3.715,3.718,3.67,3.712,1037496.0
3.712,3.772,3.71,3.744,1122165.1
3.743,3.75,3.726,3.737,754698.1
3.736,3.746,3.707,3.707,961391.5
3.708,3.737,3.705,3.724,749698.5
3.723,3.735,3.712,3.725,693148.3
3.725,3.725,3.681,3.688,1227117.3
3.689,3.724,3.661,3.71,1401535.8
3.71,3.722,3.694,3.71,762491.3
3.71,3.718,3.687,3.717,689878.6
3.718,3.732,3.694,3.706,829749.0
3.707,3.719,3.695,3.715,739623.1
3.716,3.723,3.679,3.679,700761.3
3.679,3.682,3.536,3.553,5159752.7
3.554,3.562,3.515,3.548,4180925.1
3.548,3.568,3.456,3.466,5373769.2
3.466,3.486,3.362,3.445,8395539.3
3.446,3.493,3.392,3.487,4851874.4
3.487,3.565,3.459,3.539,3143536.3
3.538,3.577,3.521,3.557,2081864.4
3.558,3.575,3.53,3.542,1167867.4
3.543,3.605,3.532,3.572,1721793.9
3.573,3.573,3.519,3.53,1229348.3
3.53,3.566,3.326,3.37,8420717.1
3.369,3.386,3.008,3.2,21819216.0
3.2,3.207,3.11,3.19,9186652.7
3.19,3.193,3.111,3.119,4898035.2
3.119,3.188,3.101,3.151,5067896.5
3.15,3.198,3.019,3.125,10810821.3
3.125,3.146,2.855,3.009,27460127.3
3.01,3.212,2.988,3.167,8136613.8
3.168,3.171,3.064,3.09,6926678.8
3.091,3.119,3.046,3.095,4144429.4
3.095,3.097,2.978,3.017,5122445.9
3.017,3.037,2.915,3.033,7612380.6
3.033,3.068,2.941,2.973,8661893.8
2.972,3.194,2.939,3.159,13761871.8
3.159,3.293,3.159,3.272,7826866.5
3.272,3.314,3.234,3.285,4402297.5
3.285,3.353,3.255,3.26,5182237.7
3.26,3.345,3.24,3.301,3614682.7
3.301,3.302,3.183,3.185,3106352.7
3.186,3.254,3.177,3.221,3824502.9
3.221,3.265,3.217,3.245,2328256.7
3.245,3.283,3.215,3.232,1774868.8
3.232,3.281,3.226,3.267,1770062.4
3.267,3.299,3.232,3.235,1869467.5
3.235,3.392,3.228,3.386,4381750.5
3.387,3.443,3.364,3.374,4097070.2
3.374,3.387,3.347,3.38,1783327.5
3.381,3.385,3.355,3.36,1143528.9
3.361,3.402,3.347,3.397,1838008.7
3.397,3.45,3.383,3.44,1920600.2
3.439,3.483,3.416,3.45,2565514.1
3.451,3.476,3.425,3.461,1810209.6
3.46,3.467,3.359,3.394,2976016.9
3.394,3.413,3.373,3.405,2100755.8
3.404,3.412,3.368,3.398,1438456.6
3.398,3.416,3.38,3.4,1509442.0
3.4,3.432,3.38,3.397,1648677.8
3.397,3.433,3.361,3.413,3494883.4
3.412,3.563,3.408,3.535,6206080.5
3.535,3.567,3.503,3.552,3088840.3
3.551,3.588,3.522,3.554,3565004.4
3.555,3.574,3.508,3.511,1970290.3
3.511,3.542,3.508,3.52,1697543.1
3.519,3.533,3.476,3.503,2008244.1
3.503,3.526,3.483,3.52,2292966.2
3.521,3.533,3.5,3.524,1134278.1
3.523,3.555,3.488,3.509,2411552.1
3.51,3.522,3.48,3.497,1240274.0
3.496,3.508,3.439,3.478,2242211.3
3.478,3.531,3.431,3.52,2193567.2
3.52,3.553,3.478,3.5,1868086.4
3.499,3.52,3.483,3.507,1036547.4
3.506,3.537,3.497,3.52,1007175.1
3.52,3.548,3.513,3.519,1293603.0
