open,high,low,close,volume
0.0567,0.0567,0.0563,0.0563,2486025.0
0.0563,0.0565,0.0561,0.0562,3484757.0
0.0562,0.0566,0.056,0.0562,4098320.0
0.0562,0.0562,0.0557,0.056,3340118.0
0.056,0.0564,0.0559,0.056,7447250.0
0.056,0.0561,0.0541,0.0543,8482593.0
0.0542,0.0546,0.0531,0.0537,18644895.0
0.0536,0.0537,0.0521,0.0525,19207430.0
0.0524,0.0526,0.0516,0.0521,17085604.0
0.0521,0.0526,0.0516,0.0517,11796271.0
0.0516,0.0524,0.0513,0.0516,11507609.0
0.0517,0.0529,0.0515,0.0529,8332042.0
0.0528,0.0532,0.0524,0.0526,4534339.0
0.0527,0.0533,0.0525,0.0528,5238059.0
0.0528,0.0538,0.0527,0.0537,6743546.0
0.0538,0.0541,0.0533,0.054,8557503.0
0.0539,0.0548,0.0537,0.0545,6029745.0
0.0545,0.0546,0.0541,0.0545,3588673.0
0.0544,0.0546,0.054,0.0541,3800687.0
0.054,0.0546,0.054,0.0544,3363457.0
0.0543,0.0546,0.0541,0.0545,2289720.0
0.0545,0.0545,0.0536,0.0537,3927391.0
0.0538,0.0543,0.0533,0.0541,6220467.0
0.0541,0.0543,0.0538,0.0541,3010257.0
0.054,0.0543,0.0537,0.0542,3510966.0
0.0542,0.0545,0.0539,0.0541,3934871.0
0.0542,0.0547,0.0539,0.0546,4700054.0
0.0546,0.0548,0.0541,0.0542,4071237.0
0.0541,0.0542,0.0523,0.0527,16247956.0
0.0526,0.0527,0.0515,0.0517,13273171.0
0.0518,0.0521,0.0503,0.0505,19358242.0
0.0504,0.051,0.0493,0.0505,24514839.0
0.0505,0.0514,0.05,0.0512,15142043.0
0.0512,0.0528,0.0509,0.0524,10509228.0
0.0523,0.053,0.0517,0.0522,9790763.0
0.0522,0.0524,0.0518,0.052,7478041.0
0.052,0.0528,0.0518,0.0521,7986012.0
0.0521,0.0522,0.0512,0.0512,6314860.0
0.0513,0.0519,0.0481,0.0487,38935273.0
0.0488,0.0489,0.0428,0.0448,89368759.0
0.0449,0.0454,0.0436,0.0454,36061743.0
0.0453,0.0453,0.044,0.0441,24440404.0
0.0441,0.045,0.0438,0.0444,20364995.0
0.0444,0.0446,0.0423,0.0435,44183278.0
0.0434,0.0438,0.039,0.0414,129386805.0
0.0414,0.0436,0.0411,0.0432,39766786.0
0.0433,0.0435,0.0422,0.0426,35813356.0
0.0426,0.043,0.0415,0.0424,33747583.0
0.0423,0.0424,0.0406,0.041,50757973.0
0.0409,0.0411,0.0393,0.0409,67056784.0
0.0408,0.0412,0.0394,0.0398,67654910.0
0.0398,0.0423,0.0392,0.0422,89447453.0
0.0422,0.0446,0.0421,0.0441,67296432.0
0.044,0.0451,0.0437,0.0448,33511249.0
0.0448,0.046,0.0447,0.045,32581819.0
0.0451,0.0461,0.0448,0.0458,20784182.0
0.0457,0.0459,0.0444,0.0444,20179621.0
0.0444,0.0451,0.044,0.0446,33349293.0
0.0446,0.0452,0.0444,0.0451,22981671.0
0.0451,0.0458,0.0447,0.0449,15784017.0
0.045,0.0458,0.0448,0.0456,11180715.0
0.0456,0.0462,0.0452,0.0453,9523403.0
0.0453,0.0478,0.0452,0.0478,23001250.0
0.0477,0.0484,0.0472,0.0476,17795960.0
0.0475,0.0479,0.0472,0.0477,10774268.0
0.0477,0.0478,0.0471,0.0475,10473308.0
0.0474,0.0481,0.0472,0.048,7549118.0
0.0479,0.0485,0.0479,0.0484,10093128.0
0.0484,0.0488,0.048,0.0486,9865046.0
0.0485,0.0488,0.0483,0.0486,9700896.0
0.0485,0.0487,0.0472,0.0477,19572232.0
0.0478,0.0478,0.0473,0.0476,12623875.0
0.0476,0.0479,0.0473,0.0477,9648408.0
0.0476,0.0478,0.0472,0.0475,9036284.0
0.0474,0.0479,0.0473,0.0474,14090879.0
0.0474,0.0478,0.0468,0.0475,15551260.0
0.0474,0.0495,0.0473,0.0488,28869889.0
0.0488,0.0491,0.0481,0.0489,17236483.0
0.0489,0.0495,0.0487,0.0491,9574628.0
0.0492,0.0494,0.0488,0.0489,6845969.0
0.0488,0.0493,0.0487,0.0488,9128582.0
0.0489,0.0493,0.0487,0.0488,8439354.0
0.0487,0.0492,0.0485,0.049,13021655.0
0.0491,0.0493,0.0488,0.0493,4752838.0
0.0492,0.0497,0.0487,0.0491,13145706.0
0.049,0.0492,0.0487,0.049,5686502.0
0.049,0.0494,0.0486,0.0492,11238367.0
0.0492,0.0501,0.0487,0.05,15236560.0
0.0501,0.0504,0.0494,0.0496,11172127.0
0.0496,0.0501,0.0496,0.0499,6444967.0
0.0499,0.0505,0.0499,0.05,8164761.0
0.05,0.0504,0.0496,0.0496,8396956.0
0.0496,0.0499,0.0494,0.0497,6107311.0
0.0496,0.0499,0.0492,0.0497,4482013.0
0.0496,0.0502,0.0495,0.05,4361665.0
0.0499,0.0505,0.0497,0.0502,7944168.0
0.0501,0.0508,0.0499,0.05,5945040.0
0.0501,0.0502,0.0495,0.0495,7464474.0
0.0495,0.0501,0.0493,0.05,9351260.0
0.0499,0.0502,0.0495,0.0498,9827936.0
0.0497,0.0498,0.0479,0.0486,20603236.0
0.0485,0.0491,0.0483,0.0488,16096497.0
0.0487,0.0489,0.0481,0.0485,12204589.0
0.0485,0.0487,0.0479,0.0483,9839263.0
0.0483,0.0485,0.0477,0.0479,13093440.0
0.0479,0.0482,0.0476,0.0481,7854218.0
0.0481,0.0488,0.0476,0.0483,16351935.0
0.0484,0.0488,0.0482,0.0485,9883447.0
0.0485,0.0487,0.0478,0.0485,11541363.0
0.0485,0.0488,0.048,0.0483,7923856.0
0.0483,0.0486,0.0472,0.0481,16382055.0
0.0481,0.0499,0.0481,0.0498,17157948.0
0.0497,0.0509,0.0497,0.0507,9426786.0
0.0507,0.0511,0.0502,0.0503,4300190.0
0.0502,0.0507,0.05,0.05,5374994.0
0.05,0.0505,0.05,0.0503,5065641.0
0.0503,0.0506,0.0501,0.0505,5166621.0
0.0505,0.0506,0.0501,0.0503,5849294.0
0.0503,0.0505,0.05,0.0501,5727381.0
0.0501,0.0505,0.0498,0.0503,5591583.0
0.0503,0.0506,0.0502,0.0503,4133404.0
0.0504,0.0507,0.0502,0.0504,3818172.0
0.0504,0.0519,0.0503,0.0513,19438145.0
0.0513,0.0517,0.0507,0.0511,15167509.0
0.0512,0.0523,0.0511,0.0523,11630022.0
0.0522,0.0526,0.052,0.0523,5706443.0
0.0523,0.0533,0.0523,0.0529,15324799.0
0.0529,0.0531,0.0525,0.0526,4741414.0
0.0525,0.0528,0.0524,0.0524,3885723.0
0.0524,0.0527,0.0523,0.0526,4325072.0
0.0526,0.0527,0.0524,0.0525,4189870.0
0.0526,0.0537,0.0525,0.0536,5376408.0
0.0536,0.0543,0.0532,0.054,14267274.0
0.0541,0.0544,0.0538,0.0543,10317538.0
0.0542,0.0543,0.0533,0.0535,11851388.0
0.0535,0.0537,0.053,0.0535,8649866.0
0.0534,0.0536,0.0531,0.0532,5077451.0
0.0532,0.0535,0.0531,0.0533,3224217.0
0.0533,0.0535,0.0526,0.0526,6181473.0
0.0526,0.0532,0.0524,0.0532,4635689.0
0.0532,0.0532,0.0528,0.0531,5613017.0
0.0532,0.0535,0.0531,0.0531,4379577.0
0.0531,0.0536,0.053,0.0535,3075696.0
0.0534,0.0537,0.053,0.0532,4638654.0
0.0532,0.0533,0.0525,0.0531,10242159.0
0.053,0.0533,0.0528,0.0532,4189714.0
0.0532,0.0532,0.0525,0.0528,6077303.0
0.0528,0.0531,0.0521,0.0528,8240878.0
0.0527,0.0533,0.0517,0.0525,11907629.0
0.0525,0.0527,0.0519,0.052,6712659.0
0.052,0.0524,0.0518,0.0521,7433209.0
0.0522,0.0524,0.052,0.0522,5898063.0
0.0522,0.0525,0.0521,0.0525,5671683.0
0.0524,0.0526,0.0522,0.0525,4820158.0
0.0526,0.053,0.0523,0.0524,4749128.0
0.0525,0.0528,0.0521,0.0526,5271334.0
0.0527,0.0531,0.0525,0.0527,7503944.0
0.0527,0.0531,0.0525,0.0531,5191048.0
0.053,0.0537,0.0526,0.0526,11029092.0
0.0526,0.0531,0.0524,0.0527,5231078.0
0.0528,0.0531,0.0526,0.0528,3710482.0
0.0528,0.0529,0.0524,0.0525,3535027.0
0.0526,0.0527,0.0523,0.0527,3794936.0
0.0526,0.0527,0.0523,0.0524,4831685.0
0.0524,0.0529,0.0523,0.0529,6651791.0
0.0529,0.0529,0.0525,0.0528,3106120.0
0.0528,0.053,0.0525,0.0525,3451231.0
0.0525,0.0528,0.0524,0.0526,2985150.0
0.0526,0.0529,0.0524,0.0528,3908508.0
0.0527,0.0529,0.0526,0.0529,3827631.0
0.0529,0.053,0.0525,0.0526,3002540.0
0.0526,0.0528,0.0524,0.0525,4301354.0
0.0524,0.0529,0.0524,0.0528,4611117.0
0.0528,0.0531,0.0527,0.0528,4517715.0
0.0528,0.0534,0.0528,0.0533,5168364.0
0.0533,0.0535,0.0531,0.0535,4700952.0
0.0535,0.0539,0.0533,0.0536,4561405.0
