open,high,low,close,volume
0.595,0.595,0.587,0.592,1616887.3
0.591,0.594,0.589,0.589,1133043.2
0.59,0.598,0.588,0.589,1947349.8
0.59,0.591,0.585,0.588,1708650.4
0.588,0.59,0.583,0.585,1769424.8
0.584,0.586,0.566,0.567,4048355.2
0.567,0.573,0.557,0.563,6785859.1
0.563,0.565,0.546,0.549,5913460.3
0.549,0.552,0.54,0.545,4187125.5
0.544,0.551,0.54,0.541,2552579.0
0.542,0.551,0.541,0.544,2637513.0
0.544,0.556,0.542,0.555,2005719.3
0.555,0.562,0.551,0.559,1737801.9
0.56,0.566,0.556,0.56,1539230.8
0.56,0.562,0.556,0.559,1743795.7
0.559,0.56,0.551,0.557,1426231.9
0.557,0.567,0.556,0.562,1142088.5
0.561,0.562,0.556,0.557,902781.6
0.558,0.563,0.556,0.558,952024.6
0.558,0.562,0.557,0.562,838276.2
0.561,0.565,0.56,0.562,711241.4
0.563,0.563,0.554,0.555,1179061.5
0.555,0.558,0.552,0.555,1267492.8
0.554,0.557,0.551,0.554,853363.4
0.554,0.559,0.552,0.558,661125.1
0.558,0.561,0.554,0.56,877687.0
0.56,0.563,0.556,0.561,1090319.4
0.562,0.564,0.558,0.559,902250.7
0.559,0.559,0.537,0.539,4134665.2
0.539,0.54,0.529,0.53,3248930.5
0.531,0.536,0.521,0.523,3376960.3
0.523,0.527,0.511,0.524,3833394.7
0.524,0.531,0.518,0.529,2353931.8
0.529,0.542,0.526,0.538,1581396.0
0.539,0.544,0.532,0.536,1340667.1
0.535,0.537,0.53,0.535,856031.0
0.536,0.544,0.533,0.538,1832586.4
0.539,0.539,0.528,0.529,1325437.9
0.53,0.534,0.503,0.51,6472677.6
0.51,0.512,0.448,0.482,18041613.2
0.483,0.485,0.469,0.483,6278096.9
0.483,0.484,0.473,0.475,2662890.4
0.476,0.49,0.475,0.482,2522244.3
0.483,0.486,0.464,0.475,6645162.6
0.476,0.478,0.433,0.462,16092486.4
0.462,0.489,0.46,0.483,4635785.4
0.483,0.484,0.47,0.475,3594341.1
0.474,0.479,0.467,0.476,2921927.2
0.476,0.477,0.458,0.462,3789956.4
0.462,0.465,0.448,0.464,4701695.8
0.464,0.469,0.449,0.453,5795491.2
0.454,0.485,0.447,0.483,6785770.1
0.483,0.507,0.483,0.503,6378338.4
0.504,0.52,0.498,0.516,4202655.5
