open,high,low,close,volume
0.6854,0.6859,0.6801,0.6822,185653.0
0.6819,0.6836,0.68,0.6811,259379.0
0.6813,0.6926,0.6806,0.6864,360294.0
0.6864,0.6866,0.6808,0.6823,188583.0
0.6821,0.6845,0.677,0.6787,314500.0
0.6789,0.68,0.6453,0.6462,1117749.0
0.6463,0.6482,0.623,0.6387,3107401.0
0.6389,0.6391,0.621,0.6231,1140077.0
0.6233,0.6249,0.6096,0.6133,1080765.0
0.6135,0.6219,0.6095,0.6112,713344.0
0.6115,0.624,0.6072,0.6151,701208.0
0.6152,0.6292,0.6131,0.627,571873.0
0.6273,0.6301,0.6212,0.6231,311690.0
0.6232,0.6267,0.6184,0.6218,339022.0
0.6217,0.6301,0.6198,0.6291,402735.0
0.6293,0.631,0.6194,0.6263,367241.0
0.6261,0.6401,0.6261,0.6359,388480.0
0.6362,0.6365,0.6309,0.6333,285001.0
0.6331,0.6351,0.6265,0.6271,197096.0
0.6268,0.6333,0.6268,0.632,180309.0
0.6317,0.6362,0.6313,0.634,289793.0
0.634,0.6347,0.623,0.6241,210747.0
0.6243,0.6339,0.6207,0.6302,410971.0
0.6302,0.6337,0.629,0.6304,170099.0
0.6304,0.6333,0.6268,0.633,240480.0
0.6329,0.6352,0.6292,0.6305,207077.0
0.6306,0.6368,0.6295,0.6362,207786.0
0.6364,0.6384,0.6289,0.6289,401320.0
0.6288,0.6306,0.6066,0.6099,964594.0
0.61,0.6101,0.595,0.5963,1018415.0
0.5964,0.5973,0.5742,0.576,1678111.0
0.5757,0.5845,0.5626,0.5813,1895555.0
0.5817,0.5943,0.5738,0.5923,868041.0
0.5923,0.6067,0.5867,0.602,896156.0
0.6019,0.6092,0.5944,0.6005,536740.0
0.6007,0.6013,0.5956,0.5989,476847.0
0.599,0.6075,0.5967,0.6,721444.0
0.5999,0.6003,0.5884,0.5905,389134.0
0.5906,0.5969,0.5533,0.5644,2626099.0
0.5639,0.5654,0.4846,0.5164,9876774.0
0.5165,0.5245,0.5007,0.5225,3116362.0
0.5225,0.5227,0.5083,0.5116,1274086.0
0.5116,0.5223,0.5085,0.5141,1063060.0
0.5143,0.5194,0.4922,0.5071,3155822.0
0.5073,0.5109,0.461,0.4928,6867191.0
0.4927,0.5232,0.49,0.5162,2294686.0
0.5163,0.5184,0.502,0.5095,1578314.0
0.5089,0.5156,0.5022,0.5135,1352867.0
0.5134,0.5147,0.4935,0.4967,2041658.0
0.4966,0.4971,0.4735,0.4941,3108938.0
0.494,0.5004,0.4776,0.483,3102739.0
0.4829,0.5146,0.4744,0.512,4261458.0
0.512,0.5412,0.512,0.5348,2778301.0
0.5352,0.5441,0.5285,0.5413,1503451.0
0.5412,0.5525,0.5342,0.5352,1645784.0
0.5352,0.5428,0.5317,0.536,880488.0
0.5362,0.5363,0.5185,0.5187,1065472.0
0.5188,0.5284,0.5163,0.5238,1105958.0
0.5237,0.5319,0.5224,0.5268,676343.0
0.5269,0.5352,0.5218,0.5241,716576.0
0.524,0.5347,0.5222,0.532,761190.0
0.5322,0.5374,0.525,0.5257,555516.0
0.5259,0.5581,0.5252,0.5579,1400798.0
0.5579,0.567,0.5524,0.5572,965283.0
0.5572,0.5607,0.5531,0.5585,486552.0
0.5583,0.5607,0.5533,0.5576,534544.0
0.5577,0.5659,0.5542,0.5647,511817.0
0.5646,0.5779,0.5621,0.5771,807978.0
0.5768,0.587,0.5726,0.5829,1301628.0
0.5827,0.5879,0.5752,0.5848,1111510.0
0.5848,0.5852,0.5637,0.57,1119849.0
0.57,0.5764,0.5656,0.5751,743364.0
0.5753,0.578,0.5696,0.5737,508337.0
0.5737,0.5768,0.5682,0.5713,540217.0
0.5711,0.5762,0.5659,0.5689,602879.0
0.5687,0.5782,0.5626,0.5754,1156775.0
0.575,0.6035,0.574,0.5893,2140574.0
0.5894,0.5916,0.5804,0.5907,987225.0
0.5908,0.598,0.5851,0.5927,996429.0
0.5925,0.5965,0.5853,0.5856,512352.0
0.5859,0.597,0.5854,0.5914,414335.0
0.5912,0.5965,0.5884,0.5902,350456.0
0.5902,0.5957,0.5867,0.5936,397266.0
0.5934,0.5944,0.5888,0.5931,235494.0
0.593,0.5991,0.587,0.5923,747732.0
0.592,0.5939,0.5848,0.588,415617.0
0.588,0.5934,0.5813,0.5892,673847.0
0.5894,0.5988,0.58,0.598,624578.0
0.5979,0.6043,0.5907,0.5941,630613.0
0.5942,0.5994,0.5925,0.5969,427434.0
0.5969,0.6056,0.5959,0.5993,415816.0
0.5993,0.6044,0.5962,0.5967,528650.0
0.5968,0.6065,0.5952,0.6025,900552.0
