open,high,low,close,volume
0.3905,0.393,0.3897,0.3918,5392596.0
0.3919,0.3932,0.3907,0.3917,3187717.0
0.3918,0.3974,0.3908,0.3941,7710625.0
0.394,0.3945,0.3912,0.3935,4295546.0
0.3935,0.3971,0.3911,0.3917,7692925.0
0.3917,0.3924,0.3795,0.3801,16092373.0
0.3801,0.381,0.3608,0.3645,58229125.0
0.3646,0.3653,0.3555,0.3595,32278604.0
0.3594,0.3598,0.351,0.3555,29220004.0
0.3556,0.3606,0.3533,0.3539,11425157.0
0.3539,0.3601,0.3503,0.3552,14221228.0
0.3551,0.363,0.3534,0.3598,11667930.0
0.3599,0.3612,0.3571,0.3584,5830159.0
0.3585,0.3622,0.3574,0.3582,9514117.0
0.3582,0.3624,0.3572,0.3614,10943692.0
0.3614,0.3621,0.3552,0.3586,13223844.0
0.3586,0.3648,0.3579,0.3633,6708554.0
0.3632,0.3664,0.3613,0.3661,7212217.0
0.3661,0.3686,0.3635,0.364,6928020.0
0.364,0.3694,0.3637,0.3678,7692370.0
0.3677,0.3728,0.3676,0.3711,6285490.0
0.371,0.3711,0.3633,0.364,10192951.0
0.3641,0.3704,0.3611,0.3673,14008948.0
0.3674,0.369,0.3655,0.3667,4087985.0
0.3667,0.3706,0.3648,0.3702,6763336.0
0.3703,0.3716,0.3664,0.3682,8308219.0
0.3683,0.369,0.3649,0.3678,7442071.0
0.3678,0.3688,0.3641,0.3648,5565592.0
0.3647,0.3656,0.3519,0.3536,25857306.0
0.3537,0.3537,0.3441,0.3451,26752974.0
0.3452,0.349,0.3351,0.3361,38074897.0
0.336,0.3384,0.3252,0.333,47630843.0
0.333,0.3437,0.3284,0.3433,27903422.0
0.3434,0.3543,0.3391,0.3512,21398545.0
0.3511,0.3571,0.3486,0.3517,15570108.0
0.3518,0.3522,0.3467,0.3478,7662581.0
0.3478,0.3534,0.3466,0.3483,10352611.0
0.3483,0.3484,0.3409,0.3423,13985182.0
0.3424,0.3476,0.325,0.3313,51621131.0
0.3312,0.3328,0.2792,0.3053,176634799.0
0.3053,0.306,0.2924,0.2995,65463399.0
0.2994,0.2998,0.2897,0.292,42477625.0
0.292,0.2986,0.2885,0.2931,29986971.0
0.2931,0.2971,0.2808,0.2894,67980596.0
0.2894,0.2913,0.2593,0.2787,176130357.0
0.2787,0.2997,0.2774,0.2946,58612895.0
0.2946,0.2955,0.2861,0.2889,32197367.0
0.289,0.2931,0.2861,0.2916,26996676.0
0.2916,0.2916,0.2787,0.2813,35446456.0
0.2813,0.2819,0.2699,0.2813,43472568.0
0.2813,0.2856,0.2722,0.2728,56889047.0
0.2727,0.2932,0.2669,0.2909,89029104.0
0.2909,0.301,0.2908,0.2984,60425142.0
0.2984,0.3019,0.2945,0.2981,30400315.0
0.2981,0.3027,0.2916,0.2924,39456025.0
0.2925,0.2987,0.2913,0.2959,18741963.0
0.2959,0.296,0.2854,0.2857,25017288.0
0.2858,0.2916,0.2842,0.2883,25493492.0
0.2882,0.2931,0.2877,0.2915,17481931.0
0.2915,0.2972,0.2891,0.2904,14403500.0
0.2904,0.296,0.2898,0.2948,12830551.0
0.2949,0.2984,0.2911,0.2916,14093916.0
0.2916,0.3126,0.2906,0.3123,37147082.0
0.3122,0.3174,0.3071,0.3128,30289769.0
0.3129,0.3138,0.3075,0.3102,18385901.0
0.3102,0.3114,0.3066,0.3076,10596475.0
0.3075,0.3126,0.3061,0.3121,12518526.0
0.3121,0.3156,0.3095,0.3152,16203294.0
0.3151,0.3176,0.3119,0.316,13157844.0
0.316,0.3174,0.3131,0.3159,11870471.0
