open,high,low,close,volume
2.2875,2.3502,2.2737,2.3348,692583.7
2.334,2.4364,2.3296,2.3823,3072360.2
2.3822,2.47,2.3822,2.4425,981713.7
2.4427,2.4573,2.4077,2.4284,706805.7
2.4283,2.4484,2.3937,2.397,593530.2
2.397,2.4121,2.2504,2.2778,2458040.9
2.2782,2.3409,2.25,2.2587,2648995.5
2.2588,2.2897,2.1879,2.1968,1733957.9
2.1982,2.2174,2.1459,2.1506,848640.8
2.1508,2.1742,2.1238,2.1258,620622.0
2.1256,2.1259,2.0266,2.0303,1286075.8
2.03,2.0939,2.0159,2.0563,998036.2
2.0559,2.0613,2.0281,2.0387,434312.6
2.0386,2.0601,2.025,2.0364,426053.6
2.036,2.0622,2.0188,2.0593,505291.2
2.0593,2.0624,2.0306,2.0621,245745.4
2.0621,2.0984,2.0599,2.073,667947.8
2.073,2.1264,2.0489,2.1133,517626.5
2.114,2.2017,2.1125,2.1543,1786858.1
2.1547,2.1899,2.1274,2.1352,804084.6
2.1352,2.1539,2.1114,2.1144,418213.6
2.1149,2.1423,2.0896,2.0988,426816.9
2.0984,2.1052,2.0799,2.0852,333438.1
2.0853,2.0995,2.0712,2.0733,177551.2
2.0736,2.0858,2.059,2.0811,271473.5
2.0821,2.1036,2.0711,2.0924,498554.3
2.0924,2.1047,2.0753,2.0786,475160.7
2.079,2.0798,2.0601,2.0618,429079.7
2.0628,2.0684,2.0051,2.0264,1103347.2
2.0264,2.0264,1.9258,1.9334,1267600.2
1.9337,1.9376,1.8694,1.8745,1413839.5
1.8749,1.8872,1.8366,1.8852,1184140.9
1.8848,1.9306,1.8814,1.9276,672572.8
1.9268,1.961,1.912,1.9212,866046.2
1.9207,1.9264,1.889,1.9076,448741.3
1.9076,1.9245,1.8911,1.9188,320654.0
1.9189,2.0365,1.918,2.0213,1666138.8
2.0209,2.0417,1.9957,2.0194,842874.7
2.0204,2.0294,1.9034,1.929,979345.3
1.9287,1.9335,1.6009,1.7461,3048887.7
1.7465,1.7775,1.6917,1.7331,1243758.7
1.7331,1.7408,1.6536,1.6766,1260001.8
1.6768,1.6925,1.6454,1.6564,752627.9
1.6568,1.67,1.5904,1.6183,1052829.5
1.6198,1.636,1.4956,1.5738,2620488.4
1.5729,1.6183,1.555,1.6041,1012942.6
1.6039,1.606,1.5651,1.585,718824.4
1.5847,1.598,1.5558,1.5848,494239.7
1.5841,1.5841,1.525,1.545,777652.8
1.5443,1.5532,1.4958,1.5405,1474886.3
1.54,1.5721,1.5238,1.5489,1555296.3
1.5481,1.6266,1.5306,1.6145,1430270.6
1.6147,1.7298,1.6147,1.7022,1687682.6
1.7026,1.7454,1.6895,1.7376,765472.3
1.7372,1.796,1.7321,1.7597,790718.8
1.7599,1.7716,1.7358,1.737,498990.2
1.7368,1.7393,1.681,1.6812,484111.1
1.6812,1.7276,1.6706,1.7112,640472.6
1.7123,1.7353,1.699,1.7229,235399.0
1.7222,1.7362,1.6902,1.6948,262023.1
1.6952,1.7194,1.6855,1.6986,272222.1
1.6981,1.7182,1.6729,1.6753,263659.1
1.6762,1.7599,1.6728,1.7543,479254.3
1.7536,1.771,1.729,1.7313,379155.2
1.7304,1.7493,1.727,1.7388,211924.1
1.7386,1.7499,1.7319,1.7402,151279.2
1.7402,1.7627,1.7383,1.7622,256527.9
1.7617,1.809,1.7556,1.8077,316901.6
1.8075,1.8352,1.7863,1.7891,584400.9
1.7888,1.8024,1.7754,1.794,211341.4
1.7932,1.7932,1.7326,1.7521,407131.7
1.7517,1.7664,1.7378,1.7633,211854.3
1.7633,1.7717,1.7386,1.7483,224505.5
1.7483,1.7587,1.7354,1.744,122487.8
1.7436,1.7544,1.7218,1.7306,282461.2
1.7305,1.7593,1.7184,1.747,286369.0
1.7471,1.7929,1.7458,1.7676,575683.0
1.7676,1.7772,1.7488,1.7668,373386.6
1.7674,1.8112,1.762,1.7918,464010.1
1.7915,1.7987,1.7779,1.778,157378.5
1.7787,1.8078,1.7776,1.7967,186946.6
1.7968,1.815,1.7931,1.7974,181785.4
1.7968,1.8089,1.7813,1.8028,153099.2
1.8037,1.816,1.7987,1.8076,104277.8
1.8074,1.8357,1.7957,1.8157,302027.7
1.8157,1.8235,1.7906,1.8088,141343.8
1.8084,1.8176,1.7863,1.8073,208426.8
1.8073,1.8409,1.7862,1.8354,263738.7
1.8353,1.8366,1.7935,1.7999,513405.7
1.7999,1.8104,1.7913,1.8066,112343.3
1.8072,1.834,1.8049,1.8286,260127.8
1.8291,1.8402,1.8159,1.8159,125439.7
1.8168,1.8239,1.8054,1.8113,101906.5
1.8111,1.8169,1.7839,1.8047,310615.0
1.8038,1.8278,1.7904,1.8225,218253.1
1.8222,1.84,1.8209,1.8272,223166.6
1.827,1.8447,1.816,1.8193,166917.1
1.8181,1.8205,1.7869,1.7894,168404.1
1.7893,1.8031,1.7764,1.8015,124707.6
1.801,1.8096,1.7786,1.7832,133735.2
