open,high,low,close,volume
0.305,0.308,0.3037,0.3043,4690883.0
0.3044,0.3114,0.3043,0.3086,10214487.0
0.3085,0.3185,0.3084,0.3162,25576489.0
0.3163,0.3232,0.3027,0.3063,38983974.0
0.3064,0.3161,0.3032,0.3051,37444942.0
0.305,0.3139,0.2981,0.2988,33594096.0
0.2989,0.3061,0.2945,0.2952,29919294.0
0.2953,0.3018,0.2893,0.2918,24824313.0
0.2918,0.2955,0.2891,0.2914,10847523.0
0.2913,0.2927,0.2885,0.2889,5868268.0
0.289,0.293,0.287,0.2898,4492908.0
0.2898,0.297,0.2889,0.296,2883162.0
0.296,0.2985,0.2953,0.2972,3402334.0
0.2972,0.3022,0.2966,0.2996,2680677.0
0.2995,0.3015,0.2921,0.2944,8796757.0
0.2944,0.2952,0.2886,0.2906,4126880.0
0.2907,0.2935,0.2897,0.2922,3016316.0
0.2922,0.2926,0.29,0.2913,2014700.0
0.2914,0.2923,0.2893,0.2897,2163837.0
0.2897,0.2916,0.2895,0.2913,1597281.0
0.2914,0.2926,0.2904,0.2913,1588185.0
0.2913,0.2915,0.2872,0.2875,2462919.0
0.2875,0.2907,0.2861,0.2888,2253827.0
0.2889,0.291,0.288,0.2896,2307690.0
0.2895,0.29,0.288,0.2894,1753330.0
0.2894,0.2912,0.2892,0.2908,1894885.0
0.2908,0.2938,0.2907,0.2936,1865811.0
0.2935,0.2952,0.2921,0.2922,3159332.0
0.2922,0.2926,0.2819,0.2831,5960044.0
0.2832,0.2833,0.2782,0.2792,3693810.0
0.2792,0.2808,0.2743,0.2753,4563271.0
0.2753,0.2772,0.2687,0.2764,8781631.0
0.2763,0.2799,0.2726,0.2792,3152082.0
0.2792,0.2955,0.2775,0.2934,8999030.0
0.2934,0.2982,0.292,0.2937,5037581.0
0.2938,0.2947,0.2865,0.287,3733895.0
0.287,0.2901,0.2846,0.2855,2567173.0
0.2855,0.2856,0.281,0.2814,2382628.0
0.2814,0.2843,0.2632,0.2669,10657171.0
0.2668,0.2676,0.2353,0.2526,24614432.0
0.2525,0.2535,0.2456,0.2517,7969787.0
0.2517,0.2519,0.2461,0.248,3463505.0
0.248,0.2523,0.2457,0.2478,2751405.0
0.2478,0.2487,0.238,0.2426,9040579.0
0.2426,0.2439,0.2228,0.2357,19574622.0
0.2356,0.2487,0.2344,0.2456,6802750.0
0.2455,0.2459,0.2386,0.2401,13580984.0
0.24,0.2425,0.2364,0.242,3708438.0
0.2418,0.2419,0.2322,0.2338,3648519.0
0.2339,0.2357,0.2268,0.2354,4689529.0
0.2354,0.2383,0.2285,0.2296,5807913.0
0.2296,0.2462,0.2267,0.2447,9876760.0
0.2447,0.2554,0.2447,0.2524,7416706.0
0.2526,0.261,0.2502,0.2602,4795589.0
0.2601,0.2666,0.2588,0.2603,4575223.0
0.2602,0.2635,0.2584,0.261,2016918.0
0.261,0.2615,0.252,0.2522,2168594.0
