open,high,low,close,volume
0.703,0.704,0.698,0.703,201682.8
0.702,0.706,0.7,0.703,151877.8
0.702,0.714,0.702,0.711,548389.0
0.711,0.711,0.701,0.703,204354.8
0.703,0.705,0.699,0.7,318255.7
0.7,0.702,0.687,0.688,1456349.0
0.689,0.693,0.687,0.688,1811230.2
0.688,0.69,0.679,0.681,1789941.3
0.681,0.684,0.668,0.669,1170111.5
0.67,0.674,0.661,0.661,1359395.9
0.661,0.674,0.656,0.667,1342101.7
0.666,0.687,0.663,0.683,617807.7
0.684,0.695,0.673,0.684,1347516.8
0.684,0.69,0.679,0.682,669398.3
0.682,0.689,0.679,0.687,468035.4
0.688,0.688,0.675,0.681,387650.2
0.681,0.692,0.679,0.688,461585.2
0.689,0.691,0.683,0.684,265651.8
0.684,0.687,0.679,0.681,376082.4
0.681,0.687,0.68,0.683,287673.0
0.683,0.688,0.681,0.686,269839.6
0.686,0.688,0.677,0.678,308793.5
0.678,0.686,0.673,0.683,355360.9
0.683,0.687,0.682,0.683,256467.9
0.683,0.686,0.679,0.685,265766.8
0.684,0.686,0.681,0.683,153211.2
0.684,0.687,0.681,0.686,206041.0
0.686,0.687,0.679,0.679,168456.9
0.68,0.681,0.655,0.658,858640.4
0.658,0.658,0.643,0.645,894588.9
0.645,0.65,0.634,0.635,1344643.6
0.635,0.636,0.604,0.63,2544676.3
0.63,0.641,0.621,0.64,950079.5
0.64,0.66,0.637,0.655,785284.3
0.656,0.666,0.65,0.655,674066.0
0.655,0.658,0.651,0.652,281299.6
0.653,0.66,0.65,0.652,412592.9
0.651,0.652,0.637,0.638,575204.1
0.638,0.646,0.605,0.613,2033692.5
0.613,0.615,0.574,0.589,6987411.8
0.589,0.598,0.579,0.594,2115510.4
0.594,0.595,0.576,0.581,1221222.2
0.582,0.592,0.58,0.583,1067897.0
0.582,0.592,0.563,0.581,3082300.7
0.582,0.584,0.521,0.559,7741232.8
0.559,0.596,0.557,0.594,1783578.5
0.595,0.597,0.581,0.59,1960488.3
0.59,0.601,0.583,0.595,1569433.1
0.595,0.596,0.568,0.574,1148822.6
0.573,0.576,0.554,0.575,1319453.2
0.575,0.581,0.557,0.564,1844385.7
0.565,0.613,0.556,0.609,2938696.1
0.61,0.653,0.608,0.641,2353177.2
0.642,0.679,0.636,0.66,2161058.7
0.66,0.674,0.642,0.644,1885128.3
0.645,0.648,0.619,0.63,3452551.2
0.631,0.633,0.602,0.603,2210974.2
0.603,0.62,0.6,0.608,1541651.8
0.609,0.618,0.606,0.61,792122.7
0.61,0.62,0.603,0.606,770076.0
0.606,0.62,0.603,0.613,570281.3
0.614,0.621,0.604,0.607,740360.0
0.606,0.64,0.606,0.639,1126548.7
0.639,0.645,0.628,0.629,981043.4
0.63,0.634,0.625,0.633,710441.7
0.633,0.636,0.629,0.631,492189.8
0.63,0.639,0.625,0.639,510560.6
0.639,0.643,0.634,0.641,683907.5
0.641,0.651,0.639,0.643,641893.3
0.643,0.648,0.638,0.644,695632.8
0.644,0.644,0.623,0.627,823933.7
0.628,0.63,0.623,0.628,559472.7
0.627,0.631,0.618,0.624,904361.3
0.623,0.628,0.621,0.625,395361.3
0.625,0.63,0.619,0.626,475204.3
0.625,0.629,0.615,0.624,1177149.0
0.623,0.655,0.623,0.644,1318245.7
0.643,0.653,0.641,0.648,1366517.3
0.649,0.657,0.643,0.655,970759.6
0.654,0.654,0.64,0.641,816644.0
0.64,0.651,0.64,0.644,393272.9
0.645,0.65,0.641,0.643,396613.2
0.642,0.647,0.635,0.646,796099.8
0.647,0.647,0.64,0.643,335819.4
0.644,0.651,0.636,0.639,551283.4
0.639,0.641,0.631,0.635,570482.7
0.636,0.642,0.626,0.64,1221137.8
0.639,0.65,0.631,0.648,765032.4
0.648,0.654,0.637,0.641,730328.7
0.642,0.649,0.641,0.645,475822.2
0.645,0.651,0.645,0.648,527518.0
0.647,0.651,0.643,0.644,477719.5
0.643,0.648,0.639,0.641,444265.6
