open,high,low,close,volume
0.4621,0.465,0.461,0.4644,254057.6
0.4642,0.4655,0.4626,0.464,195809.6
0.464,0.4728,0.4637,0.4684,443789.0
0.4685,0.4689,0.464,0.4652,206013.8
0.4652,0.4679,0.4595,0.46,468365.0
0.46,0.4631,0.4438,0.4449,1300246.5
0.4447,0.4501,0.4359,0.4392,1737960.9
0.4392,0.4394,0.4294,0.4308,1467017.4
0.431,0.433,0.4261,0.4276,976565.4
0.4279,0.4318,0.4241,0.4244,596860.9
0.4245,0.4292,0.4216,0.4234,489156.5
0.4234,0.4288,0.4211,0.4288,485544.7
0.4287,0.4301,0.4245,0.4256,440412.3
0.4256,0.4294,0.4232,0.4267,417430.9
0.4267,0.4347,0.4255,0.4329,621063.7
0.433,0.4332,0.4278,0.4318,288701.0
0.4318,0.4412,0.4318,0.438,436532.4
0.4381,0.4385,0.4337,0.4351,222330.6
0.4352,0.4369,0.4315,0.4319,303600.7
0.432,0.4358,0.4314,0.4349,290847.6
0.4347,0.4363,0.4335,0.4355,386336.7
0.4354,0.4357,0.4266,0.4278,411769.6
0.4275,0.4338,0.4252,0.4308,533408.2
0.4308,0.4324,0.4283,0.4299,518021.2
0.4295,0.4319,0.4262,0.4313,315953.7
0.4312,0.432,0.4272,0.4287,386388.3
0.4286,0.4338,0.428,0.4327,347353.6
0.4329,0.4335,0.4279,0.4294,292964.6
0.4292,0.4301,0.4149,0.4168,1287436.9
0.417,0.417,0.4061,0.4072,1649459.7
0.4076,0.4107,0.4001,0.4016,1752309.5
0.4008,0.4046,0.3911,0.402,2168656.4
0.4022,0.4134,0.399,0.4128,1065121.3
0.4128,0.4269,0.4096,0.4205,1410496.1
0.4205,0.4319,0.4185,0.4237,1310216.1
0.4238,0.4248,0.4176,0.4209,397696.8
0.4209,0.4272,0.4187,0.4207,510760.5
0.4207,0.4209,0.4126,0.4149,588217.4
0.4149,0.4222,0.3968,0.4021,2157741.1
0.402,0.4031,0.3452,0.3692,13387333.1
0.3692,0.3703,0.3574,0.3665,4223784.8
0.3665,0.3668,0.3561,0.3568,2662079.1
0.3571,0.3632,0.352,0.355,1673697.1
0.3552,0.3555,0.3385,0.3457,4615484.7
0.3459,0.3478,0.3102,0.3316,14366275.9
0.3314,0.3478,0.329,0.3427,3627953.2
0.3427,0.3435,0.3342,0.3366,2144413.2
0.3365,0.3397,0.3315,0.339,1548661.7
0.3389,0.3389,0.3233,0.3277,2208843.7
0.3277,0.3324,0.3185,0.3319,2807775.8
0.3318,0.3354,0.321,0.3239,3207120.6
0.3241,0.3462,0.3191,0.3442,4447946.1
0.3443,0.3585,0.3442,0.3551,2750318.5
0.3553,0.3615,0.3513,0.3581,1638184.7
0.3579,0.3649,0.3543,0.3549,2067788.0
0.3548,0.3584,0.3528,0.3532,1331281.6
0.3535,0.354,0.3413,0.3414,1103375.5
0.3415,0.3491,0.3404,0.3462,1288512.5
0.3463,0.3518,0.345,0.3485,719544.5
0.3485,0.354,0.345,0.3469,1260382.8
0.347,0.3547,0.3469,0.3531,655890.5
0.3533,0.3568,0.3481,0.3488,664360.3
0.3488,0.3712,0.348,0.3712,1903961.6
0.3712,0.3807,0.3684,0.3715,1980438.4
0.3714,0.3742,0.3688,0.3721,640320.2
0.3721,0.3728,0.3662,0.3662,651449.8
0.3663,0.3726,0.3648,0.3704,653228.9
0.3703,0.3774,0.3686,0.3766,698951.4
0.3767,0.3787,0.3699,0.371,1465353.3
0.3707,0.3709,0.3643,0.3674,1539477.6
0.3673,0.3674,0.3548,0.3596,1655829.4
0.3595,0.3597,0.3532,0.3578,1446746.8
0.3578,0.3583,0.3479,0.3502,1192106.0
0.35,0.3516,0.3471,0.3486,1154548.7
0.3484,0.3532,0.3455,0.3476,1948645.0
0.3476,0.3528,0.3431,0.3507,2985304.0
0.3506,0.3668,0.3502,0.3626,4344283.6
0.3627,0.3655,0.3541,0.3616,2392330.2
0.3616,0.3644,0.3579,0.3616,1067610.1
0.3616,0.3631,0.356,0.356,1236484.6
0.3562,0.3635,0.356,0.357,1334509.4
0.3569,0.3597,0.3534,0.3545,650619.3
0.3544,0.3572,0.3524,0.3555,661393.7
0.3556,0.3572,0.3538,0.3551,485005.1
0.3549,0.3601,0.3519,0.3542,1199487.1
0.3541,0.3549,0.3506,0.3523,963204.8
