open,high,low,close,volume
8.201,8.203,8.136,8.154,109005.0
8.155,8.189,8.077,8.175,206016.0
8.174,8.303,8.163,8.255,214228.0
8.256,8.28,8.204,8.255,121368.0
8.255,8.329,8.226,8.235,148949.0
8.24,8.256,7.984,7.996,466197.0
7.997,8.021,7.711,7.765,904022.0
7.765,7.77,7.583,7.63,550229.0
7.63,7.712,7.567,7.662,346346.0
7.665,7.807,7.651,7.709,254544.0
7.707,7.822,7.661,7.716,267317.0
7.716,7.872,7.669,7.848,179954.0
7.849,7.862,7.747,7.789,123425.0
7.79,7.85,7.75,7.754,187229.0
7.753,7.849,7.736,7.837,227862.0
7.837,7.84,7.715,7.797,120423.0
7.795,7.903,7.787,7.893,161213.0
7.892,7.912,7.839,7.89,100439.0
7.891,7.922,7.84,7.872,128670.0
7.87,7.894,7.832,7.887,79894.0
7.887,7.905,7.852,7.894,44066.0
7.895,7.912,7.763,7.776,138300.0
7.776,7.855,7.722,7.815,142990.0
7.815,7.842,7.776,7.8,73706.0
7.798,7.851,7.752,7.844,96853.0
7.846,7.878,7.816,7.835,68104.0
7.836,7.905,7.806,7.9,91214.0
7.9,7.914,7.778,7.778,90632.0
7.777,7.784,7.521,7.569,418615.0
7.57,7.572,7.368,7.384,465043.0
7.385,7.44,7.187,7.206,633839.0
7.205,7.311,7.043,7.27,675432.0
7.271,7.426,7.201,7.383,499412.0
7.38,7.581,7.315,7.548,321651.0
7.547,7.617,7.465,7.548,212048.0
7.549,7.559,7.457,7.468,104545.0
7.468,7.555,7.425,7.47,190284.0
7.469,7.475,7.305,7.324,229333.0
7.324,7.417,6.99,7.072,874676.0
7.07,7.092,6.252,6.846,2604843.0
6.847,6.945,6.697,6.923,917540.0
6.921,6.928,6.757,6.855,603476.0
6.853,7.008,6.844,6.989,553837.0
6.989,7.032,6.729,6.829,1194471.0
6.832,6.87,6.247,6.638,2303119.0
6.638,7.198,6.592,7.039,1181557.0
7.04,7.047,6.756,6.863,899361.0
6.865,6.985,6.763,6.884,392242.0
6.882,6.889,6.568,6.631,597555.0
6.632,6.642,6.362,6.627,848955.0
6.626,6.697,6.417,6.434,857817.0
6.433,6.898,6.325,6.829,1598794.0
6.83,7.148,6.827,7.096,1215999.0
7.098,7.224,7.0,7.167,617006.0
7.167,7.382,7.117,7.151,613859.0
7.152,7.334,7.151,7.272,356851.0
7.273,7.279,6.953,6.961,418762.0
6.961,7.039,6.887,6.98,581871.0
6.98,7.122,6.974,7.056,293226.0
7.056,7.181,6.995,7.077,286390.0
7.075,7.215,7.041,7.151,243434.0
7.155,7.238,7.046,7.057,242721.0
7.057,7.428,7.034,7.412,441394.0
7.41,7.482,7.293,7.386,329964.0
7.38,7.448,7.342,7.411,178249.0
7.41,7.414,7.315,7.341,156817.0
7.342,7.419,7.291,7.366,133526.0
7.364,7.496,7.328,7.487,360860.0
7.486,7.563,7.448,7.514,221735.0
7.514,7.531,7.438,7.506,193515.0
7.506,7.506,7.234,7.315,304260.0
7.315,7.354,7.249,7.342,195054.0
7.342,7.361,7.267,7.32,115201.0
7.321,7.399,7.282,7.335,137385.0
7.335,7.4,7.238,7.245,276723.0
7.242,7.318,7.145,7.265,385467.0
7.265,7.629,7.258,7.451,734561.0
7.451,7.571,7.425,7.553,251280.0
7.551,7.67,7.497,7.627,281022.0
7.626,7.779,7.595,7.702,422308.0
7.703,7.789,7.642,7.648,261076.0
7.646,7.665,7.561,7.597,272879.0
7.591,7.648,7.546,7.616,159849.0
7.616,7.655,7.574,7.644,92273.0
7.643,7.832,7.608,7.674,377163.0
7.676,7.705,7.6,7.658,173098.0
7.658,7.67,7.484,7.547,517790.0
7.549,7.743,7.46,7.73,251722.0
7.733,7.738,7.557,7.624,245672.0
7.623,7.709,7.597,7.659,134242.0
7.658,7.765,7.642,7.681,137720.0
7.68,7.715,7.595,7.598,126954.0
7.598,7.628,7.548,7.571,118889.0
7.567,7.607,7.52,7.555,124682.0
7.559,7.68,7.548,7.646,216101.0
7.649,7.699,7.594,7.605,136329.0
7.604,7.696,7.591,7.594,100651.0
7.591,7.598,7.495,7.534,211365.0
7.536,7.602,7.467,7.57,239585.0
7.569,7.592,7.423,7.46,290232.0
7.459,7.483,7.189,7.275,566954.0
7.277,7.364,7.228,7.323,364466.0
7.322,7.356,7.195,7.244,181704.0
7.244,7.274,7.141,7.227,204951.0
7.226,7.264,7.084,7.106,302135.0
7.108,7.182,7.081,7.128,187940.0
7.13,7.204,7.0,7.095,358988.0
7.096,7.136,6.975,7.077,272090.0
7.076,7.096,6.92,7.055,239894.0
7.057,7.074,6.991,7.015,101619.0
7.016,7.07,6.92,7.057,279147.0
7.057,7.366,7.053,7.361,473278.0
7.359,7.452,7.339,7.354,274632.0
7.356,7.375,7.191,7.191,284022.0
7.191,7.28,7.191,7.212,203737.0
7.212,7.339,7.21,7.302,155295.0
7.304,7.351,7.262,7.288,146060.0
7.289,7.296,7.202,7.209,129918.0
7.21,7.259,7.183,7.253,166944.0
7.253,7.298,7.21,7.258,107121.0
7.259,7.302,7.23,7.278,75912.0
7.277,7.296,7.23,7.258,114662.0
7.26,7.454,7.223,7.337,370506.0
7.338,7.404,7.176,7.256,305063.0
7.257,7.462,7.236,7.46,321919.0
7.458,7.477,7.4,7.449,298133.0
7.449,7.608,7.439,7.553,287051.0
7.554,7.571,7.414,7.415,238354.0
7.416,7.437,7.359,7.368,156331.0
7.37,7.418,7.351,7.371,117688.0
7.373,7.409,7.328,7.34,138051.0
7.34,7.493,7.287,7.483,194211.0
7.486,7.704,7.42,7.684,332262.0
7.684,7.726,7.614,7.695,352038.0
7.695,7.697,7.592,7.627,259936.0
7.626,7.663,7.521,7.563,418696.0
7.562,7.637,7.541,7.558,264131.0
7.555,7.617,7.552,7.597,130370.0
7.596,7.61,7.477,7.477,177688.0
7.478,7.564,7.462,7.558,106105.0
7.558,7.582,7.496,7.543,100473.0
7.543,7.598,7.538,7.546,102755.0
7.549,7.616,7.519,7.61,82551.0
7.612,7.676,7.554,7.572,183675.0
7.574,7.586,7.474,7.544,144237.0
7.544,7.56,7.495,7.543,73766.0
7.543,7.551,7.45,7.5,112323.0
7.501,7.53,7.358,7.427,286943.0
7.427,7.561,7.305,7.448,328768.0
7.45,7.495,7.359,7.363,120828.0
7.362,7.478,7.344,7.451,137099.0
7.45,7.496,7.381,7.387,156191.0
7.386,7.406,7.301,7.306,196310.0
7.307,7.371,7.254,7.371,222720.0
7.371,7.397,7.331,7.379,94436.0
7.379,7.43,7.313,7.415,140657.0
7.415,7.467,7.342,7.398,138223.0
7.4,7.444,7.332,7.439,93360.0
7.439,7.583,7.399,7.419,206407.0
7.419,7.507,7.391,7.405,92116.0
7.407,7.444,7.381,7.401,88914.0
7.399,7.401,7.322,7.35,114062.0
7.352,7.361,7.29,7.328,83607.0
7.327,7.368,7.296,7.348,67089.0
7.348,7.366,7.332,7.359,59917.0
7.36,7.405,7.35,7.4,73692.0
7.4,7.4,7.323,7.34,52166.0
7.34,7.395,7.321,7.371,73655.0
7.371,7.393,7.338,7.379,99572.0
7.378,7.405,7.359,7.396,97224.0
7.396,7.399,7.33,7.338,80509.0
7.337,7.347,7.208,7.221,256896.0
7.221,7.313,7.205,7.307,174165.0
7.306,7.397,7.291,7.292,224883.0
7.292,7.348,7.263,7.333,202177.0
7.332,7.349,7.304,7.347,70558.0
7.348,7.387,7.332,7.347,126544.0
7.347,7.387,7.323,7.373,78678.0
7.373,7.406,7.343,7.381,119845.0
7.38,7.493,7.376,7.426,314487.0
7.425,7.425,7.369,7.384,85472.0
7.383,7.398,7.349,7.356,58095.0
7.356,7.425,7.328,7.411,105148.0
7.412,7.438,7.371,7.41,90894.0
7.41,7.413,7.352,7.366,74423.0
7.367,7.487,7.363,7.422,130414.0
7.425,7.438,7.38,7.393,123375.0
7.392,7.412,7.357,7.402,73855.0
7.403,7.406,7.372,7.382,76069.0
7.384,7.416,7.374,7.392,104600.0
7.393,7.463,7.388,7.415,114835.0
7.417,7.477,7.342,7.363,241774.0
7.365,7.366,7.297,7.301,177195.0
7.301,7.307,7.185,7.22,332119.0
7.219,7.242,7.126,7.169,216657.0
7.168,7.168,7.071,7.128,345692.0
7.127,7.151,7.021,7.053,206971.0
7.052,7.087,7.001,7.069,173841.0
7.069,7.083,7.02,7.042,159867.0
7.04,7.077,7.0,7.06,150316.0
7.059,7.062,7.003,7.027,94184.0
7.027,7.027,6.881,6.927,319238.0
6.926,6.927,6.822,6.857,350482.0
6.855,6.916,6.821,6.893,149083.0
6.893,6.916,6.786,6.852,210753.0
6.851,6.852,6.794,6.819,95239.0
6.82,6.899,6.811,6.862,227329.0
6.861,6.915,6.833,6.899,102088.0
6.899,6.954,6.867,6.944,90089.0
6.943,6.974,6.91,6.945,126810.0
6.945,6.987,6.917,6.923,74694.0
6.924,6.967,6.921,6.946,69091.0
6.945,6.962,6.892,6.921,78574.0
6.919,7.043,6.83,7.01,234390.0
7.01,7.078,6.925,6.942,151456.0
