open,high,low,close,volume
0.1417,0.1421,0.1412,0.1419,505023.0
0.1418,0.1422,0.1409,0.1418,749654.0
0.1419,0.1429,0.1417,0.1423,906463.0
0.1423,0.1424,0.1416,0.1418,516150.0
0.1418,0.1424,0.1417,0.1418,592240.0
0.1417,0.1421,0.1385,0.1387,1769617.0
0.1387,0.1397,0.1364,0.1379,3203572.0
0.1379,0.138,0.1351,0.1355,2255881.0
0.1355,0.1368,0.1348,0.1356,2619913.0
0.1356,0.1368,0.1344,0.1344,2972050.0
0.1345,0.1353,0.1334,0.1339,2142319.0
0.134,0.136,0.1333,0.1359,1729167.0
0.1359,0.1361,0.1345,0.1352,877271.0
0.1352,0.1359,0.1345,0.135,1035109.0
0.135,0.1367,0.1346,0.1364,947923.0
0.1364,0.1365,0.1347,0.1358,682436.0
0.1358,0.1375,0.1355,0.1366,687424.0
0.1367,0.1368,0.1359,0.1366,391629.0
0.1367,0.1374,0.1363,0.1366,477416.0
0.1366,0.1373,0.1362,0.1372,304709.0
0.1371,0.1374,0.1366,0.1371,300269.0
0.137,0.1371,0.1354,0.1354,598769.0
0.1355,0.1364,0.1348,0.1361,812403.0
0.136,0.1363,0.1346,0.1346,1388785.0
0.1347,0.1357,0.1346,0.1357,636406.0
0.1357,0.1358,0.135,0.1352,412396.0
0.1351,0.136,0.1349,0.1359,295348.0
0.1358,0.1361,0.135,0.1351,372499.0
0.1351,0.1352,0.1301,0.1303,2933404.0
0.1303,0.1304,0.1289,0.1291,1977196.0
0.1291,0.1297,0.1264,0.1267,3676096.0
0.1267,0.1275,0.1239,0.1266,4777233.0
0.1266,0.1288,0.125,0.1284,2471122.0
0.1284,0.1314,0.1275,0.1304,2282902.0
0.1305,0.1319,0.1292,0.1302,1446158.0
0.1302,0.1304,0.1291,0.1294,1236825.0
0.1295,0.1313,0.129,0.1297,1468887.0
0.1297,0.1298,0.1274,0.1278,1300059.0
0.1277,0.1289,0.1209,0.1225,6670039.0
0.1225,0.1229,0.105,0.1154,25190295.0
0.1154,0.1162,0.1123,0.116,7295200.0
0.116,0.116,0.1132,0.1144,4810763.0
0.1144,0.1166,0.1143,0.1152,3150134.0
0.1152,0.1165,0.1106,0.1138,9909510.0
0.1139,0.1145,0.1027,0.1102,27207184.0
0.1102,0.1166,0.1095,0.1155,8066243.0
0.1155,0.1157,0.1126,0.1138,5706101.0
0.1138,0.1151,0.1122,0.1143,3900370.0
0.1144,0.1144,0.1099,0.1109,7071260.0
0.1109,0.1112,0.1068,0.1111,10386638.0
0.111,0.112,0.1076,0.1084,11465820.0
0.1084,0.1159,0.107,0.1152,13681579.0
0.1152,0.1204,0.1151,0.1192,9098789.0
0.1193,0.1221,0.118,0.1214,7218581.0
0.1213,0.1238,0.1206,0.1208,7034017.0
0.1208,0.1232,0.1203,0.1218,3761456.0
0.1219,0.1221,0.1181,0.1181,4068433.0
0.118,0.1204,0.1173,0.1198,7264874.0
0.1198,0.1214,0.1198,0.1212,2995958.0
0.1212,0.1224,0.1197,0.1204,3001795.0
0.1204,0.1224,0.1202,0.122,1858446.0
0.122,0.1228,0.1201,0.1203,2261061.0
0.1203,0.1256,0.1198,0.1256,4927284.0
0.1256,0.1273,0.1239,0.1242,4246658.0
0.1243,0.1251,0.1238,0.1241,2160115.0
0.1241,0.1244,0.1237,0.1239,1165119.0
0.1239,0.1252,0.1234,0.1249,1768308.0
0.125,0.1264,0.1245,0.1261,1516066.0
0.1261,0.1273,0.1256,0.1268,1466955.0
0.1267,0.1277,0.1259,0.1271,1456920.0
0.1271,0.1274,0.1235,0.1244,2467352.0
0.1244,0.1247,0.1234,0.1246,1819198.0
0.1246,0.1249,0.1234,0.1241,1116912.0
0.124,0.1249,0.1233,0.1245,2114912.0
0.1245,0.1254,0.1238,0.1239,2544111.0
0.1239,0.1253,0.1226,0.1242,3908152.0
0.1242,0.1287,0.1241,0.1274,5475933.0
0.1274,0.1282,0.126,0.127,2608383.0
0.1269,0.128,0.126,0.1272,2279926.0
0.1272,0.1275,0.126,0.126,1519700.0
0.126,0.1274,0.126,0.1264,1330976.0
0.1265,0.127,0.1254,0.1258,1238902.0
0.1258,0.1266,0.1252,0.1261,2022138.0
0.1261,0.1265,0.1254,0.1263,732349.0
0.1263,0.1275,0.1252,0.1259,1950752.0
0.1258,0.1261,0.1248,0.1255,884533.0
0.1254,0.1268,0.1245,0.1264,2796798.0
0.1262,0.1277,0.1248,0.1275,3781547.0
0.1275,0.1285,0.1264,0.1271,1995497.0
0.1271,0.1281,0.127,0.1276,1332811.0
0.1275,0.1288,0.1274,0.1284,1144398.0
0.1285,0.129,0.1278,0.128,989927.0
0.1279,0.1287,0.1274,0.1276,1006758.0
0.1277,0.1282,0.1272,0.1278,822432.0
0.1277,0.1286,0.1275,0.1281,918619.0
0.1282,0.1324,0.1281,0.1303,11345041.0
0.1304,0.1313,0.1296,0.1298,3370522.0
0.1298,0.13,0.1282,0.1284,3244047.0
0.1284,0.1305,0.1281,0.1303,2005694.0
0.1303,0.1308,0.1287,0.1291,3018523.0
0.1291,0.1295,0.1238,0.1259,6496644.0
0.1259,0.1276,0.1253,0.1265,2664271.0
0.1264,0.1267,0.1248,0.1256,2580619.0
0.1256,0.1263,0.1238,0.1249,2173529.0
0.1249,0.1251,0.1227,0.1231,2541180.0
0.1232,0.1239,0.1224,0.1238,1529252.0
0.1237,0.1249,0.1218,0.1236,2872555.0
0.1237,0.1244,0.1231,0.1241,1280392.0
0.124,0.1242,0.122,0.1238,2208024.0
0.1238,0.1241,0.1226,0.1232,1033574.0
0.1233,0.1235,0.1201,0.1223,4837628.0
0.1223,0.127,0.1222,0.1268,4140159.0
0.1267,0.1295,0.1267,0.1289,2394684.0
0.129,0.1297,0.1277,0.1278,1012158.0
0.1278,0.1294,0.1277,0.1283,1150258.0
0.1283,0.1293,0.1282,0.129,553617.0
0.129,0.1297,0.1284,0.1289,1330138.0
0.1289,0.1292,0.1283,0.1285,935348.0
0.1285,0.1292,0.1284,0.1288,574851.0
0.1288,0.1293,0.1279,0.1285,779119.0
0.1284,0.1287,0.128,0.1285,767777.0
0.1285,0.129,0.1283,0.1287,553521.0
0.1287,0.1324,0.1282,0.1299,2505972.0
0.1298,0.1305,0.1279,0.1292,2275455.0
0.1292,0.1314,0.129,0.1314,1640966.0
0.1314,0.1325,0.1308,0.1324,1915232.0
0.1324,0.1334,0.1319,0.1328,2695117.0
0.1329,0.1337,0.1324,0.1326,968691.0
0.1325,0.1331,0.1323,0.1323,942151.0
0.1323,0.1328,0.1321,0.1325,750250.0
0.1325,0.1334,0.1324,0.1331,728990.0
0.1332,0.1356,0.1329,0.1354,1518722.0
0.1355,0.1368,0.1343,0.1364,1935835.0
0.1364,0.1368,0.1352,0.1362,2009136.0
0.1361,0.1363,0.134,0.1346,2921800.0
0.1345,0.1351,0.1341,0.1348,733737.0
0.1349,0.1352,0.1344,0.1346,571093.0
0.1347,0.1352,0.1345,0.1348,437781.0
0.1348,0.135,0.1333,0.1334,744072.0
0.1334,0.1342,0.1331,0.1342,960783.0
0.1341,0.1352,0.134,0.1347,555248.0
0.1346,0.1355,0.1345,0.1347,805575.0
0.1347,0.1358,0.1345,0.1358,897360.0
0.1357,0.1361,0.1346,0.1348,1208212.0
0.1349,0.1354,0.1337,0.1346,1065383.0
0.1346,0.1351,0.1342,0.1347,486548.0
0.1347,0.135,0.1337,0.1345,538120.0
0.1345,0.1348,0.133,0.1344,1361822.0
0.1344,0.1361,0.1326,0.1346,2001117.0
0.1345,0.1349,0.1329,0.1329,834021.0
0.133,0.1344,0.1328,0.1341,1174357.0
0.134,0.1348,0.1338,0.134,537635.0
0.134,0.1346,0.1336,0.1346,509667.0
0.1346,0.1348,0.1342,0.1347,365737.0
0.1346,0.1351,0.1342,0.1345,665285.0
0.1345,0.1348,0.1334,0.1347,581604.0
0.1347,0.1353,0.1339,0.1346,744923.0
0.1346,0.1355,0.1341,0.1354,591900.0
0.1353,0.1368,0.1342,0.1346,1388964.0
0.1347,0.1357,0.1343,0.1347,651975.0
0.1347,0.1355,0.1345,0.1352,494315.0
0.1351,0.1352,0.1344,0.1349,446791.0
0.1348,0.1349,0.1338,0.1344,463929.0
0.1344,0.1347,0.134,0.1344,357191.0
0.1343,0.135,0.1341,0.1349,495411.0
0.135,0.1357,0.1345,0.1356,525394.0
0.1355,0.1359,0.135,0.1352,692736.0
0.1351,0.1359,0.1349,0.1354,336609.0
0.1355,0.1363,0.1351,0.1361,452940.0
0.1362,0.1365,0.136,0.1363,268149.0
0.1362,0.1363,0.1351,0.1353,546367.0
0.1352,0.1355,0.1326,0.1328,7065702.0
0.1328,0.1335,0.1323,0.1333,1289052.0
0.1333,0.1342,0.1331,0.1336,1239606.0
0.1335,0.134,0.1332,0.1335,884278.0
0.1336,0.1344,0.1334,0.1343,730388.0
0.1343,0.1347,0.1338,0.1341,851783.0
0.134,0.1348,0.1338,0.1343,601653.0
0.1343,0.135,0.1343,0.1348,854066.0
0.1348,0.1352,0.1347,0.135,494344.0
0.135,0.1355,0.1347,0.1353,551336.0
0.1353,0.1358,0.135,0.1356,1127405.0
0.1356,0.1358,0.1349,0.1353,825783.0
0.1354,0.1356,0.1345,0.1348,959305.0
0.1348,0.1353,0.1346,0.1346,358730.0
0.1346,0.1361,0.1346,0.135,631917.0
0.1351,0.1356,0.1348,0.1348,703003.0
0.1348,0.1351,0.1343,0.1347,486080.0
0.1348,0.1355,0.1343,0.1349,627267.0
0.1348,0.1354,0.1347,0.135,445075.0
0.135,0.1361,0.1347,0.1355,631816.0
0.1355,0.137,0.1333,0.1338,7634070.0
0.1339,0.1343,0.1332,0.1335,1543047.0
0.1335,0.1336,0.1311,0.1323,3955527.0
0.1323,0.1326,0.1312,0.1318,1059995.0
0.1317,0.1317,0.1302,0.1311,1006469.0
0.1312,0.1319,0.1299,0.1303,1236940.0
0.1303,0.1308,0.1291,0.1297,1294764.0
0.1298,0.1302,0.1292,0.1296,1161494.0
0.1296,0.1302,0.1292,0.1297,526180.0
0.1296,0.1301,0.1291,0.1294,643221.0
0.1294,0.1295,0.1273,0.1275,1220413.0
0.1275,0.1279,0.1262,0.1264,1703727.0
0.1264,0.1271,0.1257,0.1267,676738.0
0.1266,0.1271,0.1244,0.126,2109197.0
0.1259,0.1259,0.1246,0.1256,583882.0
0.1256,0.1275,0.1255,0.127,2145429.0
0.127,0.1276,0.1263,0.1274,1134479.0
0.1274,0.128,0.1267,0.1278,613009.0
0.1278,0.1282,0.1268,0.1269,706572.0
0.127,0.1279,0.1269,0.1272,491037.0
0.1271,0.1275,0.1268,0.1273,603544.0
0.1272,0.1273,0.1257,0.126,817639.0
0.1259,0.1279,0.124,0.1277,3810281.0
0.1276,0.1292,0.1265,0.1266,1389801.0
0.1267,0.128,0.1267,0.1278,1034764.0
0.1278,0.1294,0.1274,0.1293,923224.0
0.1293,0.132,0.1292,0.1319,1371762.0
0.1318,0.1323,0.1308,0.1313,1296455.0
0.1312,0.1317,0.1269,0.1274,2321804.0
0.1274,0.1326,0.1262,0.1323,3506463.0
0.1323,0.1328,0.1296,0.1318,2443627.0
0.1319,0.1326,0.1311,0.1316,1315337.0
0.1316,0.1325,0.1313,0.1316,1048388.0
0.1316,0.132,0.1293,0.1295,1103758.0
0.1295,0.1308,0.1294,0.1298,1079088.0
0.1299,0.1306,0.1292,0.1294,906922.0
0.1294,0.1295,0.1283,0.1293,791964.0
0.1294,0.13,0.129,0.1295,633475.0
0.1295,0.1316,0.1295,0.1304,1196345.0
0.1305,0.1311,0.13,0.1305,1083838.0
0.1305,0.1308,0.1298,0.1307,966065.0
0.1307,0.1308,0.1289,0.13,1287313.0
0.1299,0.13,0.128,0.1284,1540542.0
0.1284,0.129,0.1278,0.129,678266.0
0.1289,0.1298,0.1287,0.1293,576508.0
0.1292,0.1301,0.1287,0.13,529512.0
0.1299,0.13,0.1291,0.1292,413882.0
0.1292,0.1305,0.1281,0.1285,3056227.0
0.1285,0.1287,0.1275,0.1287,864221.0
0.1286,0.1292,0.1277,0.129,944235.0
0.129,0.129,0.1283,0.129,455072.0
0.129,0.1302,0.1284,0.1299,1364542.0
0.1299,0.131,0.1292,0.1308,936988.0
0.1308,0.1312,0.1295,0.1307,981299.0
0.1306,0.131,0.1296,0.1302,1080764.0
0.1303,0.1338,0.1301,0.1338,1522236.0
0.1338,0.1344,0.1333,0.1341,1074846.0
0.1341,0.1342,0.1331,0.1336,763863.0
0.1336,0.1338,0.1322,0.1335,874705.0
0.1336,0.1337,0.1326,0.1327,514487.0
0.1328,0.134,0.1328,0.1337,824272.0
0.1337,0.1338,0.1329,0.1329,755273.0
0.1329,0.1332,0.1324,0.133,1144405.0
0.1329,0.1335,0.1324,0.133,1148393.0
0.1329,0.1329,0.1312,0.1313,1038143.0
0.1313,0.1322,0.1309,0.1319,651152.0
0.132,0.133,0.1319,0.1323,496447.0
0.1322,0.1323,0.1313,0.1314,626086.0
0.1313,0.1319,0.1306,0.1306,487605.0
0.1306,0.1312,0.13,0.1305,957782.0
0.1305,0.1313,0.1301,0.1311,503024.0
0.1311,0.1314,0.1305,0.1309,440042.0
0.1309,0.1316,0.1308,0.1314,447274.0
0.1314,0.1325,0.1312,0.1315,838187.0
0.1315,0.1316,0.1307,0.131,672339.0
0.131,0.1329,0.1302,0.1321,2289085.0
0.132,0.1323,0.1283,0.1288,1632699.0
0.1288,0.1294,0.127,0.1291,1591735.0
0.1291,0.1299,0.1282,0.1292,1280944.0
0.1291,0.1292,0.1274,0.1279,1089275.0
0.1279,0.1281,0.1274,0.1276,777343.0
0.1275,0.1279,0.1268,0.1274,1502774.0
0.1273,0.1275,0.1264,0.1267,1001503.0
0.1267,0.1269,0.1263,0.1263,722174.0
0.1263,0.1265,0.1258,0.126,1379762.0
0.126,0.1267,0.1251,0.1267,1170719.0
0.1266,0.1267,0.126,0.1264,1123831.0
0.1263,0.1284,0.1263,0.1279,1598512.0
0.1279,0.1281,0.1269,0.1271,1179109.0
0.1272,0.1281,0.1267,0.1277,1807898.0
0.1276,0.1282,0.1274,0.1277,1419999.0
0.1277,0.1278,0.1267,0.1273,685818.0
0.1273,0.1275,0.1261,0.1264,776452.0
0.1264,0.1268,0.1257,0.126,954210.0
0.126,0.1268,0.1256,0.1263,1023489.0
0.1264,0.1271,0.1259,0.1269,706814.0
0.127,0.1275,0.1269,0.1269,391563.0
0.1269,0.1271,0.1264,0.1265,437663.0
0.1266,0.128,0.1265,0.128,614883.0
0.128,0.1289,0.1275,0.1281,1713234.0
0.128,0.1288,0.1274,0.1285,1445503.0
0.1284,0.1294,0.1282,0.1282,1063697.0
0.1282,0.1292,0.1281,0.1289,741479.0
0.1288,0.129,0.1276,0.1281,634461.0
0.1281,0.1281,0.1251,0.1253,1108905.0
0.1253,0.1253,0.1223,0.1236,3113402.0
0.1235,0.1237,0.1219,0.1234,3200789.0
0.1234,0.1234,0.1218,0.1231,2133435.0
0.1231,0.1235,0.1226,0.1235,910839.0
0.1235,0.1251,0.1228,0.1247,1483231.0
0.1247,0.1255,0.1244,0.1249,1073116.0
0.1248,0.1255,0.1247,0.1249,1251499.0
0.1249,0.125,0.1229,0.1236,948012.0
0.1236,0.1254,0.1227,0.1239,1250876.0
0.124,0.124,0.1231,0.1232,1018859.0
0.1233,0.1241,0.1228,0.1239,560179.0
0.1239,0.1241,0.1235,0.1237,384326.0
0.1237,0.1255,0.1236,0.1251,804598.0
0.125,0.1251,0.1238,0.1244,618723.0
0.1244,0.1247,0.1241,0.1242,445946.0
0.1243,0.1249,0.1242,0.1249,348807.0
0.1249,0.1249,0.1243,0.1245,412107.0
0.1244,0.1247,0.1237,0.1239,512119.0
0.1239,0.1242,0.1213,0.1223,3292726.0
0.1222,0.1249,0.1221,0.1234,2103332.0
0.1233,0.1237,0.1214,0.1217,1545451.0
0.1217,0.1225,0.1205,0.1215,1346011.0
0.1215,0.1232,0.1213,0.1224,2254350.0
0.1224,0.1231,0.1208,0.123,2093882.0
0.123,0.1236,0.1223,0.1227,1346860.0
0.1228,0.1232,0.1224,0.1225,890961.0
0.1226,0.1236,0.1225,0.123,1151024.0
0.1231,0.1236,0.1229,0.1233,609351.0
0.1233,0.1237,0.1232,0.1236,532384.0
0.1236,0.1238,0.1229,0.1232,454552.0
0.1232,0.1233,0.1222,0.123,562221.0
0.123,0.1235,0.1228,0.1229,689017.0
0.1229,0.1237,0.1229,0.1232,601731.0
0.1233,0.1235,0.1226,0.1227,514984.0
0.1228,0.1232,0.1227,0.1232,229031.0
0.1231,0.1236,0.1229,0.1236,234632.0
0.1235,0.1237,0.1229,0.1229,515550.0
0.123,0.1236,0.1228,0.1235,244773.0
0.1236,0.1238,0.1233,0.1237,347534.0
0.1237,0.1239,0.1231,0.1238,413229.0
0.1238,0.1241,0.1232,0.1233,684398.0
0.1233,0.1235,0.123,0.1235,288679.0
0.1234,0.1236,0.1231,0.1235,858937.0
0.1234,0.1241,0.1232,0.1234,559848.0
0.1233,0.1239,0.1231,0.1237,422901.0
0.1238,0.1242,0.1234,0.1234,493331.0
0.1235,0.1246,0.1234,0.1246,695291.0
0.1245,0.125,0.1245,0.1247,475873.0
0.1246,0.1247,0.1236,0.1241,661092.0
0.124,0.1244,0.1238,0.1244,442032.0
0.1243,0.1244,0.1236,0.1241,621360.0
0.124,0.1242,0.1235,0.1242,399749.0
0.1242,0.1246,0.1241,0.1245,354164.0
0.1245,0.125,0.1244,0.125,696225.0
0.1249,0.1254,0.1246,0.125,715750.0
0.1249,0.1252,0.1243,0.1246,449103.0
0.1245,0.1256,0.1241,0.1254,655005.0
