open,high,low,close,volume
1.2691,1.272,1.265,1.2668,132022.0
1.2665,1.2736,1.263,1.27,150005.0
1.2699,1.29,1.269,1.2841,376944.0
1.2842,1.2849,1.271,1.2817,200534.0
1.2818,1.2848,1.2677,1.2693,193240.0
1.2694,1.2729,1.2249,1.2294,786196.0
1.2294,1.2421,1.2119,1.2219,1466235.0
1.2221,1.2229,1.1932,1.197,785205.0
1.197,1.2018,1.1801,1.1844,652130.0
1.1847,1.1944,1.1756,1.1766,456129.0
1.1764,1.1924,1.173,1.1786,517081.0
1.1787,1.2052,1.1736,1.2051,511928.0
1.2052,1.2063,1.1944,1.203,372786.0
1.2032,1.2103,1.195,1.2023,329272.0
1.202,1.2098,1.1923,1.201,555310.0
1.2011,1.202,1.1877,1.1998,258106.0
1.1997,1.217,1.1993,1.2092,316968.0
1.2093,1.2112,1.2019,1.2071,243259.0
1.2076,1.2139,1.201,1.2013,172800.0
1.2016,1.2116,1.2007,1.208,136969.0
1.208,1.2113,1.2023,1.2035,234070.0
1.2039,1.2039,1.1852,1.1912,341440.0
1.1912,1.2026,1.1841,1.1944,468648.0
1.1947,1.1996,1.1918,1.1926,147274.0
1.1926,1.1955,1.1862,1.195,154118.0
1.195,1.1987,1.1896,1.1926,162412.0
1.1926,1.2,1.1898,1.1989,158859.0
1.1991,1.2017,1.1908,1.1938,162486.0
1.1936,1.1945,1.1547,1.1584,958433.0
1.1586,1.1591,1.1268,1.1285,929351.0
1.1289,1.1364,1.0969,1.1,1322865.0
1.0998,1.1126,1.0782,1.106,1639399.0
1.106,1.1265,1.0925,1.121,1020222.0
1.121,1.1523,1.1117,1.1444,728791.0
1.1442,1.151,1.1193,1.1329,626678.0
1.1332,1.1365,1.1224,1.1258,326420.0
1.1259,1.1417,1.1219,1.1253,474008.0
1.1254,1.1258,1.0976,1.1005,535216.0
1.1007,1.1144,1.046,1.0594,2427134.0
1.0591,1.0628,0.9146,1.0041,9618055.0
1.0041,1.0189,0.9796,1.018,2665438.0
1.0172,1.0182,0.9936,1.001,1526273.0
1.0009,1.024,0.9988,1.0057,1363330.0
1.0062,1.0127,0.9661,0.988,2912943.0
0.988,0.9948,0.9033,0.9602,6213323.0
0.96,1.0165,0.9541,1.0116,2293701.0
1.012,1.0131,0.979,0.9868,2055751.0
0.987,1.0006,0.9704,0.988,1338723.0
0.9879,0.9886,0.9492,0.9531,1598441.0
0.9532,0.954,0.9179,0.9518,2515704.0
0.9517,0.9631,0.9222,0.928,2665870.0
0.9279,0.9988,0.912,0.9941,3634694.0
