open,high,low,close,volume
0.1397,0.14,0.1393,0.1394,729994.4
0.1394,0.1402,0.1392,0.1399,990270.4
0.1399,0.1409,0.1393,0.1404,1671072.9
0.1404,0.1405,0.1395,0.1402,1097462.1
0.1402,0.1407,0.1394,0.1394,1149148.6
0.1394,0.1396,0.1351,0.1353,4880728.9
0.1353,0.1367,0.1334,0.135,8627002.6
0.135,0.1351,0.1325,0.1334,4933971.6
0.1334,0.1338,0.1317,0.1324,5832763.1
0.1324,0.1339,0.1323,0.1323,3212304.9
0.1323,0.1339,0.1317,0.1327,2859823.6
0.1327,0.1341,0.1324,0.1339,2775620.3
0.134,0.1346,0.1334,0.1341,1455475.6
0.1342,0.1348,0.1333,0.134,1988905.9
0.134,0.1356,0.1338,0.1353,2215700.6
0.1352,0.1353,0.1335,0.1346,1068514.9
0.1347,0.1366,0.1345,0.1358,915516.9
0.1359,0.1361,0.135,0.1354,848470.6
0.1355,0.1359,0.1348,0.135,466111.1
0.1349,0.1357,0.1346,0.1352,538363.4
0.1352,0.136,0.1352,0.1355,849174.8
0.1355,0.1357,0.1337,0.134,1016091.1
0.134,0.1355,0.1333,0.1347,1326302.2
0.1349,0.1352,0.1343,0.1348,871700.3
0.1349,0.1352,0.1337,0.1352,1315809.2
0.1352,0.1357,0.1344,0.1349,1213639.2
0.1349,0.1364,0.1343,0.1363,1306710.9
0.1363,0.1368,0.1351,0.1351,1433723.1
0.1351,0.1352,0.1308,0.1313,5104602.8
0.1313,0.1314,0.1291,0.1292,5585043.0
0.1292,0.1302,0.1266,0.1271,8259155.6
0.127,0.1276,0.1235,0.1264,10427050.3
0.1264,0.1288,0.1248,0.1282,4691736.3
0.1282,0.1321,0.1272,0.1314,4859170.1
0.1314,0.1333,0.1302,0.1312,2935485.2
0.1312,0.1312,0.1295,0.1299,1254211.7
0.1298,0.1315,0.1296,0.13,1947203.0
0.1299,0.13,0.1271,0.1277,2487506.6
0.1276,0.1289,0.1195,0.1214,17537987.0
0.1214,0.1219,0.1057,0.1138,63071881.1
0.1138,0.1146,0.1104,0.1144,16475039.3
0.1144,0.1145,0.1118,0.1127,7436727.5
0.1127,0.1149,0.1126,0.1138,6813823.7
0.1138,0.1147,0.1091,0.1121,19597165.0
0.1121,0.1127,0.1028,0.1094,54916676.7
0.1094,0.1155,0.1088,0.1142,20342647.9
0.1142,0.1144,0.1112,0.1122,9628146.8
0.1122,0.1132,0.1105,0.1128,8023605.6
0.1128,0.1131,0.1087,0.1098,10702775.0
0.1098,0.1107,0.1063,0.1106,11549540.3
0.1105,0.1119,0.1077,0.1087,16170311.5
0.1086,0.1161,0.107,0.1154,26527140.5
0.1155,0.1214,0.1154,0.1198,17539490.5
0.12,0.1224,0.1186,0.1217,6449302.7
0.1217,0.1245,0.1209,0.1214,8174798.3
0.1213,0.1238,0.1207,0.1226,5578079.6
0.1226,0.1228,0.1187,0.1188,5701307.0
0.1188,0.1212,0.1184,0.1201,8848784.3
0.1201,0.1216,0.1197,0.1205,4545807.8
0.1206,0.1223,0.1196,0.1203,5370738.8
0.1203,0.122,0.1199,0.1216,2518307.6
0.1217,0.1226,0.1202,0.1203,3035430.3
0.1203,0.126,0.1201,0.1259,7882962.9
0.1259,0.1276,0.1245,0.1251,4390546.5
0.125,0.1254,0.1241,0.1247,2318262.3
0.1248,0.1253,0.1242,0.1244,1791454.2
0.1244,0.1263,0.1239,0.126,2301924.6
0.1261,0.1276,0.1255,0.1275,2550921.1
0.1274,0.1287,0.1269,0.1279,2657298.8
0.1279,0.1283,0.127,0.1281,1874345.3
0.1281,0.1283,0.124,0.125,4434900.0
0.1249,0.1254,0.1241,0.1251,2851735.1
0.1252,0.1255,0.1237,0.1248,2389979.5
0.1247,0.1252,0.1237,0.1245,3251353.6
0.1245,0.1253,0.1237,0.1242,2319463.1
0.1241,0.1254,0.1227,0.1244,5616330.9
0.1243,0.1294,0.1243,0.1274,6745942.0
0.1275,0.1282,0.1258,0.1273,2904582.5
0.1273,0.1281,0.1261,0.1272,3310608.6
0.1271,0.1278,0.1255,0.1256,2389276.2
0.1256,0.1271,0.1255,0.1257,1988884.2
0.1256,0.1266,0.1254,0.1257,1237049.0
0.1257,0.1265,0.125,0.126,2135300.9
0.1261,0.1268,0.1254,0.1267,1050594.4
0.1267,0.1278,0.1254,0.1264,2358947.4
0.1264,0.1265,0.1251,0.1258,1466630.0
0.1257,0.1274,0.1249,0.1265,3100932.9
0.1265,0.1284,0.1251,0.1282,3543070.1
0.1282,0.1296,0.127,0.1278,2199866.5
