open,high,low,close,volume
0.318,0.3194,0.3164,0.319,213267.0
0.3189,0.321,0.3185,0.3202,118969.0
0.3201,0.3239,0.3196,0.3212,284924.0
0.3211,0.3218,0.3189,0.3199,378388.0
0.3198,0.3211,0.3176,0.3178,586029.0
0.318,0.3186,0.3104,0.3109,755451.0
0.3109,0.3126,0.3056,0.3079,1119353.0
0.3078,0.308,0.3004,0.3013,848345.0
0.3015,0.3036,0.2983,0.2994,822317.0
0.2995,0.3013,0.2977,0.2977,509555.0
0.2978,0.301,0.2958,0.2964,859485.0
0.2964,0.3005,0.2938,0.2999,505823.0
0.3,0.3014,0.298,0.2986,285872.0
0.2989,0.3016,0.2968,0.2992,333332.0
0.2992,0.3024,0.2977,0.3013,360415.0
0.3014,0.302,0.298,0.3012,202005.0
0.3013,0.3056,0.3009,0.3032,297625.0
0.3033,0.3034,0.3008,0.302,111816.0
0.3018,0.3029,0.2997,0.2997,122488.0
0.2999,0.303,0.2991,0.3025,266345.0
0.3024,0.3032,0.3014,0.3026,206466.0
0.3026,0.305,0.2994,0.3,2145060.0
0.2999,0.3036,0.2981,0.3025,504395.0
0.3027,0.3032,0.3011,0.3014,191613.0
0.3013,0.3029,0.3001,0.3029,330707.0
0.3028,0.3032,0.3008,0.3017,216987.0
0.3018,0.304,0.301,0.3036,221745.0
0.3038,0.3043,0.3015,0.3015,438398.0
0.3015,0.3021,0.2905,0.292,1701647.0
0.292,0.2922,0.2874,0.288,874845.0
0.288,0.2905,0.2821,0.2827,1169466.0
0.2824,0.2843,0.2712,0.2789,2960736.0
0.279,0.2854,0.2753,0.285,788257.0
0.285,0.293,0.2824,0.2908,1015852.0
0.2908,0.2941,0.2868,0.2898,550856.0
0.2898,0.2898,0.2854,0.2862,343559.0
0.2863,0.2898,0.285,0.2868,617278.0
0.2869,0.2869,0.2811,0.2822,416052.0
0.282,0.2849,0.2655,0.269,2749224.0
0.269,0.2701,0.2384,0.253,8253284.0
0.2529,0.2546,0.2458,0.2538,3222026.0
0.2538,0.254,0.2474,0.249,1134471.0
0.2489,0.2544,0.2482,0.2505,878540.0
0.2505,0.2536,0.2403,0.248,3311151.0
0.2479,0.2494,0.2255,0.24,6954759.0
0.24,0.2535,0.2383,0.2511,2182525.0
0.2512,0.2523,0.245,0.2477,1259539.0
0.2478,0.251,0.2432,0.2483,1619107.0
0.2483,0.2483,0.2381,0.2404,1857972.0
0.2405,0.2417,0.2325,0.2414,2636917.0
0.2414,0.2434,0.233,0.2346,3273126.0
0.2346,0.2531,0.2313,0.2522,4719148.0
0.2523,0.2645,0.2522,0.2613,3421867.0
0.2617,0.2673,0.2586,0.2654,1300748.0
0.2654,0.2721,0.2639,0.2651,1806822.0
0.2652,0.2698,0.2632,0.2666,977656.0
0.2666,0.2667,0.2569,0.2572,1094329.0
0.2572,0.2617,0.2555,0.2596,1245226.0
0.2596,0.2633,0.259,0.2614,704769.0
0.2613,0.2658,0.2588,0.2607,737908.0
0.2607,0.2645,0.2595,0.2627,495900.0
0.2629,0.2655,0.2594,0.2596,594151.0
0.2596,0.2734,0.2591,0.2734,1163958.0
0.2734,0.2766,0.2704,0.2728,1264979.0
0.2728,0.2743,0.2712,0.2729,512353.0
0.2729,0.2737,0.2707,0.2722,332650.0
0.2722,0.2751,0.2701,0.2741,393742.0
0.274,0.2784,0.2732,0.278,444850.0
0.2778,0.2802,0.2764,0.2789,592227.0
0.2787,0.2805,0.2763,0.2798,401998.0
0.2797,0.2797,0.27,0.2727,690082.0
0.2727,0.274,0.2703,0.2738,594330.0
0.2739,0.2745,0.2714,0.2727,358955.0
0.2727,0.2745,0.2711,0.2726,307959.0
0.2724,0.2744,0.2696,0.271,306123.0
0.2707,0.2727,0.2673,0.2715,866286.0
0.2716,0.2838,0.2712,0.2789,1486287.0
0.279,0.2814,0.2759,0.2799,535503.0
0.2798,0.2838,0.2785,0.282,494735.0
0.2819,0.2832,0.2796,0.2796,328809.0
0.2796,0.2838,0.2796,0.2813,369153.0
0.2812,0.284,0.2803,0.2816,300740.0
0.2815,0.2825,0.2787,0.2803,792271.0
0.2803,0.2815,0.2789,0.2812,309000.0
0.2811,0.284,0.2783,0.2803,570938.0
0.2802,0.2812,0.2775,0.279,353577.0
0.279,0.2825,0.2764,0.2806,1116267.0
0.2806,0.2856,0.2773,0.2852,1079457.0
0.2851,0.2864,0.28,0.2815,1118820.0
0.2817,0.2843,0.2812,0.2834,218007.0
0.2833,0.2865,0.283,0.2847,367458.0
0.2848,0.2876,0.2838,0.2838,433603.0
0.2837,0.2851,0.2824,0.2831,316746.0
0.2833,0.2842,0.2811,0.2826,645251.0
0.2825,0.2846,0.2813,0.2836,318720.0
0.2837,0.2868,0.2826,0.2843,414167.0
0.2843,0.2878,0.2832,0.2836,367589.0
0.2835,0.2841,0.2798,0.2802,392685.0
0.2803,0.2817,0.2778,0.2811,501101.0
0.2809,0.2823,0.2773,0.2782,511494.0
0.2783,0.2791,0.2661,0.2706,1356921.0
0.2706,0.2734,0.269,0.271,426338.0
0.2709,0.272,0.2679,0.2695,623143.0
0.2695,0.2709,0.2652,0.2685,399786.0
0.2685,0.269,0.2627,0.2643,911467.0
0.2645,0.2667,0.2634,0.2656,504194.0
0.2655,0.2679,0.2605,0.2651,831689.0
0.2653,0.2672,0.2633,0.2656,456867.0
0.2657,0.2658,0.2605,0.2651,413896.0
0.2653,0.266,0.2621,0.2633,256048.0
0.2634,0.265,0.2593,0.2633,585349.0
0.2633,0.2754,0.2631,0.2747,1146263.0
0.2746,0.2807,0.2746,0.2788,529649.0
0.2789,0.2805,0.2766,0.2766,261354.0
0.2766,0.2806,0.2766,0.2772,464599.0
0.2772,0.2813,0.2772,0.2803,246764.0
0.2803,0.2823,0.2788,0.2813,304095.0
0.2813,0.2817,0.278,0.2781,380579.0
0.2782,0.2805,0.2779,0.2801,536419.0
0.2801,0.2819,0.2783,0.2799,241959.0
0.2799,0.2805,0.2785,0.2795,362742.0
0.2795,0.2815,0.2793,0.2803,219873.0
0.2801,0.29,0.2793,0.2829,1260275.0
0.2831,0.2858,0.2786,0.2817,738323.0
0.2817,0.2893,0.2814,0.2891,826762.0
0.289,0.2936,0.2875,0.2933,713363.0
0.2933,0.2998,0.293,0.2966,1571311.0
0.2967,0.2978,0.2927,0.293,413744.0
0.2929,0.2951,0.2927,0.2947,262116.0
0.2947,0.295,0.2922,0.2931,334375.0
0.2931,0.2952,0.2927,0.2947,241065.0
0.2947,0.3014,0.2939,0.3011,419011.0
0.3012,0.3058,0.298,0.3047,675576.0
0.3047,0.3062,0.3028,0.3051,474171.0
0.3048,0.3056,0.3015,0.303,526517.0
0.3028,0.303,0.301,0.3014,232957.0
0.3014,0.3016,0.3001,0.3004,209527.0
0.3004,0.3021,0.3002,0.3015,139023.0
0.3015,0.3016,0.2951,0.2952,342978.0
0.2951,0.2978,0.294,0.2968,208817.0
0.2969,0.2987,0.2965,0.298,217630.0
0.2979,0.2997,0.297,0.2974,464745.0
0.2975,0.2984,0.2949,0.298,354143.0
0.2981,0.2992,0.2945,0.2951,237905.0
0.2952,0.2965,0.2925,0.2953,402306.0
0.2955,0.2962,0.2937,0.2948,149635.0
0.2949,0.2955,0.2922,0.2936,184159.0
0.2936,0.2947,0.2898,0.2937,381158.0
0.2936,0.2983,0.288,0.2927,762717.0
0.2928,0.2937,0.2888,0.2891,276408.0
