open,high,low,close,volume
2.6248,2.6289,2.5882,2.5913,485606.0
2.5913,2.6019,2.583,2.5891,497531.0
2.5889,2.6272,2.5854,2.5893,773745.0
2.589,2.5986,2.5722,2.5869,651759.0
2.5869,2.599,2.561,2.5658,1015909.0
2.5661,2.5685,2.46,2.463,2766723.0
2.4629,2.4668,2.394,2.416,3500078.0
2.4163,2.4237,2.3409,2.3469,2303206.0
2.3474,2.372,2.3176,2.3379,1746417.0
2.338,2.384,2.3296,2.339,1336364.0
2.3392,2.3742,2.3153,2.3447,1418577.0
2.3446,2.3839,2.3368,2.3746,809894.0
2.375,2.3955,2.3534,2.3882,759670.0
2.3887,2.4054,2.3813,2.3912,854180.0
2.391,2.4299,2.3907,2.407,1055775.0
2.4071,2.4124,2.3752,2.404,749944.0
2.4037,2.4511,2.4037,2.436,845567.0
2.4363,2.4481,2.4222,2.4248,738624.0
2.4248,2.4304,2.3931,2.3942,595568.0
2.394,2.4195,2.3927,2.3998,698959.0
2.3994,2.4065,2.3885,2.3953,393450.0
2.3953,2.3993,2.3716,2.3878,675343.0
2.3878,2.4024,2.3665,2.3828,723393.0
2.3828,2.3933,2.3758,2.3825,339087.0
2.3817,2.3898,2.3615,2.3859,483125.0
2.3863,2.3944,2.3652,2.3707,371437.0
2.3705,2.3884,2.3613,2.3852,381193.0
2.3854,2.3893,2.36,2.361,417503.0
2.3611,2.3678,2.2832,2.314,2021587.0
2.314,2.315,2.2613,2.2663,1419876.0
2.2664,2.2874,2.2174,2.2241,1747916.0
2.2239,2.2489,2.1763,2.22,2544192.0
2.2206,2.3212,2.1985,2.3045,1785213.0
2.3037,2.372,2.3012,2.3591,1924592.0
2.3588,2.4153,2.3522,2.3711,1354784.0
2.3713,2.3784,2.339,2.3484,608863.0
2.3483,2.3819,2.331,2.3384,699737.0
2.3383,2.3433,2.3025,2.3262,755845.0
2.3263,2.3559,2.2,2.2486,4467897.0
2.2481,2.2577,1.96,2.1399,9554608.0
2.1398,2.1519,2.0615,2.1463,2751576.0
2.146,2.1477,2.0762,2.079,2064837.0
2.0792,2.169,2.0713,2.1238,2693131.0
2.1243,2.1347,2.0113,2.0765,3679942.0
2.0769,2.096,1.8918,2.0355,7228042.0
2.0349,2.1584,2.0166,2.1336,2885877.0
2.1337,2.1443,2.0971,2.1288,1778470.0
2.1288,2.1785,2.1086,2.1574,1926382.0
2.1571,2.1581,2.0623,2.079,2832099.0
2.0783,2.1058,2.0006,2.0998,3291488.0
2.0985,2.1384,2.0373,2.0375,3822597.0
2.0372,2.15,1.997,2.1372,5277293.0
2.137,2.3856,2.1369,2.3633,5938352.0
2.3629,2.4098,2.2895,2.3117,5444099.0
2.3114,2.3593,2.2598,2.2713,3471669.0
2.2717,2.3062,2.2616,2.2834,1577527.0
2.2836,2.2842,2.2026,2.2039,1310108.0
2.2044,2.2577,2.2024,2.2285,1573089.0
2.2292,2.2668,2.2286,2.2376,1058044.0
