open,high,low,close,volume
0.8969,0.9036,0.8933,0.9017,1509798.0
0.9016,0.9068,0.8993,0.9035,2552490.0
0.9036,0.9177,0.9009,0.9067,3012361.0
0.9067,0.9081,0.8963,0.9017,2163476.0
0.9017,0.9091,0.8957,0.8984,1797239.0
0.8986,0.902,0.8581,0.8596,9176061.0
0.8595,0.8663,0.8423,0.8506,11886163.0
0.8506,0.8524,0.8245,0.8286,9845098.0
0.8289,0.8316,0.8134,0.8214,7538596.0
0.8214,0.8334,0.8166,0.8168,5564350.0
0.8169,0.8282,0.8119,0.8154,4583960.0
0.8154,0.8364,0.8123,0.8332,4484013.0
0.8333,0.8377,0.8282,0.8338,2404521.0
0.834,0.8444,0.831,0.8355,2870563.0
0.8355,0.8467,0.8318,0.8455,2676026.0
0.8456,0.8461,0.8327,0.844,1725156.0
0.8437,0.8567,0.8427,0.8519,2470048.0
0.852,0.8535,0.8458,0.8506,1870211.0
0.8505,0.8521,0.8412,0.8413,1248625.0
0.8413,0.8514,0.8411,0.8463,1107929.0
0.8463,0.849,0.8422,0.8467,948050.0
0.8467,0.8473,0.8302,0.8318,2409261.0
0.8317,0.8433,0.8245,0.8407,2864158.0
0.8408,0.8505,0.839,0.8484,2050302.0
0.8484,0.8528,0.8419,0.8524,2045474.0
0.8525,0.8578,0.8476,0.8504,2771653.0
0.8504,0.8662,0.8484,0.866,2148649.0
0.8659,0.8701,0.8557,0.8596,3973455.0
0.8596,0.8616,0.822,0.8266,9197316.0
0.8267,0.8269,0.8027,0.804,9768435.0
0.8042,0.8151,0.7824,0.7849,12886208.0
0.785,0.7981,0.7661,0.7878,15313869.0
0.7878,0.8302,0.784,0.8231,11377895.0
0.8232,0.8488,0.8169,0.8404,8604408.0
0.8402,0.8554,0.8377,0.8502,5687077.0
0.8504,0.8509,0.8351,0.8389,3837914.0
0.8389,0.855,0.8338,0.8461,5679238.0
0.846,0.8468,0.8183,0.825,5460278.0
0.8249,0.8319,0.7801,0.7911,17349014.0
0.7911,0.7951,0.7118,0.7758,43676811.0
0.7759,0.7822,0.7469,0.7807,18898310.0
0.7807,0.7809,0.754,0.7555,10912553.0
0.7555,0.7802,0.7462,0.7532,15061249.0
0.7531,0.7555,0.7094,0.7259,31824647.0
0.726,0.7318,0.6624,0.7098,49475495.0
0.7098,0.7489,0.7023,0.7412,20014580.0
0.7414,0.7426,0.7202,0.7273,11549334.0
0.7274,0.7333,0.7111,0.7216,9295156.0
0.7213,0.7245,0.6866,0.6936,15475356.0
0.6935,0.6968,0.6632,0.6943,19679858.0
0.6942,0.7049,0.6684,0.6713,21415665.0
0.6712,0.7285,0.6578,0.7232,30920807.0
0.7235,0.7661,0.7235,0.7563,23913706.0
0.7566,0.7684,0.7448,0.7522,15339374.0
0.7522,0.7775,0.748,0.7501,15530213.0
0.7502,0.7685,0.7466,0.7641,7053737.0
0.7642,0.7644,0.7298,0.7306,7730346.0
0.7307,0.7453,0.7286,0.7387,8919107.0
0.7386,0.7518,0.7384,0.7474,5496004.0
0.7474,0.7644,0.735,0.7382,6012139.0
0.7383,0.7546,0.7365,0.7481,4743439.0
0.7482,0.7599,0.7345,0.7359,3704354.0
0.736,0.788,0.733,0.7878,11416794.0
0.7875,0.799,0.7758,0.7838,7076246.0
0.7839,0.81,0.7814,0.8008,7875379.0
0.8006,0.8026,0.7876,0.7978,4132522.0
0.7978,0.8126,0.7914,0.8113,4120516.0
0.8112,0.8367,0.804,0.8367,5846504.0
0.8366,0.842,0.8234,0.824,7178884.0
0.824,0.8329,0.8173,0.8318,5597998.0
0.8317,0.832,0.7959,0.8025,8689398.0
0.8026,0.8093,0.7938,0.8086,5951200.0
0.8086,0.8114,0.7964,0.8088,4336203.0
0.8089,0.8198,0.8022,0.811,3748910.0
0.8111,0.8187,0.8,0.8038,5027766.0
0.8037,0.814,0.7885,0.8064,10360047.0
0.8064,0.8442,0.8029,0.83,12749552.0
0.8301,0.8428,0.8212,0.8399,5519331.0
0.8399,0.8546,0.8334,0.85,7384349.0
0.85,0.8585,0.8372,0.8374,4770091.0
0.8373,0.856,0.8359,0.8456,3961124.0
0.8456,0.851,0.8372,0.8418,3595163.0
0.8417,0.8507,0.8355,0.8472,5009977.0
0.8472,0.8528,0.8403,0.8504,2981790.0
0.8503,0.8655,0.8378,0.8424,6049186.0
0.8424,0.8436,0.8227,0.8278,4223326.0
0.8278,0.8355,0.815,0.825,6674012.0
0.8249,0.8573,0.8144,0.8563,7484334.0
0.8563,0.8729,0.8449,0.858,7635800.0
0.8579,0.8764,0.8557,0.8742,5926041.0
0.8742,0.8979,0.8704,0.8856,8367908.0
0.8856,0.8994,0.8825,0.8848,5597316.0
0.8849,0.89,0.875,0.877,5770055.0
0.8769,0.887,0.8711,0.8815,5331800.0
0.8813,0.8971,0.8739,0.8948,6152002.0
0.8946,0.8998,0.8819,0.8824,5936406.0
0.8824,0.8944,0.875,0.8751,5357584.0
0.8751,0.8769,0.8631,0.8667,6587723.0
0.867,0.8768,0.8574,0.8755,6799013.0
0.8753,0.8802,0.8589,0.8615,7134952.0
0.8614,0.8654,0.8211,0.834,14518987.0
0.834,0.8465,0.8286,0.8416,7167683.0
0.8416,0.8429,0.8227,0.8282,9364338.0
0.8282,0.8325,0.815,0.8234,6295577.0
0.8235,0.8251,0.8056,0.8068,7628895.0
0.8069,0.8171,0.8024,0.8051,4514097.0
0.8051,0.8158,0.7931,0.8017,9840146.0
0.8022,0.8155,0.799,0.8076,4808106.0
0.8077,0.8089,0.7867,0.8006,5950943.0
0.8007,0.8057,0.7905,0.7933,2580446.0
0.7932,0.7983,0.7725,0.7881,8343331.0
0.7882,0.8285,0.7861,0.827,11368240.0
0.8269,0.8511,0.8267,0.8457,7729023.0
0.8459,0.8601,0.8409,0.8414,5782400.0
0.8414,0.8535,0.8389,0.8392,4511815.0
0.8393,0.8473,0.8381,0.8432,3369594.0
0.8432,0.853,0.8383,0.8482,3191021.0
0.8482,0.8623,0.8435,0.8475,6959066.0
0.8475,0.8596,0.8471,0.8559,3717557.0
0.8558,0.8648,0.8492,0.8586,2988165.0
0.8588,0.8622,0.8532,0.8591,2254825.0
0.859,0.8602,0.85,0.8555,3136363.0
0.8556,0.888,0.8485,0.8684,11006735.0
0.8683,0.8863,0.8512,0.8584,9454043.0
0.8585,0.8929,0.856,0.8911,8053636.0
0.891,0.8929,0.8761,0.8885,5181108.0
0.8887,0.9,0.8787,0.8791,7423150.0
0.8791,0.881,0.8626,0.8637,4322439.0
0.8637,0.8681,0.8596,0.8642,2910988.0
0.864,0.8655,0.8541,0.8568,2038789.0
0.8568,0.8657,0.8549,0.8604,2333523.0
0.8603,0.8918,0.8602,0.8908,4477850.0
0.8908,0.9116,0.8809,0.9059,5676685.0
0.906,0.9148,0.9016,0.9119,5239018.0
0.9119,0.9147,0.8968,0.8988,5599678.0
0.8986,0.8989,0.8854,0.8859,3330548.0
0.886,0.8893,0.8754,0.8762,2661135.0
0.8762,0.8886,0.8748,0.8778,2690993.0
0.8778,0.8807,0.8619,0.8623,3931565.0
0.8622,0.8778,0.8615,0.8753,3066718.0
0.8753,0.8844,0.8712,0.8795,2583866.0
0.8796,0.8915,0.8792,0.8811,2766250.0
0.8812,0.8918,0.877,0.8886,2367868.0
0.8885,0.8904,0.8716,0.8751,3196351.0
0.8753,0.8782,0.8642,0.8692,3548091.0
0.8694,0.8722,0.8615,0.8701,2499479.0
0.8702,0.8715,0.8615,0.8668,2729079.0
0.8669,0.8716,0.8486,0.8632,4929438.0
0.8633,0.8787,0.8449,0.8581,8197700.0
0.8581,0.8625,0.8428,0.8429,3631945.0
0.8428,0.8562,0.8402,0.8541,3378666.0
0.8541,0.8619,0.851,0.8549,2224760.0
0.8549,0.8577,0.8466,0.8571,1563052.0
0.8571,0.8614,0.8524,0.8582,1641816.0
0.8582,0.8679,0.856,0.8613,2410971.0
0.8612,0.867,0.8519,0.8661,2066076.0
0.866,0.8764,0.8581,0.8725,2957295.0
0.8725,0.8841,0.8647,0.8824,3619802.0
0.8822,0.8987,0.8732,0.88,6108161.0
0.8799,0.8918,0.875,0.8792,2984833.0
0.8794,0.8851,0.8742,0.8745,2291824.0
0.8744,0.8752,0.863,0.8677,3176819.0
0.8678,0.8686,0.8555,0.8597,1881939.0
0.8597,0.8678,0.8576,0.8639,1354155.0
0.864,0.8677,0.8616,0.8647,1190033.0
0.8647,0.8736,0.8618,0.8734,1719118.0
0.8734,0.8747,0.8635,0.8641,1624159.0
0.864,0.8744,0.8639,0.8694,1529289.0
0.8695,0.8743,0.8637,0.8645,1579170.0
0.8645,0.8671,0.8608,0.8662,1464261.0
0.866,0.8709,0.8641,0.8662,1634119.0
0.866,0.8686,0.8578,0.858,2162467.0
0.8581,0.8644,0.8561,0.86,1937101.0
0.8601,0.8696,0.8585,0.8619,1783594.0
0.8619,0.8648,0.8559,0.8606,1582553.0
0.8606,0.8639,0.8542,0.8629,1736448.0
0.8627,0.8689,0.8592,0.8618,2156181.0
0.8619,0.8687,0.8585,0.8627,1251566.0
