open,high,low,close,volume
0.3557,0.3563,0.3539,0.3557,379202.4
0.3556,0.3564,0.3547,0.3549,370450.4
0.355,0.3577,0.3543,0.3557,658913.7
0.3557,0.356,0.354,0.3545,324591.5
0.3545,0.3557,0.353,0.3533,357683.7
0.3534,0.3535,0.3416,0.342,1612351.9
0.3421,0.3438,0.336,0.3394,3283114.5
0.3394,0.3395,0.3325,0.3337,2039932.1
0.3336,0.3345,0.3295,0.3311,2197021.2
0.3312,0.3336,0.3289,0.329,1549344.3
0.3291,0.3319,0.3265,0.3282,1606198.6
0.3283,0.3341,0.327,0.3336,1293561.2
0.3336,0.3348,0.3316,0.3328,596211.1
0.3328,0.3353,0.3314,0.3341,618810.9
0.3341,0.3367,0.333,0.3365,792031.4
0.3366,0.3368,0.3321,0.3356,612777.6
0.3357,0.3392,0.335,0.3379,515917.3
0.338,0.3382,0.3359,0.3372,333539.6
0.3373,0.3381,0.335,0.3354,486760.6
0.3353,0.3373,0.335,0.3366,356130.9
0.3366,0.3377,0.3362,0.3374,288260.4
0.3375,0.3376,0.3327,0.3327,516257.0
0.3327,0.3362,0.3312,0.3349,743536.3
0.335,0.3366,0.3348,0.3357,455347.8
0.3356,0.337,0.3341,0.3367,450485.4
0.3368,0.3376,0.3344,0.335,1032336.3
0.335,0.3369,0.3345,0.3368,383395.1
0.3369,0.3375,0.335,0.3352,426036.5
0.3351,0.3356,0.3232,0.3244,2878012.6
0.3246,0.3246,0.3196,0.3201,2083906.6
0.3201,0.3208,0.312,0.3129,3013697.4
0.3126,0.3134,0.3021,0.3097,5497474.3
0.3098,0.3141,0.3052,0.3138,2835986.0
0.3137,0.3199,0.3106,0.3179,1699848.3
0.3178,0.3205,0.3137,0.3164,1144114.5
0.3163,0.3166,0.3138,0.3145,749828.1
0.3146,0.3184,0.3135,0.3153,1185184.3
0.3153,0.3154,0.3093,0.3104,1342644.2
0.3104,0.3126,0.2934,0.2964,5829799.5
0.2964,0.2975,0.2576,0.277,18838117.9
0.277,0.278,0.2685,0.2775,8513834.4
0.2774,0.2778,0.2697,0.2708,4692284.5
0.2707,0.2755,0.2682,0.2705,3450577.1
0.2706,0.2732,0.2598,0.2669,7511864.7
0.2669,0.2686,0.2449,0.2585,20318551.6
0.2586,0.2737,0.2575,0.2714,7755562.9
0.2713,0.2715,0.2636,0.2663,4408141.2
0.2662,0.2686,0.2616,0.2664,2951849.1
0.2664,0.2665,0.2557,0.2573,4666085.4
0.2573,0.2589,0.249,0.2587,6196295.3
0.2586,0.2621,0.2516,0.2538,7309563.9
0.2539,0.2709,0.2491,0.2696,11139812.4
0.2697,0.2818,0.2697,0.2787,7792078.0
0.2788,0.2834,0.2756,0.2827,3320321.7
0.2827,0.287,0.2806,0.281,4547344.4
0.281,0.2868,0.2801,0.2845,2373388.1
0.2846,0.2852,0.2748,0.275,2899270.4
0.275,0.2802,0.2733,0.2781,3616305.7
0.2781,0.283,0.2781,0.2819,2010617.1
0.2819,0.2868,0.2795,0.2818,2890943.6
0.2819,0.2874,0.2813,0.2859,1767372.0
0.2861,0.2888,0.2811,0.2823,1518946.1
0.2823,0.2971,0.2817,0.2969,3264152.0
0.2969,0.3008,0.2927,0.2947,2242854.1
0.2947,0.2963,0.293,0.2955,1160129.9
0.2954,0.2955,0.2932,0.294,735743.2
0.2941,0.2965,0.2925,0.2963,989985.3
0.2963,0.3,0.2949,0.2996,1005795.8
0.2996,0.3017,0.2978,0.2998,1399903.8
0.2998,0.3026,0.2986,0.3016,1172841.1
0.3016,0.3018,0.2922,0.2944,1843800.2
0.2944,0.2956,0.2921,0.2948,1480410.8
0.2949,0.2963,0.2927,0.2941,814591.1
0.294,0.2948,0.292,0.293,1150030.2
