open,high,low,close,volume
0.1308,0.131,0.1305,0.1308,445234.9
0.1307,0.1307,0.1301,0.1305,445581.3
0.1306,0.1316,0.1304,0.131,872127.6
0.131,0.1317,0.1307,0.1308,660318.7
0.1308,0.1312,0.1305,0.1307,1038401.0
0.1307,0.1311,0.1282,0.1284,2927032.7
0.1284,0.1293,0.127,0.1275,5005677.5
0.1275,0.1279,0.1259,0.1262,4659311.4
0.1263,0.1264,0.1246,0.1259,3547974.4
0.1261,0.1269,0.1257,0.1257,2010477.2
0.1256,0.127,0.1252,0.1261,1755510.8
0.1262,0.1271,0.1255,0.127,1642459.9
0.1271,0.1278,0.1266,0.1271,1393808.7
0.1271,0.1282,0.1269,0.1277,1175776.6
0.1277,0.1287,0.1273,0.1284,1189809.5
0.1283,0.1286,0.1274,0.128,1060345.0
0.1281,0.1292,0.1281,0.1284,1264468.2
0.1285,0.1286,0.1277,0.1279,698359.8
0.1279,0.1282,0.1271,0.1271,699936.4
0.1272,0.1279,0.1269,0.1274,869773.9
0.1274,0.1278,0.1271,0.1275,707732.5
0.1274,0.1275,0.1256,0.126,1756694.4
0.1259,0.1269,0.1253,0.1258,2052212.2
0.1258,0.1264,0.1255,0.1256,1224213.7
0.1256,0.1258,0.125,0.1255,1653933.9
0.1256,0.1259,0.1249,0.1254,1928476.3
0.1254,0.1264,0.1253,0.1263,1003056.9
0.1263,0.1265,0.1256,0.1257,827868.3
0.1258,0.1258,0.1229,0.1232,3166180.2
0.1231,0.1231,0.1211,0.1213,2558601.4
0.1213,0.1219,0.1202,0.1204,4027918.7
0.1205,0.121,0.1184,0.1203,6415617.7
0.1202,0.1216,0.1194,0.1215,2916638.6
0.1215,0.1247,0.121,0.1243,2735526.0
0.1243,0.1252,0.1234,0.1241,1899752.3
0.124,0.1247,0.1236,0.1241,1261686.0
0.124,0.1257,0.1236,0.1245,1818074.4
0.1245,0.1246,0.1222,0.1223,1639558.1
0.1224,0.1234,0.1151,0.1163,9627745.5
0.1163,0.1166,0.1031,0.1112,26693433.1
0.1113,0.1113,0.1075,0.1105,9699199.2
0.1106,0.1106,0.1081,0.1083,6999149.2
0.1083,0.1101,0.1081,0.109,4054801.2
0.109,0.1097,0.1049,0.1069,8562537.4
0.1069,0.1076,0.0982,0.1044,23293125.7
0.1043,0.1101,0.1039,0.1091,8034587.0
0.1091,0.1098,0.1077,0.1092,5374296.9
0.1092,0.1112,0.1086,0.1103,4527228.7
0.1102,0.1102,0.1054,0.1063,6649821.7
0.1063,0.1063,0.1033,0.1058,7988439.4
0.1058,0.1065,0.1029,0.1035,9796042.6
0.1035,0.1114,0.1026,0.1111,18997445.7
0.1111,0.1164,0.1111,0.1157,12238270.2
0.1158,0.1187,0.115,0.1184,7682050.9
0.1185,0.1211,0.1179,0.1179,6414255.8
0.118,0.1195,0.1173,0.1182,4489835.3
0.1182,0.1184,0.1143,0.1144,4805622.2
0.1144,0.1165,0.1139,0.1162,4690751.1
0.1163,0.1176,0.1156,0.1164,3016699.6
0.1164,0.1183,0.1155,0.1166,3572707.6
0.1166,0.1184,0.1163,0.1183,1522097.5
0.1184,0.1194,0.1165,0.1166,1961081.1
0.1166,0.1218,0.1165,0.1217,4665863.9
0.1217,0.123,0.1201,0.1202,4344499.3
0.1202,0.1209,0.1196,0.1205,2163388.8
0.1206,0.1209,0.1201,0.1204,2175844.9
0.1205,0.1218,0.12,0.1213,2059674.4
0.1213,0.1233,0.1207,0.1231,1975463.7
0.1231,0.1239,0.1227,0.1231,2286645.0
