open,high,low,close,volume
0.486,0.4882,0.4842,0.4864,273149.0
0.4864,0.4864,0.4838,0.4842,164248.0
0.4842,0.4888,0.4831,0.4858,260567.0
0.4859,0.4864,0.4831,0.4843,138805.0
0.4841,0.4867,0.4838,0.4842,283456.0
0.4841,0.4852,0.4701,0.4708,496731.0
0.4708,0.4748,0.4629,0.4696,1357412.0
0.4696,0.4696,0.4597,0.4633,829031.0
0.4634,0.466,0.457,0.4587,915887.0
0.4587,0.4619,0.4556,0.4558,608182.0
0.4558,0.4613,0.4535,0.4564,475290.0
0.4564,0.4631,0.455,0.4622,418393.0
0.4622,0.4661,0.4608,0.4626,321216.0
0.4627,0.4649,0.4597,0.4638,344995.0
0.4637,0.4667,0.4608,0.4659,411205.0
0.4661,0.4664,0.4603,0.4635,209446.0
0.4634,0.4705,0.4632,0.468,306805.0
0.468,0.4682,0.4651,0.467,238965.0
0.467,0.4688,0.4633,0.4637,168472.0
0.4637,0.4695,0.4635,0.4692,129138.0
0.469,0.4692,0.4664,0.467,153324.0
0.467,0.4671,0.4606,0.4611,199120.0
0.461,0.4667,0.4579,0.4637,295769.0
0.4638,0.4651,0.462,0.462,282322.0
0.462,0.4641,0.4607,0.464,115458.0
0.4639,0.4687,0.463,0.4651,493106.0
0.4651,0.4679,0.4639,0.4675,127551.0
0.4674,0.4682,0.4643,0.4663,136308.0
0.4663,0.4698,0.4498,0.4515,1220830.0
0.4514,0.4515,0.4437,0.4444,570105.0
0.4447,0.4482,0.4363,0.4373,741354.0
0.4368,0.4392,0.427,0.4363,1231044.0
0.4363,0.4432,0.4298,0.4422,748811.0
0.4423,0.4519,0.4383,0.4487,520585.0
0.4487,0.4542,0.4445,0.4478,470207.0
0.4479,0.4495,0.4453,0.4466,309564.0
0.4467,0.4519,0.4449,0.4471,526435.0
0.4471,0.4472,0.4382,0.4389,352006.0
0.439,0.4405,0.4146,0.4199,2370518.0
0.4198,0.4212,0.37,0.3963,6891196.0
0.3962,0.3984,0.3845,0.3977,2552846.0
0.3975,0.3978,0.3875,0.3904,2330870.0
0.3905,0.3981,0.3889,0.3926,1500486.0
0.3928,0.395,0.3775,0.3872,3063178.0
0.3872,0.3893,0.354,0.3784,7286814.0
0.3784,0.3996,0.3758,0.3957,2548188.0
0.3959,0.3965,0.3853,0.3887,1512931.0
0.3889,0.3935,0.3825,0.3878,1754857.0
0.3878,0.388,0.3732,0.3747,1985710.0
0.3746,0.3763,0.3612,0.3757,2623061.0
0.3758,0.3794,0.3635,0.3658,3271490.0
0.3657,0.3885,0.3589,0.3868,3514505.0
0.3871,0.4013,0.387,0.3966,2790437.0
0.3965,0.4035,0.3929,0.4011,1764016.0
0.4011,0.411,0.3992,0.401,2045158.0
0.4009,0.4081,0.4002,0.4043,1181191.0
0.4044,0.4054,0.3915,0.3917,1117245.0
0.3918,0.3992,0.3896,0.3977,1335340.0
0.3979,0.4038,0.3974,0.401,818615.0
0.4009,0.4056,0.397,0.3989,791414.0
0.3992,0.4058,0.3979,0.4034,524259.0
0.4034,0.4069,0.3988,0.3991,530652.0
0.3993,0.4172,0.3982,0.4164,1439829.0
0.4164,0.4211,0.4117,0.4136,1170799.0
0.4134,0.4155,0.4109,0.414,542117.0
0.414,0.4151,0.4116,0.4137,443127.0
0.4139,0.4181,0.4127,0.4164,479233.0
0.4164,0.4221,0.4147,0.4213,429050.0
0.4212,0.4225,0.4175,0.4183,534577.0
0.4181,0.4205,0.4156,0.4202,573236.0
0.4199,0.42,0.408,0.4111,1008295.0
0.4113,0.4141,0.4083,0.4133,562295.0
0.4134,0.4148,0.4097,0.4131,348001.0
0.4129,0.4131,0.4096,0.4107,389199.0
0.4107,0.4125,0.4068,0.4081,394676.0
0.408,0.4108,0.4029,0.4073,687121.0
0.4072,0.4216,0.4071,0.4162,1523449.0
0.4162,0.4182,0.4111,0.416,523129.0
0.4161,0.4202,0.4138,0.4176,537082.0
0.4175,0.42,0.4149,0.4149,418483.0
0.4149,0.4209,0.4149,0.4184,404112.0
0.4185,0.4211,0.4169,0.418,302207.0
0.4178,0.42,0.4152,0.4182,389877.0
0.4184,0.42,0.4161,0.4196,218229.0
0.4196,0.4229,0.4152,0.4193,1019982.0
0.4194,0.4204,0.4158,0.4188,230170.0
0.4186,0.4216,0.4146,0.4193,1114308.0
0.4193,0.4256,0.4152,0.4247,1225736.0
0.4248,0.4278,0.4202,0.4232,872908.0
0.4231,0.4267,0.423,0.4257,327728.0
0.4257,0.4288,0.4244,0.4249,466444.0
0.4248,0.4278,0.4235,0.4242,422360.0
0.4241,0.4262,0.4234,0.4243,287794.0
0.4242,0.4252,0.4208,0.424,327632.0
0.4239,0.4252,0.421,0.4237,380616.0
0.4238,0.428,0.4219,0.4249,663527.0
0.4249,0.4293,0.4233,0.4246,349633.0
0.4245,0.4252,0.4216,0.4221,342898.0
0.4222,0.4245,0.4197,0.4223,492126.0
0.4221,0.4248,0.4186,0.4195,605878.0
0.4194,0.4211,0.4046,0.4115,1492110.0
0.4114,0.4137,0.4087,0.4118,716431.0
0.4117,0.4129,0.4082,0.4099,673339.0
0.41,0.4114,0.404,0.4076,755928.0
0.4076,0.409,0.4013,0.4026,642200.0
0.4027,0.4054,0.4007,0.4043,396447.0
0.404,0.4086,0.3986,0.405,735864.0
0.4051,0.4075,0.403,0.4061,351015.0
0.4061,0.4073,0.3996,0.4069,442894.0
0.407,0.4079,0.4021,0.4039,340265.0
0.4039,0.4048,0.3968,0.4016,854287.0
0.4017,0.4168,0.4016,0.4164,1106972.0
0.4162,0.4218,0.4159,0.4203,960992.0
0.4205,0.4222,0.416,0.4162,324179.0
0.416,0.4196,0.4155,0.4158,302628.0
0.4158,0.4205,0.4154,0.4196,234140.0
0.4197,0.4213,0.4173,0.4193,210576.0
0.4193,0.4206,0.4181,0.419,172161.0
0.4189,0.421,0.4183,0.4197,226644.0
0.4199,0.4216,0.4181,0.4196,197654.0
0.4196,0.4216,0.4177,0.4192,280448.0
0.4192,0.421,0.4192,0.4197,316798.0
0.4197,0.4297,0.4179,0.4226,840643.0
0.4226,0.4259,0.4181,0.4221,585674.0
0.4218,0.4314,0.4211,0.4309,684284.0
0.4309,0.4332,0.429,0.4326,462151.0
0.4327,0.4378,0.4323,0.4352,662567.0
0.4352,0.4374,0.433,0.4333,290118.0
0.4332,0.4341,0.4324,0.4329,216244.0
0.4328,0.4352,0.4322,0.433,235606.0
0.433,0.4338,0.4317,0.4317,257185.0
0.4316,0.4407,0.4316,0.4401,301315.0
0.4402,0.4451,0.4365,0.4438,795662.0
0.4439,0.4456,0.4417,0.4436,536765.0
0.4435,0.4451,0.4402,0.4412,624237.0
0.4414,0.4422,0.4394,0.4413,339896.0
0.4413,0.4416,0.4383,0.4395,173052.0
0.4397,0.4416,0.4393,0.4407,155348.0
0.4406,0.4413,0.4357,0.4361,283789.0
0.4361,0.439,0.4349,0.4383,250263.0
0.4384,0.4404,0.4373,0.4395,178440.0
0.4395,0.4414,0.4384,0.4391,156058.0
0.4392,0.4416,0.4378,0.441,132649.0
0.441,0.4419,0.4366,0.4375,362108.0
0.4375,0.4377,0.4331,0.4359,358289.0
0.4361,0.4372,0.4352,0.4362,165501.0
0.4362,0.4377,0.4343,0.4358,344720.0
