open,high,low,close,volume
1.4017,1.4073,1.3913,1.3992,1887695.0
1.3991,1.4068,1.3978,1.402,1102418.0
1.4019,1.4207,1.3979,1.4049,2195167.0
1.4049,1.4116,1.395,1.4024,920485.0
1.402,1.4126,1.3968,1.3985,1028792.0
1.3985,1.4071,1.3461,1.349,5604543.0
1.3491,1.3525,1.3049,1.3268,8232352.0
1.3268,1.3279,1.2862,1.2906,3325251.0
1.291,1.3008,1.2701,1.289,3132812.0
1.289,1.3079,1.2857,1.2864,2565390.0
1.2863,1.3073,1.2811,1.2911,1866702.0
1.2909,1.3136,1.2862,1.308,1621222.0
1.3081,1.3129,1.2978,1.2998,994438.0
1.3,1.309,1.2912,1.2969,1398638.0
1.2966,1.3146,1.2939,1.3105,836046.0
1.3111,1.3185,1.3,1.3149,1435107.0
1.3148,1.3342,1.314,1.3307,1364286.0
1.3311,1.3343,1.3227,1.3327,1029561.0
1.3334,1.3435,1.3287,1.3298,1080209.0
1.3304,1.3404,1.3241,1.3332,1058176.0
1.3331,1.3396,1.328,1.3365,568530.0
1.3369,1.3382,1.3201,1.324,762024.0
1.3241,1.3384,1.3162,1.3351,1145704.0
1.3352,1.3424,1.3315,1.3333,679669.0
1.3333,1.3382,1.3266,1.338,547984.0
1.3379,1.3416,1.3312,1.3348,592079.0
1.335,1.3511,1.3348,1.3499,588753.0
1.3499,1.353,1.3381,1.3394,561889.0
1.339,1.3408,1.293,1.3042,3016919.0
1.3043,1.305,1.2675,1.273,2836916.0
1.2733,1.2844,1.254,1.2569,3446840.0
1.2565,1.2571,1.1843,1.219,9719740.0
1.2191,1.2366,1.1951,1.2351,3357823.0
1.2349,1.2731,1.2156,1.2652,3201927.0
1.2651,1.2679,1.2388,1.2494,2670194.0
1.2495,1.2518,1.2356,1.2412,875460.0
1.2413,1.2607,1.239,1.2419,1239909.0
1.2419,1.243,1.2096,1.2165,1712860.0
1.2164,1.2323,1.1294,1.1612,7551207.0
1.1609,1.1647,0.9938,1.069,25296260.0
1.0689,1.0753,1.0386,1.0629,9202206.0
1.0628,1.064,1.0308,1.0363,6436814.0
1.0362,1.055,1.0141,1.0422,7124645.0
1.0423,1.0474,1.001,1.0191,8692586.0
1.0196,1.0256,0.9301,0.976,18338006.0
0.9759,1.0197,0.9691,1.0108,9509757.0
1.0109,1.0129,0.9729,0.9863,5698268.0
0.9863,0.9918,0.9571,0.977,4616772.0
0.977,0.9771,0.9409,0.9476,5521620.0
0.9475,0.949,0.9116,0.9454,8817638.0
0.9453,0.9544,0.9158,0.9231,7925572.0
0.923,0.9741,0.8934,0.9648,13749974.0
0.9652,1.005,0.9651,0.9856,12140716.0
0.9857,1.0042,0.975,0.9972,7171575.0
0.997,1.0427,0.9894,1.0018,10991848.0
1.0021,1.0238,0.9919,1.0102,5144830.0
1.0103,1.0125,0.9784,0.9805,4111759.0
0.9805,1.0147,0.9801,1.0102,5276780.0
1.0098,1.0284,1.0057,1.0185,3741525.0
1.0185,1.04,1.0099,1.0178,2886799.0
1.0179,1.0436,1.0153,1.0417,2992097.0
1.0418,1.0546,1.0292,1.0376,3955379.0
1.0378,1.1236,1.0369,1.1197,7480263.0
1.1196,1.1336,1.1004,1.1164,5560595.0
1.1162,1.1236,1.1059,1.1108,1779160.0
1.1105,1.1125,1.0891,1.0929,2416028.0
1.0928,1.1185,1.0879,1.1163,2279104.0
1.1161,1.1388,1.1079,1.1348,2532847.0
1.1344,1.1579,1.1269,1.1535,2632856.0
1.1533,1.1573,1.1317,1.1555,2572719.0
1.1555,1.1587,1.1078,1.1181,5598552.0
1.1184,1.1291,1.1082,1.1216,2860600.0
1.1219,1.1265,1.1074,1.1106,1910007.0
1.1106,1.1152,1.1001,1.103,1854250.0
1.1031,1.1195,1.0973,1.1078,2318656.0
1.1075,1.1278,1.0969,1.1177,3973049.0
1.1175,1.1736,1.1166,1.1615,5559921.0
1.1616,1.1766,1.1322,1.1521,3763380.0
1.1521,1.1533,1.1293,1.1405,2439839.0
1.1405,1.1511,1.1319,1.1327,1588696.0
1.1327,1.145,1.128,1.1287,1545030.0
1.1285,1.1426,1.125,1.1272,2047051.0
1.1271,1.1393,1.1207,1.1264,1922086.0
1.1264,1.1317,1.1175,1.1308,792121.0
1.1307,1.144,1.1172,1.1268,1879128.0
1.1269,1.1302,1.1139,1.1205,1173377.0
1.1201,1.1394,1.1126,1.1315,2032929.0
1.1312,1.1623,1.116,1.1582,2328764.0
1.1581,1.171,1.1329,1.1427,2929852.0
1.1422,1.1496,1.1325,1.1386,1127813.0
