open,high,low,close,volume
12.05,12.101,12.039,12.048,244579.85
12.047,12.07,12.027,12.033,180912.46
12.033,12.127,12.009,12.089,418298.53
12.088,12.111,12.047,12.063,240519.68
12.062,12.104,12.005,12.016,292851.56
12.016,12.042,11.778,11.808,921573.86
11.807,11.846,11.63,11.723,1993107.26
11.725,11.734,11.46,11.513,1521829.95
11.512,11.61,11.425,11.469,1040049.23
11.47,11.543,11.369,11.383,775706.58
11.384,11.564,11.335,11.47,733747.08
11.47,11.666,11.375,11.666,611845.28
11.666,11.729,11.623,11.717,494288.33
11.717,11.769,11.656,11.681,398212.21
11.681,11.73,11.627,11.709,378683.2
11.71,11.721,11.575,11.681,350414.71
11.682,11.781,11.667,11.719,359651.2
11.718,11.752,11.684,11.731,203202.51
11.73,11.76,11.685,11.7,241128.64
11.7,11.78,11.688,11.728,185857.43
11.726,11.762,11.707,11.719,191129.97
11.719,11.723,11.555,11.572,429466.74
11.572,11.659,11.5,11.613,390131.92
11.615,11.655,11.576,11.577,256364.97
11.577,11.603,11.52,11.582,322656.58
11.583,11.629,11.55,11.562,314721.35
11.562,11.632,11.554,11.611,269910.28
11.61,11.626,11.515,11.515,234783.54
11.515,11.528,11.161,11.225,1867928.23
11.226,11.227,10.997,11.023,1597865.46
11.024,11.12,10.85,10.873,1767237.02
10.871,10.888,10.478,10.696,3278693.86
10.696,10.888,10.601,10.878,1427208.77
10.878,11.13,10.788,11.073,1337713.86
11.072,11.208,10.992,11.06,890230.45
11.06,11.068,10.922,10.944,439309.28
10.944,11.071,10.89,10.934,787941.22
10.935,10.951,10.781,10.881,1213027.42
10.881,10.973,10.182,10.301,3790748.55
10.3,10.331,9.01,9.66,10988081.01
9.661,9.701,9.351,9.57,5576643.75
9.57,9.578,9.304,9.306,3546615.79
9.307,9.424,9.075,9.252,4744658.43
9.253,9.286,8.848,8.943,6080511.28
8.945,9.001,7.864,8.596,9757722.68
8.598,9.175,8.523,9.046,5172467.78
9.048,9.08,8.818,8.896,3521327.26
8.896,8.992,8.682,8.808,2516599.83
8.807,8.832,8.421,8.461,3117462.46
8.459,8.504,8.115,8.466,4378011.72
8.465,8.574,8.19,8.292,3831519.55
8.291,8.965,8.102,8.925,5582309.81
8.924,9.348,8.924,9.286,4119305.96
9.284,9.526,9.201,9.435,2550077.26
9.433,9.772,9.373,9.437,2560114.57
9.437,9.603,9.381,9.519,1371017.13
9.521,9.535,9.169,9.176,1644764.09
9.175,9.383,9.165,9.309,1814194.97
9.307,9.499,9.307,9.479,1037161.65
9.479,9.642,9.387,9.493,907079.45
9.493,9.665,9.48,9.604,942172.78
9.605,9.69,9.466,9.477,838595.43
9.478,10.06,9.464,10.044,1957074.81
10.043,10.163,9.943,10.018,1564032.24
10.018,10.038,9.896,9.952,822843.46
9.951,9.993,9.879,9.934,555488.1
9.934,10.044,9.879,10.034,672389.48
10.034,10.104,9.972,10.084,843605.27
10.085,10.155,9.986,10.061,856983.26
10.06,10.128,9.981,10.104,636455.75
10.104,10.106,9.808,9.884,1241295.59
9.884,9.923,9.809,9.916,1038137.03
9.917,9.965,9.847,9.938,666742.31
9.938,10.004,9.856,9.975,668811.59
9.976,10.053,9.891,9.937,974263.62
9.936,9.972,9.758,9.909,1758580.54
9.909,10.404,9.897,10.27,2314004.11
10.269,10.434,10.174,10.369,1645111.69
10.368,10.448,10.249,10.335,1208312.69
10.336,10.367,10.162,10.178,694002.83
10.178,10.299,10.171,10.215,589442.85
10.216,10.239,10.082,10.106,839206.83
10.107,10.153,10.01,10.051,1148612.43
10.051,10.144,10.014,10.139,471452.51
10.138,10.267,10.02,10.084,1178185.3
10.082,10.118,10.006,10.058,469334.22
10.058,10.145,9.951,10.076,954294.15
10.077,10.316,9.96,10.289,1110853.17
10.288,10.41,10.142,10.204,982935.03
10.205,10.33,10.202,10.313,557207.52
10.312,10.442,10.287,10.386,730526.56
10.385,10.476,10.337,10.343,773082.15
10.342,10.405,10.292,10.34,427811.77
10.339,10.406,10.251,10.338,447171.78
10.337,10.405,10.284,10.359,495625.82
10.358,10.428,10.316,10.355,519360.47
10.355,10.447,10.294,10.299,397958.78
10.297,10.315,10.117,10.128,704708.05
10.128,10.204,10.065,10.172,666960.72
10.171,10.218,9.994,10.037,981960.31
10.036,10.059,9.641,9.755,2798907.85
9.756,9.856,9.683,9.81,1194590.67
9.81,9.831,9.666,9.707,1013735.17
9.706,9.743,9.578,9.674,1077381.14
9.673,9.727,9.515,9.542,1177863.71
9.542,9.614,9.504,9.599,697887.4
9.6,9.695,9.452,9.601,1275923.14
9.603,9.636,9.542,9.578,752183.52
9.577,9.59,9.415,9.586,1002313.94
9.586,9.611,9.444,9.488,865906.74
9.487,9.536,9.338,9.513,1092773.53
9.514,9.877,9.501,9.835,1891399.62
9.833,10.05,9.83,10.018,1179277.55
10.019,10.045,9.953,9.955,648849.23
9.955,10.053,9.916,9.921,613451.48
9.92,10.022,9.913,9.999,386015.99
9.999,10.055,9.951,10.001,391140.89
10.001,10.006,9.899,9.911,417252.83
9.911,10.003,9.884,9.989,473180.49
9.99,10.073,9.938,10.012,440379.75
10.014,10.042,9.98,10.026,362214.04
10.027,10.067,9.981,10.02,346945.21
10.02,10.308,9.985,10.099,1375635.76
10.099,10.15,9.912,10.008,1340593.82
10.008,10.241,9.995,10.216,1070665.49
10.215,10.245,10.101,10.196,880125.11
10.197,10.42,10.179,10.35,1575012.74
10.35,10.45,10.32,10.351,690548.25
10.35,10.369,10.292,10.299,315682.48
10.299,10.364,10.29,10.318,360164.8
10.319,10.364,10.297,10.317,241422.75
10.316,10.596,10.316,10.584,572222.29
10.584,10.81,10.519,10.781,1440521.14
10.782,10.829,10.671,10.745,1120062.87
10.746,10.746,10.592,10.634,907051.09
10.633,10.657,10.573,10.59,629028.77
10.589,10.623,10.542,10.545,423337.44
10.545,10.611,10.54,10.599,326317.02
10.598,10.599,10.455,10.456,475681.54
10.457,10.521,10.417,10.521,418806.75
10.521,10.58,10.496,10.535,295700.33
10.535,10.614,10.518,10.551,298087.47
10.551,10.6,10.497,10.58,321803.98
10.581,10.604,10.492,10.51,304803.85
10.511,10.53,10.384,10.443,749158.36
10.443,10.464,10.366,10.43,364463.95
10.431,10.454,10.329,10.383,493770.89
10.383,10.431,10.244,10.374,1069232.93
10.373,10.52,10.17,10.32,1613198.81
10.32,10.352,10.16,10.171,618318.58
10.172,10.338,10.15,10.3,698709.27
10.299,10.382,10.271,10.349,421057.06
10.349,10.406,10.317,10.399,381589.75
10.399,10.458,10.354,10.431,284802.34
10.431,10.5,10.406,10.447,409274.47
10.446,10.486,10.347,10.464,464070.62
10.464,10.537,10.407,10.531,546285.66
10.53,10.547,10.431,10.528,388036.2
10.529,10.669,10.471,10.504,994716.23
10.503,10.638,10.488,10.507,453886.55
10.508,10.588,10.498,10.555,290125.23
10.554,10.578,10.506,10.541,251591.52
10.541,10.554,10.461,10.501,237354.36
10.5,10.562,10.467,10.535,182632.57
10.535,10.614,10.524,10.611,286251.68
10.611,10.676,10.594,10.627,331936.37
10.627,10.647,10.562,10.579,205420.04
10.578,10.649,10.563,10.6,245249.83
10.6,10.686,10.584,10.67,361483.84
10.669,10.697,10.637,10.668,203750.27
10.668,10.682,10.626,10.661,248631.79
10.66,10.668,10.587,10.594,322889.58
10.593,10.605,10.536,10.58,438376.1
10.581,10.66,10.565,10.573,472740.17
10.572,10.616,10.539,10.57,305443.83
10.569,10.592,10.524,10.567,226738.63
10.566,10.611,10.53,10.555,361874.74
10.554,10.603,10.534,10.579,180921.37
10.579,10.608,10.548,10.565,164937.7
10.564,10.593,10.555,10.583,121779.54
10.582,10.599,10.545,10.559,180889.45
10.559,10.561,10.501,10.548,222191.67
10.548,10.598,10.524,10.574,298344.75
10.574,10.611,10.546,10.605,179817.81
10.605,10.633,10.574,10.606,235917.84
10.606,10.74,10.605,10.658,430791.43
10.659,10.674,10.59,10.601,274651.51
10.6,10.692,10.595,10.683,205967.36
10.683,10.692,10.614,10.665,185776.95
10.665,10.733,10.653,10.73,233941.73
10.73,10.782,10.695,10.749,389220.02
10.748,10.836,10.676,10.7,528757.11
10.7,10.724,10.648,10.654,285750.0
10.654,10.665,10.529,10.572,612976.57
10.571,10.593,10.432,10.481,537444.4
10.481,10.494,10.375,10.468,631314.99
10.467,10.532,10.361,10.399,601843.91
10.398,10.448,10.314,10.394,646833.52
10.394,10.456,10.342,10.413,364754.07
10.412,10.46,10.386,10.43,341162.28
10.429,10.456,10.387,10.4,255918.08
10.4,10.402,10.194,10.205,709846.78
10.205,10.207,10.025,10.055,1150535.36
10.054,10.1,9.982,10.077,459622.59
10.077,10.117,9.936,10.046,747831.97
10.046,10.046,9.975,9.995,317411.17
9.995,10.099,9.937,10.02,765493.57
10.019,10.105,9.979,10.083,512861.59
10.083,10.107,10.025,10.093,297088.07
10.092,10.118,10.019,10.068,271553.08
10.067,10.114,10.048,10.058,248973.85
10.057,10.115,10.036,10.087,238996.71
10.086,10.099,10.002,10.042,251077.27
10.041,10.261,9.939,10.23,1161818.64
10.23,10.392,10.202,10.232,848198.7
10.232,10.333,10.227,10.322,456397.24
10.321,10.446,10.251,10.438,702723.14
10.438,10.674,10.417,10.64,1156462.29
10.639,10.687,10.528,10.58,806731.41
10.58,10.63,10.199,10.234,1289896.37
10.235,10.729,10.138,10.669,2811855.09
10.667,10.748,10.426,10.585,1644027.72
10.585,10.642,10.506,10.516,782876.39
10.515,10.563,10.436,10.444,477405.51
10.445,10.481,10.255,10.271,684576.04
10.271,10.419,10.269,10.366,575514.2
10.367,10.517,10.359,10.411,511496.49
10.41,10.435,10.318,10.416,383999.65
10.416,10.467,10.37,10.428,317051.54
10.427,10.614,10.421,10.548,496672.96
10.547,10.583,10.463,10.547,420156.05
10.546,10.581,10.481,10.536,367826.14
10.534,10.542,10.41,10.5,410313.46
10.499,10.51,10.287,10.309,700895.18
10.31,10.369,10.251,10.364,359687.83
10.363,10.388,10.328,10.335,237913.82
10.335,10.378,10.275,10.346,318447.25
10.346,10.359,10.266,10.27,344701.56
10.27,10.307,10.194,10.223,377791.57
10.223,10.224,10.141,10.182,452735.4
10.181,10.187,10.086,10.169,598409.86
10.17,10.229,10.155,10.225,377696.29
10.225,10.302,10.19,10.281,815467.58
10.28,10.465,10.233,10.449,983233.1
10.449,10.47,10.252,10.365,935426.8
10.365,10.4,10.29,10.3,520832.65
10.299,10.6,10.297,10.599,897644.09
10.598,10.659,10.534,10.617,793680.71
10.616,10.664,10.524,10.607,621727.26
10.606,10.641,10.468,10.591,687141.55
10.592,10.644,10.539,10.601,412396.68
10.601,10.673,10.596,10.661,309218.6
10.661,10.687,10.568,10.595,363907.92
10.594,10.598,10.536,10.567,226719.23
10.566,10.631,10.536,10.601,417993.72
10.599,10.622,10.515,10.532,297159.51
10.532,10.603,10.505,10.577,333506.23
10.577,10.65,10.556,10.581,266624.21
10.582,10.608,10.566,10.581,237147.72
10.581,10.654,10.552,10.607,363024.13
10.607,10.696,10.564,10.653,410938.5
10.652,10.657,10.591,10.613,252727.25
10.612,10.652,10.578,10.61,291771.98
10.61,10.617,10.527,10.546,426747.49
10.545,10.701,10.54,10.594,496102.45
10.593,10.632,10.547,10.596,397067.61
10.597,10.736,10.542,10.592,1248393.91
10.59,10.632,10.304,10.327,1241412.83
10.328,10.397,10.196,10.342,1379746.07
10.342,10.522,10.316,10.463,805195.95
10.463,10.48,10.312,10.379,767593.82
10.378,10.4,10.349,10.372,254157.01
10.371,10.413,10.308,10.353,390458.5
10.353,10.392,10.316,10.376,242792.85
10.375,10.42,10.367,10.376,259412.59
10.377,10.386,10.331,10.339,171383.47
10.339,10.407,10.272,10.404,534288.92
10.405,10.43,10.382,10.388,187526.87
10.387,10.468,10.38,10.452,358542.3
10.452,10.458,10.352,10.377,377827.73
10.379,10.459,10.346,10.412,445796.97
10.412,10.467,10.405,10.462,215560.94
10.462,10.478,10.417,10.468,288089.44
10.467,10.497,10.39,10.406,309887.21
10.405,10.439,10.29,10.323,469477.27
10.323,10.358,10.263,10.342,637259.7
10.342,10.392,10.31,10.385,308602.52
10.385,10.422,10.348,10.385,431113.35
