open,high,low,close,volume
0.653,0.653,0.645,0.647,399187.3
0.647,0.651,0.645,0.649,279561.8
0.648,0.656,0.646,0.649,378433.9
0.649,0.651,0.645,0.647,261689.7
0.647,0.652,0.644,0.645,398347.6
0.644,0.646,0.623,0.623,812602.7
0.624,0.626,0.602,0.605,2996275.4
0.606,0.606,0.588,0.59,1480232.1
0.59,0.592,0.581,0.585,983701.9
0.584,0.594,0.583,0.585,737711.4
0.585,0.587,0.577,0.58,1040334.7
0.58,0.592,0.577,0.592,571596.7
0.592,0.595,0.59,0.591,223782.9
0.59,0.595,0.587,0.592,364495.3
0.592,0.598,0.59,0.597,363291.6
0.596,0.601,0.591,0.598,336262.1
0.598,0.609,0.598,0.606,370260.1
0.607,0.609,0.604,0.607,257882.9
0.607,0.61,0.603,0.603,241498.7
0.603,0.608,0.603,0.607,146835.0
0.606,0.609,0.604,0.606,263096.6
0.606,0.608,0.599,0.601,276300.1
0.601,0.607,0.597,0.603,460096.6
0.604,0.606,0.602,0.606,225658.8
0.605,0.61,0.603,0.608,389216.6
0.608,0.611,0.607,0.609,202750.5
0.609,0.614,0.608,0.613,364267.0
0.612,0.614,0.609,0.611,243847.7
0.611,0.612,0.587,0.589,1092844.5
0.59,0.59,0.574,0.576,943136.4
0.575,0.576,0.559,0.561,1439645.5
0.561,0.565,0.547,0.562,1361398.2
0.562,0.575,0.558,0.575,933051.0
0.574,0.593,0.571,0.589,1108361.4
0.59,0.597,0.584,0.591,785720.6
0.591,0.592,0.585,0.587,450022.5
0.588,0.597,0.584,0.584,785580.7
0.585,0.586,0.562,0.563,938496.8
0.563,0.572,0.536,0.543,2293474.3
0.543,0.546,0.481,0.509,5043014.3
0.509,0.511,0.493,0.501,3237653.1
0.501,0.501,0.483,0.486,1934920.8
0.486,0.496,0.481,0.485,1259125.5
0.485,0.491,0.464,0.482,3188450.0
0.482,0.485,0.436,0.472,6135804.3
0.472,0.501,0.47,0.497,1702262.3
0.497,0.499,0.483,0.491,1450065.5
0.491,0.506,0.483,0.505,2487558.6
0.504,0.508,0.481,0.484,2074984.1
0.485,0.486,0.468,0.485,1710962.9
0.486,0.491,0.472,0.476,1740487.6
0.477,0.514,0.47,0.51,3355349.3
0.51,0.537,0.509,0.533,1758476.9
0.534,0.546,0.527,0.542,1012409.6
0.542,0.555,0.538,0.539,1226561.2
0.54,0.545,0.535,0.539,796026.9
0.539,0.54,0.519,0.521,966515.7
0.52,0.529,0.517,0.525,1251652.1
0.526,0.532,0.524,0.529,835429.7
0.529,0.537,0.524,0.53,824007.4
0.53,0.536,0.526,0.531,410523.4
0.531,0.536,0.524,0.525,464652.8
0.525,0.556,0.525,0.556,1415219.0
0.556,0.561,0.546,0.553,1146127.8
0.553,0.557,0.548,0.553,614535.8
0.553,0.558,0.548,0.555,565324.1
0.555,0.564,0.552,0.56,634921.7
0.56,0.571,0.56,0.57,772999.8
0.57,0.579,0.568,0.574,852600.7
0.573,0.573,0.566,0.569,622906.9
0.569,0.569,0.551,0.558,837929.3
